ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601888.SH,20150105,44.58,46.92,44.55,46.36,44.4,1.96,4.41,82466.55,379662.923
601888.SH,20150106,46.0,49.47,45.66,49.44,46.36,3.08,6.64,120845.83,575665.541
601888.SH,20150107,49.29,49.29,47.55,47.81,49.44,-1.63,-3.3,68439.46,330776.073
601888.SH,20150108,47.99,48.3,45.5,45.66,47.81,-2.15,-4.5,65329.78,302097.212
601888.SH,20150109,45.78,47.5,45.45,45.54,45.66,-0.12,-0.26,54746.91,255216.474
601888.SH,20150112,45.31,47.04,45.06,46.4,45.54,0.86,1.89,46541.84,214108.138
601888.SH,20150113,46.4,47.5,46.35,46.68,46.4,0.28,0.6,39020.34,183502.251
601888.SH,20150114,47.49,47.5,45.5,46.07,46.68,-0.61,-1.31,24792.05,114852.408
601888.SH,20150115,46.39,46.39,45.4,46.09,46.07,0.02,0.04,30121.88,138422.789
601888.SH,20150116,46.25,46.42,45.68,46.01,46.09,-0.08,-0.17,41609.49,191439.614
601888.SH,20150119,45.35,45.46,42.98,43.79,46.01,-2.22,-4.83,57787.3,255996.848
601888.SH,20150120,43.9,45.2,43.02,45.19,43.79,1.4,3.2,49474.7,220634.49
601888.SH,20150121,45.35,47.5,44.75,46.93,45.19,1.74,3.85,54099.13,249819.029
601888.SH,20150122,46.97,47.59,46.11,46.5,46.93,-0.43,-0.92,45311.98,211778.114
601888.SH,20150123,47.0,47.98,46.75,47.79,46.5,1.29,2.77,68636.86,325257.565
601888.SH,20150126,47.5,48.5,47.11,47.55,47.79,-0.24,-0.5,48880.19,232562.942
601888.SH,20150127,47.5,47.86,46.38,46.78,47.55,-0.77,-1.62,44945.69,210592.426
601888.SH,20150128,46.5,46.8,45.41,45.83,46.78,-0.95,-2.03,42313.86,195063.148
601888.SH,20150129,45.22,46.25,45.2,45.88,45.83,0.05,0.11,28726.75,131673.936
601888.SH,20150130,45.88,46.39,44.8,46.07,45.88,0.19,0.41,41683.97,190792.98
601888.SH,20150202,45.88,47.03,45.12,46.2,46.07,0.13,0.28,37979.51,176332.82
601888.SH,20150203,47.08,47.08,46.0,46.73,46.2,0.53,1.15,25852.78,120769.019
601888.SH,20150204,47.8,50.45,47.8,49.01,46.73,2.28,4.88,117809.12,579868.058
601888.SH,20150205,49.01,49.2,47.47,47.62,49.01,-1.39,-2.84,41724.79,201670.206
601888.SH,20150206,47.98,48.4,46.6,46.95,47.62,-0.67,-1.41,45981.1,217117.02
601888.SH,20150209,47.0,47.95,46.5,46.58,46.95,-0.37,-0.79,36356.81,171698.337
601888.SH,20150210,46.06,47.29,46.05,47.0,46.58,0.42,0.9,24907.96,116909.989
601888.SH,20150211,47.1,48.3,47.1,47.79,47.0,0.79,1.68,23263.52,111291.787
601888.SH,20150212,47.55,48.1,47.36,47.99,47.79,0.2,0.42,19827.63,94646.492
601888.SH,20150213,48.35,48.98,48.01,48.3,47.99,0.31,0.65,36061.26,174974.561
601888.SH,20150216,48.06,49.98,48.0,49.82,48.3,1.52,3.15,74482.75,369071.161
601888.SH,20150217,50.2,50.2,49.01,49.88,49.82,0.06,0.12,60891.46,302338.666
601888.SH,20150225,51.5,52.18,49.41,50.14,49.88,0.26,0.52,92417.83,468428.464
601888.SH,20150226,49.81,51.14,49.68,50.2,50.14,0.06,0.12,70138.1,352966.046
601888.SH,20150227,50.18,50.89,50.0,50.45,50.2,0.25,0.5,58005.17,292867.674
601888.SH,20150302,50.47,51.17,49.52,50.28,50.45,-0.17,-0.34,86020.22,431319.502
601888.SH,20150303,50.0,50.49,49.24,49.53,50.28,-0.75,-1.49,131492.89,651590.173
601888.SH,20150304,50.0,51.02,49.5,51.0,49.53,1.47,2.97,77318.77,387654.437
601888.SH,20150305,50.0,51.0,49.68,50.31,51.0,-0.69,-1.35,69871.67,349759.096
601888.SH,20150306,50.79,50.79,49.78,50.25,50.31,-0.06,-0.12,56408.78,283418.861
601888.SH,20150309,49.69,50.31,49.6,50.09,50.25,-0.16,-0.32,44254.86,221594.954
601888.SH,20150310,50.02,50.49,49.6,49.8,50.09,-0.29,-0.58,35397.74,176170.245
