ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601919.SH,20150105,7.22,7.65,7.22,7.52,7.2,0.32,4.44,1352784.8,1007440.095
601919.SH,20150106,7.57,8.2,7.57,7.95,7.52,0.43,5.72,1969979.69,1561704.362
601919.SH,20150107,8.04,8.14,7.68,7.88,7.95,-0.07,-0.88,1216246.17,952434.703
601919.SH,20150108,7.95,7.95,7.48,7.51,7.88,-0.37,-4.7,1101660.22,842274.154
601919.SH,20150109,7.45,7.59,7.14,7.29,7.51,-0.22,-2.93,1178418.54,862492.572
601919.SH,20150112,7.14,7.18,6.85,6.94,7.29,-0.35,-4.8,776721.0,545138.557
601919.SH,20150113,7.09,7.13,6.86,6.93,6.94,-0.01,-0.14,529709.53,369833.427
601919.SH,20150114,6.93,6.96,6.63,6.75,6.93,-0.18,-2.6,603174.5,408945.495
601919.SH,20150115,6.71,7.12,6.66,7.11,6.75,0.36,5.33,643115.56,442727.327
601919.SH,20150116,7.13,7.17,7.0,7.07,7.11,-0.04,-0.56,577800.32,408990.668
601919.SH,20150119,6.7,6.83,6.36,6.36,7.07,-0.71,-10.04,925635.12,605216.281
601919.SH,20150120,6.32,6.53,6.27,6.45,6.36,0.09,1.42,700129.84,448405.171
601919.SH,20150121,6.47,6.9,6.45,6.77,6.45,0.32,4.96,849780.97,567625.3
601919.SH,20150122,6.78,6.8,6.66,6.78,6.77,0.01,0.15,527382.97,356099.188
601919.SH,20150123,6.8,6.95,6.71,6.76,6.78,-0.02,-0.3,559690.71,381615.793
601919.SH,20150126,6.79,6.87,6.7,6.86,6.76,0.1,1.48,444282.38,301577.252
601919.SH,20150127,6.88,6.91,6.57,6.74,6.86,-0.12,-1.75,507736.5,342024.985
601919.SH,20150128,6.68,6.68,6.55,6.59,6.74,-0.15,-2.23,458730.96,302793.374
601919.SH,20150129,6.51,6.55,6.41,6.5,6.59,-0.09,-1.37,398068.52,257875.836
601919.SH,20150130,6.6,6.65,6.4,6.43,6.5,-0.07,-1.08,370067.57,241435.57
601919.SH,20150202,6.1,6.3,6.1,6.18,6.43,-0.25,-3.89,379829.43,235854.766
601919.SH,20150203,6.18,6.29,6.15,6.28,6.18,0.1,1.62,336138.78,208780.853
601919.SH,20150204,6.32,6.36,6.2,6.22,6.28,-0.06,-0.96,290745.91,183140.09
601919.SH,20150205,6.33,6.37,6.09,6.11,6.22,-0.11,-1.77,326003.16,203049.264
601919.SH,20150206,6.09,6.09,5.77,5.82,6.11,-0.29,-4.75,555088.16,326221.944
601919.SH,20150209,5.79,5.8,5.59,5.74,5.82,-0.08,-1.37,450747.15,256218.987
601919.SH,20150210,5.71,5.92,5.71,5.9,5.74,0.16,2.79,319784.91,186940.339
601919.SH,20150211,5.94,5.96,5.86,5.92,5.9,0.02,0.34,236167.92,139599.354
601919.SH,20150212,5.92,6.03,5.79,5.97,5.92,0.05,0.84,254546.08,150471.183
601919.SH,20150213,5.99,6.19,5.94,6.08,5.97,0.11,1.84,382850.04,233288.074
601919.SH,20150216,6.05,6.14,6.02,6.08,6.08,0.0,0.0,203777.37,123948.88
601919.SH,20150217,6.09,6.22,6.07,6.15,6.08,0.07,1.15,451096.74,276260.921
601919.SH,20150225,6.15,6.16,5.97,6.0,6.15,-0.15,-2.44,516531.65,311691.37
601919.SH,20150226,6.0,6.2,5.85,6.2,6.0,0.2,3.33,721863.02,436711.293
601919.SH,20150227,6.21,6.27,6.16,6.2,6.2,0.0,0.0,472183.93,292921.932
601919.SH,20150302,6.25,6.29,6.15,6.24,6.2,0.04,0.65,545059.28,338347.102
601919.SH,20150303,6.23,6.3,6.12,6.17,6.24,-0.07,-1.12,584128.74,362978.049
601919.SH,20150304,6.14,6.19,6.11,6.15,6.17,-0.02,-0.32,390926.89,240265.564
601919.SH,20150305,6.16,6.16,5.9,5.95,6.15,-0.2,-3.25,570521.9,341768.982
601919.SH,20150306,5.93,6.35,5.88,6.17,5.95,0.22,3.7,945058.7,580854.263
601919.SH,20150309,6.1,6.23,5.99,6.19,6.17,0.02,0.32,584622.34,357780.054
601919.SH,20150310,6.18,6.35,6.15,6.26,6.19,0.07,1.13,651622.39,407942.754
601919.SH,20150311,6.25,6.45,6.2,6.29,6.26,0.03,0.48,664104.71,420808.434
601919.SH,20150312,6.3,6.36,6.22,6.32,6.29,0.03,0.48,574897.27,362432.326
601919.SH,20150313,6.34,6.54,6.31,6.48,6.32,0.16,2.53,801172.72,517329.524
601919.SH,20150316,6.55,6.62,6.49,6.6,6.48,0.12,1.85,835011.85,547678.05
601919.SH,20150317,6.72,7.26,6.62,7.26,6.6,0.66,10.0,2315435.46,1642691.469
601919.SH,20150318,7.34,7.53,7.16,7.28,7.26,0.02,0.28,1947524.06,1418191.285
601919.SH,20150319,7.23,7.23,7.03,7.15,7.28,-0.13,-1.79,1147392.84,816263.088
601919.SH,20150320,7.13,7.35,7.09,7.26,7.15,0.11,1.54,1193187.34,857708.437
601919.SH,20150323,7.24,7.38,7.16,7.3,7.26,0.04,0.55,1181404.31,857789.931
601919.SH,20150324,7.3,7.33,7.01,7.23,7.3,-0.07,-0.96,1314778.02,945504.996
601919.SH,20150325,7.23,7.36,7.15,7.19,7.23,-0.04,-0.55,1035415.71,750261.143
601919.SH,20150326,7.1,7.33,7.01,7.28,7.19,0.09,1.25,1095452.77,788331.713
601919.SH,20150327,7.29,7.41,7.21,7.35,7.28,0.07,0.96,1162764.18,849996.717
601919.SH,20150330,7.5,7.87,7.49,7.69,7.35,0.34,4.63,1834666.16,1413169.912
601919.SH,20150331,7.8,7.91,7.4,7.44,7.69,-0.25,-3.25,1442389.88,1099471.159
601919.SH,20150401,7.44,7.54,7.4,7.51,7.44,0.07,0.94,821816.0,614198.126
601919.SH,20150402,7.48,7.5,7.31,7.43,7.51,-0.08,-1.07,970396.0,719015.193
601919.SH,20150403,7.4,7.5,7.34,7.45,7.43,0.02,0.27,774838.81,575922.264
601919.SH,20150407,7.43,7.74,7.4,7.67,7.45,0.22,2.95,1372794.55,1040723.549
601919.SH,20150408,7.71,7.75,7.37,7.51,7.67,-0.16,-2.09,1133743.71,854514.821
601919.SH,20150409,7.51,7.69,7.3,7.63,7.51,0.12,1.6,1382834.12,1041311.103
601919.SH,20150410,7.57,8.39,7.55,8.12,7.63,0.49,6.42,2532541.2,2028834.71
601919.SH,20150413,8.09,8.13,7.91,8.1,8.12,-0.02,-0.25,1605128.73,1287090.186
601919.SH,20150414,8.08,8.39,7.94,8.14,8.1,0.04,0.49,1522637.26,1243120.569
601919.SH,20150415,8.12,8.9,7.92,8.4,8.14,0.26,3.19,2297528.22,1922389.2
601919.SH,20150416,8.2,8.99,8.1,8.79,8.4,0.39,4.64,2212610.47,1905689.407
601919.SH,20150417,9.05,9.67,9.05,9.67,8.79,0.88,10.01,1076449.92,1027310.477
601919.SH,20150420,10.54,10.64,10.0,10.64,9.67,0.97,10.03,3138922.64,3307462.167
601919.SH,20150421,11.0,11.7,10.66,11.11,10.64,0.47,4.42,6846566.62,7728103.046
