ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601958.SH,20150105,9.39,10.31,9.37,10.31,9.37,0.94,10.03,617873.75,620734.314
601958.SH,20150106,10.27,10.49,9.91,10.05,10.31,-0.26,-2.52,476662.21,484433.053
601958.SH,20150107,9.91,10.56,9.9,10.19,10.05,0.14,1.39,385952.0,395904.659
601958.SH,20150108,10.2,10.23,9.82,9.96,10.19,-0.23,-2.26,234606.74,234281.236
601958.SH,20150109,9.9,10.16,9.8,9.81,9.96,-0.15,-1.51,270551.18,271422.528
601958.SH,20150112,9.7,9.7,9.38,9.52,9.81,-0.29,-2.96,197216.69,187558.225
601958.SH,20150113,9.5,9.67,9.35,9.43,9.52,-0.09,-0.95,121430.48,115482.657
601958.SH,20150114,9.43,9.48,9.16,9.28,9.43,-0.15,-1.59,145360.28,135195.472
601958.SH,20150115,9.38,9.48,9.17,9.47,9.28,0.19,2.05,120917.72,112882.555
601958.SH,20150116,9.57,9.69,9.49,9.6,9.47,0.13,1.37,154051.85,147555.628
601958.SH,20150119,9.3,9.44,8.64,8.76,9.6,-0.84,-8.75,257307.36,234208.063
601958.SH,20150120,8.78,9.06,8.78,8.94,8.76,0.18,2.05,160895.8,143547.875
601958.SH,20150121,8.97,9.43,8.94,9.3,8.94,0.36,4.03,206437.3,189874.44
601958.SH,20150122,9.3,10.0,9.24,9.78,9.3,0.48,5.16,377990.99,365914.662
601958.SH,20150123,9.9,10.11,9.49,9.62,9.78,-0.16,-1.64,331641.19,325980.197
601958.SH,20150126,9.59,9.93,9.5,9.9,9.62,0.28,2.91,210392.08,205925.906
601958.SH,20150127,9.9,10.39,9.79,10.02,9.9,0.12,1.21,393737.6,395630.05
601958.SH,20150128,9.95,9.95,9.66,9.71,10.02,-0.31,-3.09,215069.67,210159.913
601958.SH,20150129,9.6,9.79,9.55,9.66,9.71,-0.05,-0.51,153077.53,148365.236
601958.SH,20150130,9.69,9.89,9.57,9.68,9.66,0.02,0.21,141314.52,137553.09
601958.SH,20150202,9.51,9.65,9.35,9.45,9.68,-0.23,-2.38,105663.28,100302.597
601958.SH,20150203,9.63,9.66,9.49,9.64,9.45,0.19,2.01,106804.02,102246.043
601958.SH,20150204,9.66,9.87,9.64,9.67,9.64,0.03,0.31,176820.91,172737.589
601958.SH,20150205,9.9,10.0,9.45,9.48,9.67,-0.19,-1.96,229314.49,225008.985
601958.SH,20150206,9.37,9.4,9.08,9.18,9.48,-0.3,-3.16,157719.89,145464.627
601958.SH,20150209,9.18,9.29,9.12,9.18,9.18,0.0,0.0,66833.15,61556.614
601958.SH,20150210,9.29,9.35,9.2,9.29,9.18,0.11,1.2,67120.66,62360.298
601958.SH,20150211,9.31,9.38,9.25,9.3,9.29,0.01,0.11,65406.36,60968.89
601958.SH,20150212,9.31,9.34,9.18,9.29,9.3,-0.01,-0.11,68624.67,63355.238
601958.SH,20150213,9.28,9.55,9.2,9.38,9.29,0.09,0.97,176170.51,165936.11
601958.SH,20150216,9.39,9.45,9.35,9.42,9.38,0.04,0.43,104338.74,98216.25
601958.SH,20150217,9.42,9.66,9.4,9.63,9.42,0.21,2.23,152838.0,146151.605
601958.SH,20150225,9.63,9.64,9.45,9.51,9.63,-0.12,-1.25,107814.43,102876.717
601958.SH,20150226,9.52,10.38,9.5,10.09,9.51,0.58,6.1,335482.89,331381.833
601958.SH,20150227,10.0,10.28,9.79,10.03,10.09,-0.06,-0.59,409550.01,410616.08
601958.SH,20150302,10.23,10.59,10.06,10.43,10.03,0.4,3.99,568509.58,588137.257
601958.SH,20150303,10.44,11.11,10.2,10.54,10.43,0.11,1.05,729540.65,778189.897
601958.SH,20150304,10.52,10.76,10.43,10.66,10.54,0.12,1.14,344961.6,365936.85
601958.SH,20150305,10.58,10.92,10.48,10.8,10.66,0.14,1.31,384382.64,412985.757
601958.SH,20150306,10.7,11.1,10.53,10.77,10.8,-0.03,-0.28,455686.3,494632.17
601958.SH,20150309,10.62,10.63,10.35,10.6,10.77,-0.17,-1.58,327795.51,343781.101
601958.SH,20150310,10.58,10.72,10.45,10.5,10.6,-0.1,-0.94,255715.97,270606.426
601958.SH,20150311,10.44,10.59,10.19,10.31,10.5,-0.19,-1.81,247967.19,256836.083
601958.SH,20150312,10.36,10.45,10.24,10.37,10.31,0.06,0.58,199893.84,206736.652
601958.SH,20150313,10.45,10.68,10.3,10.48,10.37,0.11,1.06,265042.46,278448.225
601958.SH,20150316,10.58,10.74,10.4,10.66,10.48,0.18,1.72,287924.48,305290.968
601958.SH,20150317,10.67,10.97,10.61,10.79,10.66,0.13,1.22,351872.98,379260.591
601958.SH,20150318,10.79,11.15,10.75,11.13,10.79,0.34,3.15,438280.76,481305.101
601958.SH,20150319,11.25,11.51,10.96,11.09,11.13,-0.04,-0.36,490028.05,551285.244
601958.SH,20150320,11.06,11.08,10.88,10.97,11.09,-0.12,-1.08,327556.3,359458.05
601958.SH,20150323,11.06,11.4,11.05,11.3,10.97,0.33,3.01,484877.64,546113.552
601958.SH,20150324,11.3,11.39,10.86,11.12,11.3,-0.18,-1.59,490166.91,544786.193
601958.SH,20150325,11.03,11.08,10.76,10.82,11.12,-0.3,-2.7,414558.91,450677.135
601958.SH,20150326,10.76,11.19,10.69,11.04,10.82,0.22,2.03,521171.07,570716.333
601958.SH,20150327,11.04,11.27,11.01,11.13,11.04,0.09,0.82,448279.45,499613.001
601958.SH,20150330,11.07,11.4,11.04,11.28,11.13,0.15,1.35,456023.21,511933.289
601958.SH,20150331,11.35,11.76,11.25,11.48,11.28,0.2,1.77,748118.87,858485.624
601958.SH,20150401,11.4,11.57,11.31,11.52,11.48,0.04,0.35,447201.22,512110.6
601958.SH,20150402,11.56,11.8,11.32,11.7,11.52,0.18,1.56,593517.36,684871.161
601958.SH,20150403,11.55,12.18,11.5,11.95,11.7,0.25,2.14,652626.48,775523.634
601958.SH,20150407,12.0,12.25,11.88,12.13,11.95,0.18,1.51,528253.38,639077.047
601958.SH,20150408,12.17,12.19,11.48,11.73,12.13,-0.4,-3.3,566537.44,668514.545
601958.SH,20150409,11.73,11.83,11.21,11.38,11.73,-0.35,-2.98,463026.12,530857.701
601958.SH,20150410,11.38,11.68,11.3,11.65,11.38,0.27,2.37,376461.4,434134.14
601958.SH,20150413,11.65,11.89,11.48,11.85,11.65,0.2,1.72,437276.85,511973.544
601958.SH,20150414,11.83,11.83,11.48,11.6,11.85,-0.25,-2.11,452729.01,526944.495
601958.SH,20150415,11.55,11.58,11.12,11.13,11.6,-0.47,-4.05,435358.54,493170.296
601958.SH,20150416,11.1,11.45,10.82,11.36,11.13,0.23,2.07,336694.68,378038.366
601958.SH,20150417,11.39,11.82,11.38,11.69,11.36,0.33,2.9,666864.99,775785.902
601958.SH,20150420,11.79,12.18,11.49,11.51,11.69,-0.18,-1.54,887457.76,1047350.461
601958.SH,20150421,11.73,11.98,11.6,11.95,11.51,0.44,3.82,573752.01,677869.148
601958.SH,20150422,11.95,12.68,11.93,12.47,11.95,0.52,4.35,926055.76,1144523.006
601958.SH,20150423,12.5,13.72,12.23,13.72,12.47,1.25,10.02,1419931.77,1880679.054
601958.SH,20150424,13.87,15.09,13.72,14.7,13.72,0.98,7.14,1859824.51,2674862.376
601958.SH,20150427,14.6,14.83,14.21,14.44,14.7,-0.26,-1.77,1002100.57,1448513.44
601958.SH,20150428,14.4,14.43,13.2,13.53,14.44,-0.91,-6.3,1014952.54,1401955.636
601958.SH,20150429,14.25,14.88,14.0,14.88,13.53,1.35,9.98,788492.76,1147297.824
601958.SH,20150430,16.37,16.37,15.35,15.59,14.88,0.71,4.77,2213357.5,3561102.168
601958.SH,20150504,15.31,15.59,14.38,14.85,15.59,-0.74,-4.75,1217758.15,1812540.211
601958.SH,20150505,14.77,15.17,13.85,13.98,14.85,-0.87,-5.86,898902.94,1296586.507
601958.SH,20150506,14.03,14.72,13.4,13.98,13.98,0.0,0.0,776777.46,1099193.514
601958.SH,20150507,13.65,14.28,13.5,14.04,13.98,0.06,0.43,539071.86,754687.509
601958.SH,20150508,13.99,14.48,13.78,14.19,14.04,0.15,1.07,556059.0,783031.929
601958.SH,20150511,14.3,14.8,14.19,14.51,14.19,0.32,2.26,745046.09,1078143.565
601958.SH,20150512,14.35,14.75,14.07,14.72,14.51,0.21,1.45,799874.07,1150319.3
601958.SH,20150513,14.5,14.99,14.42,14.65,14.72,-0.07,-0.48,746019.62,1098737.801
601958.SH,20150514,14.58,14.97,13.95,14.85,14.65,0.2,1.37,897869.46,1302453.746
601958.SH,20150515,14.87,15.16,14.21,14.23,14.85,-0.62,-4.18,698848.64,1025484.824
601958.SH,20150518,13.8,13.88,13.3,13.49,14.19,-0.7,-4.93,445031.26,604656.011
601958.SH,20150519,13.49,14.1,13.49,14.01,13.49,0.52,3.85,372340.16,514123.448
601958.SH,20150520,14.01,14.24,13.8,13.86,14.01,-0.15,-1.07,461192.22,646564.833
601958.SH,20150521,13.76,14.0,13.5,13.96,13.86,0.1,0.72,414973.83,571874.591
601958.SH,20150522,14.05,14.53,14.0,14.51,13.96,0.55,3.94,641536.95,919434.71
601958.SH,20150525,14.41,15.08,14.35,14.91,14.51,0.4,2.76,712567.38,1052154.983
601958.SH,20150526,14.95,15.51,14.55,15.24,14.91,0.33,2.21,810774.32,1223178.517
601958.SH,20150527,15.2,15.99,14.86,15.8,15.24,0.56,3.67,906921.59,1392035.52
601958.SH,20150528,15.8,15.95,14.22,14.22,15.8,-1.58,-10.0,863387.56,1319121.938
601958.SH,20150529,13.98,14.38,13.4,13.99,14.22,-0.23,-1.62,548447.5,763416.379
601958.SH,20150601,13.94,14.83,13.85,14.68,13.99,0.69,4.93,481509.41,693590.381
601958.SH,20150602,14.75,15.27,14.6,15.04,14.68,0.36,2.45,681083.18,1017470.934
601958.SH,20150603,15.01,15.24,14.6,14.94,15.04,-0.1,-0.66,678747.91,1009241.799
601958.SH,20150604,14.9,16.18,14.04,15.94,14.94,1.0,6.69,1350764.58,2067270.963
601958.SH,20150605,16.02,17.33,15.71,16.86,15.94,0.92,5.77,1515132.27,2520009.042
601958.SH,20150608,16.68,16.98,16.08,16.47,16.86,-0.39,-2.31,889751.36,1465443.857
601958.SH,20150609,16.49,16.94,16.18,16.59,16.47,0.12,0.73,684489.52,1133722.522
601958.SH,20150610,16.45,16.76,16.18,16.31,16.59,-0.28,-1.69,556896.4,915682.405
601958.SH,20150611,16.22,16.31,15.85,16.19,16.31,-0.12,-0.74,520855.73,837241.708
601958.SH,20150612,16.2,16.49,16.2,16.35,16.19,0.16,0.99,515814.85,842247.17
601958.SH,20150615,16.37,17.0,16.2,16.45,16.35,0.1,0.61,771660.32,1282299.801
601958.SH,20150616,16.27,16.27,14.82,15.07,16.45,-1.38,-8.39,651229.11,1009123.685
601958.SH,20150617,15.05,15.39,14.35,15.29,15.07,0.22,1.46,480130.68,716476.818
601958.SH,20150618,15.27,15.58,14.41,14.52,15.29,-0.77,-5.04,414361.06,625973.441
601958.SH,20150619,14.22,14.68,13.09,13.28,14.52,-1.24,-8.54,448528.85,631342.346
601958.SH,20150623,13.35,13.57,12.35,13.55,13.28,0.27,2.03,383522.91,505479.385
601958.SH,20150624,13.64,14.1,13.5,14.0,13.55,0.45,3.32,498549.44,687510.358
601958.SH,20150625,14.03,14.15,12.71,13.1,14.0,-0.9,-6.43,469556.09,642113.567
601958.SH,20150626,12.8,12.98,11.79,11.79,13.1,-1.31,-10.0,509082.58,623757.512
601958.SH,20150629,12.11,12.2,10.61,10.92,11.79,-0.87,-7.38,638616.98,725382.47
601958.SH,20150630,10.93,11.8,10.1,11.78,10.92,0.86,7.88,555337.89,613957.492
601958.SH,20150701,11.6,11.9,10.69,10.79,11.78,-0.99,-8.4,447590.16,514165.055
601958.SH,20150702,10.97,10.99,9.71,9.72,10.79,-1.07,-9.92,466562.34,482428.528
601958.SH,20150703,9.72,10.15,8.75,8.75,9.72,-0.97,-9.98,679571.97,635812.101
601958.SH,20150706,9.63,9.63,8.03,8.83,8.75,0.08,0.91,857729.72,753540.406
601958.SH,20150707,8.5,8.62,7.95,8.31,8.83,-0.52,-5.89,808069.99,662358.282
601958.SH,20150708,7.48,7.68,7.48,7.48,8.31,-0.83,-9.99,455192.4,341118.551
601958.SH,20150709,7.48,8.23,6.96,8.23,7.48,0.75,10.03,655878.63,515847.294
601958.SH,20150710,8.55,9.05,8.25,9.05,8.23,0.82,9.96,591598.85,527564.032
601958.SH,20150713,9.35,9.96,9.07,9.96,9.05,0.91,10.06,864992.69,829798.019
601958.SH,20150714,9.8,10.49,9.47,9.55,9.96,-0.41,-4.12,879093.6,870417.044
601958.SH,20150715,9.18,9.35,8.6,8.6,9.55,-0.95,-9.95,525262.34,467065.96
601958.SH,20150716,8.6,9.1,8.0,8.83,8.6,0.23,2.67,452268.71,393590.828
601958.SH,20150717,8.9,9.57,8.84,9.29,8.83,0.46,5.21,455596.07,419687.625
601958.SH,20150720,9.28,9.63,9.13,9.5,9.29,0.21,2.26,546462.13,512487.219
601958.SH,20150721,9.32,9.98,9.18,9.8,9.5,0.3,3.16,605043.65,582960.406
601958.SH,20150722,9.72,9.78,9.31,9.61,9.8,-0.19,-1.94,502780.43,481054.977
601958.SH,20150723,9.62,10.05,9.52,9.99,9.61,0.38,3.95,615210.13,604697.396
601958.SH,20150724,9.94,10.41,9.73,9.94,9.99,-0.05,-0.5,894872.59,901958.504
601958.SH,20150727,9.54,9.82,8.95,8.95,9.94,-0.99,-9.96,528648.47,498168.173
601958.SH,20150728,8.44,9.08,8.07,8.81,8.95,-0.14,-1.56,636991.85,543763.274
601958.SH,20150729,8.93,9.36,8.71,9.26,8.81,0.45,5.11,313703.13,280198.77
601958.SH,20150730,9.25,9.45,8.81,8.93,9.26,-0.33,-3.56,326420.01,302496.36
