ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603015.SH,20150303,12.72,15.26,12.72,15.26,10.6,4.66,43.96,420.0,638.126
603015.SH,20150304,16.79,16.79,16.79,16.79,15.26,1.53,10.03,178.0,298.862
603015.SH,20150305,18.47,18.47,18.47,18.47,16.79,1.68,10.01,143.0,264.121
603015.SH,20150306,20.32,20.32,20.32,20.32,18.47,1.85,10.02,603.0,1225.296
603015.SH,20150309,22.35,22.35,22.35,22.35,20.32,2.03,9.99,8258.01,18456.652
603015.SH,20150310,23.87,23.87,22.51,22.82,22.35,0.47,2.1,292174.8,675128.404
603015.SH,20150311,21.7,24.88,21.6,23.59,22.82,0.77,3.37,213178.47,489618.514
603015.SH,20150312,23.12,23.49,21.7,21.75,23.59,-1.84,-7.8,150287.08,335853.282
603015.SH,20150313,21.75,22.32,21.5,21.89,21.75,0.14,0.64,75553.11,165454.33
603015.SH,20150316,22.1,22.79,22.09,22.5,21.89,0.61,2.79,79144.06,177316.478
603015.SH,20150317,22.68,22.85,22.2,22.63,22.5,0.13,0.58,85534.27,192110.848
603015.SH,20150318,22.55,24.89,22.55,24.89,22.63,2.26,9.99,141364.34,337416.295
603015.SH,20150319,26.88,26.93,25.29,25.9,24.89,1.01,4.06,191084.85,500615.149
603015.SH,20150320,24.6,25.56,24.4,25.14,25.9,-0.76,-2.93,123830.84,309960.371
603015.SH,20150323,25.16,25.69,24.8,25.3,25.14,0.16,0.64,77925.1,196938.616
603015.SH,20150324,25.53,26.06,24.5,25.47,25.3,0.17,0.67,93523.11,237425.207
603015.SH,20150325,25.1,25.9,24.91,25.45,25.47,-0.02,-0.08,71855.25,182194.252
603015.SH,20150326,25.35,25.91,24.8,25.01,25.45,-0.44,-1.73,80965.99,204553.016
603015.SH,20150327,24.8,25.24,24.3,25.08,25.01,0.07,0.28,54603.92,134729.414
603015.SH,20150330,25.0,25.25,24.6,24.78,25.08,-0.3,-1.2,36897.59,91626.673
603015.SH,20150331,24.51,25.09,24.5,24.61,24.78,-0.17,-0.69,41252.07,101676.734
