ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603026.SH,20150529,7.81,9.37,7.81,9.37,6.51,2.86,43.93,182.0,170.378
603026.SH,20150601,10.31,10.31,10.31,10.31,9.37,0.94,10.03,51.0,52.581
603026.SH,20150602,11.34,11.34,11.34,11.34,10.31,1.03,9.99,62.0,70.308
603026.SH,20150603,12.47,12.47,12.47,12.47,11.34,1.13,9.96,121.0,150.887
603026.SH,20150604,13.72,13.72,13.72,13.72,12.47,1.25,10.02,142.0,194.824
603026.SH,20150605,15.09,15.09,15.09,15.09,13.72,1.37,9.99,138.0,208.242
603026.SH,20150608,16.6,16.6,16.6,16.6,15.09,1.51,10.01,166.0,275.56
603026.SH,20150609,18.26,18.26,18.26,18.26,16.6,1.66,10.0,111.0,202.686
603026.SH,20150610,20.09,20.09,20.09,20.09,18.26,1.83,10.02,384.0,771.456
603026.SH,20150611,22.1,22.1,22.1,22.1,20.09,2.01,10.01,461.0,1018.81
603026.SH,20150612,24.31,24.31,24.31,24.31,22.1,2.21,10.0,451.75,1098.204
603026.SH,20150615,26.74,26.74,26.74,26.74,24.31,2.43,10.0,728.0,1946.672
603026.SH,20150616,29.41,29.41,29.41,29.41,26.74,2.67,9.99,1288.08,3788.243
603026.SH,20150617,32.35,32.35,32.35,32.35,29.41,2.94,10.0,2723.1,8809.229
603026.SH,20150618,35.59,35.59,32.89,33.5,32.35,1.15,3.55,289451.04,1005122.52
603026.SH,20150619,30.21,32.77,30.15,30.15,33.5,-3.35,-10.0,139555.22,427933.981
603026.SH,20150623,29.4,30.65,27.43,29.08,30.15,-1.07,-3.55,128281.94,370667.834
603026.SH,20150624,30.41,31.4,29.22,30.07,29.08,0.99,3.4,145390.11,441074.642
603026.SH,20150625,28.2,29.0,27.06,27.1,30.07,-2.97,-9.88,131867.46,370645.27
603026.SH,20150626,26.3,26.3,24.39,24.39,27.1,-2.71,-10.0,73149.24,181392.096
603026.SH,20150629,24.69,24.7,21.95,21.95,24.39,-2.44,-10.0,71882.87,160881.293
603026.SH,20150630,20.5,23.33,19.76,23.04,21.95,1.09,4.97,113985.83,243167.577
603026.SH,20150701,22.2,24.28,21.0,21.07,23.04,-1.97,-8.55,106071.8,243760.79
603026.SH,20150702,20.98,21.25,18.96,18.96,21.07,-2.11,-10.01,76421.15,152856.107
603026.SH,20150703,18.04,19.5,17.06,17.27,18.96,-1.69,-8.91,77200.85,138222.606
603026.SH,20150706,19.0,19.0,17.5,18.63,17.27,1.36,7.87,116925.09,217654.577
603026.SH,20150707,17.3,17.95,16.77,16.77,18.63,-1.86,-9.98,45740.61,78171.631
603026.SH,20150708,15.09,15.09,15.09,15.09,16.77,-1.68,-10.02,16822.0,25384.398
603026.SH,20150709,13.8,16.6,13.8,16.6,15.09,1.51,10.01,69485.31,109512.841
603026.SH,20150710,17.4,18.26,17.0,18.26,16.6,1.66,10.0,36379.78,65218.637
603026.SH,20150713,19.98,20.09,19.03,20.09,18.26,1.83,10.02,83905.02,167161.336
603026.SH,20150714,20.2,21.97,19.95,21.0,20.09,0.91,4.53,130145.39,273874.138
603026.SH,20150715,20.0,20.49,18.9,18.9,21.0,-2.1,-10.0,65268.02,126183.857
