ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603027.SH,20160307,11.03,13.23,11.03,13.23,9.19,4.04,43.96,385.95,505.992
603027.SH,20160308,14.55,14.55,14.55,14.55,13.23,1.32,9.98,219.66,319.605
603027.SH,20160309,16.01,16.01,16.01,16.01,14.55,1.46,10.03,206.0,329.806
603027.SH,20160310,17.61,17.61,17.61,17.61,16.01,1.6,9.99,375.0,660.375
603027.SH,20160311,19.37,19.37,19.37,19.37,17.61,1.76,9.99,2463.87,4772.516
603027.SH,20160314,21.31,21.31,21.31,21.31,19.37,1.94,10.02,2225.17,4741.837
603027.SH,20160315,23.44,23.44,23.44,23.44,21.31,2.13,10.0,1588.0,3722.272
603027.SH,20160316,25.78,25.78,25.78,25.78,23.44,2.34,9.98,6905.1,17801.348
603027.SH,20160317,28.35,28.36,26.81,28.36,25.78,2.58,10.01,205515.43,573025.624
603027.SH,20160318,29.0,30.99,28.65,29.21,28.36,0.85,3.0,278232.13,826648.511
603027.SH,20160321,28.61,31.55,28.18,30.19,29.21,0.98,3.36,222755.49,656762.472
603027.SH,20160322,29.34,30.1,28.8,29.0,30.19,-1.19,-3.94,147082.13,429774.257
603027.SH,20160323,28.35,28.66,27.7,28.4,29.0,-0.6,-2.07,109789.75,309525.662
603027.SH,20160324,28.44,31.24,28.2,31.24,28.4,2.84,10.0,164040.73,501481.063
603027.SH,20160325,32.0,33.27,29.18,29.86,31.24,-1.38,-4.42,187312.19,580241.586
603027.SH,20160328,30.3,30.39,27.8,28.31,29.86,-1.55,-5.19,134102.75,388716.409
603027.SH,20160329,28.1,28.1,26.77,27.24,28.31,-1.07,-3.78,86850.91,236883.759
603027.SH,20160330,27.61,28.24,27.25,28.18,27.24,0.94,3.45,83055.53,230533.753
603027.SH,20160331,28.28,28.35,27.6,27.7,28.18,-0.48,-1.7,73721.41,205615.705
603027.SH,20160401,27.55,28.18,27.05,27.97,27.7,0.27,0.97,63454.31,175758.854
603027.SH,20160405,27.76,28.36,27.06,28.19,27.97,0.22,0.79,84013.78,233443.544
603027.SH,20160406,28.0,28.44,27.67,27.91,28.19,-0.28,-0.99,60327.91,168823.314
603027.SH,20160407,27.81,28.59,27.81,27.88,27.91,-0.03,-0.11,70192.36,197508.133
603027.SH,20160408,27.62,27.94,27.16,27.91,27.88,0.03,0.11,49834.96,137451.99
603027.SH,20160411,28.3,29.93,28.13,29.44,27.91,1.53,5.48,113905.77,332655.643
603027.SH,20160412,29.0,30.51,28.81,29.52,29.44,0.08,0.27,108278.85,321212.339
603027.SH,20160413,29.36,30.18,29.1,29.59,29.52,0.07,0.24,94284.48,279921.48
603027.SH,20160414,29.7,32.55,29.65,32.55,29.59,2.96,10.0,126818.16,397502.085
603027.SH,20160415,33.22,33.95,31.47,31.89,32.55,-0.66,-2.03,186760.58,609324.581
603027.SH,20160418,30.7,30.87,29.59,30.55,31.89,-1.34,-4.2,103224.93,312765.008
603027.SH,20160419,30.7,31.55,30.26,30.56,30.55,0.01,0.03,78971.88,244388.494
603027.SH,20160420,30.41,31.5,28.01,29.18,30.56,-1.38,-4.52,104041.1,308454.147
603027.SH,20160421,28.9,29.39,28.3,28.49,29.18,-0.69,-2.36,68973.78,198991.35
603027.SH,20160422,28.01,28.7,27.88,28.67,28.49,0.18,0.63,45873.37,129875.838
603027.SH,20160425,28.39,28.39,27.4,28.02,28.67,-0.65,-2.27,43128.36,120438.942
603027.SH,20160426,27.99,28.57,27.88,28.51,28.02,0.49,1.75,34604.9,97725.201
603027.SH,20160427,28.51,29.27,28.43,28.74,28.51,0.23,0.81,52142.07,150526.112
603027.SH,20160428,28.9,28.98,27.6,28.19,28.74,-0.55,-1.91,50799.91,143073.012
603027.SH,20160429,27.98,28.4,27.82,28.07,28.19,-0.12,-0.43,27014.76,76076.718
603027.SH,20160503,28.1,29.77,28.06,29.51,28.07,1.44,5.13,62257.82,181626.691
603027.SH,20160504,29.4,30.85,29.3,30.01,29.51,0.5,1.69,77727.21,232387.929
603027.SH,20160505,30.01,30.61,29.8,30.3,30.01,0.29,0.97,58904.58,178122.648
603027.SH,20160506,30.5,31.66,28.79,28.97,30.3,-1.33,-4.39,88889.39,270388.049
603027.SH,20160509,28.2,28.39,27.61,27.77,28.97,-1.2,-4.14,56524.54,157985.532
603027.SH,20160510,27.8,28.59,27.7,28.36,27.77,0.59,2.12,42924.44,120930.343
603027.SH,20160511,28.45,30.31,28.31,29.47,28.36,1.11,3.91,88121.9,258283.305
603027.SH,20160512,28.5,28.5,27.2,27.99,29.47,-1.48,-5.02,62528.6,173658.217
603027.SH,20160513,27.85,28.58,27.5,27.77,27.99,-0.22,-0.79,39984.84,111612.022
603027.SH,20160516,27.77,28.66,27.52,28.64,27.77,0.87,3.13,39875.02,111768.361
603027.SH,20160517,28.55,28.61,27.88,27.99,28.64,-0.65,-2.27,39704.55,111921.177
603027.SH,20160518,27.7,27.7,26.3,26.91,27.99,-1.08,-3.86,47516.05,128173.651
603027.SH,20160519,26.88,27.37,26.8,26.92,26.91,0.01,0.04,29970.01,81036.544
603027.SH,20160520,26.3,27.22,26.08,27.21,26.92,0.29,1.08,30553.37,81731.646
603027.SH,20160523,27.3,28.33,27.2,28.0,27.21,0.79,2.9,41997.67,117018.003
603027.SH,20160524,27.92,27.92,27.23,27.53,28.0,-0.47,-1.68,27223.5,74967.827
603027.SH,20160525,27.88,28.12,27.5,27.64,27.53,0.11,0.4,25569.21,71136.511
603027.SH,20160526,27.67,27.99,26.8,27.97,27.64,0.33,1.19,30718.84,84185.855
603027.SH,20160527,28.2,30.51,28.14,29.42,27.97,1.45,5.18,99987.2,296048.847
603027.SH,20160530,28.85,29.5,28.0,29.12,29.42,-0.3,-1.02,54349.57,156710.693
603027.SH,20160531,29.0,31.03,29.0,30.53,29.12,1.41,4.84,86074.58,260213.156
603027.SH,20160601,30.39,31.59,30.15,30.52,30.53,-0.01,-0.03,86382.75,266554.333
603027.SH,20160602,30.55,32.85,30.5,32.04,30.52,1.52,4.98,98094.37,309803.335
603027.SH,20160603,31.78,33.87,31.11,32.71,32.04,0.67,2.09,120982.43,394415.361
603027.SH,20160606,32.51,33.75,31.83,33.27,32.71,0.56,1.71,92044.64,301576.646
603027.SH,20160607,33.37,35.2,32.88,34.59,33.27,1.32,3.97,114552.11,388647.147
603027.SH,20160608,34.55,34.55,32.76,32.81,34.59,-1.78,-5.15,86429.28,289436.623
603027.SH,20160613,31.83,32.0,29.54,29.57,32.81,-3.24,-9.88,84730.04,263465.329
603027.SH,20160614,29.63,31.3,29.57,30.74,29.57,1.17,3.96,61355.83,187413.827
603027.SH,20160615,30.3,33.33,30.02,32.38,30.74,1.64,5.34,75820.92,242317.918
603027.SH,20160616,32.26,33.17,31.59,32.02,32.38,-0.36,-1.11,53318.88,172333.842
603027.SH,20160617,32.28,33.03,31.7,32.99,31.92,1.07,3.35,61073.56,197953.506
603027.SH,20160620,33.05,35.19,32.0,34.17,32.99,1.18,3.58,95773.29,325591.376
603027.SH,20160621,34.1,35.25,33.26,33.32,34.17,-0.85,-2.49,87874.02,300072.232
603027.SH,20160622,33.0,34.99,32.7,34.73,33.32,1.41,4.23,83195.18,285279.916
603027.SH,20160623,34.55,35.77,33.87,34.9,34.73,0.17,0.49,80190.16,279654.022
603027.SH,20160624,34.58,35.1,32.6,33.65,34.9,-1.25,-3.58,71507.68,242660.838
603027.SH,20160627,33.58,36.05,33.35,35.71,33.65,2.06,6.12,80148.85,281163.733
603027.SH,20160628,35.33,36.69,34.9,35.64,35.71,-0.07,-0.2,76840.13,275201.948
603027.SH,20160629,35.68,37.88,35.06,37.41,35.64,1.77,4.97,92341.18,335507.429
603027.SH,20160630,36.5,36.74,35.16,35.27,37.41,-2.14,-5.72,77817.37,279823.294
603027.SH,20160701,35.7,36.4,35.16,35.61,35.27,0.34,0.96,44462.83,159261.722
603027.SH,20160704,35.31,37.25,35.31,37.05,35.61,1.44,4.04,57409.71,210357.123
603027.SH,20160705,37.0,38.5,37.0,38.07,37.05,1.02,2.75,74266.64,281478.916
603027.SH,20160706,38.08,39.08,37.16,38.36,38.07,0.29,0.76,66076.36,251935.401
603027.SH,20160707,38.45,38.78,37.5,38.44,38.36,0.08,0.21,49977.49,190535.754
603027.SH,20160708,38.55,39.95,38.17,39.09,38.44,0.65,1.69,61244.43,240603.251
603027.SH,20160711,38.78,39.88,37.47,37.9,39.09,-1.19,-3.04,65980.3,253032.988
603027.SH,20160712,37.6,39.8,36.87,39.65,37.9,1.75,4.62,65342.87,250166.872
603027.SH,20160713,39.66,40.0,38.0,38.95,39.65,-0.7,-1.77,50895.67,199215.861
603027.SH,20160714,39.0,40.48,38.66,40.39,38.95,1.44,3.7,70085.52,279492.016
603027.SH,20160715,40.48,40.55,39.65,39.96,40.39,-0.43,-1.06,47977.1,191922.781
603027.SH,20160718,39.66,39.79,38.8,38.98,39.96,-0.98,-2.45,44445.86,174039.378
603027.SH,20160719,38.7,39.38,37.71,38.43,38.98,-0.55,-1.41,39963.1,153386.803
603027.SH,20160720,38.49,38.68,37.9,38.23,38.43,-0.2,-0.52,26922.42,103115.185
603027.SH,20160721,38.09,38.66,37.5,37.72,38.23,-0.51,-1.33,31556.28,120043.952
603027.SH,20160722,37.38,37.8,35.75,36.05,37.72,-1.67,-4.43,57061.13,208166.483
603027.SH,20160725,35.5,36.6,35.43,36.09,36.05,0.04,0.11,29766.52,107121.577
603027.SH,20160726,36.08,36.61,35.81,36.43,36.09,0.34,0.94,25113.31,91380.162
603027.SH,20160727,36.5,36.73,33.08,33.99,36.43,-2.44,-6.7,48946.37,170004.529
603027.SH,20160728,33.7,34.2,32.99,33.96,33.99,-0.03,-0.09,27046.05,91027.697
603027.SH,20160729,34.1,34.49,33.68,33.79,33.96,-0.17,-0.5,19471.31,66166.06
603027.SH,20160801,33.0,33.46,31.31,32.2,33.79,-1.59,-4.71,23274.46,74990.441
603027.SH,20160802,32.2,33.0,32.01,32.98,32.2,0.78,2.42,19397.66,63400.857
603027.SH,20160803,32.79,34.3,32.5,33.97,32.98,0.99,3.0,30518.35,103114.55
603027.SH,20160804,33.8,34.32,33.45,33.83,33.97,-0.14,-0.41,17794.39,60266.039
603027.SH,20160805,33.73,34.3,33.73,33.82,33.83,-0.01,-0.03,20861.11,71078.432
603027.SH,20160808,33.6,33.86,32.82,33.72,33.82,-0.1,-0.3,16189.31,53997.064
603027.SH,20160809,33.51,34.45,33.45,34.4,33.72,0.68,2.02,20855.2,71400.158
603027.SH,20160810,34.4,34.79,34.07,34.47,34.4,0.07,0.2,19932.36,68660.661
603027.SH,20160811,34.18,34.49,33.18,33.22,34.47,-1.25,-3.63,20849.24,70670.749
603027.SH,20160812,33.0,33.67,33.0,33.55,33.22,0.33,0.99,13984.22,46667.054
603027.SH,20160815,34.0,36.91,33.71,36.91,33.55,3.36,10.01,74375.2,268315.86
603027.SH,20160816,37.8,40.49,37.33,39.13,36.91,2.22,6.01,112117.04,433636.212
603027.SH,20160817,38.72,38.82,37.52,38.25,39.13,-0.88,-2.25,67021.3,256196.456
603027.SH,20160818,38.26,38.99,37.3,38.64,38.25,0.39,1.02,71877.14,275332.701
603027.SH,20160819,38.16,39.1,37.5,37.96,38.64,-0.68,-1.76,52324.54,199803.766
603027.SH,20160822,37.76,38.29,36.4,36.57,37.96,-1.39,-3.66,41497.04,152898.099
603027.SH,20160823,36.6,37.16,36.18,36.49,36.57,-0.08,-0.22,28096.3,103021.31
603027.SH,20160824,36.5,37.35,36.24,36.77,36.49,0.28,0.77,27661.83,101789.843
603027.SH,20160825,36.4,36.4,34.81,35.93,36.77,-0.84,-2.28,37869.35,134662.834
603027.SH,20160826,36.5,37.31,36.0,36.06,35.93,0.13,0.36,29138.66,106575.504
603027.SH,20160829,35.97,35.99,35.07,35.55,36.06,-0.51,-1.41,19518.54,69251.889
603027.SH,20160830,35.48,36.76,35.33,36.64,35.55,1.09,3.07,32210.56,116824.036
603027.SH,20160831,36.6,36.6,35.57,36.37,36.64,-0.27,-0.74,29613.78,106732.022
603027.SH,20160901,36.28,36.87,35.93,36.0,36.37,-0.37,-1.02,25202.1,91838.775
603027.SH,20160902,36.0,36.19,35.1,35.41,36.0,-0.59,-1.64,23384.1,83283.67
603027.SH,20160905,35.23,35.77,35.15,35.23,35.41,-0.18,-0.51,13730.0,48631.896
603027.SH,20160906,35.25,35.78,34.5,35.69,35.23,0.46,1.31,20291.52,71494.461
603027.SH,20160907,35.48,36.0,35.44,35.54,35.69,-0.15,-0.42,16355.96,58456.561
603027.SH,20160908,35.6,35.86,35.52,35.82,35.54,0.28,0.79,13525.83,48235.276
603027.SH,20160909,35.8,35.96,35.0,35.06,35.82,-0.76,-2.12,16535.05,58819.272
603027.SH,20160912,34.21,34.4,33.38,33.54,35.06,-1.52,-4.34,21982.2,74685.933
603027.SH,20160913,33.72,34.0,33.35,33.56,33.54,0.02,0.06,10754.59,36159.287
603027.SH,20160914,33.51,33.82,33.25,33.43,33.56,-0.13,-0.39,10965.6,36817.669
603027.SH,20160919,33.62,34.0,33.61,33.96,33.43,0.53,1.59,9320.23,31566.847
603027.SH,20160920,34.0,34.33,33.8,34.0,33.96,0.04,0.12,7223.4,24566.827
603027.SH,20160921,33.83,34.08,33.31,33.99,34.0,-0.01,-0.03,13726.0,46445.504
603027.SH,20160922,34.25,34.48,33.89,34.03,33.99,0.04,0.12,13361.05,45630.005
603027.SH,20160923,34.29,34.29,33.6,33.63,34.03,-0.4,-1.18,10794.34,36609.019
603027.SH,20160926,33.63,33.8,31.8,31.97,33.63,-1.66,-4.94,20969.32,68414.793
603027.SH,20160927,31.85,32.41,31.67,32.37,31.97,0.4,1.25,12563.73,40242.998
603027.SH,20160928,32.26,32.54,32.11,32.22,32.37,-0.15,-0.46,7237.65,23367.233
603027.SH,20160929,32.44,32.78,32.23,32.4,32.22,0.18,0.56,8361.27,27198.316
603027.SH,20160930,32.4,32.69,32.31,32.5,32.4,0.1,0.31,5632.32,18324.832
603027.SH,20161010,32.84,34.0,32.72,33.73,32.5,1.23,3.78,14569.74,48784.665
603027.SH,20161011,34.07,34.45,33.76,34.27,33.73,0.54,1.6,15891.62,54171.308
603027.SH,20161012,34.01,34.88,33.91,34.49,34.27,0.22,0.64,19004.63,65552.148
603027.SH,20161013,34.38,34.59,34.15,34.37,34.49,-0.12,-0.35,11277.51,38844.651
603027.SH,20161014,34.11,34.79,34.1,34.72,34.37,0.35,1.02,14267.06,49244.02
603027.SH,20161017,34.67,34.99,33.8,34.05,34.72,-0.67,-1.93,14775.87,50829.096
603027.SH,20161018,34.2,34.86,34.05,34.77,34.05,0.72,2.11,18651.17,64303.46
603027.SH,20161019,34.87,35.48,34.85,34.99,34.77,0.22,0.63,22454.29,78977.813
603027.SH,20161020,35.25,35.36,34.83,35.19,34.99,0.2,0.57,17101.71,60190.439
603027.SH,20161021,35.35,35.35,34.52,35.27,35.19,0.08,0.23,19332.4,67645.807
603027.SH,20161024,35.3,35.97,34.98,35.61,35.27,0.34,0.96,24283.8,86131.581
603027.SH,20161025,35.61,36.0,35.35,35.78,35.61,0.17,0.48,20795.85,74315.306
603027.SH,20161026,35.76,35.76,35.15,35.29,35.78,-0.49,-1.37,17075.47,60443.359
