ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603060.SH,20161109,12.05,14.46,12.05,14.46,10.04,4.42,44.02,160.0,228.709
603060.SH,20161110,15.91,15.91,15.91,15.91,14.46,1.45,10.03,109.0,173.419
603060.SH,20161111,17.5,17.5,17.5,17.5,15.91,1.59,9.99,33.0,57.75
603060.SH,20161114,19.25,19.25,19.25,19.25,17.5,1.75,10.0,45.0,86.625
603060.SH,20161115,21.18,21.18,21.18,21.18,19.25,1.93,10.03,105.45,223.343
603060.SH,20161116,23.3,23.3,23.3,23.3,21.18,2.12,10.01,179.83,419.004
603060.SH,20161117,25.63,25.63,25.63,25.63,23.3,2.33,10.0,196.0,502.348
603060.SH,20161118,28.19,28.19,28.19,28.19,25.63,2.56,9.99,411.83,1160.949
603060.SH,20161121,31.01,31.01,31.01,31.01,28.19,2.82,10.0,922.63,2861.076
603060.SH,20161122,34.11,34.11,34.11,34.11,31.01,3.1,10.0,877.98,2994.79
603060.SH,20161123,37.52,37.52,37.52,37.52,34.11,3.41,10.0,732.81,2749.503
603060.SH,20161124,41.27,41.27,41.27,41.27,37.52,3.75,9.99,3499.37,14441.9
603060.SH,20161125,45.4,45.4,45.4,45.4,41.27,4.13,10.01,7804.5,35432.43
603060.SH,20161128,49.94,49.94,49.94,49.94,45.4,4.54,10.0,3602.59,17991.334
603060.SH,20161129,50.0,50.0,45.41,45.46,49.94,-4.48,-8.97,294537.89,1395285.636
603060.SH,20161130,43.06,44.48,41.58,42.44,45.46,-3.02,-6.64,173571.96,743078.257
603060.SH,20161201,42.67,46.68,41.6,46.68,42.44,4.24,9.99,218937.57,982824.46
603060.SH,20161202,46.66,51.35,46.21,51.35,46.68,4.67,10.0,336503.02,1665492.235
603060.SH,20161205,48.97,49.58,46.22,46.22,51.35,-5.13,-9.99,235541.09,1115696.473
603060.SH,20161206,45.52,50.6,45.52,49.78,46.22,3.56,7.7,246180.99,1200895.171
603060.SH,20161207,48.5,49.0,46.01,48.83,49.78,-0.95,-1.91,195652.06,930555.018
603060.SH,20161208,48.03,52.47,48.03,48.85,48.83,0.02,0.04,245854.45,1234749.362
603060.SH,20161209,46.8,47.0,44.44,44.94,48.85,-3.91,-8.0,188250.73,859473.856
603060.SH,20161212,44.13,44.2,41.35,41.78,44.94,-3.16,-7.03,127807.43,543591.978
603060.SH,20161213,41.44,43.19,39.1,41.83,41.78,0.05,0.12,104216.63,432526.209
603060.SH,20161214,41.2,41.64,39.76,39.89,41.83,-1.94,-4.64,90271.06,366518.856
603060.SH,20161215,39.4,40.69,39.19,39.94,39.89,0.05,0.13,76204.52,305522.471
603060.SH,20161216,39.88,41.99,39.54,41.77,39.94,1.83,4.58,117135.58,477575.671
603060.SH,20161219,41.0,41.38,39.87,40.0,41.77,-1.77,-4.24,78713.49,318110.726
603060.SH,20161220,39.5,40.8,39.35,40.26,40.0,0.26,0.65,51673.19,207612.779
603060.SH,20161221,40.24,40.46,39.42,40.08,40.26,-0.18,-0.45,55558.4,221747.119
603060.SH,20161222,39.9,40.25,39.5,39.71,40.08,-0.37,-0.92,46957.42,187245.161
603060.SH,20161223,39.6,40.21,36.33,36.58,39.71,-3.13,-7.88,87306.89,331760.426
603060.SH,20161226,36.58,37.53,35.02,37.18,36.58,0.6,1.64,60568.78,219982.42
603060.SH,20161227,36.9,37.19,36.36,36.43,37.18,-0.75,-2.02,37995.43,139305.709
603060.SH,20161228,36.41,36.5,35.3,35.43,36.43,-1.0,-2.75,43418.38,155446.199
603060.SH,20161229,35.31,35.88,35.08,35.22,35.43,-0.21,-0.59,34899.94,123832.352
