ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603089.SH,20170126,16.75,16.75,16.75,16.75,11.63,5.12,44.02,175.04,293.192
603089.SH,20170203,18.43,18.43,18.43,18.43,16.75,1.68,10.03,48.37,89.146
603089.SH,20170206,20.27,20.27,20.27,20.27,18.43,1.84,9.98,81.01,164.207
603089.SH,20170207,22.3,22.3,22.3,22.3,20.27,2.03,10.01,194.25,433.178
603089.SH,20170208,24.53,24.53,24.53,24.53,22.3,2.23,10.0,316.08,775.344
603089.SH,20170209,26.98,26.98,26.98,26.98,24.53,2.45,9.99,264.74,714.269
603089.SH,20170210,29.68,29.68,29.68,29.68,26.98,2.7,10.01,327.0,970.536
603089.SH,20170213,32.65,32.65,32.65,32.65,29.68,2.97,10.01,946.37,3089.898
603089.SH,20170214,35.92,35.92,35.92,35.92,32.65,3.27,10.02,1070.04,3843.584
603089.SH,20170215,39.51,39.51,39.51,39.51,35.92,3.59,9.99,770.14,3042.823
603089.SH,20170216,43.46,43.46,43.46,43.46,39.51,3.95,10.0,1326.05,5763.013
603089.SH,20170217,47.81,47.81,44.01,44.25,43.46,0.79,1.82,169015.19,776613.808
603089.SH,20170220,43.88,43.88,39.83,39.85,44.25,-4.4,-9.94,107728.18,436914.974
603089.SH,20170221,39.05,41.36,39.05,40.38,39.85,0.53,1.33,71710.38,290686.97
603089.SH,20170222,39.99,41.2,39.0,40.87,40.38,0.49,1.21,60634.18,243398.8
603089.SH,20170223,40.55,42.93,40.21,42.62,40.87,1.75,4.28,79236.58,331188.151
603089.SH,20170224,42.22,43.52,41.59,42.62,42.62,0.0,0.0,66504.27,283179.317
603089.SH,20170227,42.21,43.35,42.21,42.78,42.62,0.16,0.38,43650.48,187093.393
603089.SH,20170228,42.7,43.19,41.15,43.1,42.78,0.32,0.75,52376.54,221618.824
603089.SH,20170301,42.74,43.8,42.51,42.62,43.1,-0.48,-1.11,40706.97,175228.601
603089.SH,20170302,42.43,44.87,42.43,44.32,42.62,1.7,3.99,75585.96,330999.807
603089.SH,20170303,44.27,45.38,43.28,45.09,44.32,0.77,1.74,71263.03,316766.409
603089.SH,20170306,44.0,45.0,43.33,44.81,45.09,-0.28,-0.62,62712.65,277521.501
603089.SH,20170307,44.55,45.43,44.42,45.11,44.81,0.3,0.67,52926.5,237761.314
603089.SH,20170308,45.34,45.97,44.4,44.79,45.11,-0.32,-0.71,49849.18,224408.324
603089.SH,20170309,44.8,44.8,42.68,42.73,44.79,-2.06,-4.6,44803.37,194332.548
603089.SH,20170310,42.64,43.44,42.64,42.78,42.73,0.05,0.12,27904.67,120062.886
603089.SH,20170313,42.5,43.82,41.81,43.8,42.78,1.02,2.38,35885.28,154036.954
603089.SH,20170314,43.7,44.99,43.67,44.53,43.8,0.73,1.67,48090.4,213658.708
603089.SH,20170315,44.34,44.95,43.46,44.57,44.53,0.04,0.09,32225.05,142976.667
603089.SH,20170316,44.8,49.03,44.8,49.03,44.57,4.46,10.01,103830.95,488797.499
603089.SH,20170317,49.7,50.5,47.5,47.6,49.03,-1.43,-2.92,97393.58,475716.623
603089.SH,20170320,47.9,49.26,46.55,48.76,47.6,1.16,2.44,68075.48,327365.644
603089.SH,20170321,48.75,49.25,48.05,48.97,48.76,0.21,0.43,58782.86,286135.177
603089.SH,20170322,48.52,51.25,48.11,50.04,48.97,1.07,2.19,80933.81,403401.067
603089.SH,20170323,50.13,50.35,45.68,47.7,50.04,-2.34,-4.68,71094.9,344361.322
603089.SH,20170324,47.3,48.8,47.26,48.75,47.7,1.05,2.2,40601.46,195549.646
603089.SH,20170327,49.0,50.35,48.58,49.91,48.75,1.16,2.38,51750.52,255935.653
603089.SH,20170328,50.01,50.48,48.0,48.22,49.91,-1.69,-3.39,39654.73,195470.605
603089.SH,20170329,47.8,48.09,44.04,44.94,48.22,-3.28,-6.8,52988.3,242629.805
603089.SH,20170330,44.37,44.37,42.25,43.64,44.94,-1.3,-2.89,43362.8,187473.933
603089.SH,20170331,43.4,44.6,42.02,42.63,43.64,-1.01,-2.31,25870.65,112459.262
603089.SH,20170405,42.56,44.0,40.05,43.89,42.63,1.26,2.96,29832.49,126580.614
603089.SH,20170406,43.5,44.46,43.31,43.69,43.89,-0.2,-0.46,21198.99,93187.751
603089.SH,20170407,43.41,43.88,41.67,41.95,43.69,-1.74,-3.98,20285.71,86756.52
603089.SH,20170410,41.25,41.66,37.86,37.9,41.95,-4.05,-9.65,32038.41,127216.197
603089.SH,20170411,37.6,39.28,37.6,39.07,37.9,1.17,3.09,23516.67,91110.871
603089.SH,20170412,39.16,40.35,38.58,39.67,39.07,0.6,1.54,24819.66,98005.668
603089.SH,20170413,39.25,40.2,39.01,39.96,39.67,0.29,0.73,15700.96,62403.21
603089.SH,20170414,39.59,39.87,38.5,38.59,39.96,-1.37,-3.43,10847.25,42379.242
603089.SH,20170417,36.91,36.91,35.27,35.49,38.59,-3.1,-8.03,18361.66,66087.83
603089.SH,20170418,35.5,36.1,34.58,35.45,35.19,0.26,0.74,11225.96,39806.292
603089.SH,20170419,35.14,36.84,35.04,36.59,35.45,1.14,3.22,16093.1,58144.031
603089.SH,20170420,36.6,36.98,35.6,36.1,36.59,-0.49,-1.34,9655.19,35082.527
603089.SH,20170421,35.83,36.5,35.83,36.08,36.1,-0.02,-0.06,6951.39,25185.631
603089.SH,20170424,36.01,36.21,34.52,36.07,36.08,-0.01,-0.03,10915.11,38493.52
603089.SH,20170425,36.0,36.7,35.81,35.92,36.07,-0.15,-0.42,9354.51,33929.788
603089.SH,20170426,36.0,36.65,35.6,36.04,35.92,0.12,0.33,10371.43,37518.76
603089.SH,20170427,36.19,37.51,34.8,37.1,36.04,1.06,2.94,20846.27,75646.121
603089.SH,20170428,36.82,37.47,36.75,37.11,37.1,0.01,0.03,12931.09,48000.887
