ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603127.SH,20170825,18.01,18.01,18.01,18.01,12.51,5.5,43.96,88.46,159.316
603127.SH,20170828,19.81,19.81,19.81,19.81,18.01,1.8,9.99,35.0,69.335
603127.SH,20170829,21.79,21.79,21.79,21.79,19.81,1.98,10.0,44.0,95.876
603127.SH,20170830,23.97,23.97,23.97,23.97,21.79,2.18,10.0,81.46,195.26
603127.SH,20170831,26.37,26.37,26.37,26.37,23.97,2.4,10.01,155.86,411.003
603127.SH,20170901,29.01,29.01,29.01,29.01,26.37,2.64,10.01,133.0,385.833
603127.SH,20170904,31.91,31.91,31.91,31.91,29.01,2.9,10.0,340.97,1088.035
603127.SH,20170905,35.1,35.1,35.1,35.1,31.91,3.19,10.0,681.05,2390.486
603127.SH,20170906,38.61,38.61,38.61,38.61,35.1,3.51,10.0,403.43,1557.643
603127.SH,20170907,42.47,42.47,42.47,42.47,38.61,3.86,10.0,999.98,4246.915
603127.SH,20170908,46.72,46.72,46.72,46.72,42.47,4.25,10.01,1567.67,7324.154
603127.SH,20170911,51.39,51.39,51.39,51.39,46.72,4.67,10.0,754.63,3878.044
603127.SH,20170912,56.53,56.53,56.53,56.53,51.39,5.14,10.0,965.42,5457.519
603127.SH,20170913,62.18,62.18,62.18,62.18,56.53,5.65,9.99,4280.88,26618.512
603127.SH,20170914,68.4,68.4,68.4,68.4,62.18,6.22,10.0,4155.22,28421.705
603127.SH,20170915,75.24,75.24,75.24,75.24,68.4,6.84,10.0,3439.18,25876.39
603127.SH,20170918,74.0,74.0,67.72,67.72,75.24,-7.52,-9.99,53895.02,373672.304
603127.SH,20170919,62.72,71.93,62.51,67.81,67.72,0.09,0.13,103339.6,686435.944
603127.SH,20170920,65.88,67.59,64.0,65.62,67.81,-2.19,-3.23,66565.04,437727.787
603127.SH,20170921,65.72,67.72,63.52,64.06,65.62,-1.56,-2.38,58219.43,382478.363
603127.SH,20170922,63.05,63.84,60.86,62.26,64.06,-1.8,-2.81,46163.76,287285.006
603127.SH,20170925,62.55,64.6,61.68,63.6,62.26,1.34,2.15,42828.02,271027.458
603127.SH,20170926,63.95,65.19,57.24,59.13,63.6,-4.47,-7.03,56160.52,335654.896
603127.SH,20170927,57.7,58.58,57.22,58.11,59.13,-1.02,-1.73,28188.72,163129.816
603127.SH,20170928,57.9,58.89,57.51,57.7,58.11,-0.41,-0.71,16891.66,98236.845
603127.SH,20170929,57.63,60.82,57.63,59.0,57.7,1.3,2.25,22887.1,134861.378
603127.SH,20171009,59.12,59.75,57.37,57.68,59.0,-1.32,-2.24,17504.29,101500.483
603127.SH,20171010,58.2,62.0,57.98,61.54,57.68,3.86,6.69,35125.96,212502.831
603127.SH,20171011,62.0,64.75,58.9,59.14,61.54,-2.4,-3.9,36273.54,224311.817
603127.SH,20171012,57.77,57.95,55.56,56.19,59.14,-2.95,-4.99,27686.91,156229.573
603127.SH,20171013,56.25,57.68,55.95,56.75,56.19,0.56,1.0,14232.03,81019.363
603127.SH,20171016,56.5,58.17,56.37,56.59,56.75,-0.16,-0.28,15606.37,89340.457
603127.SH,20171017,56.2,57.2,55.55,56.81,56.59,0.22,0.39,9459.37,53333.44
603127.SH,20171018,57.08,59.9,56.81,58.05,56.81,1.24,2.18,22482.93,131484.819
603127.SH,20171019,57.57,58.84,56.6,58.64,58.05,0.59,1.02,17953.73,104142.477
603127.SH,20171020,58.0,58.78,56.9,57.65,58.64,-0.99,-1.69,12719.99,73308.584
603127.SH,20171023,57.8,59.63,57.57,59.56,57.65,1.91,3.31,17961.41,105786.186
603127.SH,20171024,59.58,61.68,58.67,60.48,59.56,0.92,1.54,21456.41,129588.018
603127.SH,20171025,60.4,60.86,58.54,60.71,60.48,0.23,0.38,20485.18,122449.79
603127.SH,20171026,60.6,62.3,60.21,61.61,60.71,0.9,1.48,18726.35,115490.636
603127.SH,20171027,60.66,64.99,60.66,63.88,61.61,2.27,3.68,27090.18,170778.398
