ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603128.SH,20150105,14.44,15.08,14.21,14.65,14.56,0.09,0.62,64322.01,94892.715
603128.SH,20150106,14.65,15.37,14.36,15.26,14.65,0.61,4.16,89633.03,134920.218
603128.SH,20150107,15.18,15.59,15.07,15.12,15.26,-0.14,-0.92,56666.15,86449.199
603128.SH,20150108,15.33,16.19,15.25,15.49,15.12,0.37,2.45,106573.98,167153.843
603128.SH,20150109,15.2,15.5,14.8,14.92,15.49,-0.57,-3.68,68257.67,103233.428
603128.SH,20150112,14.89,14.89,14.01,14.25,14.92,-0.67,-4.49,46884.21,67550.449
603128.SH,20150113,14.28,14.59,14.2,14.5,14.25,0.25,1.75,22336.23,32236.113
603128.SH,20150114,14.43,14.61,14.07,14.24,14.5,-0.26,-1.79,26480.79,37721.393
603128.SH,20150115,14.24,14.37,14.07,14.28,14.24,0.04,0.28,22237.19,31592.997
603128.SH,20150116,14.1,14.3,13.99,14.1,14.28,-0.18,-1.26,70470.43,99465.217
603128.SH,20150119,13.99,14.28,13.51,13.7,14.1,-0.4,-2.84,49483.92,68668.041
603128.SH,20150120,13.99,14.27,13.78,14.15,13.7,0.45,3.28,39377.69,55451.627
603128.SH,20150121,14.23,14.99,14.22,14.7,14.15,0.55,3.89,72847.94,107043.708
603128.SH,20150122,14.45,14.93,14.45,14.73,14.7,0.03,0.2,48739.4,71710.466
603128.SH,20150123,14.73,15.33,14.71,14.79,14.73,0.06,0.41,69150.78,103818.227
603128.SH,20150126,14.8,15.49,14.41,15.47,14.79,0.68,4.6,87513.28,132272.683
603128.SH,20150127,15.58,15.68,14.95,15.18,15.47,-0.29,-1.87,75579.22,115643.982
603128.SH,20150128,15.1,15.12,14.7,14.9,15.18,-0.28,-1.84,53096.47,78787.256
603128.SH,20150129,14.81,15.14,14.66,14.99,14.9,0.09,0.6,47628.7,71089.127
603128.SH,20150130,15.24,16.15,15.0,15.3,14.99,0.31,2.07,154415.53,241804.117
603128.SH,20150202,14.96,16.05,14.6,15.64,15.3,0.34,2.22,115920.44,179487.262
603128.SH,20150203,15.52,17.2,15.52,17.2,15.64,1.56,9.97,191810.38,319063.34
603128.SH,20150204,17.29,17.29,16.57,16.74,17.2,-0.46,-2.67,131159.46,221100.846
603128.SH,20150205,16.69,17.08,16.4,16.61,16.74,-0.13,-0.78,100835.54,169290.878
603128.SH,20150206,16.58,17.28,15.94,16.75,16.61,0.14,0.84,109139.72,180522.198
603128.SH,20150209,16.8,16.99,16.16,16.38,16.75,-0.37,-2.21,55520.17,91457.595
603128.SH,20150210,16.42,16.49,16.1,16.41,16.38,0.03,0.18,35178.14,57206.767
603128.SH,20150211,16.4,16.77,16.31,16.57,16.41,0.16,0.98,34030.5,56400.591
603128.SH,20150212,16.62,17.1,16.1,17.07,16.57,0.5,3.02,64101.31,106029.893
