ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603130.SH,20221118,23.66,28.4,23.66,28.4,19.72,8.68,44.0162,89109.01,252107.914
603130.SH,20221121,29.88,31.24,29.52,31.24,28.4,2.84,10.0,116902.39,359797.973
603130.SH,20221122,34.36,34.36,33.8,34.36,31.24,3.12,9.9872,58177.55,199771.571
603130.SH,20221123,35.78,37.8,30.92,37.8,34.36,3.44,10.0116,237726.6,802967.884
603130.SH,20221124,39.0,41.58,39.0,41.58,37.8,3.78,10.0,256705.92,1057712.47
603130.SH,20221125,37.44,45.02,37.43,38.5,41.58,-3.08,-7.4074,260679.66,1051109.002
603130.SH,20221128,34.66,36.99,34.65,34.65,38.5,-3.85,-10.0,187242.91,662567.081
603130.SH,20221129,33.5,35.49,33.46,34.85,34.65,0.2,0.5772,154909.04,534372.485
603130.SH,20221130,34.05,34.71,32.67,32.8,34.85,-2.05,-5.8824,149407.04,501788.254
603130.SH,20221201,32.8,34.87,32.51,34.12,32.8,1.32,4.0244,173107.04,584500.887
603130.SH,20221202,33.37,37.53,33.1,37.53,34.12,3.41,9.9941,171435.68,607601.11
603130.SH,20221205,37.55,40.38,36.01,36.34,37.53,-1.19,-3.1708,235825.25,900731.668
603130.SH,20221206,35.0,38.0,35.0,37.13,36.34,0.79,2.1739,159996.32,588011.83
603130.SH,20221207,36.38,38.58,35.35,38.01,37.13,0.88,2.3701,173467.02,650437.032
603130.SH,20221208,37.06,37.52,34.38,34.5,38.01,-3.51,-9.2344,144249.06,516601.97
603130.SH,20221209,33.61,34.01,32.55,32.75,34.5,-1.75,-5.0725,108959.66,360452.088
603130.SH,20221212,32.0,33.08,31.89,32.16,32.75,-0.59,-1.8015,65241.58,211048.017
603130.SH,20221213,32.2,32.53,31.02,31.22,32.16,-0.94,-2.9229,78496.19,248792.33
603130.SH,20221214,30.66,33.5,30.48,33.0,31.22,1.78,5.7015,114971.88,367938.14
603130.SH,20221215,32.5,32.5,31.25,31.3,33.0,-1.7,-5.1515,79608.11,253030.279
603130.SH,20221216,30.88,30.88,29.73,29.73,31.3,-1.57,-5.016,71852.92,216207.117
603130.SH,20221219,29.72,29.95,28.8,29.28,29.73,-0.45,-1.5136,49734.93,145097.695
