ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603163.SH,20221013,32.7,39.24,32.7,39.24,27.25,11.99,44.0,13954.22,54480.567
603163.SH,20221014,38.94,38.94,35.32,35.32,39.24,-3.92,-9.9898,42169.42,152970.383
603163.SH,20221017,32.03,35.0,32.03,34.42,35.32,-0.9,-2.5481,73595.64,245970.316
603163.SH,20221018,33.54,34.14,32.8,33.37,34.42,-1.05,-3.0506,59716.73,198679.307
603163.SH,20221019,33.0,33.3,32.14,32.23,33.37,-1.14,-3.4162,42558.68,138995.756
603163.SH,20221020,31.75,33.8,30.95,32.95,32.23,0.72,2.2339,60522.19,196391.919
603163.SH,20221021,32.3,32.45,31.17,31.22,32.95,-1.73,-5.2504,40896.73,129539.775
603163.SH,20221024,31.15,31.81,30.3,30.35,31.22,-0.87,-2.7867,29873.62,92777.072
603163.SH,20221025,30.05,30.28,29.0,29.27,30.35,-1.08,-3.5585,30241.33,88892.676
603163.SH,20221026,29.37,29.89,29.2,29.65,29.27,0.38,1.2983,28310.82,83825.404
603163.SH,20221027,29.7,32.62,29.25,30.68,29.65,1.03,3.4739,56160.97,173634.702
603163.SH,20221028,30.23,30.68,29.15,29.57,30.68,-1.11,-3.618,38750.98,115659.96
603163.SH,20221031,28.88,29.79,28.85,29.49,29.57,-0.08,-0.2705,24007.26,70532.018
603163.SH,20221101,29.45,30.23,29.29,30.11,29.49,0.62,2.1024,28358.03,84732.367
603163.SH,20221102,29.88,30.85,29.85,30.11,30.11,0.0,0.0,34197.0,103445.447
603163.SH,20221103,29.88,31.3,29.7,30.55,30.11,0.44,1.4613,33487.89,102008.63
603163.SH,20221104,30.32,31.2,30.08,30.97,30.55,0.42,1.3748,30901.33,95365.424
603163.SH,20221107,30.95,31.6,30.72,31.36,30.97,0.39,1.2593,28098.5,88010.082
603163.SH,20221108,32.0,32.65,31.3,31.82,31.36,0.46,1.4668,45269.54,144671.563
603163.SH,20221109,32.03,35.0,32.03,35.0,31.82,3.18,9.9937,76689.19,260365.271
603163.SH,20221110,36.8,38.49,33.43,33.95,35.0,-1.05,-3.0,108720.02,395461.083
603163.SH,20221111,33.96,36.16,33.38,34.99,33.95,1.04,3.0633,73415.19,254573.214
603163.SH,20221114,34.0,34.0,32.2,33.13,34.99,-1.86,-5.3158,40489.99,133478.182
603163.SH,20221115,33.55,36.44,32.8,35.9,33.13,2.77,8.361,90405.63,316829.015
603163.SH,20221116,34.9,35.76,33.84,34.3,35.9,-1.6,-4.4568,55674.36,193133.893
603163.SH,20221117,34.38,35.34,33.8,34.85,34.3,0.55,1.6035,43805.5,151562.801
