ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603182.SH,20220909,12.66,15.19,12.66,15.19,10.55,4.64,43.981,10496.67,15901.725
603182.SH,20220913,16.71,16.71,16.71,16.71,15.19,1.52,10.0066,2287.14,3821.811
603182.SH,20220914,18.38,18.38,18.38,18.38,16.71,1.67,9.994,3370.85,6195.622
603182.SH,20220915,20.22,20.22,20.22,20.22,18.38,1.84,10.0109,3377.12,6828.537
603182.SH,20220916,22.24,22.24,22.24,22.24,20.22,2.02,9.9901,84822.11,188644.373
603182.SH,20220919,22.24,24.4,21.17,21.17,22.24,-1.07,-4.8112,298519.43,682348.698
603182.SH,20220920,20.0,20.49,19.05,19.5,21.17,-1.67,-7.8885,247425.36,485319.438
603182.SH,20220921,19.3,21.38,19.13,20.13,19.5,0.63,3.2308,226430.24,457894.306
603182.SH,20220922,19.51,22.14,19.25,22.14,20.13,2.01,9.9851,221159.19,462029.525
603182.SH,20220923,21.7,21.89,19.93,19.93,22.14,-2.21,-9.9819,209036.97,431485.336
603182.SH,20220926,19.3,20.3,18.74,18.83,19.93,-1.1,-5.5193,146969.36,287518.25
603182.SH,20220927,19.19,19.96,18.52,19.66,18.83,0.83,4.4079,141442.53,273103.736
603182.SH,20220928,19.3,19.76,18.19,18.31,19.66,-1.35,-6.8667,120918.89,229274.334
603182.SH,20220929,18.63,19.19,17.92,17.99,18.31,-0.32,-1.7477,94848.43,175266.951
603182.SH,20220930,18.05,18.47,17.02,17.23,17.99,-0.76,-4.2246,91558.2,161399.625
603182.SH,20221010,17.29,17.77,17.11,17.31,17.23,0.08,0.4643,58711.92,101976.392
603182.SH,20221011,17.2,17.3,16.58,16.96,17.31,-0.35,-2.022,56916.28,95920.4
603182.SH,20221012,17.06,17.65,16.85,17.61,16.96,0.65,3.8325,73843.23,127695.716
603182.SH,20221013,17.44,18.2,17.35,17.73,17.61,0.12,0.6814,76717.81,136551.744
603182.SH,20221014,17.89,18.36,17.7,17.91,17.73,0.18,1.0152,70792.92,127821.003
603182.SH,20221017,17.73,18.29,17.72,18.06,17.91,0.15,0.8375,46532.9,83675.186
603182.SH,20221018,18.1,18.45,17.89,18.03,18.06,-0.03,-0.1661,68921.79,124895.7
603182.SH,20221019,18.0,18.22,17.51,17.51,18.03,-0.52,-2.8841,58480.82,103799.941
603182.SH,20221020,17.53,18.06,17.45,17.76,17.51,0.25,1.4278,58405.2,103824.023
603182.SH,20221021,17.66,17.77,17.17,17.26,17.76,-0.5,-2.8153,51640.96,89803.618
603182.SH,20221024,17.31,17.57,16.88,16.98,17.26,-0.28,-1.6222,42319.31,72899.498
603182.SH,20221025,16.94,17.13,16.28,16.71,16.98,-0.27,-1.5901,50162.02,83244.904
603182.SH,20221026,16.55,17.14,16.53,16.94,16.71,0.23,1.3764,52922.14,89391.227
603182.SH,20221027,16.97,17.12,16.5,16.55,16.94,-0.39,-2.3022,49356.82,82892.444
603182.SH,20221028,16.53,16.54,15.63,15.86,16.55,-0.69,-4.1692,47407.99,75978.654
603182.SH,20221031,16.25,17.29,16.2,16.62,15.86,0.76,4.7919,58407.35,97378.552
603182.SH,20221101,16.64,17.19,16.6,17.03,16.62,0.41,2.4669,52155.75,87958.711
603182.SH,20221102,17.03,17.49,16.85,17.26,17.03,0.23,1.3506,53320.32,92071.282
603182.SH,20221103,17.21,17.83,17.1,17.46,17.26,0.2,1.1587,53168.31,92749.175
603182.SH,20221104,17.32,17.9,17.31,17.67,17.46,0.21,1.2027,55507.1,98037.86
603182.SH,20221107,17.63,17.94,17.56,17.85,17.67,0.18,1.0187,34677.7,61634.132
603182.SH,20221108,17.88,18.7,17.88,18.38,17.85,0.53,2.9692,73627.06,134461.113
603182.SH,20221109,18.46,18.49,17.83,18.13,18.38,-0.25,-1.3602,45714.42,82636.962
