ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603193.SH,20231017,22.0,26.68,22.0,22.08,17.38,4.7,27.0426,377206.6,894301.154
603193.SH,20231018,19.88,20.44,18.38,18.4,22.08,-3.68,-16.6667,274106.86,524172.75
603193.SH,20231019,17.91,19.01,17.66,18.19,18.4,-0.21,-1.1413,198953.21,368424.231
603193.SH,20231020,17.5,19.33,16.9,18.9,18.19,0.71,3.9032,246509.74,439346.421
603193.SH,20231023,18.0,18.95,17.3,17.33,18.9,-1.57,-8.3069,173219.08,313638.111
603193.SH,20231024,16.91,17.63,16.45,16.96,17.33,-0.37,-2.135,155238.6,263421.342
603193.SH,20231025,17.0,18.16,16.92,17.84,16.96,0.88,5.1887,185124.58,324728.096
603193.SH,20231026,17.42,18.57,17.31,18.3,17.84,0.46,2.5785,169689.99,305587.226
603193.SH,20231027,18.0,19.73,17.88,18.8,18.3,0.5,2.7322,219218.77,413710.52
603193.SH,20231030,18.82,19.71,18.81,18.98,18.8,0.18,0.9574,181345.55,347738.303
603193.SH,20231031,18.85,19.66,18.68,19.31,18.98,0.33,1.7387,154716.08,297773.725
603193.SH,20231101,19.0,19.0,17.85,18.12,19.31,-1.19,-6.1626,138337.08,251731.663
603193.SH,20231102,17.96,18.13,17.47,17.5,18.12,-0.62,-3.4216,91731.63,163060.173
603193.SH,20231103,17.45,18.11,17.42,17.84,17.5,0.34,1.9429,72124.46,128926.202
603193.SH,20231106,17.8,18.77,17.77,18.45,17.84,0.61,3.4193,78806.36,144909.381
603193.SH,20231107,18.39,18.65,18.07,18.47,18.45,0.02,0.1084,68774.79,126021.609
603193.SH,20231108,18.42,18.47,17.96,18.15,18.47,-0.32,-1.7325,61851.91,112168.654
603193.SH,20231109,18.2,18.24,17.77,17.89,18.15,-0.26,-1.4325,48184.22,86531.132
603193.SH,20231110,17.8,18.11,17.57,17.87,17.89,-0.02,-0.1118,42214.7,75449.446
603193.SH,20231113,17.97,18.18,17.8,17.89,17.87,0.02,0.1119,38923.63,69814.463
603193.SH,20231114,17.96,18.19,17.82,18.13,17.89,0.24,1.3415,56825.01,102683.981
603193.SH,20231115,18.19,18.23,17.92,18.05,18.13,-0.08,-0.4413,48545.47,87430.001
603193.SH,20231116,17.95,18.0,17.61,17.67,18.05,-0.38,-2.1053,42053.74,74562.701
603193.SH,20231117,17.64,17.79,17.57,17.63,17.67,-0.04,-0.2264,29296.84,51700.884
603193.SH,20231120,17.65,17.82,17.54,17.81,17.63,0.18,1.021,34286.4,60700.652
603193.SH,20231121,17.81,17.88,17.6,17.67,17.81,-0.14,-0.7861,33085.11,58708.553
603193.SH,20231122,17.6,17.75,17.4,17.43,17.67,-0.24,-1.3582,31552.59,55310.269
603193.SH,20231123,17.49,18.24,17.43,18.15,17.43,0.72,4.1308,79655.47,142663.937
603193.SH,20231124,18.0,18.1,17.49,17.58,18.15,-0.57,-3.1405,51145.97,90593.373
603193.SH,20231127,17.64,17.67,17.22,17.38,17.58,-0.2,-1.1377,35113.99,61008.318
603193.SH,20231128,17.45,17.56,17.28,17.55,17.38,0.17,0.9781,26851.99,46892.172
603193.SH,20231129,17.6,17.6,17.25,17.27,17.55,-0.28,-1.5954,25456.82,44226.286
603193.SH,20231130,17.28,17.31,16.84,17.05,17.27,-0.22,-1.2739,35083.24,59831.103
603193.SH,20231201,16.96,17.19,16.91,17.13,17.05,0.08,0.4692,20941.71,35730.919
603193.SH,20231204,17.2,17.26,17.01,17.18,17.13,0.05,0.2919,23760.53,40771.798
603193.SH,20231205,17.12,17.15,16.91,17.02,17.18,-0.16,-0.9313,18611.93,31689.402
603193.SH,20231206,17.0,17.26,16.92,17.16,17.02,0.14,0.8226,28762.44,49218.44
603193.SH,20231207,17.08,17.12,16.66,16.75,17.16,-0.41,-2.3893,32216.18,54064.265
603193.SH,20231208,16.7,16.76,16.43,16.44,16.75,-0.31,-1.8507,29698.18,49198.36
603193.SH,20231211,16.35,16.67,16.21,16.67,16.44,0.23,1.399,21009.31,34638.728
603193.SH,20231212,16.66,16.76,16.62,16.72,16.67,0.05,0.2999,13043.18,21787.365
603193.SH,20231213,16.88,16.9,16.54,16.63,16.72,-0.09,-0.5383,13741.83,22921.969
603193.SH,20231214,16.6,16.82,16.6,16.63,16.63,0.0,0.0,15970.91,26708.048
603193.SH,20231215,16.64,16.78,16.42,16.54,16.63,-0.09,-0.5412,18123.78,29945.254
603193.SH,20231218,16.5,16.55,16.17,16.21,16.54,-0.33,-1.9952,14702.1,23986.901
603193.SH,20231219,16.25,16.42,16.15,16.42,16.21,0.21,1.2955,16162.78,26355.397
603193.SH,20231220,16.63,16.93,16.45,16.57,16.42,0.15,0.9135,23373.49,38942.657
603193.SH,20231221,16.4,17.74,16.17,17.18,16.57,0.61,3.6814,70043.59,119122.584
603193.SH,20231222,17.25,18.9,17.04,18.88,17.18,1.7,9.8952,261861.51,481918.052
603193.SH,20231225,18.76,18.76,17.07,17.67,18.88,-1.21,-6.4089,217100.7,383037.218
603193.SH,20231226,18.18,18.75,17.88,18.38,17.67,0.71,4.0181,212790.93,388513.941
603193.SH,20231227,17.99,18.18,17.4,18.05,18.38,-0.33,-1.7954,132893.23,236474.828
603193.SH,20231228,17.86,18.3,17.61,18.06,18.05,0.01,0.0554,117510.02,211253.904
603193.SH,20231229,17.97,18.37,17.81,18.18,18.06,0.12,0.6645,101668.31,184150.808
603193.SH,20240102,18.1,19.44,18.01,18.66,18.18,0.48,2.6403,146586.39,271877.321
603193.SH,20240103,18.49,18.49,17.62,18.17,18.66,-0.49,-2.6259,97413.89,175615.768
603193.SH,20240104,18.17,18.66,17.85,18.19,18.17,0.02,0.1101,74737.16,136212.482
603193.SH,20240105,18.03,18.25,17.46,17.54,18.19,-0.65,-3.5734,68338.1,121807.063
603193.SH,20240108,17.45,17.69,17.08,17.08,17.54,-0.46,-2.6226,46335.72,80232.926
603193.SH,20240109,17.0,17.39,16.95,17.13,17.08,0.05,0.2927,40711.99,69802.317
603193.SH,20240110,17.0,18.44,16.72,18.14,17.13,1.01,5.8961,140940.8,252975.849
603193.SH,20240111,17.83,18.36,17.79,18.33,18.14,0.19,1.0474,91570.71,165763.427
603193.SH,20240112,18.17,18.6,18.01,18.09,18.33,-0.24,-1.3093,76421.87,139899.836
603193.SH,20240115,17.9,18.66,17.9,18.42,18.09,0.33,1.8242,78777.46,144702.348
603193.SH,20240116,18.32,18.5,17.7,17.94,18.42,-0.48,-2.6059,62486.25,111900.659
603193.SH,20240117,17.77,19.06,17.72,18.0,17.94,0.06,0.3344,100878.82,185060.58
603193.SH,20240118,17.4,17.9,16.91,17.46,18.0,-0.54,-3.0,89208.35,154743.086
603193.SH,20240119,17.2,17.27,16.71,16.74,17.46,-0.72,-4.1237,65350.46,110530.916
603193.SH,20240122,16.6,16.61,15.21,15.4,16.74,-1.34,-8.0048,61932.16,99069.908
603193.SH,20240123,15.5,15.68,14.94,15.17,15.4,-0.23,-1.4935,36363.26,55295.121
603193.SH,20240124,15.18,15.69,14.91,15.52,15.17,0.35,2.3072,46167.59,70944.567
603193.SH,20240125,15.96,17.04,15.8,16.82,15.52,1.3,8.3763,82540.95,135807.309
603193.SH,20240126,16.8,17.14,16.39,16.55,16.82,-0.27,-1.6052,51729.45,86637.194
603193.SH,20240129,16.71,16.85,15.98,16.08,16.55,-0.47,-2.8399,38539.05,63119.269
603193.SH,20240130,15.98,16.11,15.37,15.46,16.08,-0.62,-3.8557,28358.96,44500.625
603193.SH,20240131,15.42,15.78,14.7,14.78,15.46,-0.68,-4.3984,37145.3,56097.214
603193.SH,20240201,14.58,14.94,14.38,14.6,14.78,-0.18,-1.2179,28956.0,42560.565
603193.SH,20240202,14.56,14.75,13.4,13.83,14.6,-0.77,-5.274,44945.4,63330.406
603193.SH,20240205,13.69,13.69,12.45,12.45,13.83,-1.38,-9.9783,56175.14,71610.052
603193.SH,20240206,12.0,13.7,11.92,13.49,12.45,1.04,8.3534,53003.01,68786.148
603193.SH,20240207,13.32,14.08,12.2,12.83,13.49,-0.66,-4.8925,62128.75,82599.135
603193.SH,20240208,12.87,13.73,12.58,13.64,12.83,0.81,6.3133,70206.52,91972.729
603193.SH,20240219,13.65,14.25,13.59,13.96,13.64,0.32,2.346,55211.77,76898.012
603193.SH,20240220,13.95,14.5,13.68,14.46,13.96,0.5,3.5817,49701.31,70774.947
603193.SH,20240221,14.27,15.29,14.23,14.89,14.46,0.43,2.9737,50502.9,75204.987
603193.SH,20240222,14.81,15.38,14.79,15.08,14.89,0.19,1.276,34109.08,51470.617
603193.SH,20240223,14.99,15.99,14.99,15.89,15.08,0.81,5.3714,45925.31,71571.476
603193.SH,20240226,15.85,16.28,15.66,15.94,15.89,0.05,0.3147,27799.88,44372.702
603193.SH,20240227,15.84,16.49,15.79,16.36,15.94,0.42,2.6349,32735.93,53225.592
603193.SH,20240228,16.31,16.46,15.36,15.36,16.36,-1.0,-6.1125,43784.49,69853.816
603193.SH,20240229,15.36,16.16,15.36,16.13,15.36,0.77,5.013,34428.38,54336.606
603193.SH,20240301,16.13,17.18,16.13,16.94,16.13,0.81,5.0217,45156.41,75957.494
603193.SH,20240304,16.8,17.14,16.7,17.11,16.94,0.17,1.0035,24418.9,41454.564
603193.SH,20240305,16.83,17.11,16.39,16.43,17.11,-0.68,-3.9743,24460.0,40724.017
603193.SH,20240306,16.33,16.61,16.02,16.11,16.43,-0.32,-1.9477,26935.93,43655.308
603193.SH,20240307,16.11,16.4,15.63,15.7,16.11,-0.41,-2.545,25660.09,40821.945
603193.SH,20240308,15.61,15.88,15.53,15.72,15.7,0.02,0.1274,17806.93,27917.323
603193.SH,20240311,15.93,16.32,15.54,16.3,15.72,0.58,3.6896,30325.22,48564.294
603193.SH,20240312,16.34,17.08,16.26,17.04,16.3,0.74,4.5399,35594.59,59501.607
603193.SH,20240313,16.95,17.12,16.73,16.8,17.04,-0.24,-1.4085,19121.19,32260.476
603193.SH,20240314,16.7,17.12,16.46,16.66,16.8,-0.14,-0.8333,15729.68,26380.184
603193.SH,20240315,16.51,16.91,16.51,16.66,16.66,0.0,0.0,14172.18,23683.028
603193.SH,20240318,16.8,16.81,16.53,16.72,16.66,0.06,0.3601,15490.57,25792.127
603193.SH,20240319,16.69,16.9,16.54,16.56,16.72,-0.16,-0.9569,24207.7,40451.393
603193.SH,20240320,16.73,16.9,16.57,16.71,16.56,0.15,0.9058,21502.19,36063.597
603193.SH,20240321,16.86,17.02,16.4,16.52,16.71,-0.19,-1.137,22195.88,36914.428
603193.SH,20240322,16.52,16.7,15.96,16.07,16.52,-0.45,-2.724,33039.09,53568.59
603193.SH,20240325,16.07,16.07,15.3,15.39,16.07,-0.68,-4.2315,33087.23,51753.497
603193.SH,20240326,15.31,15.58,15.08,15.32,15.39,-0.07,-0.4548,23777.36,36328.095
603193.SH,20240327,15.32,15.39,14.86,14.89,15.32,-0.43,-2.8068,19519.0,29458.614
603193.SH,20240328,15.01,15.7,14.82,15.69,14.89,0.8,5.3727,32956.38,50706.618
603193.SH,20240329,15.7,16.17,15.43,15.9,15.69,0.21,1.3384,24472.47,38720.013
603193.SH,20240401,15.99,16.15,15.78,15.91,15.9,0.01,0.0629,18448.41,29367.606
603193.SH,20240402,15.9,15.95,15.4,15.69,15.91,-0.22,-1.3828,21159.58,33229.975
603193.SH,20240403,15.68,15.83,15.32,15.43,15.69,-0.26,-1.6571,20101.62,31202.201
603193.SH,20240408,15.79,16.6,15.61,15.7,15.43,0.27,1.7498,34106.67,54303.482
603193.SH,20240409,15.59,16.98,15.59,16.85,15.7,1.15,7.3248,68192.63,112147.102
603193.SH,20240410,16.36,16.66,16.04,16.57,16.85,-0.28,-1.6617,48442.34,79542.668
603193.SH,20240411,16.54,17.2,16.5,16.58,16.57,0.01,0.0604,39771.52,67034.789
603193.SH,20240412,16.52,16.8,16.25,16.33,16.58,-0.25,-1.5078,23366.22,38480.944
603193.SH,20240415,16.1,16.6,15.5,15.83,16.33,-0.5,-3.0618,29297.77,46569.071
603193.SH,20240416,15.82,16.49,15.27,15.34,15.83,-0.49,-3.0954,36013.0,57312.233
603193.SH,20240417,15.25,16.07,15.2,15.88,15.34,0.54,3.5202,31431.84,49525.739
