ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603196.SH,20170531,8.5,10.2,8.5,10.2,7.08,3.12,44.07,194.0,197.71
603196.SH,20170601,11.22,11.22,11.22,11.22,10.2,1.02,10.0,120.0,134.64
603196.SH,20170602,12.34,12.34,12.34,12.34,11.22,1.12,9.98,310.57,383.243
603196.SH,20170605,13.57,13.57,13.57,13.57,12.34,1.23,9.97,249.0,337.893
603196.SH,20170606,14.93,14.93,14.93,14.93,13.57,1.36,10.02,677.15,1010.985
603196.SH,20170607,16.42,16.42,16.42,16.42,14.93,1.49,9.98,1888.74,3101.311
603196.SH,20170608,18.06,18.06,18.06,18.06,16.42,1.64,9.99,3457.7,6244.606
603196.SH,20170609,19.87,19.87,19.87,19.87,18.06,1.81,10.02,17724.3,35218.184
603196.SH,20170612,20.48,21.86,20.11,21.86,19.87,1.99,10.02,312912.94,670226.264
603196.SH,20170613,21.49,21.49,19.67,20.82,21.86,-1.04,-4.76,374977.24,766111.482
603196.SH,20170614,19.1,19.4,18.74,18.74,20.82,-2.08,-9.99,220141.51,414959.894
603196.SH,20170615,17.9,18.82,17.9,18.22,18.74,-0.52,-2.77,216042.5,395581.165
603196.SH,20170616,18.02,18.77,17.81,18.26,18.22,0.04,0.22,182037.56,332862.526
603196.SH,20170619,17.87,18.28,17.04,17.35,18.26,-0.91,-4.98,170372.0,298819.042
603196.SH,20170620,17.23,17.68,16.91,17.07,17.35,-0.28,-1.61,127448.35,219793.621
603196.SH,20170621,17.06,17.1,16.66,16.87,17.07,-0.2,-1.17,90998.44,153075.339
603196.SH,20170622,16.86,17.06,16.22,16.28,16.87,-0.59,-3.5,95115.86,159027.953
603196.SH,20170623,16.2,16.21,15.23,15.72,16.28,-0.56,-3.44,112269.22,176865.685
603196.SH,20170626,15.61,15.81,15.41,15.74,15.72,0.02,0.13,67136.43,105038.353
603196.SH,20170627,15.8,16.13,15.66,15.76,15.74,0.02,0.13,72998.69,116026.95
603196.SH,20170628,15.61,15.62,15.11,15.19,15.76,-0.57,-3.62,73114.94,111913.091
603196.SH,20170629,15.25,15.38,15.15,15.32,15.19,0.13,0.86,47219.68,72155.688
603196.SH,20170630,15.15,16.05,15.12,15.69,15.32,0.37,2.42,97379.05,152551.539
603196.SH,20170703,15.56,15.74,15.42,15.65,15.69,-0.04,-0.25,57120.29,88992.495
603196.SH,20170704,15.65,15.74,15.48,15.6,15.65,-0.05,-0.32,43418.75,67814.545
603196.SH,20170705,15.73,16.93,15.73,16.46,15.6,0.86,5.51,144201.01,236007.41
603196.SH,20170706,16.26,16.5,16.07,16.48,16.46,0.02,0.12,98402.04,160331.904
603196.SH,20170707,16.45,16.63,16.35,16.36,16.48,-0.12,-0.73,78249.36,128786.962
603196.SH,20170710,16.1,16.1,15.22,15.32,16.36,-1.04,-6.36,102179.57,159136.79
603196.SH,20170711,15.22,15.4,15.09,15.14,15.32,-0.18,-1.17,41270.83,63013.776
603196.SH,20170712,15.18,15.29,14.62,15.26,15.14,0.12,0.79,55390.42,83089.596
603196.SH,20170713,15.14,15.2,14.87,14.92,15.26,-0.34,-2.23,34409.32,51610.465
603196.SH,20170714,14.88,14.97,14.66,14.69,14.92,-0.23,-1.54,29586.32,43843.456
603196.SH,20170717,14.35,14.6,13.22,13.22,14.69,-1.47,-10.01,63042.76,85886.139
603196.SH,20170718,13.0,13.34,12.83,13.19,13.22,-0.03,-0.23,40803.76,53472.286
603196.SH,20170719,13.18,13.32,13.0,13.27,13.19,0.08,0.61,31353.88,41385.807
603196.SH,20170720,13.21,13.71,13.21,13.21,13.27,-0.06,-0.45,40409.05,54259.839
603196.SH,20170721,13.17,13.31,13.03,13.05,13.21,-0.16,-1.21,26672.04,35088.6
603196.SH,20170724,12.91,13.24,12.81,13.15,13.05,0.1,0.77,33708.2,43828.466
603196.SH,20170725,13.12,13.33,13.09,13.27,13.15,0.12,0.91,30018.08,39685.133
603196.SH,20170726,13.3,13.3,12.91,13.18,13.27,-0.09,-0.68,28275.64,37045.048
603196.SH,20170727,13.13,13.47,13.01,13.46,13.18,0.28,2.12,49864.1,66463.637
603196.SH,20170728,13.4,13.45,13.18,13.21,13.46,-0.25,-1.86,30793.59,40922.615
603196.SH,20170731,13.17,13.34,13.12,13.29,13.21,0.08,0.61,23703.81,31348.425
603196.SH,20170801,13.25,13.32,13.15,13.28,13.29,-0.01,-0.08,25318.05,33524.513
603196.SH,20170802,13.3,13.37,13.13,13.14,13.28,-0.14,-1.05,29995.45,39750.822
603196.SH,20170803,13.08,13.32,13.07,13.2,13.14,0.06,0.46,22061.34,29154.681
603196.SH,20170804,13.13,13.25,13.09,13.1,13.2,-0.1,-0.76,20409.8,26838.504
603196.SH,20170807,13.12,14.09,13.12,13.86,13.1,0.76,5.8,97958.44,134143.357
603196.SH,20170808,13.7,13.91,13.56,13.86,13.86,0.0,0.0,55299.99,75747.421
603196.SH,20170809,13.73,13.74,13.3,13.34,13.86,-0.52,-3.75,56772.91,76445.4
603196.SH,20170810,13.26,13.39,13.03,13.1,13.34,-0.24,-1.8,29801.2,39309.164
603196.SH,20170811,13.05,13.15,12.92,12.93,13.1,-0.17,-1.3,21790.75,28435.078
603196.SH,20170814,12.91,13.14,12.91,13.09,12.93,0.16,1.24,16804.16,21974.063
603196.SH,20170815,13.12,13.29,13.07,13.28,13.09,0.19,1.45,26646.72,35152.234
603196.SH,20170816,13.25,13.59,13.2,13.5,13.28,0.22,1.66,57724.06,77686.431
603196.SH,20170817,13.41,13.58,13.36,13.49,13.5,-0.01,-0.07,28320.87,38151.165
603196.SH,20170818,13.35,13.5,13.26,13.49,13.49,0.0,0.0,25810.66,34502.083
603196.SH,20170821,13.5,13.82,13.45,13.8,13.49,0.31,2.3,44044.82,59996.407
603196.SH,20170822,14.01,14.08,13.61,13.65,13.8,-0.15,-1.09,58172.18,80550.469
603196.SH,20170823,13.52,14.46,13.44,14.08,13.65,0.43,3.15,119755.68,167406.28
603196.SH,20170824,14.0,14.18,13.7,13.8,14.08,-0.28,-1.99,82809.96,114859.467
603196.SH,20170825,13.68,14.47,13.63,14.29,13.8,0.49,3.55,102426.49,145091.135
603196.SH,20170828,14.4,14.95,14.26,14.74,14.29,0.45,3.15,127049.11,185795.222
603196.SH,20170829,14.64,15.35,14.37,14.71,14.74,-0.03,-0.2,148486.54,220047.483
603196.SH,20170830,14.5,14.76,14.2,14.28,14.71,-0.43,-2.92,87670.93,126763.074
603196.SH,20170831,14.26,14.84,14.26,14.77,14.28,0.49,3.43,83419.58,121851.49
603196.SH,20170901,14.75,14.87,14.41,14.66,14.77,-0.11,-0.74,62430.56,91189.962
603196.SH,20170904,14.56,14.65,14.35,14.38,14.66,-0.28,-1.91,48453.48,69970.933
603196.SH,20170905,14.4,14.64,14.35,14.45,14.38,0.07,0.49,32020.06,46389.344
603196.SH,20170906,14.44,14.47,14.14,14.29,14.45,-0.16,-1.11,34839.71,49713.421
603196.SH,20170907,14.3,14.51,14.25,14.28,14.29,-0.01,-0.07,38335.08,55112.256
603196.SH,20170908,14.24,14.41,14.17,14.35,14.28,0.07,0.49,26355.1,37676.973
603196.SH,20170911,14.39,14.58,14.31,14.57,14.35,0.22,1.53,44305.43,64189.308
603196.SH,20170912,14.57,14.63,14.27,14.41,14.57,-0.16,-1.1,36645.65,52959.143
603196.SH,20170913,14.38,14.53,14.26,14.5,14.41,0.09,0.62,32183.04,46399.154
603196.SH,20170914,14.45,14.61,14.35,14.5,14.5,0.0,0.0,51883.92,75133.076
603196.SH,20170915,14.6,15.17,14.5,14.77,14.5,0.27,1.86,141412.13,210869.085
603196.SH,20170918,14.4,14.53,14.17,14.32,14.77,-0.45,-3.05,71927.38,102975.729
603196.SH,20170919,14.25,14.37,14.2,14.28,14.32,-0.04,-0.28,35929.09,51234.68
603196.SH,20170920,14.23,14.37,14.15,14.36,14.28,0.08,0.56,36946.84,52751.566
603196.SH,20170921,14.31,14.46,14.23,14.25,14.36,-0.11,-0.77,33862.6,48662.913
603196.SH,20170922,14.22,14.34,14.12,14.29,14.25,0.04,0.28,28930.32,41168.987
603196.SH,20170925,14.27,14.36,14.12,14.16,14.29,-0.13,-0.91,24927.24,35545.199
603196.SH,20170926,14.15,14.2,13.4,13.5,14.16,-0.66,-4.66,48792.89,66963.689
603196.SH,20170927,13.54,13.68,13.45,13.64,13.5,0.14,1.04,20309.59,27495.541
603196.SH,20170928,13.56,13.71,13.54,13.59,13.64,-0.05,-0.37,25110.7,34212.073
603196.SH,20170929,13.57,13.68,13.54,13.67,13.59,0.08,0.59,19747.29,26875.455
603196.SH,20171009,13.73,13.87,13.68,13.8,13.67,0.13,0.95,18650.59,25711.678
603196.SH,20171010,13.8,14.08,13.72,14.07,13.8,0.27,1.96,23540.45,32832.751
603196.SH,20171011,14.05,14.15,13.81,13.94,14.07,-0.13,-0.92,20151.91,28159.149
603196.SH,20171012,13.89,14.04,13.82,13.95,13.94,0.01,0.07,18924.07,26359.368
603196.SH,20171013,13.96,14.2,13.87,14.15,13.95,0.2,1.43,30618.67,43186.606
603196.SH,20171016,14.14,14.14,13.62,13.7,14.15,-0.45,-3.18,28708.66,39794.277
