ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603228.SH,20170106,33.35,33.35,33.35,33.35,23.16,10.19,44.0,253.86,846.623
603228.SH,20170109,36.69,36.69,36.69,36.69,33.35,3.34,10.02,75.92,278.55
603228.SH,20170110,40.36,40.36,40.36,40.36,36.69,3.67,10.0,93.0,375.348
603228.SH,20170111,44.4,44.4,44.4,44.4,40.36,4.04,10.01,502.95,2233.098
603228.SH,20170112,48.84,48.84,44.01,44.43,44.4,0.03,0.07,221511.04,1017572.21
603228.SH,20170113,42.95,46.95,40.69,43.75,44.43,-0.68,-1.53,186013.52,804472.558
603228.SH,20170116,42.28,45.78,41.78,45.45,43.75,1.7,3.89,176059.59,784102.832
603228.SH,20170117,45.0,50.0,44.81,48.41,45.45,2.96,6.51,221018.88,1050889.325
603228.SH,20170118,47.31,47.72,44.2,44.46,48.41,-3.95,-8.16,177269.47,818988.178
603228.SH,20170119,43.11,45.69,43.11,43.82,44.46,-0.64,-1.44,90151.88,398897.032
603228.SH,20170120,43.77,46.35,43.56,45.36,43.82,1.54,3.51,91348.16,413183.6
603228.SH,20170123,45.51,46.41,44.71,44.9,45.36,-0.46,-1.01,84046.16,382473.187
603228.SH,20170124,44.81,44.95,42.23,43.23,44.9,-1.67,-3.72,110107.87,475867.135
603228.SH,20170125,42.68,44.3,42.51,43.78,43.23,0.55,1.27,68141.14,297710.536
603228.SH,20170126,43.81,44.08,42.88,43.2,43.78,-0.58,-1.32,62892.76,272192.633
603228.SH,20170203,43.24,44.13,42.89,43.54,43.2,0.34,0.79,54940.71,238839.21
603228.SH,20170206,44.0,46.46,43.8,46.03,43.54,2.49,5.72,103367.1,466691.508
603228.SH,20170207,45.51,45.95,44.87,45.37,46.03,-0.66,-1.43,66479.02,301143.309
603228.SH,20170208,45.38,46.69,45.28,46.17,45.37,0.8,1.76,86227.22,397352.358
603228.SH,20170209,45.88,47.65,45.78,46.15,46.17,-0.02,-0.04,94212.08,439193.251
603228.SH,20170210,46.16,46.29,44.65,44.69,46.15,-1.46,-3.16,72868.45,329810.691
603228.SH,20170213,44.51,47.3,44.51,46.59,44.69,1.9,4.25,85912.59,396602.496
603228.SH,20170214,46.4,47.78,46.4,46.87,46.59,0.28,0.6,76244.98,357902.924
603228.SH,20170215,47.13,49.97,47.13,47.68,46.87,0.81,1.73,143989.77,697876.306
603228.SH,20170216,47.05,52.45,46.51,50.19,47.68,2.51,5.26,139132.62,680600.038
603228.SH,20170217,49.5,51.65,48.55,48.81,50.19,-1.38,-2.75,119470.12,596343.971
603228.SH,20170220,48.68,49.25,46.2,47.96,48.81,-0.85,-1.74,84433.11,400297.899
603228.SH,20170221,47.5,49.3,47.38,49.2,47.96,1.24,2.59,82297.73,398380.946
603228.SH,20170222,48.97,49.21,47.6,48.5,49.2,-0.7,-1.42,72156.38,348873.663
603228.SH,20170223,48.13,50.38,48.13,49.65,48.5,1.15,2.37,99046.57,489599.998
603228.SH,20170224,49.58,51.33,49.3,50.15,49.65,0.5,1.01,98234.41,495105.198
603228.SH,20170227,49.62,51.38,48.92,49.0,50.15,-1.15,-2.29,76009.84,379900.34
603228.SH,20170228,48.58,52.64,48.58,51.95,49.0,2.95,6.02,124804.37,634254.211
603228.SH,20170301,51.78,51.8,50.49,51.02,51.95,-0.93,-1.79,80041.77,408238.316
603228.SH,20170302,50.87,52.8,50.43,51.54,51.02,0.52,1.02,98148.92,506740.842
603228.SH,20170303,51.0,52.78,50.21,51.77,51.54,0.23,0.45,72899.15,375579.402
603228.SH,20170306,51.8,54.27,51.79,53.12,51.77,1.35,2.61,79835.0,423987.192
603228.SH,20170307,52.72,53.88,52.26,52.93,53.12,-0.19,-0.36,69208.22,366402.616
603228.SH,20170308,52.62,53.05,51.98,52.75,52.93,-0.18,-0.34,55019.71,288870.602
603228.SH,20170309,52.7,52.78,50.7,50.85,52.75,-1.9,-3.6,59148.3,305717.82
603228.SH,20170310,50.7,51.59,50.31,50.54,50.85,-0.31,-0.61,46543.21,236877.622
603228.SH,20170313,50.09,51.54,49.63,51.31,50.54,0.77,1.52,47090.12,238895.46
603228.SH,20170314,51.25,52.44,51.05,51.5,51.31,0.19,0.37,50575.37,261832.037
603228.SH,20170315,50.99,51.96,50.78,51.31,51.5,-0.19,-0.37,35918.37,184561.185
603228.SH,20170316,51.63,53.2,51.63,52.77,51.31,1.46,2.85,74148.83,391006.028
603228.SH,20170317,52.77,54.3,51.7,51.72,52.77,-1.05,-1.99,85667.96,454697.496
603228.SH,20170320,51.21,53.18,51.21,53.09,51.72,1.37,2.65,45299.0,236384.183
603228.SH,20170321,52.82,53.38,52.25,53.31,53.09,0.22,0.41,54069.66,285945.344
603228.SH,20170322,52.68,53.78,52.02,53.22,53.31,-0.09,-0.17,65750.23,347723.303
603228.SH,20170323,53.22,53.48,51.03,51.94,53.22,-1.28,-2.41,66498.51,348141.789
603228.SH,20170324,51.98,52.66,51.62,52.37,51.94,0.43,0.83,53639.04,280041.592
603228.SH,20170327,52.62,52.99,51.63,52.8,52.37,0.43,0.82,50373.23,263885.725
603228.SH,20170328,52.6,53.1,50.85,50.96,52.8,-1.84,-3.48,51928.03,270208.546
603228.SH,20170329,50.83,51.1,47.89,48.05,50.96,-2.91,-5.71,71232.34,351441.175
603228.SH,20170330,48.0,48.3,47.05,47.4,48.05,-0.65,-1.35,40799.59,193972.878
603228.SH,20170331,47.39,47.98,46.28,46.86,47.4,-0.54,-1.14,37992.12,178540.352
603228.SH,20170405,46.8,47.86,46.32,47.7,46.86,0.84,1.79,32236.58,152698.871
603228.SH,20170406,47.7,48.29,47.4,47.6,47.7,-0.1,-0.21,33262.94,159147.542
603228.SH,20170407,47.7,47.7,46.01,46.1,47.6,-1.5,-3.15,37171.71,173587.468
603228.SH,20170410,46.19,46.19,43.63,44.04,46.1,-2.06,-4.47,46894.82,208925.513
603228.SH,20170411,43.88,45.3,43.71,45.13,44.04,1.09,2.48,34720.59,154812.937
603228.SH,20170412,45.1,45.1,44.1,44.27,45.13,-0.86,-1.91,21638.12,96333.596
603228.SH,20170413,44.3,45.35,44.3,44.95,44.27,0.68,1.54,22145.73,99673.489
603228.SH,20170414,45.09,45.09,44.2,44.26,44.95,-0.69,-1.54,17564.24,78125.842
603228.SH,20170417,43.69,44.68,41.54,44.43,44.26,0.17,0.38,33969.14,147284.772
603228.SH,20170418,44.0,45.52,43.9,44.81,44.43,0.38,0.86,26951.59,121294.545
603228.SH,20170419,44.5,45.75,44.0,45.59,44.81,0.78,1.74,26449.87,119887.645
603228.SH,20170420,45.59,45.66,43.2,44.44,45.59,-1.15,-2.52,32284.16,143602.625
603228.SH,20170421,44.29,44.7,43.81,43.97,44.44,-0.47,-1.06,13706.79,60591.782
603228.SH,20170424,43.96,44.0,42.51,43.56,43.97,-0.41,-0.93,19401.5,84384.915
