ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603235.SH,20220712,44.26,53.11,44.26,53.11,36.88,16.23,44.0076,34037.91,180125.493
603235.SH,20220713,47.8,47.8,47.8,47.8,53.11,-5.31,-9.9981,17713.0,84668.14
603235.SH,20220714,43.02,43.02,43.02,43.02,47.8,-4.78,-10.0,8174.0,35164.548
603235.SH,20220715,38.72,46.85,38.72,41.97,43.02,-1.05,-2.4407,202240.31,830445.229
603235.SH,20220718,39.0,41.3,38.67,39.33,41.97,-2.64,-6.2902,133484.54,525685.593
603235.SH,20220719,39.01,39.65,38.73,38.89,39.33,-0.44,-1.1187,81440.23,317952.8
603235.SH,20220720,38.85,39.25,38.4,38.63,38.89,-0.26,-0.6686,74814.09,289390.975
603235.SH,20220721,38.6,38.6,37.41,37.42,38.63,-1.21,-3.1323,80256.68,303509.756
603235.SH,20220722,37.05,37.7,36.88,37.03,37.42,-0.39,-1.0422,55126.7,204870.371
603235.SH,20220725,37.12,37.8,37.0,37.33,37.03,0.3,0.8102,43465.67,162296.138
603235.SH,20220726,37.34,37.34,36.3,36.49,37.33,-0.84,-2.2502,44491.35,162621.628
603235.SH,20220727,36.4,36.73,36.18,36.56,36.49,0.07,0.1918,29744.02,108463.691
603235.SH,20220728,36.61,36.76,36.38,36.43,36.56,-0.13,-0.3556,32231.48,117823.72
603235.SH,20220729,36.3,36.33,35.51,35.54,36.43,-0.89,-2.443,43344.52,155755.518
603235.SH,20220801,35.48,35.48,34.84,35.17,35.54,-0.37,-1.0411,27688.93,97235.019
603235.SH,20220802,34.78,34.78,32.34,32.8,35.17,-2.37,-6.7387,43304.29,144442.716
603235.SH,20220803,32.7,33.18,32.47,32.51,32.8,-0.29,-0.8841,27707.53,91140.493
603235.SH,20220804,32.75,32.88,32.17,32.84,32.51,0.33,1.0151,23628.21,76985.084
603235.SH,20220805,32.65,34.68,32.62,34.23,32.84,1.39,4.2326,44095.63,150055.272
603235.SH,20220808,34.0,34.55,33.56,34.19,34.23,-0.04,-0.1169,25265.13,86310.017
603235.SH,20220809,34.0,34.08,33.6,33.68,34.19,-0.51,-1.4917,20317.54,68541.757
603235.SH,20220810,33.58,33.82,32.91,33.12,33.68,-0.56,-1.6627,21831.05,72578.638
603235.SH,20220811,33.2,33.54,33.12,33.41,33.12,0.29,0.8756,17464.83,58269.948
603235.SH,20220812,33.45,34.42,33.35,34.06,33.41,0.65,1.9455,26629.3,90435.217
603235.SH,20220815,34.01,34.06,33.71,33.83,34.06,-0.23,-0.6753,15634.95,52928.657
603235.SH,20220816,33.83,34.16,33.72,33.83,33.83,0.0,0.0,15276.58,51857.956
603235.SH,20220817,33.89,33.93,33.41,33.48,33.83,-0.35,-1.0346,15691.02,52607.698
603235.SH,20220818,33.5,33.5,32.91,32.98,33.48,-0.5,-1.4934,15855.18,52435.861
603235.SH,20220819,33.09,33.29,32.55,32.58,32.98,-0.4,-1.2129,15108.58,49717.35
603235.SH,20220822,32.43,34.57,32.17,34.12,32.58,1.54,4.7268,38268.89,129494.322
603235.SH,20220823,33.9,36.5,33.72,35.63,34.12,1.51,4.4256,70497.19,247454.886
603235.SH,20220824,35.1,35.49,34.33,34.64,35.63,-0.99,-2.7786,39631.25,138302.688
603235.SH,20220825,34.82,35.77,34.65,34.99,34.64,0.35,1.0104,38041.28,133696.457
