ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603262.SH,20250723,51.0,51.8,40.49,40.75,10.88,29.87,274.5404,313322.13,1371926.404
603262.SH,20250724,38.7,40.5,37.0,38.67,40.75,-2.08,-5.1043,228106.93,879288.274
603262.SH,20250725,39.0,41.98,38.1,39.11,38.67,0.44,1.1378,209718.67,835455.791
603262.SH,20250728,37.16,37.4,35.11,35.2,39.11,-3.91,-9.9974,194955.83,700308.033
603262.SH,20250729,34.86,34.87,31.96,31.98,35.2,-3.22,-9.1477,178567.68,589953.384
603262.SH,20250730,31.07,31.92,30.55,31.3,31.98,-0.68,-2.1263,117398.51,364371.542
603262.SH,20250731,30.8,31.02,30.0,30.06,31.3,-1.24,-3.9617,93961.85,286398.132
603262.SH,20250801,30.1,30.49,29.96,30.23,30.06,0.17,0.5655,50275.27,151937.824
603262.SH,20250804,30.1,30.39,29.88,30.25,30.23,0.02,0.0662,39654.88,119756.096
603262.SH,20250805,30.35,30.8,30.2,30.73,30.25,0.48,1.5868,54962.41,167612.562
603262.SH,20250806,30.7,30.7,30.25,30.45,30.73,-0.28,-0.9112,49106.66,149292.775
603262.SH,20250807,30.37,30.59,30.33,30.34,30.45,-0.11,-0.3612,40270.26,122539.834
603262.SH,20250808,30.33,30.33,29.97,29.97,30.34,-0.37,-1.2195,41971.27,126245.124
603262.SH,20250811,30.3,30.57,30.15,30.46,29.97,0.49,1.635,44012.64,133786.455
603262.SH,20250812,30.45,30.49,30.1,30.22,30.46,-0.24,-0.7879,27266.9,82502.595
603262.SH,20250813,30.35,30.49,30.21,30.34,30.22,0.12,0.3971,33287.5,100940.351
603262.SH,20250814,30.36,30.39,29.89,29.94,30.34,-0.4,-1.3184,36908.63,111166.938
603262.SH,20250815,30.13,30.32,29.97,30.32,29.94,0.38,1.2692,30852.37,93083.085
603262.SH,20250818,30.37,30.76,30.27,30.75,30.32,0.43,1.4182,54123.56,165471.379
603262.SH,20250819,30.8,30.8,30.45,30.6,30.75,-0.15,-0.4878,37312.78,114080.808
603262.SH,20250820,30.55,31.1,30.41,30.8,30.6,0.2,0.6536,42397.79,130413.167
603262.SH,20250821,30.77,30.97,30.58,30.86,30.8,0.06,0.1948,48466.48,148893.968
603262.SH,20250822,30.86,30.86,30.6,30.76,30.86,-0.1,-0.324,36139.4,110889.381
603262.SH,20250825,30.77,30.99,30.7,30.89,30.76,0.13,0.4226,43575.69,134312.257
603262.SH,20250826,30.78,31.77,30.68,31.24,30.89,0.35,1.1331,59569.52,186272.02
603262.SH,20250827,31.17,31.28,30.63,30.72,31.24,-0.52,-1.6645,46826.33,145195.456
603262.SH,20250828,30.65,31.42,30.62,31.23,30.72,0.51,1.6602,54928.76,170350.405
603262.SH,20250829,31.06,32.44,31.06,32.28,31.23,1.05,3.3622,93172.65,298140.808
603262.SH,20250901,32.28,32.28,31.55,31.84,32.28,-0.44,-1.3631,54573.31,173342.09
603262.SH,20250902,31.77,32.08,31.61,31.86,31.84,0.02,0.0628,42583.97,135654.106
603262.SH,20250903,31.78,31.84,30.8,30.9,31.86,-0.96,-3.0132,40150.77,125361.524
603262.SH,20250904,30.91,31.63,30.6,31.17,30.9,0.27,0.8738,35613.05,110660.136
603262.SH,20250905,31.21,31.36,30.8,31.27,31.17,0.1,0.3208,25159.73,78239.068
603262.SH,20250908,31.24,31.59,31.04,31.56,31.27,0.29,0.9274,29023.46,91243.252
603262.SH,20250909,31.55,31.55,30.94,31.11,31.56,-0.45,-1.4259,24728.31,77108.332
603262.SH,20250910,31.16,32.8,31.02,31.93,31.11,0.82,2.6358,59456.66,189642.045
603262.SH,20250911,31.71,33.12,31.66,32.99,31.93,1.06,3.3198,96333.59,315600.018
603262.SH,20250912,32.7,32.72,31.81,32.03,32.99,-0.96,-2.91,67662.72,217456.869
603262.SH,20250915,31.9,32.01,31.6,31.87,32.03,-0.16,-0.4995,27438.92,87189.309
603262.SH,20250916,31.86,31.96,31.5,31.74,31.87,-0.13,-0.4079,24887.71,78797.73
