ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603312.SH,20240111,42.5,46.66,41.11,41.7,29.02,12.68,43.694,233030.98,995927.261
603312.SH,20240112,43.01,53.35,42.18,48.3,41.7,6.6,15.8273,243089.93,1137250.863
603312.SH,20240115,46.2,49.29,45.05,46.72,48.3,-1.58,-3.2712,174380.65,814864.997
603312.SH,20240116,44.88,45.52,42.3,42.85,46.72,-3.87,-8.2834,175340.87,767015.472
603312.SH,20240117,41.96,41.96,39.11,39.16,42.85,-3.69,-8.6114,141185.58,567471.993
603312.SH,20240118,38.0,38.0,35.3,36.51,39.16,-2.65,-6.7671,138555.12,509068.979
603312.SH,20240119,36.4,38.38,33.96,36.44,36.51,-0.07,-0.1917,147592.99,530044.657
603312.SH,20240122,34.73,35.29,32.8,32.8,36.44,-3.64,-9.989,96574.19,330351.075
603312.SH,20240123,32.55,36.08,32.3,36.08,32.8,3.28,10.0,85301.53,300566.613
603312.SH,20240124,36.79,37.11,33.48,34.54,36.08,-1.54,-4.2683,132128.59,464570.58
603312.SH,20240125,33.69,34.18,32.83,33.97,34.54,-0.57,-1.6503,97849.56,328704.637
603312.SH,20240126,33.54,34.68,33.11,33.22,33.97,-0.75,-2.2078,83277.99,280756.244
603312.SH,20240129,34.55,34.99,33.26,33.46,33.22,0.24,0.7225,89475.17,306026.459
603312.SH,20240130,31.48,31.51,30.11,30.11,33.46,-3.35,-10.012,80972.43,246796.478
603312.SH,20240131,29.29,30.48,27.7,28.13,30.11,-1.98,-6.5759,62090.92,180087.313
603312.SH,20240201,29.19,30.94,29.15,30.94,28.13,2.81,9.9893,123731.4,379327.204
603312.SH,20240202,29.68,30.2,27.88,28.72,30.94,-2.22,-7.1752,117440.09,341484.615
603312.SH,20240205,27.99,28.13,25.85,25.85,28.72,-2.87,-9.993,77577.61,204194.672
603312.SH,20240206,24.69,27.2,24.06,26.6,25.85,0.75,2.9014,74373.9,192899.081
603312.SH,20240207,26.3,26.93,24.6,24.85,26.6,-1.75,-6.5789,70064.94,182025.845
603312.SH,20240208,24.85,26.5,24.52,26.12,24.85,1.27,5.1107,59973.72,153645.182
603312.SH,20240219,25.89,27.28,25.81,27.19,26.12,1.07,4.0965,64294.94,171869.294
603312.SH,20240220,26.81,27.79,26.4,27.61,27.19,0.42,1.5447,59825.28,163183.926
603312.SH,20240221,27.17,28.88,26.92,27.8,27.61,0.19,0.6882,71073.63,199248.681
603312.SH,20240222,27.45,28.3,27.4,28.1,27.8,0.3,1.0791,52317.79,145751.566
603312.SH,20240223,28.18,29.0,27.72,28.84,28.1,0.74,2.6335,73476.52,209130.029
603312.SH,20240226,29.05,29.68,28.7,29.2,28.84,0.36,1.2483,70758.12,206052.065
603312.SH,20240227,28.88,30.17,28.62,30.07,29.2,0.87,2.9795,68687.02,203474.918
603312.SH,20240228,30.39,31.9,27.85,27.87,30.07,-2.2,-7.3163,98558.93,295082.567
603312.SH,20240229,27.14,28.58,27.1,28.55,27.87,0.68,2.4399,60807.66,171030.402
603312.SH,20240301,28.62,29.3,28.21,29.05,28.55,0.5,1.7513,50678.77,146099.092
603312.SH,20240304,28.85,29.18,27.86,28.4,29.05,-0.65,-2.2375,44768.74,127008.374
603312.SH,20240305,28.3,28.97,27.85,28.34,28.4,-0.06,-0.2113,40258.21,114358.942
603312.SH,20240306,28.14,29.85,28.03,29.68,28.34,1.34,4.7283,77484.32,226780.651
603312.SH,20240307,29.78,30.56,28.95,30.03,29.68,0.35,1.1792,85938.89,255568.58
603312.SH,20240308,29.79,30.15,29.07,29.4,30.03,-0.63,-2.0979,55926.08,165047.399
603312.SH,20240311,29.3,32.34,29.28,31.51,29.4,2.11,7.1769,113710.68,352364.841
603312.SH,20240312,31.02,31.62,30.5,31.01,31.51,-0.5,-1.5868,89218.73,276266.101
603312.SH,20240313,30.86,30.96,30.2,30.33,31.01,-0.68,-2.1928,60316.39,183869.666
603312.SH,20240314,30.21,30.47,29.52,30.15,30.33,-0.18,-0.5935,43650.09,130911.115
603312.SH,20240315,30.06,30.27,29.81,30.25,30.15,0.1,0.3317,29845.54,89728.747
603312.SH,20240318,30.75,30.82,30.21,30.59,30.25,0.34,1.124,45886.18,139997.362
603312.SH,20240319,30.41,30.85,30.32,30.46,30.59,-0.13,-0.425,44372.82,135706.476
603312.SH,20240320,30.29,30.73,30.25,30.51,30.46,0.05,0.1641,31351.42,95515.575
603312.SH,20240321,30.54,30.67,29.71,30.05,30.51,-0.46,-1.5077,41241.79,124064.282
603312.SH,20240322,30.0,30.09,29.53,29.65,30.05,-0.4,-1.3311,30772.73,91490.417
603312.SH,20240325,29.4,29.4,28.25,28.27,29.65,-1.38,-4.6543,37203.95,107287.46
603312.SH,20240326,28.25,28.63,27.51,28.21,28.27,-0.06,-0.2122,30994.49,87248.685
603312.SH,20240327,28.21,28.23,26.93,26.93,28.21,-1.28,-4.5374,27314.79,75019.815
603312.SH,20240328,26.9,27.65,26.73,27.25,26.93,0.32,1.1883,27310.0,74417.256
603312.SH,20240329,27.26,27.76,27.26,27.75,27.25,0.5,1.8349,24800.61,68293.462
603312.SH,20240401,28.0,28.42,27.76,28.35,27.75,0.6,2.1622,24648.64,69529.135
603312.SH,20240402,28.3,28.61,27.91,28.39,28.35,0.04,0.1411,25315.67,71707.292
603312.SH,20240403,28.26,28.33,27.69,27.9,28.39,-0.49,-1.726,20737.97,58007.227
603312.SH,20240408,27.99,27.99,26.8,26.8,27.9,-1.1,-3.9427,22999.25,62644.344
603312.SH,20240409,26.8,29.4,26.8,28.55,26.8,1.75,6.5299,51087.64,144946.235
603312.SH,20240410,28.37,30.55,27.89,29.91,28.55,1.36,4.7636,94579.87,278277.632
603312.SH,20240411,29.92,31.39,29.92,30.82,29.91,0.91,3.0425,128047.51,394966.546
603312.SH,20240412,30.0,30.49,29.32,29.8,30.82,-1.02,-3.3095,74641.74,222330.306
603312.SH,20240415,29.99,31.3,28.65,31.01,29.8,1.21,4.0604,93969.19,284125.993
603312.SH,20240416,30.0,30.07,27.91,27.91,31.01,-3.1,-9.9968,60548.05,172709.559
603312.SH,20240417,27.76,30.11,27.76,29.66,27.91,1.75,6.2702,64082.9,185491.874
603312.SH,20240418,29.19,32.63,29.1,32.63,29.66,2.97,10.0135,114580.01,357588.938
603312.SH,20240419,32.8,32.8,31.23,31.29,32.63,-1.34,-4.1067,125470.74,398182.455
603312.SH,20240422,30.68,34.42,30.1,33.91,31.29,2.62,8.3733,168975.48,556938.423
603312.SH,20240423,32.84,33.63,32.55,33.04,33.91,-0.87,-2.5656,113182.46,373758.13
