ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603353.SH,20200407,33.35,40.02,33.35,40.02,27.79,12.23,44.0086,9694.43,38750.052
603353.SH,20200408,44.02,44.02,40.03,42.19,40.02,2.17,5.4223,186835.48,792673.056
603353.SH,20200409,40.6,40.99,37.98,38.2,42.19,-3.99,-9.4572,152871.03,593546.483
603353.SH,20200410,38.55,39.81,38.01,38.17,38.2,-0.03,-0.0785,106722.2,414647.231
603353.SH,20200413,36.9,37.3,34.66,34.96,38.17,-3.21,-8.4097,93817.95,332230.094
603353.SH,20200414,34.54,34.88,33.78,34.64,34.96,-0.32,-0.9153,83601.27,286750.077
603353.SH,20200415,34.25,34.35,33.57,33.59,34.64,-1.05,-3.0312,66026.96,223907.638
603353.SH,20200416,33.64,34.09,33.41,33.65,33.59,0.06,0.1786,52865.83,178104.873
603353.SH,20200417,33.79,33.92,32.93,33.0,33.65,-0.65,-1.9316,58670.45,195548.089
603353.SH,20200420,32.51,32.52,30.78,31.19,33.0,-1.81,-5.4848,79883.25,251340.037
603353.SH,20200421,30.82,32.55,30.8,31.79,31.19,0.6,1.9237,83632.49,267789.869
603353.SH,20200422,31.5,31.68,30.25,31.16,31.79,-0.63,-1.9818,66687.01,206213.449
603353.SH,20200423,31.22,33.8,31.05,32.4,31.16,1.24,3.9795,94766.59,306768.444
603353.SH,20200424,32.0,32.11,30.51,31.25,32.4,-1.15,-3.5494,63976.33,199627.157
603353.SH,20200427,31.25,31.28,30.0,30.07,31.25,-1.18,-3.776,47428.54,143862.566
603353.SH,20200428,28.94,29.36,27.5,27.84,30.07,-2.23,-7.416,70065.09,197583.045
603353.SH,20200429,28.05,28.5,27.8,28.09,27.84,0.25,0.898,45920.99,129396.234
603353.SH,20200430,28.58,28.8,28.28,28.46,28.09,0.37,1.3172,41870.68,119416.012
603353.SH,20200506,28.92,29.6,28.58,28.9,28.46,0.44,1.546,41901.57,121738.927
603353.SH,20200507,28.68,29.87,28.45,29.58,28.9,0.68,2.3529,57478.44,167388.01
603353.SH,20200508,29.39,29.89,29.09,29.62,29.58,0.04,0.1352,48950.72,143788.235
603353.SH,20200511,29.46,30.49,29.31,29.67,29.62,0.05,0.1688,49177.8,146844.021
603353.SH,20200512,29.48,30.48,29.43,30.36,29.67,0.69,2.3256,50973.04,153457.035
603353.SH,20200513,30.34,30.8,29.86,29.9,30.36,-0.46,-1.5152,43724.4,132031.256
603353.SH,20200514,29.7,30.58,29.2,30.15,29.9,0.25,0.8361,45670.58,135812.291
603353.SH,20200515,30.18,30.48,29.72,29.78,30.15,-0.37,-1.2272,33943.29,101856.425
603353.SH,20200518,30.19,30.37,29.69,29.77,29.78,-0.01,-0.0336,32468.11,97504.797
603353.SH,20200519,30.6,31.15,30.17,30.62,29.77,0.85,2.8552,59069.83,181115.064
603353.SH,20200520,30.33,31.25,30.1,30.88,30.62,0.26,0.8491,53524.03,164431.725
