ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603356.SH,20180124,14.7,14.7,14.7,14.7,10.21,4.49,43.98,194.71,286.224
603356.SH,20180125,16.17,16.17,16.17,16.17,14.7,1.47,10.0,77.61,125.495
603356.SH,20180126,17.79,17.79,17.79,17.79,16.17,1.62,10.02,104.32,185.585
603356.SH,20180129,19.57,19.57,19.57,19.57,17.79,1.78,10.01,242.0,473.594
603356.SH,20180130,21.53,21.53,21.53,21.53,19.57,1.96,10.02,750.13,1615.03
603356.SH,20180131,23.68,23.68,23.68,23.68,21.53,2.15,9.99,1709.83,4048.877
603356.SH,20180201,26.05,26.05,25.23,26.05,23.68,2.37,10.01,65858.18,171546.148
603356.SH,20180202,28.0,28.66,27.83,28.66,26.05,2.61,10.02,72113.21,205484.831
603356.SH,20180205,26.0,27.31,25.79,25.79,28.66,-2.87,-10.01,106510.05,279335.342
603356.SH,20180206,23.21,23.21,23.21,23.21,25.79,-2.58,-10.0,5729.0,13297.009
603356.SH,20180207,22.07,25.0,21.2,23.89,23.21,0.68,2.93,179545.44,409126.361
603356.SH,20180208,22.09,23.66,21.6,22.71,23.89,-1.18,-4.94,135539.92,305806.225
603356.SH,20180209,21.11,24.98,20.82,24.98,22.71,2.27,10.0,205512.51,486771.179
603356.SH,20180212,26.29,27.48,26.0,27.48,24.98,2.5,10.01,165205.19,447401.299
603356.SH,20180213,27.3,27.38,24.73,24.73,27.48,-2.75,-10.01,128957.8,330067.164
603356.SH,20180214,23.0,23.63,22.26,22.26,24.73,-2.47,-9.99,126716.77,289124.382
603356.SH,20180222,21.95,22.96,21.5,22.64,22.26,0.38,1.71,117775.89,262302.453
603356.SH,20180223,22.25,23.35,22.01,22.74,22.64,0.1,0.44,115766.09,264169.332
603356.SH,20180226,24.26,25.01,23.4,24.47,22.74,1.73,7.61,172776.58,423370.87
603356.SH,20180227,23.9,25.88,23.48,25.07,24.47,0.6,2.45,185940.66,458193.06
603356.SH,20180228,24.0,24.13,22.56,22.56,25.07,-2.51,-10.01,135199.1,309994.088
603356.SH,20180301,22.26,23.47,22.01,23.36,22.56,0.8,3.55,116004.73,267166.155
603356.SH,20180302,22.8,23.36,22.03,22.42,23.36,-0.94,-4.02,102719.87,231723.515
603356.SH,20180305,22.62,23.5,22.38,23.41,22.42,0.99,4.42,105803.78,243104.875
603356.SH,20180306,23.2,23.98,22.83,23.61,23.41,0.2,0.85,119332.37,280128.004
603356.SH,20180307,23.3,24.64,23.2,24.42,23.61,0.81,3.43,139843.05,334666.75
603356.SH,20180308,23.97,25.25,23.81,24.43,24.42,0.01,0.04,145031.02,355933.099
603356.SH,20180309,24.09,26.8,24.09,25.79,24.43,1.36,5.57,168052.71,425360.983
603356.SH,20180312,25.8,28.37,25.3,28.37,25.79,2.58,10.0,172054.18,475287.564
603356.SH,20180313,29.77,31.21,28.0,29.23,28.37,0.86,3.03,207516.94,619293.722
603356.SH,20180314,29.49,29.78,27.42,27.48,29.23,-1.75,-5.99,188384.46,534163.836
603356.SH,20180315,25.2,25.55,24.73,25.09,27.48,-2.39,-8.7,159004.12,397586.963
603356.SH,20180316,24.9,25.44,24.68,24.77,25.09,-0.32,-1.28,98637.81,247117.272
603356.SH,20180319,24.45,25.5,23.77,25.22,24.77,0.45,1.82,95514.66,237478.544
603356.SH,20180320,24.5,25.5,24.01,25.48,25.22,0.26,1.03,84095.07,209491.448
603356.SH,20180321,25.42,26.26,24.75,24.98,25.48,-0.5,-1.96,110594.45,284068.537
603356.SH,20180322,24.73,25.6,24.5,25.52,24.98,0.54,2.16,78218.47,195994.604
603356.SH,20180323,24.5,24.73,22.97,22.97,25.52,-2.55,-9.99,74527.6,177048.102
603356.SH,20180326,21.22,23.08,21.03,22.84,22.97,-0.13,-0.57,60557.26,133846.477
603356.SH,20180327,22.91,23.85,22.91,23.38,22.84,0.54,2.36,62301.43,145770.237
