ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603429.SH,20170124,21.6,21.6,21.6,21.6,15.0,6.6,44.0,166.0,358.56
603429.SH,20170125,23.76,23.76,23.76,23.76,21.6,2.16,10.0,25.0,59.4
603429.SH,20170126,26.14,26.14,26.14,26.14,23.76,2.38,10.02,67.15,175.53
603429.SH,20170203,28.75,28.75,28.75,28.75,26.14,2.61,9.98,141.0,405.375
603429.SH,20170206,31.63,31.63,31.63,31.63,28.75,2.88,10.02,308.0,974.204
603429.SH,20170207,34.79,34.79,34.79,34.79,31.63,3.16,9.99,297.01,1033.298
603429.SH,20170208,38.27,38.27,38.27,38.27,34.79,3.48,10.0,356.0,1362.412
603429.SH,20170209,42.1,42.1,42.1,42.1,38.27,3.83,10.01,315.91,1329.981
603429.SH,20170210,46.31,46.31,46.31,46.31,42.1,4.21,10.0,1492.54,6911.953
603429.SH,20170213,50.94,50.94,50.94,50.94,46.31,4.63,10.0,1981.26,10092.538
603429.SH,20170214,56.03,56.03,56.03,56.03,50.94,5.09,9.99,1404.43,7869.021
603429.SH,20170215,61.63,61.63,61.63,61.63,56.03,5.6,9.99,871.0,5367.973
603429.SH,20170216,67.79,67.79,66.15,67.79,61.63,6.16,10.0,51361.55,347863.684
603429.SH,20170217,67.78,67.78,61.26,62.43,67.79,-5.36,-7.91,99060.79,645061.223
603429.SH,20170220,62.6,63.58,59.0,62.12,62.43,-0.31,-0.5,43917.01,268347.139
603429.SH,20170221,61.4,64.3,60.5,61.98,62.12,-0.14,-0.23,31730.7,198710.863
603429.SH,20170222,61.28,63.95,60.31,63.32,61.98,1.34,2.16,30951.63,191622.767
603429.SH,20170223,63.54,69.0,63.01,67.96,63.32,4.64,7.33,53197.68,352302.861
603429.SH,20170224,68.6,68.6,66.01,66.81,67.96,-1.15,-1.69,24433.39,163614.543
603429.SH,20170227,67.3,67.8,65.8,66.67,66.81,-0.14,-0.21,17469.42,116695.749
603429.SH,20170228,66.01,70.48,65.82,69.77,66.67,3.1,4.65,29942.28,205390.284
603429.SH,20170301,69.1,72.2,67.85,68.63,69.77,-1.14,-1.63,35283.59,245523.117
603429.SH,20170302,67.88,70.18,67.51,68.6,68.63,-0.03,-0.04,15752.79,108220.882
603429.SH,20170303,68.61,70.5,67.6,68.59,68.6,-0.01,-0.01,16114.79,111518.449
603429.SH,20170306,68.99,70.59,68.5,70.04,68.59,1.45,2.11,19062.09,132802.521
603429.SH,20170307,71.0,72.49,70.25,72.08,70.04,2.04,2.91,17660.19,126189.962
603429.SH,20170308,72.5,73.5,71.0,72.76,72.08,0.68,0.94,16232.0,117474.013
603429.SH,20170309,72.3,74.49,71.7,74.46,72.76,1.7,2.34,16602.08,122006.877
603429.SH,20170310,75.0,76.2,74.02,75.96,74.46,1.5,2.01,17029.08,127985.795
603429.SH,20170313,75.27,81.4,74.16,80.98,75.96,5.02,6.61,23137.09,180870.478
603429.SH,20170314,80.98,83.5,79.11,79.95,80.98,-1.03,-1.27,19661.0,158937.124
603429.SH,20170315,78.85,81.4,78.6,80.09,79.95,0.14,0.18,11652.0,93088.233
603429.SH,20170316,80.79,85.5,79.7,85.18,80.09,5.09,6.36,21409.07,176615.44
603429.SH,20170317,86.8,86.8,83.84,85.53,85.18,0.35,0.41,14912.99,127204.191
603429.SH,20170320,85.5,86.8,84.33,86.41,85.53,0.88,1.03,9983.0,85682.507
603429.SH,20170321,87.0,87.19,80.12,80.95,86.41,-5.46,-6.32,24563.39,204152.476
603429.SH,20170322,80.01,83.1,79.58,81.99,80.95,1.04,1.28,19214.0,157003.831
603429.SH,20170323,81.95,83.5,78.71,83.44,81.99,1.45,1.77,13691.63,111804.729
603429.SH,20170324,83.03,85.29,82.0,84.25,83.44,0.81,0.97,10109.0,85086.67
603429.SH,20170327,84.3,88.0,84.3,87.68,84.25,3.43,4.07,9277.16,80429.384
603429.SH,20170328,88.55,89.99,84.48,88.52,87.68,0.84,0.96,11147.49,98169.969
603429.SH,20170329,88.44,90.3,85.05,88.58,88.52,0.06,0.07,13145.65,115342.331
603429.SH,20170330,88.0,88.27,84.01,84.55,88.58,-4.03,-4.55,11425.15,97983.272
603429.SH,20170331,83.25,86.76,82.5,86.02,84.55,1.47,1.74,5509.99,47030.963
603429.SH,20170405,85.2,90.85,85.03,90.54,86.02,4.52,5.25,7608.64,67434.476
603429.SH,20170406,90.1,92.71,89.0,90.33,90.54,-0.21,-0.23,8339.99,75843.039
603429.SH,20170407,89.1,91.2,88.25,89.53,90.33,-0.8,-0.89,6737.0,60179.746
603429.SH,20170410,90.97,90.97,85.1,87.52,89.53,-2.01,-2.25,7023.62,61443.186
603429.SH,20170411,87.5,90.0,85.84,88.6,87.52,1.08,1.23,7413.0,65293.386
603429.SH,20170412,89.8,90.2,86.15,87.43,88.6,-1.17,-1.32,6404.0,56384.175
603429.SH,20170413,87.26,88.3,85.58,86.23,87.43,-1.2,-1.37,4907.0,42707.272
603429.SH,20170414,85.02,86.3,82.94,85.84,86.23,-0.39,-0.45,8369.0,70665.91
603429.SH,20170417,85.0,85.0,78.0,80.62,85.84,-5.22,-6.08,7055.02,57120.325
603429.SH,20170418,79.59,81.5,72.56,72.56,80.62,-8.06,-10.0,11532.0,86080.058
603429.SH,20170419,72.1,73.5,68.15,73.47,72.56,0.91,1.25,4562.58,32503.127
603429.SH,20170420,73.11,74.2,71.0,72.31,73.47,-1.16,-1.58,2142.0,15519.04
603429.SH,20170421,71.59,73.98,68.66,71.9,72.31,-0.41,-0.57,5118.0,37210.092
603429.SH,20170424,71.88,72.5,70.26,71.76,71.9,-0.14,-0.19,2232.0,16056.088
603429.SH,20170425,72.24,73.0,70.58,72.49,71.76,0.73,1.02,1255.0,9082.245
603429.SH,20170426,72.95,75.0,72.13,73.22,72.49,0.73,1.01,2777.89,20399.193
603429.SH,20170427,72.9,75.8,72.02,75.14,73.22,1.92,2.62,2606.89,19265.57
603429.SH,20170428,74.3,76.38,74.3,75.13,75.14,-0.01,-0.01,2258.0,17012.141
603429.SH,20170502,75.2,76.13,74.4,75.93,75.13,0.8,1.06,2530.32,19089.441
603429.SH,20170503,75.93,77.2,75.3,75.9,75.93,-0.03,-0.04,2985.0,22696.543
603429.SH,20170504,75.61,77.0,74.5,76.46,75.9,0.56,0.74,1473.89,11224.492
603429.SH,20170505,75.82,77.4,75.82,77.11,76.46,0.65,0.85,1759.0,13486.779
603429.SH,20170508,77.25,78.1,76.04,77.35,77.11,0.24,0.31,1452.0,11238.834
603429.SH,20170509,77.0,77.51,75.62,76.39,77.35,-0.96,-1.24,1457.0,11147.101
603429.SH,20170510,76.19,76.94,73.02,74.51,76.39,-1.88,-2.46,2836.0,21186.201
603429.SH,20170511,75.14,75.36,72.1,74.58,74.51,0.07,0.09,1626.0,12032.622
603429.SH,20170512,73.75,74.5,71.2,73.99,74.58,-0.59,-0.79,3155.0,22967.31
603429.SH,20170515,72.5,75.99,72.5,75.52,73.99,1.53,2.07,1563.0,11674.748
603429.SH,20170516,75.6,79.2,74.74,78.68,75.52,3.16,4.18,5953.0,46047.311
603429.SH,20170517,78.59,84.6,78.29,83.98,78.68,5.3,6.74,7704.58,63035.175
603429.SH,20170518,83.8,85.45,82.53,84.43,83.98,0.45,0.54,3963.39,33370.862
603429.SH,20170519,85.0,85.44,81.5,82.22,84.43,-2.21,-2.62,3344.0,27704.8
603429.SH,20170522,82.2,83.5,80.51,81.39,82.22,-0.83,-1.01,2950.0,24112.495
603429.SH,20170523,80.6,83.6,79.5,81.67,81.39,0.28,0.34,2235.0,18272.557
603429.SH,20170524,82.09,82.8,80.6,81.38,81.67,-0.29,-0.36,2205.0,17946.026
603429.SH,20170525,83.0,83.0,80.51,81.99,81.38,0.61,0.75,2787.0,22880.391
603429.SH,20170526,80.72,81.68,78.8,80.88,81.99,-1.11,-1.35,2660.0,21379.967
603429.SH,20170531,83.8,83.8,79.0,79.36,80.88,-1.52,-1.88,1728.0,14003.754
603429.SH,20170601,79.29,79.35,77.4,77.97,79.36,-1.39,-1.75,1436.0,11191.284
603429.SH,20170602,77.76,80.99,77.2,80.64,77.97,2.67,3.42,3685.0,29089.549
603429.SH,20170605,82.9,82.9,79.73,80.44,80.64,-0.2,-0.25,2073.0,16840.962
603429.SH,20170606,79.33,82.0,79.0,81.45,80.44,1.01,1.26,1168.0,9452.246
603429.SH,20170607,80.73,83.0,80.73,82.48,81.45,1.03,1.26,2411.0,19839.851
603429.SH,20170608,82.46,82.89,81.4,82.01,82.48,-0.47,-0.57,2005.39,16485.473
603429.SH,20170609,81.13,81.99,80.5,80.63,82.01,-1.38,-1.68,920.0,7438.841
603429.SH,20170612,80.63,80.8,79.18,79.4,80.63,-1.23,-1.53,543.0,4333.597
603429.SH,20170613,79.99,80.99,79.62,80.98,79.4,1.58,1.99,1186.0,9548.273
603429.SH,20170614,81.2,81.58,78.01,79.5,80.98,-1.48,-1.83,1188.0,9432.109
603429.SH,20170615,79.25,81.65,79.0,81.08,79.5,1.58,1.99,1915.0,15372.935
603429.SH,20170616,80.22,81.34,79.8,80.82,81.08,-0.26,-0.32,651.0,5229.797
603429.SH,20170619,80.0,81.5,79.8,80.46,80.82,-0.36,-0.45,4164.0,33659.711
603429.SH,20170620,80.78,81.0,79.39,79.98,80.46,-0.48,-0.6,1243.39,9973.11
603429.SH,20170621,80.0,80.28,78.62,79.38,79.98,-0.6,-0.75,888.0,7040.037
603429.SH,20170622,79.2,79.8,77.01,78.03,79.38,-1.35,-1.7,1820.0,14313.151
603429.SH,20170623,78.01,80.7,77.8,80.69,78.03,2.66,3.41,3773.0,30278.251
603429.SH,20170626,80.59,82.5,80.21,82.19,80.69,1.5,1.86,3321.0,27117.266
603429.SH,20170627,82.46,83.55,81.0,81.94,82.19,-0.25,-0.3,2589.0,21320.647
