ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603508.SH,20151224,48.33,48.33,48.33,48.33,33.56,14.77,44.01,164.01,792.66
603508.SH,20151225,53.16,53.16,53.16,53.16,48.33,4.83,9.99,70.0,372.12
603508.SH,20151228,58.48,58.48,58.48,58.48,53.16,5.32,10.01,88.0,514.624
603508.SH,20151229,64.33,64.33,64.33,64.33,58.48,5.85,10.0,71.0,456.743
603508.SH,20151230,70.76,70.76,70.76,70.76,64.33,6.43,10.0,125.0,884.5
603508.SH,20151231,77.84,77.84,77.84,77.84,70.76,7.08,10.01,244.0,1899.296
603508.SH,20160104,85.62,85.62,85.62,85.62,77.84,7.78,9.99,514.0,4400.868
603508.SH,20160105,94.18,94.18,94.18,94.18,85.62,8.56,10.0,1168.0,11000.224
603508.SH,20160106,103.6,103.6,103.6,103.6,94.18,9.42,10.0,1421.33,14724.979
603508.SH,20160107,113.96,113.96,113.96,113.96,103.6,10.36,10.0,1149.0,13094.004
603508.SH,20160108,125.36,125.36,125.36,125.36,113.96,11.4,10.0,2556.5,32048.284
603508.SH,20160111,137.9,137.9,137.9,137.9,125.36,12.54,10.0,22910.77,315939.518
603508.SH,20160112,129.98,130.0,124.11,124.11,137.9,-13.79,-10.0,119285.49,1497823.741
603508.SH,20160113,111.88,116.7,111.7,111.7,124.11,-12.41,-10.0,126767.26,1425515.535
603508.SH,20160114,105.1,112.49,102.88,107.71,111.7,-3.99,-3.57,95105.71,1019034.112
603508.SH,20160115,109.24,110.99,96.99,97.3,107.71,-10.41,-9.66,106264.16,1109066.403
603508.SH,20160118,93.0,101.47,90.1,97.57,97.3,0.27,0.28,79535.94,761903.773
603508.SH,20160119,96.18,102.15,96.04,100.2,97.57,2.63,2.7,77116.65,767703.399
603508.SH,20160120,98.48,99.88,91.31,92.04,100.2,-8.16,-8.14,80467.78,771085.294
603508.SH,20160121,90.0,92.86,84.11,84.54,92.04,-7.5,-8.15,64044.74,570826.674
603508.SH,20160122,86.67,90.66,84.23,89.48,84.54,4.94,5.84,62916.32,553534.811
603508.SH,20160125,90.2,90.89,88.0,89.84,89.48,0.36,0.4,49157.95,440499.765
603508.SH,20160126,87.99,87.99,80.86,80.86,89.84,-8.98,-10.0,59494.43,497840.814
603508.SH,20160127,80.86,88.95,80.0,88.95,80.86,8.09,10.0,85269.33,735731.594
603508.SH,20160128,86.31,87.88,81.05,82.52,88.95,-6.43,-7.23,61479.27,520648.702
603508.SH,20160129,83.01,90.7,83.01,89.19,82.52,6.67,8.08,63028.49,554933.754
603508.SH,20160201,87.5,92.3,86.01,90.26,89.19,1.07,1.2,60255.24,537130.142
603508.SH,20160202,89.51,94.36,89.01,91.91,90.26,1.65,1.83,56187.33,518458.558
603508.SH,20160203,89.84,90.55,87.15,89.71,91.91,-2.2,-2.39,42749.29,380690.513
603508.SH,20160204,90.01,94.48,90.01,93.0,89.71,3.29,3.67,55943.87,519099.432
603508.SH,20160205,93.0,93.48,88.59,88.66,93.0,-4.34,-4.67,40997.89,370570.621
603508.SH,20160215,84.0,87.27,83.5,86.25,88.66,-2.41,-2.72,31424.92,267217.818
603508.SH,20160216,86.6,91.11,86.6,89.8,86.25,3.55,4.12,40183.27,359673.961
603508.SH,20160217,89.8,93.35,89.14,91.12,89.8,1.32,1.47,42570.84,388108.556
603508.SH,20160218,92.4,93.48,89.6,91.82,91.12,0.7,0.77,50723.01,465272.685
