ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603609.SH,20150105,14.38,14.44,14.1,14.37,14.35,0.02,0.14,26583.96,37927.059
603609.SH,20150106,14.3,14.88,14.21,14.71,14.37,0.34,2.37,43538.88,63506.918
603609.SH,20150107,14.7,14.7,14.37,14.46,14.71,-0.25,-1.7,29387.4,42534.235
603609.SH,20150108,14.52,15.8,14.52,15.26,14.46,0.8,5.53,144459.21,221190.818
603609.SH,20150109,14.99,15.69,14.83,14.91,15.26,-0.35,-2.29,73778.22,110945.768
603609.SH,20150112,14.78,14.78,14.16,14.21,14.91,-0.7,-4.69,47145.24,67632.974
603609.SH,20150113,14.22,14.55,14.19,14.46,14.21,0.25,1.76,23825.99,34200.864
603609.SH,20150114,14.35,14.42,14.22,14.31,14.46,-0.15,-1.04,18921.61,27026.006
603609.SH,20150115,14.26,14.51,14.26,14.42,14.31,0.11,0.77,20645.02,29713.452
603609.SH,20150116,14.49,15.14,14.41,14.84,14.42,0.42,2.91,54250.4,79984.892
603609.SH,20150119,14.41,15.13,14.3,14.53,14.84,-0.31,-2.09,57011.47,84128.709
603609.SH,20150120,14.56,15.16,14.56,15.15,14.53,0.62,4.27,68652.75,102783.557
603609.SH,20150121,15.17,15.67,15.05,15.58,15.15,0.43,2.84,104167.77,161540.803
603609.SH,20150122,15.5,15.73,15.37,15.6,15.58,0.02,0.13,65149.56,101293.982
603609.SH,20150123,15.59,15.64,15.09,15.1,15.6,-0.5,-3.21,66246.05,101061.58
603609.SH,20150126,15.07,15.27,15.06,15.24,15.1,0.14,0.93,30420.65,46163.646
603609.SH,20150127,15.23,15.41,15.1,15.39,15.24,0.15,0.98,48128.72,73647.586
603609.SH,20150128,15.38,15.56,15.22,15.27,15.39,-0.12,-0.78,41412.01,63760.609
603609.SH,20150129,14.69,15.0,14.69,14.87,15.27,-0.4,-2.62,36108.49,53725.728
603609.SH,20150130,14.95,15.17,14.74,14.88,14.87,0.01,0.07,25012.15,37376.941
603609.SH,20150202,15.07,15.55,15.0,15.09,14.88,0.21,1.41,58690.77,89581.557
603609.SH,20150203,15.0,15.0,14.64,14.92,15.09,-0.17,-1.13,40875.5,60505.766
603609.SH,20150204,14.87,14.91,14.68,14.7,14.92,-0.22,-1.47,25811.79,38082.457
603609.SH,20150205,14.91,14.98,14.52,14.53,14.7,-0.17,-1.16,25207.0,37116.887
603609.SH,20150206,14.51,14.52,14.1,14.15,14.53,-0.38,-2.62,30142.08,42970.8
603609.SH,20150209,14.06,14.26,14.05,14.19,14.15,0.04,0.28,12975.65,18406.067
603609.SH,20150210,14.21,14.27,14.12,14.19,14.19,0.0,0.0,13441.61,19061.52
603609.SH,20150211,14.24,14.38,14.19,14.3,14.19,0.11,0.78,12521.12,17885.978
603609.SH,20150212,14.38,14.5,14.26,14.47,14.3,0.17,1.19,14489.72,20927.817
603609.SH,20150213,14.55,14.65,14.43,14.57,14.47,0.1,0.69,22140.54,32224.874
603609.SH,20150216,14.63,14.75,14.58,14.69,14.57,0.12,0.82,22144.3,32520.347
603609.SH,20150217,14.7,14.75,14.62,14.69,14.69,0.0,0.0,17967.51,26386.799
603609.SH,20150225,14.61,14.69,14.56,14.58,14.69,-0.11,-0.75,16025.25,23428.268
603609.SH,20150226,14.6,14.92,14.6,14.91,14.58,0.33,2.26,28396.16,42025.476
603609.SH,20150227,14.8,15.35,14.8,15.23,14.91,0.32,2.15,63508.71,96199.479
603609.SH,20150302,15.37,15.37,15.06,15.26,15.23,0.03,0.2,45874.28,69668.124
603609.SH,20150303,15.18,15.22,15.08,15.09,15.26,-0.17,-1.11,43632.5,66072.538
603609.SH,20150304,15.07,15.8,15.05,15.71,15.09,0.62,4.11,121519.22,188852.005
603609.SH,20150305,15.62,15.69,15.3,15.37,15.71,-0.34,-2.16,61395.06,94587.804
603609.SH,20150306,15.45,15.72,15.16,15.2,15.37,-0.17,-1.11,44757.1,68860.899
603609.SH,20150309,15.25,15.26,15.01,15.25,15.2,0.05,0.33,26096.82,39569.78
603609.SH,20150310,15.25,15.36,15.15,15.28,15.25,0.03,0.2,35611.83,54314.092
603609.SH,20150311,15.28,15.35,15.02,15.05,15.28,-0.23,-1.51,35038.0,53037.065
603609.SH,20150312,15.1,15.17,14.88,14.92,15.05,-0.13,-0.86,36807.68,55222.79
603609.SH,20150313,15.12,15.48,15.11,15.26,14.92,0.34,2.28,46511.33,71116.298
603609.SH,20150316,15.26,15.54,15.25,15.53,15.26,0.27,1.77,70931.16,109440.622
603609.SH,20150317,15.58,15.86,15.43,15.78,15.53,0.25,1.61,98544.81,154648.275
603609.SH,20150318,15.77,16.14,15.62,16.13,15.78,0.35,2.22,109073.01,173282.099
603609.SH,20150319,16.15,16.25,15.83,16.01,16.13,-0.12,-0.74,87548.49,140019.905
603609.SH,20150320,16.12,16.17,15.88,16.04,16.01,0.03,0.19,68160.16,108908.269
603609.SH,20150323,16.04,16.39,16.04,16.29,16.04,0.25,1.56,91212.3,147664.216
603609.SH,20150324,16.38,16.38,15.63,15.94,16.29,-0.35,-2.15,86415.24,138051.118
