ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603665.SH,20170313,25.68,30.82,25.68,30.82,21.4,9.42,44.02,86.0,264.538
603665.SH,20170314,33.9,33.9,33.9,33.9,30.82,3.08,9.99,53.0,179.67
603665.SH,20170315,37.29,37.29,37.29,37.29,33.9,3.39,10.0,19.0,70.851
603665.SH,20170316,41.02,41.02,41.02,41.02,37.29,3.73,10.0,67.0,274.834
603665.SH,20170317,45.12,45.12,45.12,45.12,41.02,4.1,10.0,208.9,942.557
603665.SH,20170320,49.63,49.63,49.63,49.63,45.12,4.51,10.0,371.35,1843.01
603665.SH,20170321,54.59,54.59,54.59,54.59,49.63,4.96,9.99,538.0,2936.942
603665.SH,20170322,60.05,60.05,60.05,60.05,54.59,5.46,10.0,576.0,3458.88
603665.SH,20170323,66.06,66.06,66.06,66.06,60.05,6.01,10.01,605.0,3996.63
603665.SH,20170324,72.67,72.67,72.1,72.67,66.06,6.61,10.01,42099.99,305924.494
603665.SH,20170327,75.0,79.23,72.6,76.34,72.67,3.67,5.05,143683.8,1098677.395
603665.SH,20170328,73.08,74.8,70.0,70.03,76.34,-6.31,-8.27,82562.93,592685.256
603665.SH,20170329,68.0,68.01,64.0,64.22,70.03,-5.81,-8.3,72458.81,473938.01
603665.SH,20170330,62.55,66.5,62.53,64.54,64.22,0.32,0.5,53273.35,344291.911
603665.SH,20170331,64.0,65.4,58.39,59.09,64.54,-5.45,-8.44,51292.66,315530.758
603665.SH,20170405,58.51,59.37,55.88,58.79,59.09,-0.3,-0.51,35933.09,207868.933
603665.SH,20170406,58.19,61.5,58.01,59.87,58.79,1.08,1.84,36241.96,217766.665
603665.SH,20170407,59.87,60.4,57.75,58.19,59.87,-1.68,-2.81,27128.46,159390.687
603665.SH,20170410,57.37,57.4,52.86,53.03,58.19,-5.16,-8.87,35762.41,196260.179
603665.SH,20170411,52.8,54.54,52.18,54.19,53.03,1.16,2.19,27356.58,146223.243
603665.SH,20170412,53.9,53.9,51.61,51.97,54.19,-2.22,-4.1,22479.59,118447.113
603665.SH,20170413,51.56,52.92,51.55,51.95,51.97,-0.02,-0.04,14428.0,75452.578
603665.SH,20170414,51.9,52.2,50.0,50.04,51.95,-1.91,-3.68,17327.24,88217.257
603665.SH,20170417,47.91,47.91,45.45,45.74,50.04,-4.3,-8.59,24939.76,115575.249
603665.SH,20170418,46.2,46.49,45.3,45.88,45.74,0.14,0.31,14407.88,66155.506
603665.SH,20170419,46.0,47.34,45.68,47.25,45.88,1.37,2.99,19467.03,90781.569
603665.SH,20170420,46.8,47.6,45.78,46.18,47.25,-1.07,-2.26,14827.57,69138.034
603665.SH,20170421,46.33,46.97,45.95,46.32,46.18,0.14,0.3,10002.16,46404.514
603665.SH,20170424,46.3,46.3,44.18,44.65,46.32,-1.67,-3.61,12808.67,57368.192
603665.SH,20170425,44.68,45.78,44.66,44.8,44.65,0.15,0.34,10939.69,49429.479
603665.SH,20170426,44.5,45.73,44.03,44.97,44.8,0.17,0.38,12860.72,58160.593
603665.SH,20170427,44.5,46.95,43.0,46.83,44.97,1.86,4.14,28731.75,131276.382
603665.SH,20170428,46.49,47.17,46.21,46.84,46.83,0.01,0.02,15966.99,74596.009
603665.SH,20170502,47.01,47.16,46.38,46.8,46.84,-0.04,-0.09,12010.38,56198.824
603665.SH,20170503,46.4,47.38,45.3,47.01,46.8,0.21,0.45,19987.86,92652.523
603665.SH,20170504,46.7,46.88,45.55,45.82,47.01,-1.19,-2.53,11825.89,54709.122
603665.SH,20170505,45.35,45.73,44.28,44.34,45.82,-1.48,-3.23,12616.91,56870.997
603665.SH,20170508,44.26,44.86,43.0,43.04,44.34,-1.3,-2.93,10049.58,44419.629
603665.SH,20170509,42.9,44.35,42.41,43.9,43.04,0.86,2.0,12128.54,52764.516
603665.SH,20170510,43.8,44.39,42.5,42.59,43.9,-1.31,-2.98,12200.36,53246.977
603665.SH,20170511,41.9,42.43,40.5,42.18,42.59,-0.41,-0.96,13785.14,57431.445
603665.SH,20170512,42.15,42.96,42.02,42.3,42.18,0.12,0.28,11820.49,50245.272
603665.SH,20170515,42.36,42.66,41.5,41.53,42.3,-0.77,-1.82,8582.5,35899.974
603665.SH,20170516,41.01,42.26,40.51,42.24,41.53,0.71,1.71,14994.81,61939.842
603665.SH,20170517,42.33,43.66,42.01,42.99,42.24,0.75,1.78,15583.27,66931.86
603665.SH,20170518,42.85,43.28,42.11,42.54,42.99,-0.45,-1.05,9467.14,40478.558
603665.SH,20170519,42.31,43.06,42.01,42.06,42.54,-0.48,-1.13,7401.92,31447.559
603665.SH,20170522,41.79,42.48,38.88,39.0,42.06,-3.06,-7.28,15563.08,63162.539
603665.SH,20170523,39.02,39.55,37.81,37.92,39.0,-1.08,-2.77,14727.08,57054.965
603665.SH,20170524,37.97,38.33,37.2,38.28,37.92,0.36,0.95,8469.67,32137.426
603665.SH,20170525,38.3,38.5,37.33,38.29,38.28,0.01,0.03,9178.01,34872.661
603665.SH,20170526,38.25,39.9,38.03,39.17,38.29,0.88,2.3,10226.1,39741.376
603665.SH,20170531,41.0,41.0,39.3,39.31,39.17,0.14,0.36,11952.08,48027.783
603665.SH,20170601,38.93,38.93,36.31,36.45,39.31,-2.86,-7.28,10566.87,39829.062
603665.SH,20170602,36.07,37.67,36.02,37.4,36.45,0.95,2.61,7834.02,28889.688
603665.SH,20170605,37.98,38.15,37.38,37.47,37.4,0.07,0.19,7855.75,29649.998
603665.SH,20170606,37.09,37.6,37.06,37.59,37.47,0.12,0.32,5075.26,18982.608
603665.SH,20170607,37.55,39.22,37.41,39.08,37.59,1.49,3.96,14107.71,54489.704
603665.SH,20170608,38.85,39.23,38.45,38.67,39.08,-0.41,-1.05,8643.21,33587.75
603665.SH,20170609,39.25,42.47,39.21,41.79,38.67,3.12,8.07,30792.66,127116.033
603665.SH,20170612,40.5,45.8,40.5,44.45,41.79,2.66,6.37,45536.98,197469.616
603665.SH,20170613,44.35,45.3,43.11,44.62,44.45,0.17,0.38,34499.51,152301.229
603665.SH,20170614,44.55,44.55,42.6,42.66,44.62,-1.96,-4.39,26348.1,114198.673
603665.SH,20170615,42.42,43.65,42.42,42.81,42.66,0.15,0.35,21178.88,91192.779
603665.SH,20170616,42.56,42.94,41.75,42.03,42.81,-0.78,-1.82,16451.58,69313.338
603665.SH,20170619,42.11,42.59,41.76,42.28,42.03,0.25,0.59,9819.29,41377.531
603665.SH,20170620,42.96,42.96,41.71,41.74,42.28,-0.54,-1.28,14744.75,62561.571
603665.SH,20170621,41.6,42.1,41.12,41.44,41.74,-0.3,-0.72,12724.81,52820.477
