ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603737.SH,20160603,22.95,22.95,22.95,22.95,15.94,7.01,43.98,155.0,355.725
603737.SH,20160606,25.25,25.25,25.25,25.25,22.95,2.3,10.02,22.0,55.55
603737.SH,20160607,27.78,27.78,27.78,27.78,25.25,2.53,10.02,35.0,97.23
603737.SH,20160608,30.56,30.56,30.56,30.56,27.78,2.78,10.01,158.75,485.14
603737.SH,20160613,33.62,33.62,33.62,33.62,30.56,3.06,10.01,346.27,1164.16
603737.SH,20160614,36.98,36.98,36.98,36.98,33.62,3.36,9.99,627.34,2319.903
603737.SH,20160615,40.68,40.68,40.68,40.68,36.98,3.7,10.01,286.5,1165.482
603737.SH,20160616,44.75,44.75,44.75,44.75,40.68,4.07,10.0,257.15,1150.746
603737.SH,20160617,49.23,49.23,49.23,49.23,44.75,4.48,10.01,1086.13,5347.018
603737.SH,20160620,54.15,54.15,54.15,54.15,49.23,4.92,9.99,1332.01,7212.834
603737.SH,20160621,59.57,59.57,59.57,59.57,54.15,5.42,10.01,998.79,5949.792
603737.SH,20160622,65.53,65.53,65.53,65.53,59.57,5.96,10.01,1152.33,7551.218
603737.SH,20160623,72.08,72.08,72.08,72.08,65.53,6.55,10.0,2413.01,17392.976
603737.SH,20160624,79.29,79.29,79.29,79.29,72.08,7.21,10.0,2013.69,15966.548
603737.SH,20160627,87.22,87.22,87.22,87.22,79.29,7.93,10.0,10737.11,93649.073
603737.SH,20160628,95.94,95.94,95.94,95.94,87.22,8.72,10.0,2631.18,25243.541
603737.SH,20160629,105.53,105.53,105.53,105.53,95.94,9.59,10.0,1748.55,18452.448
603737.SH,20160630,111.0,116.08,106.0,116.08,105.53,10.55,10.0,179909.75,2033828.95
603737.SH,20160701,111.0,116.0,108.5,111.81,116.08,-4.27,-3.68,87725.18,988125.293
603737.SH,20160704,111.89,112.0,108.33,110.38,111.81,-1.43,-1.28,56773.07,623260.883
603737.SH,20160705,110.11,117.99,109.1,115.68,110.38,5.3,4.8,96591.87,1113280.288
603737.SH,20160706,114.0,115.6,110.0,112.75,115.68,-2.93,-2.53,57436.0,645925.441
603737.SH,20160707,111.12,118.5,111.02,113.72,112.75,0.97,0.86,64406.13,742605.399
603737.SH,20160708,111.51,113.4,110.0,110.42,113.72,-3.3,-2.9,42732.83,475364.814
603737.SH,20160711,110.0,110.8,99.38,99.38,110.42,-11.04,-10.0,63645.73,650436.215
603737.SH,20160712,96.96,101.58,92.06,100.52,99.38,1.14,1.15,54520.75,527427.105
603737.SH,20160713,99.0,101.66,96.5,98.86,100.52,-1.66,-1.65,38939.97,386017.506
603737.SH,20160714,98.0,100.84,97.5,99.72,98.86,0.86,0.87,29597.28,294396.63
603737.SH,20160715,100.5,103.2,99.01,100.88,99.72,1.16,1.16,35970.92,365993.955
