ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603797.SH,20170413,7.15,8.58,7.15,8.58,5.96,2.62,43.96,41.96,35.859
603797.SH,20170414,9.44,9.44,9.44,9.44,8.58,0.86,10.02,20.0,18.88
603797.SH,20170417,10.38,10.38,10.38,10.38,9.44,0.94,9.96,82.96,86.112
603797.SH,20170418,11.42,11.42,11.42,11.42,10.38,1.04,10.02,124.0,141.608
603797.SH,20170419,12.56,12.56,12.56,12.56,11.42,1.14,9.98,214.36,269.236
603797.SH,20170420,13.82,13.82,13.82,13.82,12.56,1.26,10.03,173.0,239.086
603797.SH,20170421,15.2,15.2,15.2,15.2,13.82,1.38,9.99,416.75,633.46
603797.SH,20170424,16.72,16.72,16.72,16.72,15.2,1.52,10.0,2953.13,4937.633
603797.SH,20170425,18.39,18.39,18.39,18.39,16.72,1.67,9.99,3117.42,5732.935
603797.SH,20170426,20.23,20.23,20.23,20.23,18.39,1.84,10.01,2609.51,5279.039
603797.SH,20170427,22.25,22.25,22.25,22.25,20.23,2.02,9.99,3954.66,8799.119
603797.SH,20170428,24.48,24.48,24.48,24.48,22.25,2.23,10.02,2080.84,5093.896
603797.SH,20170502,26.93,26.93,26.93,26.93,24.48,2.45,10.01,1975.84,5320.937
603797.SH,20170503,29.62,29.62,29.62,29.62,26.93,2.69,9.99,5622.17,16652.868
603797.SH,20170504,32.58,32.58,30.5,32.58,29.62,2.96,9.99,383485.16,1214543.309
603797.SH,20170505,31.0,32.58,29.32,29.32,32.58,-3.26,-10.01,277375.66,853214.661
603797.SH,20170508,28.03,28.67,26.39,26.39,29.32,-2.93,-9.99,186647.75,505776.258
603797.SH,20170509,25.51,27.06,25.1,25.98,26.39,-0.41,-1.55,167656.39,437553.109
603797.SH,20170510,26.35,26.7,23.39,23.78,25.98,-2.2,-8.47,182560.63,458943.828
603797.SH,20170511,23.03,24.74,22.53,24.44,23.78,0.66,2.78,154322.25,362183.787
603797.SH,20170512,23.97,26.88,23.38,26.88,24.44,2.44,9.98,193757.13,493134.487
603797.SH,20170515,27.4,28.71,26.26,27.79,26.88,0.91,3.39,295969.73,809045.146
