ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603809.SH,20171128,26.87,32.24,26.87,32.24,22.39,9.85,43.99,135.7,436.96
603809.SH,20171129,35.46,35.46,35.46,35.46,32.24,3.22,9.99,98.4,348.926
603809.SH,20171130,39.01,39.01,39.01,39.01,35.46,3.55,10.01,218.21,851.237
603809.SH,20171201,42.91,42.91,42.91,42.91,39.01,3.9,10.0,960.53,4121.634
603809.SH,20171204,47.2,47.2,39.47,39.69,42.91,-3.22,-7.5,120430.68,500951.928
603809.SH,20171205,39.5,41.3,37.18,38.64,39.69,-1.05,-2.65,81569.63,324256.18
603809.SH,20171206,38.03,39.3,36.26,38.28,38.64,-0.36,-0.93,67554.79,254499.212
603809.SH,20171207,37.56,37.56,36.01,36.08,38.28,-2.2,-5.75,53073.52,195125.204
603809.SH,20171208,35.76,37.33,35.5,36.3,36.08,0.22,0.61,50367.74,184861.686
603809.SH,20171211,36.2,37.29,36.2,36.48,36.3,0.18,0.5,31774.65,116199.28
603809.SH,20171212,36.2,36.2,34.4,34.41,36.48,-2.07,-5.67,44318.23,155606.718
603809.SH,20171213,34.31,35.2,34.05,34.83,34.41,0.42,1.22,26036.44,90383.408
603809.SH,20171214,34.66,35.53,34.35,35.21,34.83,0.38,1.09,30703.37,107421.468
603809.SH,20171215,35.0,35.09,34.14,34.34,35.21,-0.87,-2.47,29456.76,102047.943
603809.SH,20171218,34.69,34.69,33.66,33.87,34.34,-0.47,-1.37,20910.58,71277.443
603809.SH,20171219,34.0,34.5,33.91,34.36,33.87,0.49,1.45,21601.46,73967.995
603809.SH,20171220,34.31,34.78,33.63,33.75,34.36,-0.61,-1.78,19820.21,67805.03
603809.SH,20171221,33.6,33.75,32.83,33.42,33.75,-0.33,-0.98,22805.48,75940.672
603809.SH,20171222,33.4,34.2,33.23,33.64,33.42,0.22,0.66,19217.21,64866.163
603809.SH,20171225,33.51,33.6,32.5,33.48,33.64,-0.16,-0.48,24410.92,80534.19
603809.SH,20171226,33.3,35.35,33.12,34.89,33.48,1.41,4.21,41443.93,143331.265
603809.SH,20171227,34.76,36.75,34.62,35.56,34.89,0.67,1.92,62094.18,221807.09
603809.SH,20171228,35.1,37.1,35.1,37.07,35.56,1.51,4.25,67154.81,244420.713
603809.SH,20171229,36.85,37.01,35.6,36.04,37.07,-1.03,-2.78,41304.29,149436.229
603809.SH,20180102,36.3,36.7,35.9,36.58,36.04,0.54,1.5,30321.03,110421.677
603809.SH,20180103,36.37,36.37,35.27,35.69,36.58,-0.89,-2.43,32758.08,116896.786
603809.SH,20180104,35.44,35.92,34.92,35.41,35.69,-0.28,-0.78,27878.48,98751.92
603809.SH,20180105,35.18,35.67,34.91,35.12,35.41,-0.29,-0.82,18099.63,63849.856
603809.SH,20180108,35.18,36.38,35.18,36.37,35.12,1.25,3.56,42469.48,152838.811
603809.SH,20180109,36.58,37.98,36.44,36.78,36.37,0.41,1.13,57881.31,215809.897
603809.SH,20180110,36.37,36.77,35.0,35.6,36.78,-1.18,-3.21,34547.49,123401.525
603809.SH,20180111,35.88,38.7,35.42,37.44,35.6,1.84,5.17,61555.89,230001.271
603809.SH,20180112,37.02,38.05,36.61,38.0,37.44,0.56,1.5,55462.8,206484.341
603809.SH,20180115,37.44,37.73,36.5,36.98,38.0,-1.02,-2.68,37283.29,138642.327
603809.SH,20180116,36.56,38.68,36.46,37.98,36.98,1.0,2.7,48114.02,182048.175
603809.SH,20180117,37.6,38.66,37.08,38.43,37.98,0.45,1.18,43108.89,163893.746
603809.SH,20180118,38.44,39.2,37.56,38.18,38.43,-0.25,-0.65,35371.57,134947.671
603809.SH,20180119,37.8,38.5,36.86,36.96,38.18,-1.22,-3.2,33329.9,125700.638
603809.SH,20180122,36.51,36.79,35.07,35.77,36.96,-1.19,-3.22,27611.32,99036.055
603809.SH,20180123,35.85,36.23,35.56,35.97,35.77,0.2,0.56,16132.52,57825.573
603809.SH,20180124,35.97,36.48,35.7,36.22,35.97,0.25,0.7,20289.12,73461.467
603809.SH,20180125,36.22,36.35,35.38,35.4,36.22,-0.82,-2.26,26790.99,95925.269
603809.SH,20180126,35.18,35.55,34.38,34.45,35.4,-0.95,-2.68,22711.34,79469.438
603809.SH,20180129,34.48,35.18,34.36,34.82,34.45,0.37,1.07,15059.83,52389.583
603809.SH,20180130,34.62,34.95,34.38,34.61,34.82,-0.21,-0.6,11737.09,40584.484
603809.SH,20180131,34.57,34.57,33.02,33.2,34.61,-1.41,-4.07,19037.54,64403.469
603809.SH,20180201,33.23,33.6,31.68,31.7,33.2,-1.5,-4.52,18646.19,60623.444
603809.SH,20180202,31.35,32.13,30.76,31.4,31.7,-0.3,-0.95,13841.28,43535.647
603809.SH,20180205,30.8,31.32,30.25,30.76,31.4,-0.64,-2.04,9980.94,30860.275
603809.SH,20180206,30.02,30.78,28.05,28.09,30.76,-2.67,-8.68,22783.33,66916.929
603809.SH,20180207,28.95,29.29,28.03,28.73,28.09,0.64,2.28,18131.77,52177.524
603809.SH,20180208,28.73,29.32,28.56,29.16,28.73,0.43,1.5,13154.85,38248.646
603809.SH,20180209,28.28,28.82,28.01,28.27,29.16,-0.89,-3.05,13492.9,38237.846
603809.SH,20180212,28.74,29.32,28.63,29.14,28.27,0.87,3.08,12714.11,36930.608
603809.SH,20180213,29.2,30.45,28.94,29.98,29.14,0.84,2.88,19826.85,58846.514
603809.SH,20180214,29.5,29.95,29.48,29.92,29.98,-0.06,-0.2,8320.42,24702.529
603809.SH,20180222,30.11,30.28,29.82,30.15,29.92,0.23,0.77,9635.0,29044.41
603809.SH,20180223,30.26,30.37,29.85,29.99,30.15,-0.16,-0.53,11879.39,35685.245
603809.SH,20180226,30.5,31.2,30.4,31.06,29.99,1.07,3.57,19488.67,60069.171
603809.SH,20180227,31.0,31.0,30.6,30.75,31.06,-0.31,-1.0,12536.15,38584.195
603809.SH,20180228,30.58,30.58,29.9,30.01,30.75,-0.74,-2.41,14924.47,44894.992
603809.SH,20180301,29.81,30.5,29.72,30.35,30.01,0.34,1.13,13160.71,39684.883
603809.SH,20180302,30.1,30.3,29.78,29.81,30.35,-0.54,-1.78,11596.4,34853.534
603809.SH,20180305,29.72,30.28,29.72,30.27,29.81,0.46,1.54,11094.67,33324.677
603809.SH,20180306,30.3,30.97,30.15,30.72,30.27,0.45,1.49,15733.48,48150.377
603809.SH,20180307,30.89,31.28,30.41,30.53,30.72,-0.19,-0.62,15888.62,48951.937
603809.SH,20180308,30.38,31.16,30.35,31.0,30.53,0.47,1.54,14691.46,45400.986
603809.SH,20180309,30.88,31.68,30.8,31.59,31.0,0.59,1.9,20653.55,64782.239
603809.SH,20180312,31.68,32.05,31.31,31.72,31.59,0.13,0.41,19570.1,62029.784
603809.SH,20180313,31.54,31.69,31.03,31.13,31.72,-0.59,-1.86,14222.13,44639.599
603809.SH,20180314,31.0,32.28,30.97,31.84,31.13,0.71,2.28,22032.81,69842.232
603809.SH,20180315,31.68,31.68,29.61,30.18,31.84,-1.66,-5.21,21736.21,66261.342
603809.SH,20180316,29.93,30.97,29.93,30.31,30.18,0.13,0.43,12746.96,38821.58
603809.SH,20180319,30.13,31.17,30.12,30.96,30.31,0.65,2.14,14781.43,45639.496
603809.SH,20180320,30.66,31.53,30.45,31.51,30.96,0.55,1.78,17691.51,55083.098
603809.SH,20180321,31.98,31.98,30.3,30.7,31.51,-0.81,-2.57,17132.65,53742.869
603809.SH,20180322,30.9,31.66,30.8,31.32,30.7,0.62,2.02,14748.6,46119.543
603809.SH,20180323,29.99,30.56,28.52,28.83,31.32,-2.49,-7.95,19744.5,58579.222
603809.SH,20180326,28.49,29.48,28.05,29.37,28.83,0.54,1.87,11973.37,34454.132
603809.SH,20180327,29.5,30.36,29.5,30.0,29.37,0.63,2.15,13489.81,40398.411
603809.SH,20180328,29.6,30.03,29.41,29.69,30.0,-0.31,-1.03,11427.82,33955.62
603809.SH,20180329,29.81,30.88,29.8,30.84,29.69,1.15,3.87,17652.22,53567.368
603809.SH,20180330,30.8,31.49,30.75,30.95,30.84,0.11,0.36,17452.9,54289.035
603809.SH,20180402,31.14,31.24,30.7,31.17,30.95,0.22,0.71,14707.26,45596.832
603809.SH,20180403,30.5,31.85,30.21,31.73,31.17,0.56,1.8,23656.32,73451.855
603809.SH,20180404,31.81,32.39,31.18,31.37,31.73,-0.36,-1.13,24859.8,78878.783
603809.SH,20180409,31.3,32.97,31.25,32.61,31.37,1.24,3.95,30555.9,98297.594
603809.SH,20180410,32.85,32.98,31.82,32.38,32.61,-0.23,-0.71,28343.51,91599.45
603809.SH,20180411,32.24,33.55,32.24,32.99,32.38,0.61,1.88,29845.98,98384.161
603809.SH,20180412,32.77,33.3,32.28,32.73,32.99,-0.26,-0.79,23969.37,78747.39
603809.SH,20180413,32.89,33.3,32.7,33.03,32.73,0.3,0.92,22309.61,73722.752
603809.SH,20180416,32.97,32.97,31.8,32.09,33.03,-0.94,-2.85,16560.19,53482.013
603809.SH,20180417,32.32,32.57,30.89,30.95,32.09,-1.14,-3.55,16458.94,52453.719
