ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603817.SH,20170220,5.82,5.82,5.82,5.82,4.04,1.78,44.06,341.0,198.462
603817.SH,20170221,6.4,6.4,6.4,6.4,5.82,0.58,9.97,92.0,58.88
603817.SH,20170222,7.04,7.04,7.04,7.04,6.4,0.64,10.0,119.0,83.776
603817.SH,20170223,7.74,7.74,7.74,7.74,7.04,0.7,9.94,246.0,190.404
603817.SH,20170224,8.51,8.51,8.51,8.51,7.74,0.77,9.95,444.09,377.921
603817.SH,20170227,9.36,9.36,9.36,9.36,8.51,0.85,9.99,725.58,679.143
603817.SH,20170228,10.3,10.3,10.3,10.3,9.36,0.94,10.04,452.17,465.735
603817.SH,20170301,11.33,11.33,11.33,11.33,10.3,1.03,10.0,522.13,591.573
603817.SH,20170302,12.46,12.46,12.46,12.46,11.33,1.13,9.97,1090.1,1358.265
603817.SH,20170303,13.71,13.71,13.71,13.71,12.46,1.25,10.03,2429.01,3330.173
603817.SH,20170306,15.08,15.08,15.08,15.08,13.71,1.37,9.99,4394.25,6626.529
603817.SH,20170307,16.59,16.59,16.59,16.59,15.08,1.51,10.01,2534.2,4204.238
603817.SH,20170308,18.25,18.25,18.25,18.25,16.59,1.66,10.01,2387.38,4356.969
603817.SH,20170309,20.08,20.08,20.08,20.08,18.25,1.83,10.03,5483.96,11011.792
603817.SH,20170310,22.09,22.09,22.09,22.09,20.08,2.01,10.01,10064.39,22232.238
603817.SH,20170313,22.9,24.11,22.3,23.5,22.09,1.41,6.38,705944.27,1631983.232
603817.SH,20170314,22.58,24.91,22.3,23.71,23.5,0.21,0.89,585174.14,1387936.132
603817.SH,20170315,23.04,26.0,22.6,25.41,23.71,1.7,7.17,601153.65,1453697.129
603817.SH,20170316,24.6,27.95,24.4,27.95,25.41,2.54,10.0,634862.02,1681322.329
603817.SH,20170317,28.18,30.0,26.88,27.64,27.95,-0.31,-1.11,690879.44,1968288.809
603817.SH,20170320,26.74,27.5,26.27,27.15,27.64,-0.49,-1.77,298698.88,800818.039
603817.SH,20170321,26.88,28.97,26.71,28.5,27.15,1.35,4.97,407367.62,1151564.919
603817.SH,20170322,28.0,28.99,27.59,28.37,28.5,-0.13,-0.46,364756.53,1037371.947
603817.SH,20170323,28.01,28.45,26.19,27.33,28.37,-1.04,-3.67,326686.42,899399.304
