ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603955.SH,20170310,18.31,21.97,18.31,21.97,15.26,6.71,43.97,64.0,139.51
603955.SH,20170313,24.17,24.17,24.17,24.17,21.97,2.2,10.01,25.0,60.425
603955.SH,20170314,26.59,26.59,26.59,26.59,24.17,2.42,10.01,49.74,132.259
603955.SH,20170315,29.25,29.25,29.25,29.25,26.59,2.66,10.0,32.67,95.56
603955.SH,20170316,32.18,32.18,32.18,32.18,29.25,2.93,10.02,63.0,202.734
603955.SH,20170317,35.4,35.4,35.4,35.4,32.18,3.22,10.01,284.5,1007.13
603955.SH,20170320,38.94,38.94,38.94,38.94,35.4,3.54,10.0,200.5,780.747
603955.SH,20170321,42.83,42.83,42.83,42.83,38.94,3.89,9.99,287.5,1231.363
603955.SH,20170322,47.11,47.11,47.11,47.11,42.83,4.28,9.99,363.0,1710.093
603955.SH,20170323,51.82,51.82,51.82,51.82,47.11,4.71,10.0,258.0,1336.956
603955.SH,20170324,57.0,57.0,57.0,57.0,51.82,5.18,10.0,2179.01,12420.357
603955.SH,20170327,62.7,62.7,62.7,62.7,57.0,5.7,10.0,1097.67,6882.391
603955.SH,20170328,68.97,68.97,68.97,68.97,62.7,6.27,10.0,767.67,5294.62
603955.SH,20170329,75.86,75.86,69.3,69.67,68.97,0.7,1.01,142330.97,1039530.705
603955.SH,20170330,63.8,68.29,62.9,63.74,69.67,-5.93,-8.51,91493.78,590745.764
603955.SH,20170331,62.4,63.45,57.4,57.48,63.74,-6.26,-9.82,65869.74,398182.59
603955.SH,20170405,57.4,62.24,57.4,60.93,57.48,3.45,6.0,55895.49,336304.157
603955.SH,20170406,59.74,65.99,58.9,63.3,60.93,2.37,3.89,56643.98,356136.096
603955.SH,20170407,63.79,65.25,61.8,63.4,63.3,0.1,0.16,52213.52,333128.353
603955.SH,20170410,61.51,62.99,57.06,57.07,63.4,-6.33,-9.98,50712.87,302676.051
603955.SH,20170411,55.1,58.33,55.09,57.75,57.07,0.68,1.19,30146.6,171442.269
603955.SH,20170412,56.99,57.0,53.22,53.27,57.75,-4.48,-7.76,35019.82,191255.373
603955.SH,20170413,52.5,54.85,52.5,52.89,53.27,-0.38,-0.71,20787.64,111532.314
603955.SH,20170414,53.3,54.48,52.67,53.14,52.89,0.25,0.47,21301.14,114155.785
603955.SH,20170417,49.83,50.77,47.83,47.83,53.14,-5.31,-9.99,27691.63,134355.328
603955.SH,20170418,47.02,48.47,46.38,46.42,47.83,-1.41,-2.95,16916.22,80189.61
603955.SH,20170419,46.5,48.77,45.52,48.7,46.42,2.28,4.91,24959.98,118722.926
603955.SH,20170420,48.4,48.59,46.01,47.38,48.7,-1.32,-2.71,22590.59,106751.361
603955.SH,20170421,47.03,47.87,47.01,47.36,47.38,-0.02,-0.04,10839.34,51400.077
603955.SH,20170424,47.2,49.0,46.0,47.68,47.36,0.32,0.68,18309.9,87425.64
603955.SH,20170425,48.05,49.43,47.9,48.07,47.68,0.39,0.82,18780.14,91495.561
603955.SH,20170426,47.91,49.19,47.7,48.69,48.07,0.62,1.29,17020.79,82832.511
603955.SH,20170427,48.45,52.3,47.4,52.01,48.69,3.32,6.82,35913.22,179893.544
603955.SH,20170428,51.5,51.98,50.69,50.98,52.01,-1.03,-1.98,21817.0,111683.279
603955.SH,20170502,50.67,50.97,47.55,47.82,50.98,-3.16,-6.2,27199.89,133064.112
603955.SH,20170503,47.01,48.5,47.01,48.46,47.82,0.64,1.34,18131.65,86753.521
603955.SH,20170504,48.01,48.01,46.66,46.84,48.46,-1.62,-3.34,14264.24,67378.819
603955.SH,20170505,46.74,46.99,45.5,45.56,46.84,-1.28,-2.73,14411.68,66602.721
603955.SH,20170508,45.42,45.88,42.18,42.33,45.56,-3.23,-7.09,16518.3,72582.877
603955.SH,20170509,42.04,43.2,41.96,42.84,42.33,0.51,1.2,10373.87,44190.567
603955.SH,20170510,43.0,43.28,40.01,40.19,42.84,-2.65,-6.19,17128.4,71374.993
603955.SH,20170511,40.1,42.6,39.66,41.64,40.19,1.45,3.61,18839.19,77932.295
603955.SH,20170512,41.21,43.68,40.69,43.26,41.64,1.62,3.89,20067.45,85465.716
603955.SH,20170515,42.9,43.28,42.15,42.33,43.26,-0.93,-2.15,12862.24,54876.909
603955.SH,20170516,42.7,46.56,42.51,46.56,42.33,4.23,9.99,31652.11,142844.677
603955.SH,20170517,46.7,49.98,46.7,48.85,46.56,2.29,4.92,42883.12,208048.224
603955.SH,20170518,48.0,48.0,46.6,47.46,48.85,-1.39,-2.85,27018.58,127580.664
603955.SH,20170519,46.8,47.46,45.92,46.03,47.46,-1.43,-3.01,17067.94,79506.886
603955.SH,20170522,46.06,46.1,42.3,42.57,46.03,-3.46,-7.52,20817.89,91552.947
603955.SH,20170523,41.9,41.99,39.8,40.07,42.57,-2.5,-5.87,17298.94,70637.362
603955.SH,20170524,39.5,41.39,39.05,41.17,40.07,1.1,2.75,12302.15,49885.296
603955.SH,20170525,40.9,42.19,40.24,41.44,41.17,0.27,0.66,13553.54,55978.291
603955.SH,20170526,41.3,43.26,40.81,42.54,41.44,1.1,2.65,16085.81,67697.443
603955.SH,20170531,44.0,44.8,42.02,42.09,42.54,-0.45,-1.06,20435.37,89243.755
603955.SH,20170601,41.2,41.25,39.0,39.08,42.09,-3.01,-7.15,15746.96,63255.033
603955.SH,20170602,38.89,40.68,38.08,40.12,39.08,1.04,2.66,11122.66,44081.276
603955.SH,20170605,40.94,41.97,40.35,40.81,40.12,0.69,1.72,10510.05,43163.683
603955.SH,20170606,40.5,40.69,39.8,40.56,40.81,-0.25,-0.61,8426.13,33861.681
603955.SH,20170607,40.32,42.62,40.32,42.54,40.56,1.98,4.88,17989.07,75356.212
603955.SH,20170608,42.54,43.95,42.54,43.03,42.54,0.49,1.15,23723.29,102928.516
603955.SH,20170609,44.45,47.33,44.45,44.81,43.03,1.78,4.14,40468.34,184691.92
603955.SH,20170612,43.15,47.39,43.08,46.23,44.81,1.42,3.17,34425.59,155303.139
603955.SH,20170613,45.6,48.3,45.1,47.75,46.23,1.52,3.29,37144.28,174086.083
603955.SH,20170614,47.21,48.8,46.44,47.45,47.75,-0.3,-0.63,32571.4,154534.448
603955.SH,20170615,47.4,49.49,47.08,48.04,47.45,0.59,1.24,35381.78,171540.373
603955.SH,20170616,47.6,47.6,46.1,46.18,48.04,-1.86,-3.87,26937.42,125927.669
603955.SH,20170619,46.09,46.99,45.72,46.24,46.18,0.06,0.13,14557.18,67352.249
603955.SH,20170620,46.6,49.7,46.3,48.18,46.24,1.94,4.2,40318.42,194655.828
603955.SH,20170621,47.58,48.35,47.0,47.99,48.18,-0.19,-0.39,21450.05,101984.647
603955.SH,20170622,48.27,48.3,45.01,45.09,47.99,-2.9,-6.04,25953.34,119783.617
603955.SH,20170623,45.11,45.87,44.26,45.78,45.09,0.69,1.53,15971.98,72171.508
603955.SH,20170626,45.9,46.58,44.75,46.47,45.78,0.69,1.51,13709.8,62716.802
603955.SH,20170627,46.21,47.44,46.2,46.27,46.47,-0.2,-0.43,11827.31,55278.583
603955.SH,20170628,46.27,46.27,44.8,44.87,46.27,-1.4,-3.03,11051.98,50240.316
603955.SH,20170629,44.86,45.69,44.72,44.84,44.87,-0.03,-0.07,8891.15,40080.495
603955.SH,20170630,44.21,44.97,43.6,44.68,44.84,-0.16,-0.36,12629.11,55861.044
603955.SH,20170703,44.68,44.89,44.25,44.82,44.68,0.14,0.31,6560.0,29256.165
603955.SH,20170704,44.85,45.55,44.66,44.85,44.82,0.03,0.07,7485.31,33718.972
603955.SH,20170705,44.8,45.9,44.65,45.83,44.85,0.98,2.19,11764.1,53542.406
603955.SH,20170706,46.0,46.64,44.77,46.56,45.83,0.73,1.59,16170.55,73989.751
603955.SH,20170707,47.03,48.99,47.03,47.88,46.56,1.32,2.84,28021.04,134579.163
603955.SH,20170710,47.04,47.5,46.32,46.4,47.88,-1.48,-3.09,16264.01,76062.128
603955.SH,20170711,46.75,47.0,45.3,45.46,46.4,-0.94,-2.03,12611.17,58011.524
603955.SH,20170712,45.25,45.74,44.2,45.7,45.46,0.24,0.53,10353.67,46537.82
603955.SH,20170713,45.9,45.9,44.56,45.05,45.7,-0.65,-1.42,7799.17,35225.352
603955.SH,20170714,45.75,46.1,45.1,45.75,45.05,0.7,1.55,10340.99,47199.474
603955.SH,20170717,45.45,45.45,41.18,41.5,45.75,-4.25,-9.29,18962.0,80733.21
603955.SH,20170718,41.5,41.5,39.5,41.03,41.5,-0.47,-1.13,14107.94,57029.456
603955.SH,20170719,40.7,40.75,39.95,40.58,41.03,-0.45,-1.1,9214.56,37231.293
603955.SH,20170720,40.15,41.18,40.15,40.62,40.58,0.04,0.1,7628.18,31109.618
603955.SH,20170721,40.5,40.79,39.56,39.64,40.62,-0.98,-2.41,8429.7,33677.451
603955.SH,20170724,39.01,39.4,38.21,39.22,39.64,-0.42,-1.06,10439.19,40568.582
603955.SH,20170725,39.25,39.83,39.03,39.2,39.22,-0.02,-0.05,5403.77,21222.477
603955.SH,20170726,39.66,39.96,38.45,38.58,39.2,-0.62,-1.58,8653.05,33859.581
603955.SH,20170727,38.81,39.55,38.01,39.2,38.58,0.62,1.61,21309.55,82923.852
603955.SH,20170728,38.5,39.17,38.07,38.27,39.2,-0.93,-2.37,15969.36,61522.757
603955.SH,20170731,38.0,38.4,37.84,37.94,38.27,-0.33,-0.86,9156.27,34833.131
603955.SH,20170801,38.25,38.25,37.73,38.14,37.94,0.2,0.53,7144.88,27148.998
603955.SH,20170802,38.14,38.15,36.3,36.71,38.14,-1.43,-3.75,14259.09,52980.422
603955.SH,20170803,36.71,37.71,36.3,37.32,36.71,0.61,1.66,7849.01,29325.637
603955.SH,20170804,37.33,37.67,36.82,37.29,37.32,-0.03,-0.08,6226.32,23139.136
603955.SH,20170807,37.34,37.79,37.2,37.6,37.29,0.31,0.83,6336.15,23820.26
603955.SH,20170808,37.65,37.65,37.06,37.45,37.6,-0.15,-0.4,3916.86,14617.784
603955.SH,20170809,37.57,37.6,37.1,37.17,37.45,-0.28,-0.75,3816.33,14234.935
603955.SH,20170810,37.2,37.25,36.37,36.38,37.17,-0.79,-2.13,6276.16,23048.703
603955.SH,20170811,36.37,36.38,36.08,36.27,36.38,-0.11,-0.3,4418.16,15983.066
603955.SH,20170814,36.16,36.99,36.05,36.8,36.27,0.53,1.46,3632.99,13335.753
603955.SH,20170815,36.68,37.12,36.68,36.97,36.8,0.17,0.46,3864.0,14258.348
603955.SH,20170816,37.09,37.79,36.9,37.7,36.97,0.73,1.97,7194.99,26966.97
603955.SH,20170817,37.85,37.94,37.44,37.64,37.7,-0.06,-0.16,4813.67,18119.937
603955.SH,20170818,37.6,37.77,37.1,37.3,37.64,-0.34,-0.9,5058.17,18939.074
603955.SH,20170821,37.32,38.97,37.3,38.89,37.3,1.59,4.26,10634.25,40790.821
603955.SH,20170822,38.0,38.47,37.9,38.16,38.89,-0.73,-1.88,10547.17,40239.71
603955.SH,20170823,38.17,38.65,38.1,38.49,38.16,0.33,0.86,10283.0,39506.897
603955.SH,20170824,38.49,39.46,38.28,38.79,38.49,0.3,0.78,14251.87,55541.441
603955.SH,20170825,38.7,39.09,38.2,39.06,38.79,0.27,0.7,10765.03,41715.723
603955.SH,20170828,42.97,42.97,42.97,42.97,39.06,3.91,10.01,7443.1,31983.001
603955.SH,20170829,44.0,46.6,43.26,44.99,42.97,2.02,4.7,65191.02,295699.16
603955.SH,20170830,44.1,44.29,42.07,42.89,44.99,-2.1,-4.67,38082.71,164545.023
603955.SH,20170831,42.63,43.7,42.55,43.44,42.89,0.55,1.28,20977.88,90887.567
603955.SH,20170901,43.6,43.88,43.01,43.21,43.44,-0.23,-0.53,16509.48,71549.76
603955.SH,20170904,43.5,44.25,43.21,43.39,43.21,0.18,0.42,13898.56,60569.176
603955.SH,20170905,43.42,43.59,42.54,42.57,43.39,-0.82,-1.89,13919.5,59475.661
603955.SH,20170906,42.57,42.68,41.3,41.79,42.57,-0.78,-1.83,13277.27,55631.237
603955.SH,20170907,42.1,43.5,42.1,42.47,41.79,0.68,1.63,16637.15,71200.737
603955.SH,20170908,42.13,42.88,42.06,42.22,42.47,-0.25,-0.59,7305.2,30897.495
603955.SH,20170911,42.68,43.49,42.42,43.32,42.22,1.1,2.61,10839.81,46748.921
603955.SH,20170912,43.31,43.45,42.07,42.16,43.32,-1.16,-2.68,11203.92,47768.214
603955.SH,20170913,42.1,42.57,42.02,42.36,42.16,0.2,0.47,5065.44,21443.263
603955.SH,20170914,42.2,42.64,42.08,42.28,42.36,-0.08,-0.19,6214.67,26321.235
603955.SH,20170915,42.3,43.56,42.02,43.47,42.28,1.19,2.81,13407.21,57500.812
603955.SH,20170918,43.29,43.9,42.92,43.87,43.47,0.4,0.92,14687.98,63876.854
603955.SH,20170919,43.72,43.88,42.83,42.9,43.87,-0.97,-2.21,10912.0,47215.625
603955.SH,20170920,42.4,43.55,42.4,43.3,42.9,0.4,0.93,7982.88,34474.385
603955.SH,20170921,43.01,44.4,43.01,43.87,43.3,0.57,1.32,18934.45,83253.455
603955.SH,20170922,43.88,44.3,43.02,44.13,43.87,0.26,0.59,15486.01,67904.914
603955.SH,20170925,44.0,44.67,43.02,43.08,44.13,-1.05,-2.38,13574.38,59536.86
603955.SH,20170926,43.15,43.44,41.15,41.33,43.08,-1.75,-4.06,13063.96,54694.951
603955.SH,20170927,41.0,41.8,40.8,41.59,41.33,0.26,0.63,4926.28,20496.309
603955.SH,20170928,41.72,42.19,41.3,41.53,41.59,-0.06,-0.14,6382.88,26698.966
603955.SH,20170929,41.53,42.4,41.53,41.77,41.53,0.24,0.58,4760.57,19943.042
603955.SH,20171009,42.67,42.85,42.03,42.54,41.77,0.77,1.84,7278.94,30923.456
603955.SH,20171010,42.42,44.01,42.42,43.82,42.54,1.28,3.01,12871.55,55870.972
603955.SH,20171011,43.79,45.15,43.1,43.41,43.82,-0.41,-0.94,18085.94,80179.762
603955.SH,20171012,43.48,44.3,43.0,44.28,43.41,0.87,2.0,15054.14,66113.998
603955.SH,20171013,45.97,48.71,45.01,48.71,44.28,4.43,10.0,39461.41,185167.079
603955.SH,20171016,53.58,53.58,53.58,53.58,48.71,4.87,10.0,10112.64,54183.525
603955.SH,20171017,57.15,58.94,55.66,57.28,53.58,3.7,6.91,131018.33,753529.454
603955.SH,20171018,56.95,63.01,56.81,59.25,57.28,1.97,3.44,139002.46,838888.017
603955.SH,20171019,54.9,57.86,54.5,56.81,59.25,-2.44,-4.12,97620.59,545533.99
603955.SH,20171020,55.22,55.5,52.18,53.53,56.81,-3.28,-5.77,82272.11,445284.822
603955.SH,20171023,53.59,57.46,53.07,55.06,53.53,1.53,2.86,75627.39,417747.977
