ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605056.SH,20210720,16.38,19.66,16.38,19.66,13.65,6.01,44.0293,2826.05,5547.703
605056.SH,20210721,21.63,21.63,21.63,21.63,19.66,1.97,10.0203,790.22,1709.246
605056.SH,20210722,23.79,23.79,23.79,23.79,21.63,2.16,9.9861,4812.99,11450.103
605056.SH,20210723,26.17,26.17,24.5,26.17,23.79,2.38,10.0042,99842.11,259674.432
605056.SH,20210726,27.97,27.97,23.55,24.5,26.17,-1.67,-6.3814,196410.47,490197.393
605056.SH,20210727,25.59,26.95,24.63,26.95,24.5,2.45,10.0,205094.54,540312.506
605056.SH,20210728,25.1,25.6,24.26,24.26,26.95,-2.69,-9.9814,34596.78,85328.1
605056.SH,20210729,23.22,24.05,22.18,23.72,24.26,-0.54,-2.2259,180457.95,413732.381
605056.SH,20210730,26.09,26.09,25.41,26.09,23.72,2.37,9.9916,124168.48,323473.457
605056.SH,20210802,26.3,26.58,24.29,25.5,26.09,-0.59,-2.2614,164179.89,412851.648
605056.SH,20210803,23.33,23.55,22.95,22.95,25.5,-2.55,-10.0,148104.18,341341.531
605056.SH,20210804,22.8,22.8,21.0,21.65,22.95,-1.3,-5.6645,116519.54,251375.123
605056.SH,20210805,21.23,21.64,20.8,20.81,21.65,-0.84,-3.8799,82126.42,173249.896
605056.SH,20210806,20.65,20.81,19.94,19.95,20.81,-0.86,-4.1326,85228.14,172243.739
605056.SH,20210809,19.85,20.51,19.85,20.07,19.95,0.12,0.6015,54746.4,110254.237
605056.SH,20210810,20.01,20.5,19.72,20.28,20.07,0.21,1.0463,76253.56,152987.495
605056.SH,20210811,20.22,20.93,20.05,20.79,20.28,0.51,2.5148,74794.36,153616.364
605056.SH,20210812,20.53,20.56,19.86,19.94,20.79,-0.85,-4.0885,71034.7,142812.935
605056.SH,20210813,19.9,20.59,19.81,20.45,19.94,0.51,2.5577,67576.22,137233.625
605056.SH,20210816,20.35,22.4,20.3,21.42,20.45,0.97,4.7433,117190.19,249882.11
605056.SH,20210817,21.05,22.6,20.84,21.93,21.42,0.51,2.381,117101.76,253809.821
605056.SH,20210818,21.54,21.72,20.92,21.45,21.93,-0.48,-2.1888,72813.56,154811.357
605056.SH,20210819,21.35,21.4,19.69,19.9,21.45,-1.55,-7.2261,75931.75,153931.476
605056.SH,20210820,19.7,19.72,18.4,18.6,19.9,-1.3,-6.5327,61506.78,115745.051
