ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605228.SH,20210120,7.07,8.48,7.07,8.48,5.89,2.59,43.9728,6791.53,5750.757
605228.SH,20210121,9.33,9.33,9.33,9.33,8.48,0.85,10.0236,2032.15,1895.996
605228.SH,20210122,10.26,10.26,10.26,10.26,9.33,0.93,9.9678,2875.76,2950.53
605228.SH,20210125,11.29,11.29,11.29,11.29,10.26,1.03,10.039,3654.42,4125.84
605228.SH,20210126,12.42,12.42,12.42,12.42,11.29,1.13,10.0089,4785.53,5943.628
605228.SH,20210127,13.66,13.66,13.66,13.66,12.42,1.24,9.9839,4423.48,6042.474
605228.SH,20210128,15.03,15.03,12.29,12.29,13.66,-1.37,-10.0293,113121.0,148907.943
605228.SH,20210129,11.06,12.99,11.06,11.86,12.29,-0.43,-3.4988,387552.25,447887.523
605228.SH,20210201,11.1,11.99,10.68,11.43,11.86,-0.43,-3.6256,276736.25,313744.073
605228.SH,20210202,11.1,12.57,11.04,12.57,11.43,1.14,9.9738,342858.72,416078.721
605228.SH,20210203,11.8,12.13,11.31,11.36,12.57,-1.21,-9.6261,325544.32,379405.578
605228.SH,20210204,11.12,11.34,10.23,10.23,11.36,-1.13,-9.9472,220936.77,235284.476
605228.SH,20210205,10.07,10.42,9.77,9.81,10.23,-0.42,-4.1056,169946.1,170612.296
605228.SH,20210208,9.69,10.22,9.51,9.61,9.81,-0.2,-2.0387,127417.82,124922.158
605228.SH,20210209,9.48,9.58,9.13,9.22,9.61,-0.39,-4.0583,144945.49,134506.826
605228.SH,20210210,9.3,9.35,9.1,9.11,9.22,-0.11,-1.1931,100224.11,92145.094
605228.SH,20210218,9.21,9.58,9.15,9.49,9.11,0.38,4.1712,125803.73,117914.816
605228.SH,20210219,9.4,9.86,9.31,9.75,9.49,0.26,2.7397,127337.33,122540.661
605228.SH,20210222,9.69,9.87,9.48,9.49,9.75,-0.26,-2.6667,142199.74,137726.554
605228.SH,20210223,9.48,9.48,9.18,9.25,9.49,-0.24,-2.529,95187.37,88177.021
605228.SH,20210224,9.35,10.18,9.34,10.18,9.25,0.93,10.0541,252923.37,254172.062
605228.SH,20210225,10.03,10.95,9.93,10.5,10.18,0.32,3.1434,333528.3,348823.791
605228.SH,20210226,10.01,10.3,9.78,10.13,10.5,-0.37,-3.5238,176086.22,177073.091
605228.SH,20210301,10.11,10.64,9.95,10.46,10.13,0.33,3.2577,168621.44,173267.291
605228.SH,20210302,10.28,10.35,10.0,10.09,10.46,-0.37,-3.5373,107163.52,108347.096
605228.SH,20210303,10.1,10.1,9.65,9.97,10.09,-0.12,-1.1893,110733.97,109046.388
605228.SH,20210304,9.82,9.9,9.5,9.52,9.97,-0.45,-4.5135,106107.72,102082.674
605228.SH,20210305,9.35,9.6,9.34,9.58,9.52,0.06,0.6303,58693.15,55716.529
605228.SH,20210308,9.67,9.67,9.41,9.46,9.58,-0.12,-1.2526,62503.6,59385.583
605228.SH,20210309,9.4,9.49,9.01,9.19,9.46,-0.27,-2.8541,67325.78,61916.621
605228.SH,20210310,9.21,9.6,9.18,9.51,9.19,0.32,3.482,85249.6,80012.364
605228.SH,20210311,9.42,9.62,9.31,9.56,9.51,0.05,0.5258,66832.35,63411.467
605228.SH,20210312,9.46,9.55,9.27,9.28,9.56,-0.28,-2.9289,56453.15,52794.147
605228.SH,20210315,9.24,9.73,9.08,9.46,9.28,0.18,1.9397,67286.37,63250.707
605228.SH,20210316,9.41,9.75,9.35,9.73,9.46,0.27,2.8541,95283.48,91471.82
605228.SH,20210317,9.8,10.7,9.7,10.7,9.73,0.97,9.9692,156608.93,163902.38
605228.SH,20210318,10.9,11.54,10.7,11.05,10.7,0.35,3.271,340004.93,375738.243
605228.SH,20210319,10.56,11.32,10.32,10.71,11.05,-0.34,-3.0769,224824.25,244148.341
605228.SH,20210322,10.93,11.46,10.8,11.23,10.71,0.52,4.8553,235891.05,262184.723
605228.SH,20210323,11.5,12.12,10.76,10.82,11.23,-0.41,-3.6509,292380.75,337531.356
605228.SH,20210324,10.25,10.7,10.12,10.45,10.82,-0.37,-3.4196,194057.33,201203.893
605228.SH,20210325,10.37,11.5,10.09,11.5,10.45,1.05,10.0478,192212.62,210998.765
605228.SH,20210326,11.5,12.12,11.19,11.73,11.5,0.23,2.0,321713.3,376670.357
605228.SH,20210329,11.72,11.99,11.31,11.54,11.73,-0.19,-1.6198,201956.14,233173.849
605228.SH,20210330,11.5,12.52,11.22,11.8,11.54,0.26,2.253,250030.62,295532.864
605228.SH,20210331,11.3,12.85,11.3,12.46,11.8,0.66,5.5932,278001.93,340123.646
605228.SH,20210401,12.2,13.53,12.0,12.66,12.46,0.2,1.6051,291012.47,371517.334
605228.SH,20210402,12.3,13.48,12.3,13.34,12.66,0.68,5.3712,264979.05,345789.454
605228.SH,20210406,13.27,13.29,12.7,13.02,13.34,-0.32,-2.3988,216850.21,281453.94
605228.SH,20210407,12.9,14.32,12.74,14.32,13.02,1.3,9.9846,245305.57,340987.324
605228.SH,20210408,14.03,15.62,13.13,13.31,14.32,-1.01,-7.0531,358682.35,507918.824
605228.SH,20210409,13.01,13.65,12.33,12.45,13.31,-0.86,-6.4613,218050.34,279997.511
605228.SH,20210412,12.46,12.87,12.25,12.57,12.45,0.12,0.9639,150467.02,189178.921
605228.SH,20210413,12.5,12.5,11.6,11.82,12.57,-0.75,-5.9666,152214.71,181824.332
605228.SH,20210414,11.8,12.44,11.75,12.15,11.82,0.33,2.7919,120459.34,145712.599
605228.SH,20210415,11.94,12.35,11.88,11.99,12.15,-0.16,-1.3169,75051.81,90272.517
605228.SH,20210416,12.0,12.1,11.62,11.79,11.99,-0.2,-1.6681,85558.54,101334.499
605228.SH,20210419,11.82,12.74,11.79,12.28,11.79,0.49,4.1561,127685.97,157049.178
605228.SH,20210420,12.25,12.97,12.25,12.46,12.28,0.18,1.4658,158802.13,200697.13
605228.SH,20210421,12.25,12.67,12.01,12.07,12.46,-0.39,-3.13,115332.7,141667.542
605228.SH,20210422,12.01,12.33,11.36,11.4,12.07,-0.67,-5.551,131271.87,153833.873
605228.SH,20210423,11.42,11.49,10.76,11.0,11.4,-0.4,-3.5088,111723.51,122841.308
605228.SH,20210426,10.88,11.07,10.78,10.82,11.0,-0.18,-1.6364,56245.85,61468.087
605228.SH,20210427,10.84,10.85,10.26,10.47,10.82,-0.35,-3.2348,62012.16,64700.039
605228.SH,20210428,10.43,10.54,10.3,10.37,10.47,-0.1,-0.9551,40700.37,42430.013
605228.SH,20210429,10.49,10.64,10.42,10.51,10.37,0.14,1.35,46883.03,49456.616
605228.SH,20210430,10.51,10.55,10.11,10.27,10.51,-0.24,-2.2835,49674.5,50794.477
605228.SH,20210506,10.23,10.36,10.18,10.23,10.27,-0.04,-0.3895,32849.51,33739.657
605228.SH,20210507,10.2,10.28,9.95,10.04,10.23,-0.19,-1.8573,38565.79,38764.52
605228.SH,20210510,10.06,10.6,10.04,10.54,10.04,0.5,4.9801,58362.06,60615.604
605228.SH,20210511,10.55,10.63,10.36,10.44,10.54,-0.1,-0.9488,51683.15,54160.589
605228.SH,20210512,10.36,10.89,10.24,10.84,10.44,0.4,3.8314,70040.62,74292.011
605228.SH,20210513,10.7,10.86,10.52,10.57,10.84,-0.27,-2.4908,48318.01,51521.224
605228.SH,20210514,10.51,10.68,10.33,10.55,10.57,-0.02,-0.1892,45341.55,47584.23
605228.SH,20210517,10.47,10.48,10.19,10.26,10.55,-0.29,-2.7488,39544.62,40687.379
605228.SH,20210518,10.23,10.31,10.19,10.23,10.26,-0.03,-0.2924,24794.47,25368.377
605228.SH,20210519,10.24,10.35,10.2,10.27,10.23,0.04,0.391,25325.54,26055.578
605228.SH,20210520,10.27,10.32,10.04,10.1,10.27,-0.17,-1.6553,30463.38,30832.953
605228.SH,20210521,10.18,10.29,10.1,10.16,10.1,0.06,0.5941,23462.54,23930.57
605228.SH,20210524,10.16,10.23,10.09,10.15,10.16,-0.01,-0.0984,22503.07,22871.491
605228.SH,20210525,10.16,10.45,10.05,10.42,10.15,0.27,2.6601,48573.56,49944.201
605228.SH,20210526,10.33,10.63,10.32,10.46,10.42,0.04,0.3839,46014.14,48224.05
605228.SH,20210527,10.5,10.62,10.38,10.61,10.46,0.15,1.434,57479.17,60509.922
605228.SH,20210528,10.53,10.63,10.29,10.31,10.61,-0.3,-2.8275,49065.95,51242.348
