ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605369.SH,20200916,37.98,45.58,37.98,45.58,31.65,13.93,44.0126,1142.6,5179.851
605369.SH,20200917,50.14,50.14,50.14,50.14,45.58,4.56,10.0044,1185.0,5941.59
605369.SH,20200918,55.15,55.15,55.15,55.15,50.14,5.01,9.992,694.82,3831.932
605369.SH,20200921,60.67,60.67,60.67,60.67,55.15,5.52,10.0091,588.0,3567.396
605369.SH,20200922,66.74,66.74,66.74,66.74,60.67,6.07,10.0049,814.0,5432.636
605369.SH,20200923,73.41,73.41,73.41,73.41,66.74,6.67,9.994,802.09,5888.143
605369.SH,20200924,80.75,80.75,73.41,80.75,73.41,7.34,9.9986,117603.72,925770.087
605369.SH,20200925,75.0,76.15,72.68,72.68,80.75,-8.07,-9.9938,66222.2,484019.497
605369.SH,20200928,65.5,67.39,65.41,65.41,72.68,-7.27,-10.0028,19959.0,131141.284
605369.SH,20200929,59.12,63.1,59.12,60.78,65.41,-4.63,-7.0784,67536.35,410603.824
605369.SH,20200930,59.5,60.6,57.77,59.2,60.78,-1.58,-2.5995,41932.9,249273.295
605369.SH,20201009,59.3,61.44,59.01,60.25,59.2,1.05,1.7736,37012.88,222209.859
605369.SH,20201012,60.21,63.24,59.49,62.36,60.25,2.11,3.5021,41382.17,254753.418
605369.SH,20201013,62.0,66.48,60.91,64.9,62.36,2.54,4.0731,48782.97,314033.263
605369.SH,20201014,63.9,66.38,63.1,63.7,64.9,-1.2,-1.849,38833.4,250930.226
605369.SH,20201015,64.37,64.87,61.51,61.73,63.7,-1.97,-3.0926,29969.58,187131.488
605369.SH,20201016,62.11,63.97,61.61,63.4,61.73,1.67,2.7053,29676.24,185796.607
605369.SH,20201019,63.68,63.83,61.93,62.08,63.4,-1.32,-2.082,22825.27,142954.312
605369.SH,20201020,61.64,65.0,61.64,64.3,62.08,2.22,3.576,33069.15,210526.679
605369.SH,20201021,64.5,67.4,64.1,64.86,64.3,0.56,0.8709,36908.28,242981.331
605369.SH,20201022,64.47,65.68,64.02,64.09,64.86,-0.77,-1.1872,24056.22,155909.289
605369.SH,20201023,64.51,65.22,61.7,62.58,64.09,-1.51,-2.3561,26431.62,167599.729
605369.SH,20201026,62.5,66.5,62.0,66.45,62.58,3.87,6.1841,37462.7,244104.941
605369.SH,20201027,67.8,68.19,65.1,65.23,66.45,-1.22,-1.836,40951.15,271757.715
605369.SH,20201028,65.08,66.2,63.92,65.62,65.23,0.39,0.5979,24761.29,160899.45
605369.SH,20201029,64.74,67.55,64.31,66.29,65.62,0.67,1.021,27500.33,182759.253
605369.SH,20201030,65.94,65.96,62.88,63.09,66.29,-3.2,-4.8273,28787.0,184622.611
605369.SH,20201102,62.68,63.45,61.02,61.72,63.09,-1.37,-2.1715,18300.2,113084.594
605369.SH,20201103,61.99,62.89,61.32,62.55,61.72,0.83,1.3448,11248.0,70042.41
605369.SH,20201104,62.68,63.19,61.77,61.81,62.55,-0.74,-1.1831,15720.93,97857.089
605369.SH,20201105,62.08,63.18,62.02,62.72,61.81,0.91,1.4723,12581.15,78736.427
605369.SH,20201106,62.49,62.75,60.02,60.53,62.72,-2.19,-3.4917,19505.34,118797.815
605369.SH,20201109,60.4,63.38,60.34,63.23,60.53,2.7,4.4606,22812.45,141825.649
605369.SH,20201110,62.98,63.5,62.27,63.3,63.23,0.07,0.1107,18770.22,118197.96
605369.SH,20201111,62.33,64.38,62.28,64.01,63.3,0.71,1.1216,17239.33,109490.751
605369.SH,20201112,64.6,64.6,62.36,63.46,64.01,-0.55,-0.8592,14287.0,90326.994
605369.SH,20201113,63.32,64.45,62.61,64.39,63.46,0.93,1.4655,16188.94,103351.032
605369.SH,20201116,64.4,66.5,64.0,66.1,64.39,1.71,2.6557,22893.97,149569.793
605369.SH,20201117,65.8,66.1,63.1,63.61,66.1,-2.49,-3.767,24198.86,155895.9
605369.SH,20201118,63.03,63.65,62.88,63.5,63.61,-0.11,-0.1729,12483.0,78895.965
605369.SH,20201119,63.2,69.6,62.5,67.19,63.5,3.69,5.811,40494.05,269510.217
605369.SH,20201120,66.85,69.6,66.6,68.98,67.19,1.79,2.6641,28381.08,193687.768
605369.SH,20201123,69.33,70.7,68.12,68.26,68.98,-0.72,-1.0438,20302.55,140257.832
605369.SH,20201124,67.57,68.77,67.0,67.45,68.26,-0.81,-1.1866,12666.1,85691.9
605369.SH,20201125,67.48,67.49,65.0,65.15,67.45,-2.3,-3.4099,16524.04,108844.96
605369.SH,20201126,65.15,65.68,64.7,65.2,65.15,0.05,0.0767,8922.56,58191.842
605369.SH,20201127,64.86,65.95,61.61,62.7,65.2,-2.5,-3.8344,20833.8,131997.376
605369.SH,20201130,62.52,63.3,61.31,62.8,62.7,0.1,0.1595,10535.98,66061.211
605369.SH,20201201,62.5,63.84,62.5,63.51,62.8,0.71,1.1306,8396.98,53280.464
605369.SH,20201202,63.45,65.55,63.22,65.26,63.51,1.75,2.7555,12988.0,83776.88
605369.SH,20201203,65.07,66.5,64.69,64.7,65.26,-0.56,-0.8581,13394.0,87874.058
605369.SH,20201204,64.06,65.5,63.69,65.3,64.7,0.6,0.9274,8745.05,56772.645
605369.SH,20201207,65.35,66.23,65.0,65.7,65.3,0.4,0.6126,8777.05,57530.352
605369.SH,20201208,65.16,65.98,63.91,64.08,65.7,-1.62,-2.4658,8335.52,54070.732
605369.SH,20201209,64.08,64.4,63.3,63.3,64.08,-0.78,-1.2172,6508.28,41592.448
605369.SH,20201210,63.21,64.09,62.9,63.8,63.3,0.5,0.7899,6665.0,42273.154
605369.SH,20201211,63.75,63.79,61.77,62.88,63.8,-0.92,-1.442,9018.52,56501.626
605369.SH,20201214,62.3,65.78,62.3,65.32,62.88,2.44,3.8804,12839.93,83095.764
605369.SH,20201215,65.49,67.3,65.1,66.9,65.32,1.58,2.4189,15386.0,101882.262
605369.SH,20201216,66.2,67.7,65.42,65.7,66.9,-1.2,-1.7937,12711.0,84528.898
605369.SH,20201217,65.68,68.2,65.52,68.0,65.7,2.3,3.5008,19374.0,130330.949
605369.SH,20201218,68.0,68.08,66.51,66.65,68.0,-1.35,-1.9853,11876.45,79720.526
605369.SH,20201221,66.97,67.29,65.6,66.66,66.65,0.01,0.015,9723.22,64752.058
605369.SH,20201222,66.81,68.25,63.39,63.85,66.66,-2.81,-4.2154,27213.0,179716.73
605369.SH,20201223,63.0,63.95,62.36,63.21,63.85,-0.64,-1.0023,14856.0,93598.648
605369.SH,20201224,62.94,63.57,60.56,60.7,63.21,-2.51,-3.9709,17685.0,109828.308
605369.SH,20201225,59.98,60.49,58.88,59.19,60.7,-1.51,-2.4876,13622.0,81233.602
605369.SH,20201228,59.0,59.0,55.69,55.85,59.19,-3.34,-5.6428,15555.0,89243.209
605369.SH,20201229,55.84,56.76,55.18,56.38,55.85,0.53,0.949,7321.23,41083.788
605369.SH,20201230,56.18,56.68,55.8,56.44,56.38,0.06,0.1064,6101.0,34341.723
605369.SH,20201231,56.41,57.96,56.04,57.75,56.44,1.31,2.321,5815.23,33357.104
605369.SH,20210104,57.95,59.86,57.92,58.56,57.75,0.81,1.4026,8555.0,50437.286
605369.SH,20210105,58.51,58.51,57.45,58.0,58.56,-0.56,-0.9563,8159.0,47178.181
605369.SH,20210106,57.94,59.43,57.72,58.88,58.0,0.88,1.5172,8433.0,49566.25
605369.SH,20210107,58.86,58.88,54.81,55.9,58.88,-2.98,-5.0611,13809.0,77881.318
605369.SH,20210108,55.81,56.95,54.13,56.52,55.9,0.62,1.1091,7676.99,42609.84
605369.SH,20210111,56.08,57.5,55.13,56.84,56.52,0.32,0.5662,7349.0,41475.484
605369.SH,20210112,56.49,57.45,56.01,56.82,56.84,-0.02,-0.0352,5157.0,29277.935
605369.SH,20210113,56.7,56.85,55.73,56.7,56.82,-0.12,-0.2112,6199.25,34805.007
605369.SH,20210114,59.6,62.0,59.01,60.18,56.7,3.48,6.1376,22229.0,134340.252
605369.SH,20210115,58.01,61.0,57.82,60.99,60.18,0.81,1.346,14642.0,87913.263
605369.SH,20210118,60.7,61.48,60.02,60.24,60.99,-0.75,-1.2297,10004.0,60831.814
605369.SH,20210119,60.35,60.51,58.98,59.05,60.24,-1.19,-1.9754,7385.0,44133.14
605369.SH,20210120,59.08,59.68,58.6,59.12,59.05,0.07,0.1185,5079.0,30012.072
605369.SH,20210121,59.99,61.15,59.0,59.19,59.12,0.07,0.1184,7742.0,46448.016
605369.SH,20210122,59.01,61.6,58.0,61.6,59.19,2.41,4.0716,16546.05,99532.431
605369.SH,20210125,61.98,62.98,59.71,60.4,61.6,-1.2,-1.9481,13286.0,80980.342
605369.SH,20210126,59.91,61.99,59.51,60.42,60.4,0.02,0.0331,9068.0,54999.303
605369.SH,20210127,60.31,60.69,59.4,59.9,60.42,-0.52,-0.8606,5765.0,34533.718
605369.SH,20210128,59.6,59.88,58.69,58.71,59.9,-1.19,-1.9866,5496.0,32519.569
605369.SH,20210129,58.92,59.15,56.27,56.9,58.71,-1.81,-3.083,9099.0,52061.331
605369.SH,20210201,56.76,58.49,55.81,58.18,56.9,1.28,2.2496,5265.0,30425.075
605369.SH,20210202,58.18,59.67,57.91,59.34,58.18,1.16,1.9938,5439.0,32162.677
605369.SH,20210203,59.01,59.49,57.81,58.0,59.34,-1.34,-2.2582,5001.0,29239.268
605369.SH,20210204,57.77,57.87,56.51,57.65,58.0,-0.35,-0.6034,5481.0,31326.545
605369.SH,20210205,57.67,59.77,57.25,58.6,57.65,0.95,1.6479,8535.0,50280.905
605369.SH,20210208,58.56,59.9,58.01,59.35,58.6,0.75,1.2799,7320.0,43192.072
605369.SH,20210209,59.38,60.5,59.02,60.13,59.35,0.78,1.3142,9126.0,54622.366
605369.SH,20210210,60.1,62.08,59.9,61.03,60.13,0.9,1.4968,11624.0,70990.638
605369.SH,20210218,61.0,61.75,60.52,61.2,61.03,0.17,0.2786,9668.0,59039.77
605369.SH,20210219,61.1,62.99,60.91,62.83,61.2,1.63,2.6634,9823.0,61132.259
605369.SH,20210222,62.64,63.86,62.01,62.03,62.83,-0.8,-1.2733,11544.0,72836.907
605369.SH,20210223,62.07,62.98,61.34,62.55,62.03,0.52,0.8383,6812.76,42391.924
605369.SH,20210224,62.59,67.25,62.42,65.4,62.55,2.85,4.5564,18855.27,122687.495
605369.SH,20210225,65.64,67.32,63.6,64.14,65.4,-1.26,-1.9266,15903.0,103951.884
605369.SH,20210226,63.5,65.85,63.02,64.81,64.14,0.67,1.0446,9852.0,63799.856
605369.SH,20210301,65.74,67.69,65.12,67.69,64.81,2.88,4.4438,13140.0,87678.974
605369.SH,20210302,67.76,68.5,66.68,67.49,67.69,-0.2,-0.2955,12528.0,84472.078
605369.SH,20210303,67.68,68.01,66.71,67.6,67.49,0.11,0.163,9685.0,65143.064
605369.SH,20210304,67.0,67.26,63.6,64.54,67.6,-3.06,-4.5266,16625.05,107884.333
605369.SH,20210305,64.09,67.5,64.01,67.3,64.54,2.76,4.2764,15174.0,100422.266
605369.SH,20210308,69.3,69.88,66.38,66.38,67.3,-0.92,-1.367,29029.0,197677.366
605369.SH,20210309,65.21,65.78,62.71,63.3,66.38,-3.08,-4.64,15538.0,99377.356
605369.SH,20210310,63.66,63.97,61.36,61.54,63.3,-1.76,-2.7804,10978.0,68167.36
605369.SH,20210311,62.0,63.63,61.16,63.11,61.54,1.57,2.5512,9025.0,56584.087
605369.SH,20210312,63.12,63.12,61.1,61.52,63.11,-1.59,-2.5194,9348.0,57652.342
605369.SH,20210315,61.25,61.52,60.8,61.31,61.52,-0.21,-0.3414,5173.0,31602.999
