ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688007.SH,20190722,35.02,52.0,26.45,38.84,17.5,21.34,121.9429,451028.7,1547721.304
688007.SH,20190723,32.8,36.61,31.88,34.55,38.84,-4.29,-11.0453,187330.1,652534.332
688007.SH,20190724,35.1,40.16,34.7,40.16,34.55,5.61,16.2373,247188.73,920849.893
688007.SH,20190725,46.0,48.88,40.6,42.23,40.16,2.07,5.1544,328977.79,1480897.87
688007.SH,20190726,42.3,44.2,39.5,40.16,42.23,-2.07,-4.9017,216411.15,906063.297
688007.SH,20190729,42.0,43.58,40.0,43.35,40.16,3.19,7.9432,211478.74,897815.592
688007.SH,20190730,44.99,48.54,43.98,45.89,43.35,2.54,5.8593,308846.19,1434269.626
688007.SH,20190731,44.39,47.05,44.0,46.83,45.89,0.94,2.0484,252498.73,1148410.9
688007.SH,20190801,45.9,50.18,45.12,49.45,46.83,2.62,5.5947,273265.66,1297812.787
688007.SH,20190802,48.0,55.78,47.66,52.07,49.45,2.62,5.2983,319694.78,1649444.71
688007.SH,20190805,51.54,55.05,49.6,55.05,52.07,2.98,5.7231,242104.43,1283992.687
688007.SH,20190806,55.05,59.97,46.28,49.75,55.05,-5.3,-9.6276,297519.17,1668458.177
688007.SH,20190807,51.26,54.2,48.0,54.2,49.75,4.45,8.9447,222963.82,1136457.474
688007.SH,20190808,54.11,55.7,49.68,50.1,54.2,-4.1,-7.5646,174333.48,910619.376
688007.SH,20190809,49.91,50.5,46.3,47.08,50.1,-3.02,-6.0279,141796.28,687429.469
688007.SH,20190812,46.71,47.48,43.5,45.11,47.08,-1.97,-4.1844,123702.66,557176.235
688007.SH,20190813,44.98,46.87,44.37,46.79,45.11,1.68,3.7242,110376.66,505370.056
688007.SH,20190814,47.32,49.0,46.25,47.99,46.79,1.2,2.5647,133428.44,636032.563
688007.SH,20190815,46.5,48.52,46.03,48.28,47.99,0.29,0.6043,103380.14,491583.051
688007.SH,20190816,48.28,48.98,46.83,47.41,48.28,-0.87,-1.802,98906.93,474237.221
688007.SH,20190819,53.11,54.6,50.51,51.7,47.41,4.29,9.0487,263049.08,1378860.969
688007.SH,20190820,52.0,56.88,50.51,50.8,51.7,-0.9,-1.7408,249911.61,1336575.542
688007.SH,20190821,49.09,49.5,46.6,46.68,50.8,-4.12,-8.1102,179021.68,857192.033
688007.SH,20190822,45.5,47.8,45.01,45.84,46.68,-0.84,-1.7995,110368.06,510553.455
688007.SH,20190823,45.85,46.3,41.0,42.25,45.84,-3.59,-7.8316,148404.63,646852.733
688007.SH,20190826,42.01,43.66,41.31,42.78,42.25,0.53,1.2544,75113.1,321849.963
688007.SH,20190827,43.1,43.39,41.72,42.98,42.78,0.2,0.4675,75543.61,321632.339
688007.SH,20190828,42.86,43.15,41.31,41.5,42.98,-1.48,-3.4435,70828.26,298177.099
688007.SH,20190829,41.2,41.87,39.68,40.83,41.5,-0.67,-1.6145,81391.5,329391.289
688007.SH,20190830,40.79,41.5,40.2,40.64,40.83,-0.19,-0.4653,53598.42,218879.401
688007.SH,20190902,40.99,41.07,40.3,40.83,40.64,0.19,0.4675,35415.31,144303.324
688007.SH,20190903,40.9,44.26,40.74,43.91,40.83,3.08,7.5435,118846.05,512389.237
688007.SH,20190904,43.67,44.26,42.55,42.71,43.91,-1.2,-2.7329,79825.67,344600.496
688007.SH,20190905,42.9,43.32,42.51,42.96,42.71,0.25,0.5853,57267.11,245803.976
688007.SH,20190906,42.98,43.2,41.21,41.3,42.96,-1.66,-3.8641,60113.6,253183.685
688007.SH,20190909,41.08,41.49,40.76,41.25,41.3,-0.05,-0.1211,49067.42,201802.623
688007.SH,20190910,41.18,42.44,41.13,41.35,41.25,0.1,0.2424,41562.51,173255.276
688007.SH,20190911,41.51,41.75,40.8,41.14,41.35,-0.21,-0.5079,31023.66,127966.485
688007.SH,20190912,41.15,41.5,39.76,39.91,41.14,-1.23,-2.9898,47066.58,189034.01
688007.SH,20190916,40.04,40.48,39.82,40.06,39.91,0.15,0.3758,21693.5,86983.262
688007.SH,20190917,39.91,40.23,39.25,39.27,40.06,-0.79,-1.972,27815.3,110513.925
688007.SH,20190918,39.4,39.46,37.02,38.05,39.27,-1.22,-3.1067,49328.96,187083.783
688007.SH,20190919,38.09,39.89,37.11,38.92,38.05,0.87,2.2865,48103.35,187677.601
688007.SH,20190920,38.52,39.17,38.23,38.71,38.92,-0.21,-0.5396,24803.0,96063.103
688007.SH,20190923,38.63,39.0,37.6,37.91,38.71,-0.8,-2.0666,29698.94,112912.611
688007.SH,20190924,37.65,38.99,37.6,38.63,37.91,0.72,1.8992,38035.97,146541.525
688007.SH,20190925,38.41,38.85,37.0,37.04,38.63,-1.59,-4.116,33901.61,128122.871
688007.SH,20190926,36.88,37.23,33.55,33.55,37.04,-3.49,-9.4222,50492.61,175432.813
688007.SH,20190927,33.82,34.67,33.82,34.19,33.55,0.64,1.9076,24803.78,84863.665
688007.SH,20190930,34.9,35.68,33.75,33.75,34.19,-0.44,-1.2869,41361.89,143564.117
688007.SH,20191008,33.33,33.79,31.51,31.57,33.75,-2.18,-6.4593,33176.58,106683.37
688007.SH,20191009,31.6,32.1,30.82,31.71,31.57,0.14,0.4435,20210.85,64125.27
688007.SH,20191010,31.94,32.57,31.76,32.19,31.71,0.48,1.5137,21419.24,69010.988
688007.SH,20191011,32.24,32.4,31.56,31.63,32.19,-0.56,-1.7397,17064.85,54539.707
688007.SH,20191014,31.85,32.6,31.85,32.39,31.63,0.76,2.4028,23409.67,75700.034
688007.SH,20191015,32.42,32.56,31.68,31.8,32.39,-0.59,-1.8215,16050.2,51589.173
688007.SH,20191016,31.9,32.21,30.87,31.1,31.8,-0.7,-2.2013,21451.71,67805.298
688007.SH,20191017,30.9,31.59,30.67,30.9,31.1,-0.2,-0.6431,15433.18,47947.792
688007.SH,20191018,30.9,32.32,30.9,31.78,30.9,0.88,2.8479,33335.24,105846.942
688007.SH,20191021,31.85,31.85,30.68,31.14,31.78,-0.64,-2.0138,21995.6,68395.569
688007.SH,20191022,31.16,31.97,31.0,31.85,31.14,0.71,2.28,20800.03,65239.78
688007.SH,20191023,31.86,35.9,31.58,35.07,31.85,3.22,10.1099,76829.95,258645.798
688007.SH,20191024,34.6,35.16,33.88,34.08,35.07,-0.99,-2.8229,50147.15,173049.536
688007.SH,20191025,33.9,34.28,32.86,33.05,34.08,-1.03,-3.0223,26355.34,87985.773
688007.SH,20191028,32.67,33.98,32.62,33.57,33.05,0.52,1.5734,27554.8,92235.905
688007.SH,20191029,33.5,33.78,31.72,31.81,33.57,-1.76,-5.2428,32348.83,105673.651
688007.SH,20191030,31.61,31.99,30.88,30.96,31.81,-0.85,-2.6721,20960.05,65480.515
688007.SH,20191031,30.91,31.26,29.0,29.02,30.96,-1.94,-6.2661,34801.18,103193.451
688007.SH,20191101,28.95,29.34,28.58,28.97,29.02,-0.05,-0.1723,18368.99,53249.629
688007.SH,20191104,29.08,29.94,29.08,29.38,28.97,0.41,1.4153,14740.55,43612.001
688007.SH,20191105,29.38,29.41,27.81,28.18,29.38,-1.2,-4.0844,29961.2,84601.921
688007.SH,20191106,28.18,28.48,27.54,27.78,28.18,-0.4,-1.4194,17135.38,48026.144
688007.SH,20191107,27.78,28.25,27.24,27.85,27.78,0.07,0.252,19574.99,54451.696
688007.SH,20191108,27.85,28.17,27.56,27.62,27.85,-0.23,-0.8259,16830.21,46845.441
688007.SH,20191111,27.31,27.31,25.8,25.9,27.62,-1.72,-6.2274,26423.68,69293.688
688007.SH,20191112,26.08,26.19,25.56,25.88,25.9,-0.02,-0.0772,14389.7,37261.947
688007.SH,20191113,25.8,26.76,25.8,26.27,25.88,0.39,1.507,19196.19,50526.724
688007.SH,20191114,26.11,27.23,26.11,26.81,26.27,0.54,2.0556,23303.1,62553.219
688007.SH,20191115,26.81,26.93,26.46,26.51,26.81,-0.3,-1.119,15214.46,40502.873
688007.SH,20191118,26.53,26.8,26.34,26.55,26.51,0.04,0.1509,11091.2,29469.312
688007.SH,20191119,26.4,26.85,26.4,26.77,26.55,0.22,0.8286,9900.95,26440.647
688007.SH,20191120,26.85,26.85,26.41,26.53,26.77,-0.24,-0.8965,11635.15,30963.475
688007.SH,20191121,26.2,26.48,25.47,25.54,26.53,-0.99,-3.7316,14731.56,38045.333
688007.SH,20191122,25.53,25.9,24.99,25.06,25.54,-0.48,-1.8794,14522.1,36830.621
688007.SH,20191125,25.08,25.35,24.12,24.21,25.06,-0.85,-3.3919,13850.75,33708.327
688007.SH,20191126,24.16,24.49,24.01,24.25,24.21,0.04,0.1652,8826.98,21345.879
688007.SH,20191127,24.33,24.5,24.16,24.28,24.25,0.03,0.1237,9127.44,22233.062
