ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688018.SH,20190722,152.45,168.88,99.0,129.11,62.6,66.51,106.246,133648.86,1723143.52
688018.SH,20190723,123.0,156.0,123.0,147.5,129.11,18.39,14.2437,90813.74,1322058.986
688018.SH,20190724,149.0,164.01,140.8,162.1,147.5,14.6,9.8983,86784.93,1327098.222
688018.SH,20190725,158.0,166.63,150.18,161.54,162.1,-0.56,-0.3455,79520.53,1263193.689
688018.SH,20190726,157.0,160.78,142.6,155.95,161.54,-5.59,-3.4604,66296.91,1011560.537
688018.SH,20190729,157.0,168.11,156.33,161.91,155.95,5.96,3.8217,65429.66,1060265.236
688018.SH,20190730,160.01,164.49,157.0,163.0,161.91,1.09,0.6732,58438.64,939666.541
688018.SH,20190731,162.5,170.88,161.5,164.8,163.0,1.8,1.1043,60261.44,996954.67
688018.SH,20190801,159.0,168.78,158.19,167.6,164.8,2.8,1.699,69760.6,1137962.745
688018.SH,20190802,163.0,183.99,162.19,171.64,167.6,4.04,2.4105,93988.12,1608985.655
688018.SH,20190805,170.88,177.6,163.56,173.88,171.64,2.24,1.3051,63792.38,1096688.724
688018.SH,20190806,169.0,177.99,153.86,155.63,173.88,-18.25,-10.4957,73094.1,1241674.222
688018.SH,20190807,162.63,170.0,153.0,165.66,155.63,10.03,6.4448,65112.58,1058310.059
688018.SH,20190808,165.0,167.5,156.2,156.9,165.66,-8.76,-5.2879,44893.87,725032.854
688018.SH,20190809,158.03,162.99,150.1,150.98,156.9,-5.92,-3.7731,41907.11,659317.767
688018.SH,20190812,150.88,151.66,144.58,147.97,150.98,-3.01,-1.9936,29728.4,440150.726
688018.SH,20190813,147.9,149.99,144.01,149.3,147.97,1.33,0.8988,29448.19,433750.99
688018.SH,20190814,150.73,152.67,148.0,148.11,149.3,-1.19,-0.7971,29864.01,448059.438
688018.SH,20190815,144.0,146.7,141.56,145.63,148.11,-2.48,-1.6744,28643.15,413677.243
688018.SH,20190816,146.5,147.29,144.2,144.47,145.63,-1.16,-0.7965,20816.7,303655.199
688018.SH,20190819,145.01,154.62,142.81,150.46,144.47,5.99,4.1462,39324.57,588350.077
688018.SH,20190820,149.01,151.2,145.5,145.83,150.46,-4.63,-3.0772,27563.47,408097.958
688018.SH,20190821,145.01,146.48,136.21,138.5,145.83,-7.33,-5.0264,30557.41,428753.25
688018.SH,20190822,138.5,141.4,137.02,137.5,138.5,-1.0,-0.722,17834.28,248168.987
688018.SH,20190823,138.98,139.49,130.0,132.1,137.5,-5.4,-3.9273,24863.23,334585.225
688018.SH,20190826,131.85,134.27,129.88,132.95,132.1,0.85,0.6435,16069.81,212596.01
688018.SH,20190827,132.99,138.3,132.71,135.81,132.95,2.86,2.1512,20629.89,280524.272
688018.SH,20190828,136.45,136.45,131.66,131.78,135.81,-4.03,-2.9674,15048.37,201253.287
688018.SH,20190829,131.0,135.43,128.81,133.24,131.78,1.46,1.1079,18867.73,250227.362
688018.SH,20190830,133.95,137.2,133.06,134.2,133.24,0.96,0.7205,20109.1,271288.28
688018.SH,20190902,135.4,137.88,132.5,136.4,134.2,2.2,1.6393,15901.24,215146.103
688018.SH,20190903,136.0,163.68,135.38,163.68,136.4,27.28,20.0,71386.27,1114126.489
688018.SH,20190904,166.0,168.85,156.2,160.98,163.68,-2.7,-1.6496,55991.75,908374.386
688018.SH,20190905,161.01,163.39,157.13,160.15,160.98,-0.83,-0.5156,35729.47,573276.762
688018.SH,20190906,161.0,166.68,148.2,149.0,160.15,-11.15,-6.9622,45080.58,710355.135
688018.SH,20190909,149.0,157.5,147.0,154.08,149.0,5.08,3.4094,31510.42,482569.856
688018.SH,20190910,157.2,169.36,157.2,157.7,154.08,3.62,2.3494,36209.17,588333.063
688018.SH,20190911,155.55,171.5,154.66,166.99,157.7,9.29,5.8909,47025.08,775930.568
688018.SH,20190912,167.0,168.5,159.01,161.5,166.99,-5.49,-3.2876,29889.82,485927.701
688018.SH,20190916,161.0,164.55,158.4,163.0,161.5,1.5,0.9288,23156.77,373622.844
688018.SH,20190917,161.28,163.0,151.11,154.0,163.0,-9.0,-5.5215,26152.68,409871.449
688018.SH,20190918,154.2,155.65,148.9,152.0,154.0,-2.0,-1.2987,18057.22,273834.036
688018.SH,20190919,152.0,156.66,150.0,152.88,152.0,0.88,0.5789,18793.03,289087.263
688018.SH,20190920,151.58,158.48,149.97,157.01,152.88,4.13,2.7015,23221.36,359962.474
688018.SH,20190923,157.13,169.8,154.53,167.0,157.01,9.99,6.3627,42052.53,690118.645
688018.SH,20190924,171.06,198.0,171.06,187.0,167.0,20.0,11.976,61389.7,1133357.831
688018.SH,20190925,191.0,195.88,182.08,186.21,187.0,-0.79,-0.4225,43411.81,821531.039
688018.SH,20190926,188.0,191.37,177.06,177.81,186.21,-8.4,-4.511,42080.25,775482.732
688018.SH,20190927,180.25,180.56,170.1,177.0,177.81,-0.81,-0.4555,29887.18,523607.165
688018.SH,20190930,173.8,174.9,145.03,150.48,177.0,-26.52,-14.9831,42599.13,675705.678
688018.SH,20191008,145.91,148.99,140.0,142.02,150.48,-8.46,-5.622,25982.79,371087.254
688018.SH,20191009,141.8,147.55,141.0,145.25,142.02,3.23,2.2743,15797.14,228633.659
688018.SH,20191010,146.7,148.98,141.2,147.36,145.25,2.11,1.4527,18548.23,271136.928
688018.SH,20191011,146.0,147.6,142.4,144.0,147.36,-3.36,-2.2801,14782.84,214345.365
688018.SH,20191014,146.5,155.8,145.28,153.98,144.0,9.98,6.9306,23178.32,352742.478
688018.SH,20191015,153.14,155.0,148.03,151.5,153.98,-2.48,-1.6106,16037.65,241469.87
688018.SH,20191016,152.5,155.5,150.15,152.7,151.5,1.2,0.7921,16394.28,250983.833
688018.SH,20191017,151.09,152.97,144.5,145.1,152.7,-7.6,-4.9771,17686.92,260313.968
