ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688061.SH,20221018,100.68,105.0,90.88,93.93,112.69,-18.76,-16.6474,83017.38,790250.753
688061.SH,20221019,91.98,96.2,90.88,94.04,93.93,0.11,0.1171,43973.33,411725.237
688061.SH,20221020,92.0,102.8,90.13,96.8,94.04,2.76,2.9349,51071.67,489869.46
688061.SH,20221021,94.01,94.5,90.89,91.89,96.8,-4.91,-5.0723,37704.23,347628.47
688061.SH,20221024,91.4,93.49,90.38,90.5,91.89,-1.39,-1.5127,25980.64,238742.004
688061.SH,20221025,91.0,91.33,84.57,86.23,90.5,-4.27,-4.7182,26722.77,232637.59
688061.SH,20221026,86.11,89.54,84.99,87.47,86.23,1.24,1.438,23516.5,205211.971
688061.SH,20221027,87.0,88.3,85.51,85.95,87.47,-1.52,-1.7377,20484.78,177964.387
688061.SH,20221028,85.48,87.1,82.52,82.8,85.95,-3.15,-3.6649,19104.82,162108.443
688061.SH,20221031,81.79,85.95,81.33,84.46,82.8,1.66,2.0048,18115.56,152911.032
688061.SH,20221101,83.99,86.4,83.8,86.1,84.46,1.64,1.9417,14056.73,119994.824
688061.SH,20221102,86.8,91.58,86.2,89.2,86.1,3.1,3.6005,27173.15,243288.903
688061.SH,20221103,89.01,91.4,88.13,90.75,89.2,1.55,1.7377,19839.42,178501.392
688061.SH,20221104,92.24,99.59,92.24,97.14,90.75,6.39,7.0413,36027.95,346399.554
688061.SH,20221107,98.96,104.77,98.62,102.85,97.14,5.71,5.8781,33973.78,344706.128
688061.SH,20221108,103.5,107.48,102.0,105.16,102.85,2.31,2.246,24933.55,261022.539
688061.SH,20221109,107.01,111.9,105.69,107.5,105.16,2.34,2.2252,24522.65,266293.425
688061.SH,20221110,107.0,108.98,102.3,106.15,107.5,-1.35,-1.2558,21536.17,227611.22
688061.SH,20221111,108.53,109.2,102.7,104.45,106.15,-1.7,-1.6015,17000.89,179960.273
688061.SH,20221114,104.62,104.77,101.04,103.66,104.45,-0.79,-0.7563,13089.97,134669.302
688061.SH,20221115,103.22,112.8,102.51,112.2,103.66,8.54,8.2385,21507.41,235242.429
688061.SH,20221116,112.9,113.67,109.3,110.3,112.2,-1.9,-1.6934,15102.14,168910.065
688061.SH,20221117,109.5,110.08,102.6,108.26,110.3,-2.04,-1.8495,21066.84,223405.75
688061.SH,20221118,109.57,112.35,103.5,104.0,108.26,-4.26,-3.935,15586.97,167795.367
688061.SH,20221121,104.4,107.53,102.6,105.94,104.0,1.94,1.8654,10416.86,109620.967
688061.SH,20221122,105.95,108.23,104.26,106.06,105.94,0.12,0.1133,10149.17,107898.373
688061.SH,20221123,105.33,106.96,99.22,101.81,106.06,-4.25,-4.0072,14232.91,145234.119
688061.SH,20221124,101.7,104.6,101.7,102.38,101.81,0.57,0.5599,6390.28,65942.926
688061.SH,20221125,102.9,103.87,99.2,100.2,102.38,-2.18,-2.1293,8510.07,85736.051
688061.SH,20221128,99.0,100.7,97.15,98.49,100.2,-1.71,-1.7066,8567.18,84448.172
688061.SH,20221129,98.92,103.19,98.1,100.74,98.49,2.25,2.2845,11413.56,114844.543
688061.SH,20221130,99.91,102.0,95.73,96.5,100.74,-4.24,-4.2089,14119.62,137139.64
688061.SH,20221201,97.31,102.55,97.31,99.3,96.5,2.8,2.9016,11471.73,114629.318
688061.SH,20221202,100.95,102.49,99.5,100.0,99.3,0.7,0.7049,8225.16,82865.535
688061.SH,20221205,101.42,102.47,98.51,99.99,100.0,-0.01,-0.01,8135.1,81518.175
688061.SH,20221206,99.05,106.01,99.05,103.31,99.99,3.32,3.3203,12083.59,124588.419
688061.SH,20221207,102.65,103.31,98.05,98.45,103.31,-4.86,-4.7043,14376.04,143890.046
688061.SH,20221208,99.1,99.2,97.01,97.6,98.45,-0.85,-0.8634,6163.12,60394.699
688061.SH,20221209,98.0,99.45,95.75,96.55,97.6,-1.05,-1.0758,8764.35,85274.274
688061.SH,20221212,96.55,100.4,94.5,99.31,96.55,2.76,2.8586,11732.04,114897.287
688061.SH,20221213,98.91,99.48,96.4,96.6,99.31,-2.71,-2.7288,5241.05,51106.515
688061.SH,20221214,98.99,100.18,95.2,95.8,96.6,-0.8,-0.8282,9440.16,92543.265
688061.SH,20221215,95.25,98.5,94.7,96.11,95.8,0.31,0.3236,7073.54,68441.672
688061.SH,20221216,95.0,95.68,91.58,92.72,96.11,-3.39,-3.5272,10104.6,93949.405
688061.SH,20221219,92.5,93.19,90.01,90.94,92.72,-1.78,-1.9198,5706.44,52026.721
688061.SH,20221220,91.25,92.4,90.48,91.53,90.94,0.59,0.6488,2632.21,24091.659
688061.SH,20221221,91.99,91.99,89.35,90.79,91.53,-0.74,-0.8085,5195.15,46898.792
688061.SH,20221222,90.3,91.56,89.19,89.5,90.79,-1.29,-1.4209,3151.2,28490.027
688061.SH,20221223,89.1,89.73,86.9,88.48,89.5,-1.02,-1.1397,4791.68,42223.594
688061.SH,20221226,87.38,92.2,87.3,91.85,88.48,3.37,3.8088,6418.7,58429.304
688061.SH,20221227,91.92,94.89,90.82,94.84,91.85,2.99,3.2553,9033.14,84013.843
688061.SH,20221228,93.38,94.6,92.01,92.7,94.84,-2.14,-2.2564,5699.68,53037.23
688061.SH,20221229,92.37,94.57,92.34,93.9,92.7,1.2,1.2945,4493.41,42146.969
688061.SH,20221230,93.9,94.49,91.8,93.35,93.9,-0.55,-0.5857,4851.0,44979.275
688061.SH,20230103,92.98,99.67,92.67,98.68,93.35,5.33,5.7097,11696.13,113571.944
688061.SH,20230104,99.22,99.9,97.37,98.2,98.68,-0.48,-0.4864,4192.89,41183.46
688061.SH,20230105,98.2,99.3,97.03,98.81,98.2,0.61,0.6212,4652.38,45678.124
688061.SH,20230106,98.5,99.3,97.73,98.4,98.81,-0.41,-0.4149,4723.85,46556.669
688061.SH,20230109,98.4,100.0,95.36,96.4,98.4,-2.0,-2.0325,8339.68,80844.277
688061.SH,20230110,96.2,97.55,96.08,96.22,96.4,-0.18,-0.1867,5632.57,54517.715
688061.SH,20230111,96.22,97.3,91.01,91.29,96.22,-4.93,-5.1237,10862.87,101630.918
688061.SH,20230112,91.24,91.87,90.18,90.51,91.29,-0.78,-0.8544,3970.68,36066.269
688061.SH,20230113,90.78,91.02,89.76,90.35,90.51,-0.16,-0.1768,4066.44,36686.004
688061.SH,20230116,90.28,93.97,90.06,92.37,90.35,2.02,2.2357,7366.94,68449.562
688061.SH,20230117,93.0,98.91,92.46,95.7,92.37,3.33,3.6051,13917.13,134091.858
688061.SH,20230118,96.89,96.89,95.31,96.49,95.7,0.79,0.8255,3712.0,35641.18
688061.SH,20230119,96.49,99.5,95.49,98.7,96.49,2.21,2.2904,8783.54,86397.082
688061.SH,20230120,98.54,99.05,96.43,96.85,98.7,-1.85,-1.8744,5725.31,55793.603
688061.SH,20230130,97.5,98.05,96.07,96.5,96.85,-0.35,-0.3614,5899.31,57204.618
688061.SH,20230131,95.61,96.49,92.92,93.01,96.5,-3.49,-3.6166,7330.74,68854.975
688061.SH,20230201,93.42,95.8,93.04,94.98,93.01,1.97,2.1181,7916.79,74726.676
688061.SH,20230202,95.3,98.46,94.82,98.15,94.98,3.17,3.3375,12588.03,122115.362
688061.SH,20230203,98.18,99.5,96.44,99.1,98.15,0.95,0.9679,8218.52,80815.409
688061.SH,20230206,98.9,99.06,96.42,97.6,99.1,-1.5,-1.5136,6305.92,61536.605
688061.SH,20230207,98.1,98.11,95.75,96.51,97.6,-1.09,-1.1168,5774.42,55713.368
688061.SH,20230208,96.55,97.98,94.42,94.75,96.51,-1.76,-1.8236,6901.89,65980.844
688061.SH,20230209,94.57,98.3,93.29,98.1,94.75,3.35,3.5356,13352.53,129174.423
688061.SH,20230210,98.58,99.98,96.38,97.28,98.1,-0.82,-0.8359,9483.61,93214.408
688061.SH,20230213,95.7,96.98,93.93,94.25,97.28,-3.03,-3.1147,16923.42,160464.83
688061.SH,20230214,94.21,96.8,94.1,94.36,94.25,0.11,0.1167,8339.75,79202.225
688061.SH,20230215,94.41,95.34,92.82,95.2,94.36,0.84,0.8902,11318.98,106437.063
688061.SH,20230216,94.76,94.8,90.1,90.69,95.2,-4.51,-4.7374,14169.18,131586.463
688061.SH,20230217,90.9,91.45,88.36,88.74,90.69,-1.95,-2.1502,10220.79,91423.437
688061.SH,20230220,88.74,89.57,87.87,89.4,88.74,0.66,0.7437,7061.91,62588.478
688061.SH,20230221,89.5,90.5,88.66,89.2,89.4,-0.2,-0.2237,5795.68,51864.038
688061.SH,20230222,89.0,90.46,88.22,90.04,89.2,0.84,0.9417,6674.77,59803.236
688061.SH,20230223,89.8,90.5,89.06,89.47,90.04,-0.57,-0.6331,7012.22,62916.539
688061.SH,20230224,89.21,91.18,89.01,90.13,89.47,0.66,0.7377,7641.09,69029.403
688061.SH,20230227,89.39,90.11,87.69,88.02,90.13,-2.11,-2.3411,5975.09,53019.923
688061.SH,20230228,84.0,84.5,82.28,83.76,88.02,-4.26,-4.8398,18192.08,151247.277
688061.SH,20230301,83.01,84.02,82.9,83.7,83.76,-0.06,-0.0716,10311.65,86005.837
688061.SH,20230302,83.7,84.6,81.6,81.64,83.7,-2.06,-2.4612,12015.77,99664.905
688061.SH,20230303,82.03,84.22,81.81,82.67,81.64,1.03,1.2616,10671.75,88534.209
688061.SH,20230306,83.1,84.25,82.42,83.49,82.67,0.82,0.9919,7350.6,61207.313
688061.SH,20230307,83.49,83.8,81.15,81.27,83.49,-2.22,-2.659,11627.66,95199.209
688061.SH,20230308,81.27,82.28,81.19,82.22,81.27,0.95,1.1689,4428.93,36246.577
688061.SH,20230309,82.23,83.65,81.81,82.85,82.22,0.63,0.7662,7193.56,59698.363
688061.SH,20230310,82.25,84.3,81.45,82.7,82.85,-0.15,-0.1811,8029.11,66623.46
688061.SH,20230313,82.55,82.55,81.16,81.75,82.7,-0.95,-1.1487,6368.53,51943.786
688061.SH,20230314,81.6,83.29,79.7,82.86,81.75,1.11,1.3578,14179.13,115290.927
688061.SH,20230315,83.42,85.05,82.72,83.11,82.86,0.25,0.3017,14029.17,117734.925
688061.SH,20230316,82.54,83.81,82.01,82.75,83.11,-0.36,-0.4332,9887.97,81875.847
688061.SH,20230317,82.99,84.36,82.71,83.93,82.75,1.18,1.426,10194.67,85212.996
688061.SH,20230320,83.9,84.99,82.8,84.6,83.93,0.67,0.7983,10564.13,88959.81
688061.SH,20230321,85.16,85.3,83.91,84.44,84.6,-0.16,-0.1891,7976.56,67336.833
688061.SH,20230322,84.44,85.36,84.01,84.67,84.44,0.23,0.2724,7507.41,63599.226
688061.SH,20230323,84.5,86.24,84.5,86.0,84.67,1.33,1.5708,12713.29,108911.146
688061.SH,20230324,86.2,86.87,85.15,85.51,86.0,-0.49,-0.5698,9122.56,78338.315
688061.SH,20230327,85.6,86.14,84.35,85.26,85.51,-0.25,-0.2924,8914.73,75888.851
688061.SH,20230328,85.25,85.25,82.41,82.6,85.26,-2.66,-3.1199,8016.99,66896.668
688061.SH,20230329,83.0,85.25,82.18,84.07,82.6,1.47,1.7797,7327.03,61515.497
688061.SH,20230330,84.53,86.16,83.9,84.9,84.07,0.83,0.9873,9503.23,80971.575
688061.SH,20230331,84.6,85.4,83.53,84.4,84.9,-0.5,-0.5889,6580.96,55481.934
688061.SH,20230403,84.48,86.2,84.48,86.08,84.4,1.68,1.9905,9844.66,84459.768
688061.SH,20230404,86.05,87.6,85.43,86.49,86.08,0.41,0.4763,13145.07,113692.617
688061.SH,20230406,86.04,90.95,85.22,89.46,86.49,2.97,3.4339,24021.17,213967.525
688061.SH,20230407,89.6,89.9,88.0,88.85,89.46,-0.61,-0.6819,13677.81,121513.662
688061.SH,20230410,88.85,89.8,86.51,86.94,88.85,-1.91,-2.1497,12485.43,110212.174
688061.SH,20230411,86.94,88.8,86.57,87.76,86.94,0.82,0.9432,9477.16,82969.177
688061.SH,20230412,87.79,89.48,86.69,89.47,87.76,1.71,1.9485,11236.02,99609.128
688061.SH,20230413,89.9,90.89,87.0,87.29,89.47,-2.18,-2.4366,13685.02,121300.204
688061.SH,20230414,88.17,91.46,87.9,91.33,87.29,4.04,4.6283,22370.78,201893.399
688061.SH,20230417,90.9,92.55,89.33,90.52,91.33,-0.81,-0.8869,16412.71,148943.742
688061.SH,20230418,90.0,90.0,87.31,88.14,90.52,-2.38,-2.6293,15598.54,137788.947
688061.SH,20230419,88.7,89.1,87.32,87.61,88.14,-0.53,-0.6013,10638.34,93717.652
688061.SH,20230420,87.19,88.67,86.48,87.02,87.61,-0.59,-0.6734,13385.16,116752.25
688061.SH,20230421,87.4,87.83,80.0,80.13,87.02,-6.89,-7.9177,18915.58,157436.498
688061.SH,20230424,79.91,80.15,77.02,77.18,80.13,-2.95,-3.6815,10507.16,81936.151
688061.SH,20230425,77.27,77.27,72.5,72.68,77.18,-4.5,-5.8305,10003.75,74051.437
688061.SH,20230426,72.89,73.55,70.5,71.32,72.68,-1.36,-1.8712,8274.49,59494.727
688061.SH,20230427,71.1,72.31,70.6,71.02,71.32,-0.3,-0.4206,5679.13,40531.074
688061.SH,20230428,68.02,69.7,67.5,69.65,71.02,-1.37,-1.929,9850.04,67789.85
688061.SH,20230504,69.68,69.68,65.65,66.48,69.65,-3.17,-4.5513,12052.96,80910.856
688061.SH,20230505,66.49,67.03,65.5,66.3,66.48,-0.18,-0.2708,4824.02,31961.514
688061.SH,20230508,66.29,66.98,66.0,66.78,66.3,0.48,0.724,4333.32,28783.069
688061.SH,20230509,66.7,66.89,64.88,65.01,66.78,-1.77,-2.6505,5794.9,38191.401
688061.SH,20230510,65.0,65.66,64.81,65.3,65.01,0.29,0.4461,3420.07,22287.296
688061.SH,20230511,65.3,66.5,65.02,65.68,65.3,0.38,0.5819,3979.59,26263.238
688061.SH,20230512,65.67,66.78,63.89,63.96,65.68,-1.72,-2.6188,4839.47,31342.013
688061.SH,20230515,63.89,64.45,63.45,64.43,63.96,0.47,0.7348,4101.19,26292.866
688061.SH,20230516,64.8,65.27,63.49,64.42,64.43,-0.01,-0.0155,4631.34,29895.61
688061.SH,20230517,64.31,65.7,64.31,65.45,64.42,1.03,1.5989,3864.72,25205.239
