ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688121.SH,20210906,35.5,43.47,35.0,39.23,18.16,21.07,116.0242,313328.28,1186149.328
688121.SH,20210907,40.13,43.16,39.2,40.98,39.23,1.75,4.4609,236173.7,968013.783
688121.SH,20210908,42.17,47.97,41.66,46.28,40.98,5.3,12.9331,209844.85,933190.549
688121.SH,20210909,44.79,48.5,44.44,46.15,46.28,-0.13,-0.2809,107415.48,500437.548
688121.SH,20210910,47.7,47.99,40.52,44.1,46.15,-2.05,-4.442,113327.2,495744.566
688121.SH,20210913,43.0,46.88,40.18,46.7,44.1,2.6,5.8957,100095.02,431971.523
688121.SH,20210914,45.8,46.5,43.1,43.1,46.7,-3.6,-7.7088,61084.28,272846.792
688121.SH,20210915,42.48,44.88,42.0,43.6,43.1,0.5,1.1601,37237.14,161317.011
688121.SH,20210916,43.03,46.68,42.42,44.02,43.6,0.42,0.9633,49826.29,222804.287
688121.SH,20210917,43.0,44.94,41.6,43.75,44.02,-0.27,-0.6134,35329.59,152672.137
688121.SH,20210922,42.8,44.5,39.9,41.35,43.75,-2.4,-5.4857,48096.05,201988.778
688121.SH,20210923,41.28,42.2,39.12,39.77,41.35,-1.58,-3.821,30921.44,125433.716
688121.SH,20210924,39.4,39.68,36.04,36.04,39.77,-3.73,-9.3789,50383.14,187686.132
688121.SH,20210927,35.7,35.78,33.63,34.69,36.04,-1.35,-3.7458,38196.53,132669.936
688121.SH,20210928,34.73,35.73,33.9,35.02,34.69,0.33,0.9513,24163.22,83935.634
688121.SH,20210929,34.03,34.52,32.5,32.54,35.02,-2.48,-7.0817,30058.74,101061.106
688121.SH,20210930,32.54,33.8,32.2,33.25,32.54,0.71,2.1819,12427.62,41337.924
688121.SH,20211008,33.58,35.03,33.41,34.54,33.25,1.29,3.8797,23102.05,79867.889
688121.SH,20211011,34.22,34.54,32.82,34.15,34.54,-0.39,-1.1291,12087.71,40760.732
688121.SH,20211012,34.13,35.16,31.41,32.1,34.15,-2.05,-6.0029,22085.01,72459.315
688121.SH,20211013,32.0,32.61,31.7,32.09,32.1,-0.01,-0.0312,13813.35,44275.962
688121.SH,20211014,32.1,33.0,31.88,32.8,32.09,0.71,2.2125,15443.22,50021.943
688121.SH,20211015,32.52,33.55,31.5,32.34,32.8,-0.46,-1.4024,17441.47,56653.271
688121.SH,20211018,32.75,34.59,31.83,33.71,32.34,1.37,4.2362,24463.79,81907.58
688121.SH,20211019,33.9,35.3,33.6,34.23,33.71,0.52,1.5426,28117.72,97390.031
688121.SH,20211020,34.34,35.9,33.99,35.5,34.23,1.27,3.7102,44438.29,157016.045
688121.SH,20211021,35.0,35.3,33.95,34.33,35.5,-1.17,-3.2958,34712.68,119115.596
688121.SH,20211022,34.05,35.2,33.73,33.86,34.33,-0.47,-1.3691,22766.5,78517.09
688121.SH,20211025,33.38,33.47,32.15,32.55,33.86,-1.31,-3.8689,27712.8,90378.335
688121.SH,20211026,32.97,32.99,31.66,32.2,32.55,-0.35,-1.0753,14829.61,47843.119
688121.SH,20211027,32.05,32.05,27.9,28.28,32.2,-3.92,-12.1739,47163.49,138467.079
688121.SH,20211028,26.01,26.33,23.8,24.44,28.28,-3.84,-13.5785,56379.91,139487.565
688121.SH,20211029,24.4,24.97,24.21,24.42,24.44,-0.02,-0.0818,27866.4,68490.71
688121.SH,20211101,24.58,25.51,24.43,24.8,24.42,0.38,1.5561,27293.57,68168.71
688121.SH,20211102,24.78,25.25,24.39,24.5,24.8,-0.3,-1.2097,23142.54,57321.286
688121.SH,20211103,24.41,25.08,24.38,24.75,24.5,0.25,1.0204,18376.08,45442.513
688121.SH,20211104,24.84,26.89,24.59,26.87,24.75,2.12,8.5657,43934.36,112611.368
688121.SH,20211105,26.55,26.55,25.33,25.71,26.87,-1.16,-4.3171,26511.92,68126.782
688121.SH,20211108,25.95,25.97,25.21,25.72,25.71,0.01,0.0389,20322.27,51939.762
688121.SH,20211109,25.92,26.15,25.54,25.94,25.72,0.22,0.8554,12173.42,31426.006
688121.SH,20211110,25.89,26.66,25.89,26.26,25.94,0.32,1.2336,15647.21,41113.358
688121.SH,20211111,26.51,26.79,26.02,26.58,26.26,0.32,1.2186,10745.27,28414.298
688121.SH,20211112,26.57,27.59,26.32,27.3,26.58,0.72,2.7088,16845.41,45666.413
688121.SH,20211115,27.44,27.87,26.84,27.15,27.3,-0.15,-0.5495,20595.54,55916.655
688121.SH,20211116,27.05,27.09,26.21,26.47,27.15,-0.68,-2.5046,13895.85,36976.002
688121.SH,20211117,26.47,28.22,26.24,28.02,26.47,1.55,5.8557,23310.16,63831.307
688121.SH,20211118,28.53,28.98,27.9,28.23,28.02,0.21,0.7495,21321.11,60743.795
688121.SH,20211119,28.6,29.48,28.1,29.21,28.23,0.98,3.4715,17776.85,51200.632
688121.SH,20211122,29.18,31.68,29.18,29.99,29.21,0.78,2.6703,38011.22,115883.103
688121.SH,20211123,29.99,30.6,29.37,29.99,29.99,0.0,0.0,19800.72,59507.112
688121.SH,20211124,30.18,30.5,29.65,29.84,29.99,-0.15,-0.5002,16856.98,50806.936
688121.SH,20211125,29.87,30.25,29.3,29.4,29.84,-0.44,-1.4745,18655.04,55751.634
688121.SH,20211126,29.71,29.72,29.08,29.11,29.4,-0.29,-0.9864,14948.65,43851.851
688121.SH,20211129,29.1,30.7,28.7,30.0,29.11,0.89,3.0574,23497.24,70486.456
688121.SH,20211130,30.3,32.69,30.3,31.94,30.0,1.94,6.4667,37960.48,120520.006
688121.SH,20211201,31.63,33.18,31.57,31.9,31.94,-0.04,-0.1252,23269.07,75139.487
688121.SH,20211202,32.0,32.68,31.8,32.0,31.9,0.1,0.3135,18876.14,60850.477
688121.SH,20211203,32.0,32.69,31.5,32.41,32.0,0.41,1.2813,15012.95,48280.439
688121.SH,20211206,32.33,32.55,30.88,31.08,32.41,-1.33,-4.1037,19809.8,62529.816
688121.SH,20211207,31.71,31.71,29.81,30.26,31.08,-0.82,-2.6384,16487.67,50181.516
688121.SH,20211208,30.23,31.86,30.21,31.52,30.26,1.26,4.1639,11692.63,36732.194
688121.SH,20211209,31.77,31.89,31.07,31.75,31.52,0.23,0.7297,11045.35,34657.374
688121.SH,20211210,31.15,31.8,31.14,31.35,31.75,-0.4,-1.2598,5575.22,17502.013
688121.SH,20211213,37.59,37.6,32.8,33.36,31.35,2.01,6.4115,60251.27,212714.489
688121.SH,20211214,34.2,34.31,31.81,32.49,33.36,-0.87,-2.6079,34032.89,111705.134
688121.SH,20211215,32.67,34.77,32.27,33.13,32.49,0.64,1.9698,20125.13,67101.883
688121.SH,20211216,33.17,34.07,32.67,33.75,33.13,0.62,1.8714,13296.12,44354.601
688121.SH,20211217,33.75,34.2,32.9,33.12,33.75,-0.63,-1.8667,14972.74,50074.628
688121.SH,20211220,32.86,33.57,32.18,32.84,33.12,-0.28,-0.8454,12366.12,40815.459
688121.SH,20211221,32.85,35.3,31.71,34.52,32.84,1.68,5.1157,21846.69,72650.475
688121.SH,20211222,34.36,35.16,33.85,34.19,34.52,-0.33,-0.956,11401.12,39047.454
688121.SH,20211223,34.3,34.81,33.54,34.54,34.19,0.35,1.0237,13030.4,44740.908
688121.SH,20211224,34.68,35.32,34.3,34.69,34.54,0.15,0.4343,11654.12,40637.278
688121.SH,20211227,34.57,36.28,34.2,35.57,34.69,0.88,2.5368,13984.85,49675.664
688121.SH,20211228,35.5,36.31,35.1,36.0,35.57,0.43,1.2089,6322.55,22713.023
688121.SH,20211229,35.7,38.3,35.7,37.5,36.0,1.5,4.1667,16951.95,63169.146
688121.SH,20211230,37.3,37.72,36.76,37.31,37.5,-0.19,-0.5067,11932.2,44542.204
688121.SH,20211231,36.86,39.08,36.5,38.45,37.31,1.14,3.0555,20250.41,77506.127
688121.SH,20220104,38.45,38.47,36.85,37.48,38.45,-0.97,-2.5228,11717.77,43932.195
688121.SH,20220105,37.35,37.54,34.71,36.05,37.48,-1.43,-3.8154,22735.12,81154.567
688121.SH,20220106,36.1,37.85,36.0,37.33,36.05,1.28,3.5506,13265.52,49051.12
