ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688261.SH,20220210,139.8,149.0,130.0,130.11,130.0,0.11,0.0846,101552.63,1384357.45
688261.SH,20220211,123.0,142.5,121.1,136.0,130.11,5.89,4.5269,71581.25,967651.66
688261.SH,20220214,131.0,144.34,125.35,140.49,136.0,4.49,3.3015,46264.64,631360.345
688261.SH,20220215,143.04,151.5,140.01,145.48,140.49,4.99,3.5519,37375.29,548191.649
688261.SH,20220216,144.44,149.38,141.13,148.2,145.48,2.72,1.8697,29480.32,429497.819
688261.SH,20220217,146.5,157.91,142.66,149.59,148.2,1.39,0.9379,25655.33,384999.78
688261.SH,20220218,148.15,160.88,147.18,157.82,149.59,8.23,5.5017,23800.19,369949.214
688261.SH,20220221,158.0,172.55,157.0,169.5,157.82,11.68,7.4008,24019.81,396879.246
688261.SH,20220222,168.5,185.72,165.0,183.0,169.5,13.5,7.9646,25049.77,440880.835
688261.SH,20220223,181.22,198.53,179.4,191.0,183.0,8.0,4.3716,24289.6,460789.324
688261.SH,20220224,191.55,193.6,180.18,182.23,191.0,-8.77,-4.5916,25916.35,483007.166
688261.SH,20220225,189.0,197.5,183.5,186.0,182.23,3.77,2.0688,28759.99,546144.038
688261.SH,20220228,185.87,190.31,181.0,185.0,186.0,-1.0,-0.5376,20893.89,387138.889
688261.SH,20220301,184.0,204.78,182.01,203.68,185.0,18.68,10.0973,23417.21,449340.931
688261.SH,20220302,200.66,205.0,191.13,196.87,203.68,-6.81,-3.3435,20094.15,396011.736
688261.SH,20220303,196.5,198.4,169.55,170.04,196.87,-26.83,-13.6283,32589.42,588100.024
688261.SH,20220304,166.0,177.5,165.01,171.5,170.04,1.46,0.8586,21253.34,366894.182
688261.SH,20220307,171.67,185.45,163.02,180.99,171.5,9.49,5.5335,21916.53,386032.219
688261.SH,20220308,179.79,188.98,176.86,179.8,180.99,-1.19,-0.6575,17774.51,324186.074
688261.SH,20220309,180.9,196.0,180.58,194.01,179.8,14.21,7.9032,18978.47,356114.363
688261.SH,20220310,202.0,209.0,189.0,190.11,194.01,-3.9,-2.0102,16686.72,329575.472
688261.SH,20220311,188.01,193.65,186.57,190.07,190.11,-0.04,-0.021,10529.86,199910.282
688261.SH,20220314,182.0,194.65,177.76,186.88,190.07,-3.19,-1.6783,12660.97,234689.596
688261.SH,20220315,185.01,193.87,178.6,179.0,186.88,-7.88,-4.2166,12710.22,237163.725
688261.SH,20220316,181.0,192.0,163.18,189.85,179.0,10.85,6.0615,20642.23,366924.059
688261.SH,20220317,188.0,190.72,175.42,175.42,189.85,-14.43,-7.6007,16551.48,302810.4
688261.SH,20220318,172.51,180.93,169.0,172.4,175.42,-3.02,-1.7216,9728.76,169528.996
688261.SH,20220321,172.7,196.5,172.7,195.25,172.4,22.85,13.2541,18387.34,342038.671
688261.SH,20220322,190.9,202.5,190.02,195.3,195.25,0.05,0.0256,13822.01,270624.692
688261.SH,20220323,197.0,206.8,193.77,199.67,195.3,4.37,2.2376,10643.82,212105.629
688261.SH,20220324,197.82,198.84,192.0,198.69,199.67,-0.98,-0.4908,8053.07,157267.984
688261.SH,20220325,200.0,207.78,190.0,190.29,198.69,-8.4,-4.2277,9703.5,191519.472
688261.SH,20220328,186.08,198.5,185.26,192.44,190.29,2.15,1.1299,7918.71,152831.891
688261.SH,20220329,193.05,194.5,182.88,186.0,192.44,-6.44,-3.3465,7408.56,138780.002
688261.SH,20220330,185.33,191.88,185.33,187.67,186.0,1.67,0.8978,6417.21,120655.986
688261.SH,20220331,186.0,194.6,180.74,184.2,187.67,-3.47,-1.849,8615.88,161377.284
688261.SH,20220401,181.0,198.94,180.0,194.27,184.2,10.07,5.4669,11172.37,214361.313
688261.SH,20220406,191.94,192.0,181.38,184.51,194.27,-9.76,-5.0239,8244.58,152331.409
688261.SH,20220407,183.0,185.6,175.0,180.1,184.51,-4.41,-2.3901,5333.09,95992.251
688261.SH,20220408,180.1,187.81,177.26,182.0,180.1,1.9,1.055,5598.36,102686.676
688261.SH,20220411,180.29,181.88,173.88,177.11,182.0,-4.89,-2.6868,5568.14,98889.946
688261.SH,20220412,178.5,185.27,178.19,185.0,177.11,7.89,4.4549,5596.82,102194.577
688261.SH,20220413,185.01,185.01,178.12,179.03,185.0,-5.97,-3.227,4823.69,87300.558
688261.SH,20220414,179.5,181.8,166.0,173.56,179.03,-5.47,-3.0554,10905.45,189101.683
688261.SH,20220415,168.93,170.65,164.0,168.0,173.56,-5.56,-3.2035,8011.66,133928.334
688261.SH,20220418,166.01,177.01,165.14,174.98,168.0,6.98,4.1548,6218.64,108215.169
688261.SH,20220419,174.59,177.46,167.01,168.06,174.98,-6.92,-3.9547,4320.08,74008.421
688261.SH,20220420,168.5,174.5,165.05,165.21,168.06,-2.85,-1.6958,4158.88,69664.078
688261.SH,20220421,165.0,171.49,164.09,166.1,165.21,0.89,0.5387,4308.18,72177.952
688261.SH,20220422,160.02,162.49,151.3,156.9,166.1,-9.2,-5.5388,9432.71,148276.536
688261.SH,20220425,152.37,158.0,148.1,152.0,156.9,-4.9,-3.123,5385.08,82415.147
688261.SH,20220426,154.88,154.88,135.0,144.24,152.0,-7.76,-5.1053,8306.63,120808.484
688261.SH,20220427,140.99,156.0,138.01,153.89,144.24,9.65,6.6902,8411.82,124953.119
688261.SH,20220428,155.7,155.84,147.1,149.65,153.89,-4.24,-2.7552,6744.16,101587.94
688261.SH,20220429,151.23,161.8,150.01,159.87,149.65,10.22,6.8293,8783.55,136860.549
688261.SH,20220505,157.2,173.26,157.2,168.18,159.87,8.31,5.198,7020.37,117043.216
688261.SH,20220506,164.01,182.28,163.1,180.0,168.18,11.82,7.0282,8472.07,147909.071
688261.SH,20220509,179.03,183.9,176.58,178.9,180.0,-1.1,-0.6111,3785.02,67942.119
688261.SH,20220510,177.1,193.0,176.88,185.48,178.9,6.58,3.678,8972.91,167969.036
688261.SH,20220511,184.8,189.47,183.7,186.0,185.48,0.52,0.2804,5913.47,110110.089
688261.SH,20220512,184.9,193.3,184.9,190.09,186.0,4.09,2.1989,5298.45,100472.438
688261.SH,20220513,191.0,214.44,190.93,212.0,190.09,21.91,11.5261,9643.95,197966.666
688261.SH,20220516,215.0,215.0,208.88,212.39,212.0,0.39,0.184,5997.6,126927.652
688261.SH,20220517,212.94,233.25,210.01,230.91,212.39,18.52,8.7198,10820.38,242990.913
688261.SH,20220518,229.24,240.2,228.26,234.44,230.91,3.53,1.5287,7928.28,185128.956
688261.SH,20220519,229.0,246.02,229.0,245.0,234.44,10.56,4.5044,7182.96,170716.363
688261.SH,20220520,245.08,247.78,229.0,238.71,245.0,-6.29,-2.5673,9752.1,231361.834
688261.SH,20220523,238.0,247.0,236.0,244.81,238.71,6.1,2.5554,6532.63,157984.193
688261.SH,20220524,240.0,250.8,236.0,236.0,244.81,-8.81,-3.5987,7491.12,182040.99
688261.SH,20220525,238.0,254.41,237.98,245.13,236.0,9.13,3.8686,7213.47,176673.046
688261.SH,20220526,244.51,245.54,234.6,240.0,245.13,-5.13,-2.0928,6786.59,162625.523
688261.SH,20220527,241.5,248.66,240.0,247.0,240.0,7.0,2.9167,5044.36,123463.314
688261.SH,20220530,248.12,266.64,244.0,260.97,247.0,13.97,5.6559,6482.15,167017.101
688261.SH,20220531,259.0,259.97,242.0,252.1,260.97,-8.87,-3.3989,7295.62,182520.551
688261.SH,20220601,250.5,252.1,239.0,243.01,252.1,-9.09,-3.6057,8586.08,209786.723
688261.SH,20220602,242.99,261.81,240.25,259.5,243.01,16.49,6.7857,7590.52,191200.943
688261.SH,20220606,259.99,273.1,259.0,264.34,259.5,4.84,1.8651,6839.62,181929.55
688261.SH,20220607,265.7,267.7,251.39,254.8,264.34,-9.54,-3.609,5872.67,150483.721
688261.SH,20220608,255.62,259.62,246.0,252.9,254.8,-1.9,-0.7457,4725.17,118859.752
688261.SH,20220609,251.01,252.49,243.58,250.49,252.9,-2.41,-0.9529,4565.74,112890.533
688261.SH,20220610,250.0,257.91,244.01,252.6,250.49,2.11,0.8423,5731.01,144395.186
688261.SH,20220613,248.85,256.8,244.23,246.39,252.6,-6.21,-2.4584,5609.42,139860.942
688261.SH,20220614,242.11,242.91,222.0,230.8,246.39,-15.59,-6.3274,10395.69,238884.008
688261.SH,20220615,228.98,252.95,225.16,243.56,230.8,12.76,5.5286,8667.04,206923.785
688261.SH,20220616,241.14,252.8,236.01,237.07,243.56,-6.49,-2.6646,8042.36,195398.519
688261.SH,20220617,236.0,246.7,231.11,240.9,237.07,3.83,1.6156,6249.49,149662.356
688261.SH,20220620,244.99,246.49,235.32,237.18,240.9,-3.72,-1.5442,4801.75,115111.877
688261.SH,20220621,243.54,243.54,231.51,236.75,237.18,-0.43,-0.1813,4145.83,98099.012
688261.SH,20220622,238.0,246.5,234.57,241.07,236.75,4.32,1.8247,5228.18,125817.895
688261.SH,20220623,241.11,260.55,240.11,259.86,241.07,18.79,7.7944,7435.45,188524.817
688261.SH,20220624,260.59,261.89,245.35,250.8,259.86,-9.06,-3.4865,8268.95,209663.57
688261.SH,20220627,251.81,254.77,236.19,238.02,250.8,-12.78,-5.0957,7351.05,176757.546
688261.SH,20220628,234.5,242.86,229.01,241.13,237.69,3.44,1.4473,5848.57,137478.517
688261.SH,20220629,239.57,244.42,228.0,228.2,241.13,-12.93,-5.3623,5985.11,140325.839
688261.SH,20220630,227.52,245.98,227.52,241.96,228.2,13.76,6.0298,8133.33,194385.496
688261.SH,20220701,241.96,243.98,225.6,227.48,241.96,-14.48,-5.9845,9517.29,219527.095
688261.SH,20220704,227.0,237.87,216.3,234.7,227.48,7.22,3.1739,7211.6,164825.062
688261.SH,20220705,233.0,240.7,230.5,238.0,234.7,3.3,1.4061,5047.54,119485.053
688261.SH,20220706,237.9,261.0,233.5,256.8,238.0,18.8,7.8992,9656.12,245005.442
688261.SH,20220707,258.0,258.0,242.17,248.0,256.8,-8.8,-3.4268,7034.38,174017.203
688261.SH,20220708,250.36,258.88,247.77,252.49,248.0,4.49,1.8105,6455.69,163990.461
688261.SH,20220711,250.02,252.98,241.5,249.47,252.49,-3.02,-1.1961,5503.63,135832.16
688261.SH,20220712,247.57,256.4,238.0,238.23,249.47,-11.24,-4.5056,5792.32,142002.828
688261.SH,20220713,238.0,240.48,229.25,232.0,238.23,-6.23,-2.6151,3833.86,89293.241
688261.SH,20220714,228.01,242.3,228.01,236.73,232.0,4.73,2.0388,4164.0,99280.46
688261.SH,20220715,237.47,249.0,236.0,242.8,236.73,6.07,2.5641,5831.25,142645.201
688261.SH,20220718,241.58,246.38,232.5,240.0,242.8,-2.8,-1.1532,4758.64,114068.217
688261.SH,20220719,240.93,266.1,236.02,255.52,240.0,15.52,6.4667,9143.27,235189.598
688261.SH,20220720,258.0,264.99,254.0,259.51,255.52,3.99,1.5615,5996.67,156133.848
688261.SH,20220721,259.85,275.0,255.1,266.0,259.51,6.49,2.5009,9128.61,244509.08
688261.SH,20220722,265.89,269.27,256.5,260.09,266.0,-5.91,-2.2218,5320.73,138335.966
688261.SH,20220725,258.08,261.75,249.68,251.0,260.09,-9.09,-3.4949,4273.55,108221.112
688261.SH,20220726,253.26,253.5,245.0,251.72,251.0,0.72,0.2869,3370.16,83915.536
688261.SH,20220727,251.11,254.3,245.05,251.65,251.72,-0.07,-0.0278,3701.79,92316.054
688261.SH,20220728,252.8,261.5,252.0,253.91,251.65,2.26,0.8981,5458.96,139963.933
688261.SH,20220729,255.08,258.8,247.33,248.48,253.91,-5.43,-2.1386,4808.28,120805.539
688261.SH,20220801,246.0,261.52,237.0,261.52,248.48,13.04,5.2479,6120.64,154171.526
688261.SH,20220802,257.0,267.48,254.8,262.11,261.52,0.59,0.2256,6077.84,159070.475
688261.SH,20220803,265.53,277.4,255.2,269.01,262.11,6.9,2.6325,7454.21,198936.346
688261.SH,20220804,269.56,300.07,267.0,299.41,269.01,30.4,11.3007,10149.36,290129.342
688261.SH,20220805,296.92,328.0,293.0,314.08,299.41,14.67,4.8996,10020.79,312146.04
688261.SH,20220808,312.0,313.0,295.05,308.99,314.08,-5.09,-1.6206,6180.5,187167.418
688261.SH,20220809,307.77,307.77,292.01,300.21,308.99,-8.78,-2.8415,5818.88,172847.595
688261.SH,20220810,296.2,302.2,284.44,285.8,300.21,-14.41,-4.8,9194.16,267988.604
688261.SH,20220811,285.0,292.59,280.56,284.55,285.8,-1.25,-0.4374,7245.77,206777.465
688261.SH,20220812,281.5,286.95,268.01,268.1,284.55,-16.45,-5.7811,6630.27,181970.031
688261.SH,20220815,265.8,272.77,264.13,268.89,268.1,0.79,0.2947,4530.3,121367.764
688261.SH,20220816,270.61,283.49,265.51,279.17,268.89,10.28,3.8231,7534.31,209176.227
688261.SH,20220817,278.84,284.33,272.21,281.44,279.17,2.27,0.8131,4847.54,134958.208
688261.SH,20220818,279.0,290.3,272.6,285.25,281.44,3.81,1.3538,6118.37,173306.991
688261.SH,20220819,285.04,292.0,267.09,267.68,285.25,-17.57,-6.1595,6330.65,175197.648
688261.SH,20220822,269.99,273.88,265.0,270.38,267.68,2.7,1.0087,3165.84,84973.352
688261.SH,20220823,268.31,272.56,267.0,270.86,270.38,0.48,0.1775,2472.63,66627.659
688261.SH,20220824,270.0,271.0,240.0,240.03,270.86,-30.83,-11.3823,8311.17,209181.842
688261.SH,20220825,241.0,245.98,235.15,244.47,240.03,4.44,1.8498,4631.42,111305.428
688261.SH,20220826,244.47,247.97,234.03,237.92,244.47,-6.55,-2.6793,3376.47,81693.874
688261.SH,20220829,245.0,273.5,243.4,272.8,237.92,34.88,14.6604,9717.17,257997.36
688261.SH,20220830,274.92,284.23,268.36,280.0,272.8,7.2,2.6393,7092.31,197607.345
688261.SH,20220831,280.26,280.26,263.22,264.2,280.0,-15.8,-5.6429,7024.23,188995.586
688261.SH,20220901,265.5,279.19,264.1,272.0,264.2,7.8,2.9523,4861.75,132589.774
688261.SH,20220902,276.08,276.08,263.0,273.7,272.0,1.7,0.625,3842.25,104414.228
688261.SH,20220905,275.01,284.7,264.54,275.42,273.7,1.72,0.6284,4599.1,127402.919
688261.SH,20220906,274.8,278.83,267.59,273.12,275.42,-2.3,-0.8351,4011.1,109359.879
688261.SH,20220907,273.38,289.85,273.38,284.23,273.12,11.11,4.0678,6369.94,181285.986
688261.SH,20220908,282.0,287.5,279.89,283.4,284.23,-0.83,-0.292,4116.91,116387.104
688261.SH,20220909,281.38,286.67,272.1,277.47,283.4,-5.93,-2.0924,3351.3,92692.233
688261.SH,20220913,275.01,284.0,273.33,280.47,277.47,3.0,1.0812,2979.19,83372.922
688261.SH,20220914,279.88,296.8,275.0,292.03,280.47,11.56,4.1217,5570.46,159863.999
688261.SH,20220915,290.0,294.83,268.12,272.86,292.03,-19.17,-6.5644,5875.9,162992.98
688261.SH,20220916,275.21,276.56,268.0,271.9,272.86,-0.96,-0.3518,3761.26,102678.434
688261.SH,20220919,265.67,274.2,253.82,254.0,271.9,-17.9,-6.5833,4221.73,110034.172
688261.SH,20220920,255.94,258.86,250.38,255.95,254.0,1.95,0.7677,2903.2,73899.652
688261.SH,20220921,256.49,257.89,242.69,243.51,255.95,-12.44,-4.8603,4200.52,104387.87
688261.SH,20220922,242.01,252.02,239.0,244.41,243.51,0.9,0.3696,4097.19,100960.312
688261.SH,20220923,242.32,246.9,227.24,230.5,244.41,-13.91,-5.6913,7221.15,168219.543
688261.SH,20220926,228.0,242.9,226.9,238.36,230.5,7.86,3.41,5647.44,134463.541
688261.SH,20220927,240.48,254.48,239.74,243.55,238.36,5.19,2.1774,4702.66,116372.615
688261.SH,20220928,240.0,246.6,237.16,240.6,243.55,-2.95,-1.2113,3209.22,77796.958
688261.SH,20220929,244.3,262.0,242.71,261.9,240.6,21.3,8.8529,7505.97,192238.087
688261.SH,20220930,257.48,259.63,252.07,255.0,261.9,-6.9,-2.6346,5185.82,132574.56
688261.SH,20221010,255.0,257.0,235.25,235.9,255.0,-19.1,-7.4902,4252.56,102152.186
688261.SH,20221011,236.8,239.9,229.16,236.88,235.9,0.98,0.4154,3292.09,77439.537
688261.SH,20221012,236.0,251.58,230.0,251.38,236.88,14.5,6.1212,4293.83,104062.729
688261.SH,20221013,250.5,259.03,246.01,248.5,251.38,-2.88,-1.1457,2749.77,69474.056
688261.SH,20221014,248.93,255.81,240.11,254.7,248.5,6.2,2.495,3945.36,97845.908
688261.SH,20221017,250.0,259.39,244.12,253.0,254.7,-1.7,-0.6675,5179.54,130849.318
688261.SH,20221018,249.5,261.0,245.21,258.52,253.0,5.52,2.1818,3992.68,101335.138
