ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688269.SH,20210609,64.0,97.63,62.0,79.59,18.94,60.65,320.2218,166049.77,1259352.394
688269.SH,20210610,84.0,122.5,83.4,116.0,79.59,36.41,45.747,92809.42,911465.124
688269.SH,20210611,109.0,116.19,104.0,106.0,116.0,-10.0,-8.6207,46607.14,508911.841
688269.SH,20210615,112.0,119.8,107.5,115.73,106.0,9.73,9.1792,52970.84,602993.92
688269.SH,20210616,115.0,115.0,98.93,103.0,115.73,-12.73,-10.9997,37261.99,387037.115
688269.SH,20210617,105.0,115.0,99.05,108.28,103.0,5.28,5.1262,30047.22,325529.107
688269.SH,20210618,108.2,118.2,100.51,111.2,108.28,2.92,2.6967,25948.25,288359.637
688269.SH,20210621,110.01,122.4,109.33,114.9,111.2,3.7,3.3273,22724.91,264925.79
688269.SH,20210622,113.8,128.0,110.53,126.9,114.9,12.0,10.4439,28644.2,341100.119
688269.SH,20210623,126.9,149.67,126.9,135.5,126.9,8.6,6.777,31200.84,426260.844
688269.SH,20210624,136.0,137.9,127.0,131.51,135.5,-3.99,-2.9446,18646.78,245465.501
688269.SH,20210625,133.0,134.99,120.22,129.01,131.51,-2.5,-1.901,20709.01,265977.229
688269.SH,20210628,132.45,136.12,128.08,129.68,129.01,0.67,0.5193,15640.6,205865.778
688269.SH,20210629,129.98,135.76,126.1,135.6,129.68,5.92,4.5651,16086.91,213158.035
688269.SH,20210630,135.65,148.66,134.15,139.52,135.6,3.92,2.8909,19446.95,275895.986
688269.SH,20210701,139.0,141.1,133.34,134.8,139.52,-4.72,-3.383,10540.24,144049.864
688269.SH,20210702,133.0,135.98,120.88,121.86,134.8,-12.94,-9.5994,16726.29,212439.412
688269.SH,20210705,121.0,124.0,114.01,120.3,121.86,-1.56,-1.2802,16989.31,202880.017
688269.SH,20210706,119.67,121.43,97.1,103.02,120.3,-17.28,-14.3641,32758.02,350924.059
688269.SH,20210707,100.46,118.47,100.46,115.6,103.02,12.58,12.2112,26249.63,287825.589
688269.SH,20210708,115.0,124.57,111.33,118.7,115.6,3.1,2.6817,22306.44,263218.382
688269.SH,20210709,117.11,122.0,109.11,120.0,118.7,1.3,1.0952,15419.68,179781.058
688269.SH,20210712,119.96,127.0,113.34,119.7,120.0,-0.3,-0.25,12959.47,156727.423
688269.SH,20210713,119.01,133.36,116.01,129.99,119.7,10.29,8.5965,12518.04,159217.974
688269.SH,20210714,128.0,132.85,124.51,129.68,129.99,-0.31,-0.2385,6763.87,86850.589
688269.SH,20210715,129.99,132.68,125.1,129.0,129.68,-0.68,-0.5244,5027.08,65038.583
688269.SH,20210716,128.15,130.37,113.11,123.0,129.0,-6.0,-4.6512,11359.91,137502.705
688269.SH,20210719,120.83,120.97,114.0,116.99,123.0,-6.01,-4.8862,5710.83,66799.799
688269.SH,20210720,114.38,116.44,106.61,112.01,116.99,-4.98,-4.2568,12746.44,140615.191
688269.SH,20210721,112.21,121.54,112.21,119.28,112.01,7.27,6.4905,11459.09,134736.227
688269.SH,20210722,118.44,124.28,110.11,112.57,119.28,-6.71,-5.6254,11802.49,137640.364
688269.SH,20210723,112.07,113.76,107.01,112.49,112.57,-0.08,-0.0711,7882.62,86842.77
688269.SH,20210726,110.36,112.49,103.2,112.49,112.49,0.0,0.0,12752.86,135604.945
688269.SH,20210727,112.48,113.0,106.3,106.3,112.49,-6.19,-5.5027,10397.02,113626.417
688269.SH,20210728,106.0,106.8,98.39,104.3,106.3,-2.0,-1.8815,6089.46,62920.816
688269.SH,20210729,105.72,108.8,102.16,103.6,104.3,-0.7,-0.6711,5501.73,57872.193
688269.SH,20210730,102.99,104.65,98.09,102.17,103.6,-1.43,-1.3803,5200.86,52821.072
688269.SH,20210802,102.0,108.2,100.61,106.02,102.17,3.85,3.7682,6142.36,64564.364
688269.SH,20210803,105.88,105.88,90.24,93.5,106.02,-12.52,-11.8091,15171.83,147848.884
688269.SH,20210804,93.75,99.01,93.33,99.0,93.5,5.5,5.8824,18010.38,174946.294
688269.SH,20210805,97.0,98.0,94.47,95.15,99.0,-3.85,-3.8889,7095.65,68229.636
688269.SH,20210806,94.86,95.46,88.58,90.3,95.15,-4.85,-5.0972,8148.84,74372.992
688269.SH,20210809,91.18,104.2,90.0,100.35,90.3,10.05,11.1296,15087.32,151312.884
688269.SH,20210810,98.54,101.66,98.54,101.5,100.35,1.15,1.146,5335.84,53532.424
688269.SH,20210811,100.8,109.64,98.2,108.99,101.5,7.49,7.3793,11169.91,119010.698
688269.SH,20210812,108.99,120.2,106.04,118.5,108.99,9.51,8.7256,14185.73,163377.855
688269.SH,20210813,118.5,122.32,111.14,118.78,118.5,0.28,0.2363,7752.16,90525.14
688269.SH,20210816,118.78,125.0,110.0,114.3,118.78,-4.48,-3.7717,14530.1,169148.89
688269.SH,20210817,114.7,120.5,109.0,112.8,114.3,-1.5,-1.3123,11325.37,130274.348
688269.SH,20210818,111.72,115.61,108.98,112.05,112.8,-0.75,-0.6649,8378.55,94034.327
688269.SH,20210819,108.0,115.05,108.0,113.0,112.05,0.95,0.8478,6857.84,76780.264
688269.SH,20210820,111.45,114.5,105.01,111.1,113.0,-1.9,-1.6814,6698.14,74009.352
688269.SH,20210823,109.11,133.32,108.62,133.32,111.1,22.22,20.0,16115.55,202850.686
688269.SH,20210824,134.5,141.9,131.5,141.0,133.32,7.68,5.7606,10197.16,138679.061
688269.SH,20210825,140.0,140.0,125.73,133.34,141.0,-7.66,-5.4326,12596.81,164483.003
688269.SH,20210826,131.9,137.0,127.84,131.51,133.34,-1.83,-1.3724,6273.36,82404.421
688269.SH,20210827,130.05,133.01,128.01,128.4,131.51,-3.11,-2.3648,4660.54,60469.152
688269.SH,20210830,125.85,133.18,125.85,127.8,128.4,-0.6,-0.4673,3950.66,51119.533
688269.SH,20210831,130.0,133.59,125.53,126.66,127.8,-1.14,-0.892,3986.33,51790.605
688269.SH,20210901,130.3,130.3,119.0,122.19,126.66,-4.47,-3.5291,6064.57,75134.463
688269.SH,20210902,124.02,129.19,122.54,126.5,122.19,4.31,3.5273,3151.98,39713.311
688269.SH,20210903,127.0,128.37,116.79,121.14,126.5,-5.36,-4.2372,7362.7,88347.839
688269.SH,20210906,120.03,122.97,118.05,119.82,121.14,-1.32,-1.0896,3418.13,41086.434
688269.SH,20210907,120.76,125.72,118.62,122.55,119.82,2.73,2.2784,4628.83,56820.923
688269.SH,20210908,122.38,124.58,115.0,115.0,122.55,-7.55,-6.1608,7158.66,84623.584
688269.SH,20210909,114.28,123.9,114.28,118.58,115.0,3.58,3.113,6971.66,83200.864
688269.SH,20210910,120.36,124.99,115.1,119.96,118.58,1.38,1.1638,7886.51,95140.04
688269.SH,20210913,119.96,121.13,116.39,118.6,119.96,-1.36,-1.1337,3539.62,41995.785
688269.SH,20210914,117.0,120.73,114.49,115.59,118.6,-3.01,-2.5379,5273.46,61801.262
688269.SH,20210915,115.0,122.0,114.6,120.39,115.59,4.8,4.1526,6635.36,79193.569
688269.SH,20210916,120.66,121.77,114.87,115.02,120.39,-5.37,-4.4605,4460.05,52672.554
688269.SH,20210917,114.42,119.8,113.5,114.38,114.42,-0.04,-0.035,3441.01,39943.251
688269.SH,20210922,113.49,116.03,107.95,114.15,114.38,-0.23,-0.2011,6330.24,71451.397
688269.SH,20210923,115.92,118.79,112.0,112.12,114.15,-2.03,-1.7784,4513.72,51808.757
688269.SH,20210924,112.1,113.84,110.0,110.13,112.12,-1.99,-1.7749,2374.43,26416.169
688269.SH,20210927,110.13,111.87,105.0,108.0,110.13,-2.13,-1.9341,4021.77,43323.982
688269.SH,20210928,106.57,106.99,101.8,104.12,108.0,-3.88,-3.5926,5369.83,55795.906
688269.SH,20210929,104.17,107.87,102.37,107.0,104.12,2.88,2.766,3068.42,32476.294
688269.SH,20210930,106.28,107.0,103.27,106.96,107.0,-0.04,-0.0374,1983.05,20885.1
688269.SH,20211008,108.5,108.5,103.0,103.66,106.96,-3.3,-3.0853,2169.99,22774.614
688269.SH,20211011,103.66,105.48,101.53,103.7,103.66,0.04,0.0386,3659.5,37927.884
688269.SH,20211012,103.71,109.55,102.0,104.43,103.7,0.73,0.704,2487.15,26528.456
688269.SH,20211013,103.01,105.99,102.21,102.92,104.43,-1.51,-1.4459,1884.43,19500.575
688269.SH,20211014,102.92,104.61,102.67,103.11,102.92,0.19,0.1846,833.69,8641.98
688269.SH,20211015,102.9,103.82,99.57,101.74,103.11,-1.37,-1.3287,1579.43,16055.653
688269.SH,20211018,100.93,102.95,100.8,102.58,101.74,0.84,0.8256,1035.36,10568.969
688269.SH,20211019,102.02,105.55,101.0,104.17,102.58,1.59,1.55,1364.19,14121.679
688269.SH,20211020,102.5,105.2,102.0,103.15,104.17,-1.02,-0.9792,1195.76,12325.896
688269.SH,20211021,102.8,107.99,100.03,106.67,103.15,3.52,3.4125,2961.95,30884.592
688269.SH,20211022,106.33,107.4,103.0,103.19,106.67,-3.48,-3.2624,1878.95,19624.183
688269.SH,20211025,103.18,104.61,101.19,102.53,103.19,-0.66,-0.6396,1184.1,12100.711
688269.SH,20211026,101.28,103.44,100.59,101.98,102.53,-0.55,-0.5364,2124.65,21618.301
688269.SH,20211027,101.9,102.76,100.61,101.96,101.98,-0.02,-0.0196,1748.77,17769.448
688269.SH,20211028,101.8,103.52,97.86,97.86,101.96,-4.1,-4.0212,2694.58,26863.719
688269.SH,20211029,102.21,114.89,102.21,112.1,97.86,14.24,14.5514,9127.04,98522.275
688269.SH,20211101,114.0,114.29,106.0,108.68,112.1,-3.42,-3.0508,4818.01,52806.315
688269.SH,20211102,108.67,108.67,101.03,102.6,108.68,-6.08,-5.5944,6612.6,69491.025
688269.SH,20211103,102.08,105.8,101.12,105.68,102.6,3.08,3.0019,1932.71,20107.467
688269.SH,20211104,105.68,112.75,104.37,105.94,105.68,0.26,0.246,6111.43,66087.19
688269.SH,20211105,105.93,106.15,100.0,101.75,105.94,-4.19,-3.9551,6415.52,66344.281
688269.SH,20211108,101.99,102.98,100.2,101.1,101.75,-0.65,-0.6388,2750.69,27885.44
688269.SH,20211109,100.6,102.06,98.5,99.78,101.1,-1.32,-1.3056,4070.55,40606.155
688269.SH,20211110,100.5,102.88,98.37,99.87,99.78,0.09,0.0902,3689.4,36793.64
688269.SH,20211111,99.58,104.85,99.58,103.2,99.87,3.33,3.3343,5211.13,53528.692
688269.SH,20211112,105.77,111.0,104.0,105.5,103.2,2.3,2.2287,7148.55,76938.939
688269.SH,20211115,108.52,115.9,107.0,113.6,105.5,8.1,7.6777,9759.25,109531.16
688269.SH,20211116,112.91,119.88,111.03,112.03,113.6,-1.57,-1.382,8389.2,96890.839
688269.SH,20211117,111.74,117.0,110.15,112.5,112.03,0.47,0.4195,4776.63,53877.498
688269.SH,20211118,111.76,118.8,111.76,115.85,112.5,3.35,2.9778,4962.72,57436.616
688269.SH,20211119,115.0,125.0,115.0,122.48,115.85,6.63,5.7229,7640.22,93225.091
688269.SH,20211122,122.6,125.0,118.5,120.18,122.48,-2.3,-1.8779,8029.74,96860.524
688269.SH,20211123,119.0,121.77,114.55,118.42,120.18,-1.76,-1.4645,6918.1,81153.996
