ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688275.SH,20220929,249.99,259.99,210.2,217.14,299.88,-82.74,-27.591,72838.19,1610848.148
688275.SH,20220930,213.0,218.0,204.12,204.36,217.14,-12.78,-5.8856,41724.43,877148.166
688275.SH,20221010,200.45,201.0,192.3,193.68,204.36,-10.68,-5.2261,24308.44,474595.327
688275.SH,20221011,193.0,204.49,193.0,199.0,193.68,5.32,2.7468,20046.07,396569.044
688275.SH,20221012,198.3,199.9,190.11,197.28,199.0,-1.72,-0.8643,19530.9,379278.96
688275.SH,20221013,197.36,204.2,197.36,201.28,197.28,4.0,2.0276,21085.71,425516.494
688275.SH,20221014,205.0,206.49,200.01,202.33,201.28,1.05,0.5217,19386.25,392691.597
688275.SH,20221017,202.0,204.36,199.1,201.45,202.33,-0.88,-0.4349,14063.57,282843.121
688275.SH,20221018,203.9,214.3,202.1,208.8,201.45,7.35,3.6485,23317.92,485543.116
688275.SH,20221019,207.0,215.45,206.0,208.79,208.8,-0.01,-0.0048,18534.09,391925.635
688275.SH,20221020,206.99,213.8,203.0,206.67,208.79,-2.12,-1.0154,16749.12,347921.141
688275.SH,20221021,206.64,214.96,206.6,213.64,206.67,6.97,3.3725,17857.32,378648.498
688275.SH,20221024,214.0,217.95,210.44,212.79,213.64,-0.85,-0.3979,15168.6,324627.893
688275.SH,20221025,211.0,214.09,206.88,212.88,212.79,0.09,0.0423,9970.52,210483.754
688275.SH,20221026,213.88,216.46,210.09,210.78,212.88,-2.1,-0.9865,13363.3,284530.376
688275.SH,20221027,210.88,212.88,206.01,208.3,210.78,-2.48,-1.1766,11882.67,248420.368
688275.SH,20221028,209.84,209.9,198.01,198.55,208.3,-9.75,-4.6807,12749.15,258927.923
688275.SH,20221031,199.99,202.0,197.0,199.11,198.55,0.56,0.282,8190.18,163552.752
688275.SH,20221101,199.01,204.3,198.02,203.24,199.11,4.13,2.0742,8681.68,175299.149
688275.SH,20221102,202.5,213.18,201.88,208.75,203.24,5.51,2.7111,12731.9,262649.264
688275.SH,20221103,206.96,212.55,206.6,210.76,208.75,2.01,0.9629,8746.06,183797.308
688275.SH,20221104,212.16,227.41,211.0,223.26,210.76,12.5,5.9309,19892.7,441484.121
688275.SH,20221107,226.0,228.38,218.25,220.01,223.26,-3.25,-1.4557,19629.12,435137.92
688275.SH,20221108,219.92,226.0,218.69,222.34,220.01,2.33,1.059,11735.97,260571.417
688275.SH,20221109,221.68,224.88,218.01,218.01,222.34,-4.33,-1.9475,9138.37,201986.528
688275.SH,20221110,216.0,219.5,214.0,214.0,218.01,-4.01,-1.8394,10382.52,224415.415
688275.SH,20221111,221.14,222.47,214.0,215.0,214.0,1.0,0.4673,11660.53,254313.39
688275.SH,20221114,214.0,215.77,207.65,208.37,215.0,-6.63,-3.0837,10926.83,230366.885
688275.SH,20221115,208.37,213.24,207.81,213.11,208.37,4.74,2.2748,8291.3,174925.376
688275.SH,20221116,213.0,213.4,208.65,209.01,213.11,-4.1,-1.9239,7108.65,149531.28
688275.SH,20221117,208.33,208.38,204.76,207.21,209.01,-1.8,-0.8612,8014.96,165009.145
688275.SH,20221118,208.12,209.34,205.5,206.0,207.21,-1.21,-0.5839,5631.58,116923.926
688275.SH,20221121,206.0,207.99,204.1,207.19,206.0,1.19,0.5777,4781.82,98475.473
688275.SH,20221122,205.11,207.19,202.51,202.7,207.19,-4.49,-2.1671,6251.15,128061.799
688275.SH,20221123,203.97,205.5,200.12,204.86,202.7,2.16,1.0656,5902.55,119823.54
688275.SH,20221124,205.66,212.48,205.02,210.1,204.86,5.24,2.5578,10765.69,225338.076
688275.SH,20221125,208.41,209.0,203.97,203.97,210.1,-6.13,-2.9177,6661.7,137251.144
688275.SH,20221128,201.2,201.5,199.5,200.72,203.97,-3.25,-1.5934,5124.05,102774.628
688275.SH,20221129,200.12,203.49,200.0,202.43,200.72,1.71,0.8519,5050.51,102030.585
688275.SH,20221130,202.43,205.43,202.11,202.74,202.43,0.31,0.1531,4268.6,87048.876
688275.SH,20221201,205.0,207.4,204.38,205.8,202.74,3.06,1.5093,7034.57,144981.614
688275.SH,20221202,206.22,207.22,204.8,204.85,205.8,-0.95,-0.4616,4177.34,85894.237
688275.SH,20221205,206.0,206.01,201.36,202.23,204.85,-2.62,-1.279,7526.85,152318.384
688275.SH,20221206,201.7,203.88,201.38,202.33,202.23,0.1,0.0494,4202.09,85153.813
688275.SH,20221207,201.61,206.8,201.61,203.71,202.33,1.38,0.6821,7431.0,152317.738
688275.SH,20221208,203.81,205.0,202.01,203.02,203.71,-0.69,-0.3387,4157.78,84594.191
688275.SH,20221209,204.0,204.0,201.51,202.0,203.02,-1.02,-0.5024,4368.83,88286.668
688275.SH,20221212,201.78,201.78,198.0,198.0,202.0,-4.0,-1.9802,6602.1,131511.389
688275.SH,20221213,198.81,199.75,194.58,195.0,198.0,-3.0,-1.5152,5263.39,103398.428
