ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688328.SH,20210309,45.66,56.55,44.8,52.2,16.49,35.71,216.5555,130586.47,647306.65
688328.SH,20210310,49.53,50.5,39.15,40.26,52.2,-11.94,-22.8736,87300.88,385072.111
688328.SH,20210311,37.99,39.48,36.38,37.82,40.26,-2.44,-6.0606,60707.59,228489.76
688328.SH,20210312,37.11,37.72,34.74,35.21,37.82,-2.61,-6.9011,52322.79,188383.713
688328.SH,20210315,34.85,35.28,33.69,33.73,35.21,-1.48,-4.2034,33163.07,113653.073
688328.SH,20210316,34.1,34.38,32.41,32.56,33.73,-1.17,-3.4687,31831.2,105313.105
688328.SH,20210317,32.32,34.35,32.32,33.6,32.56,1.04,3.1941,29543.22,98947.155
688328.SH,20210318,33.9,33.9,32.22,32.23,33.6,-1.37,-4.0774,23809.22,78021.342
688328.SH,20210319,31.93,32.9,31.88,32.27,32.23,0.04,0.1241,23941.15,77540.656
688328.SH,20210322,32.24,33.63,32.23,33.01,32.27,0.74,2.2932,21447.14,70946.493
688328.SH,20210323,33.0,33.33,31.41,31.68,33.01,-1.33,-4.0291,25281.64,81276.77
688328.SH,20210324,31.18,31.67,30.55,30.72,31.68,-0.96,-3.0303,15401.31,47727.857
688328.SH,20210325,30.55,31.17,30.03,30.92,30.72,0.2,0.651,14780.22,45257.608
688328.SH,20210326,30.74,31.23,30.43,30.92,30.92,0.0,0.0,11461.19,35401.351
688328.SH,20210329,30.9,31.14,30.15,30.18,30.92,-0.74,-2.3933,10615.49,32397.019
688328.SH,20210330,30.06,30.78,30.06,30.26,30.18,0.08,0.2651,11632.38,35396.418
688328.SH,20210331,30.22,30.28,29.77,29.89,30.26,-0.37,-1.2227,9152.66,27431.536
688328.SH,20210401,30.19,31.45,29.93,30.66,29.89,0.77,2.5761,17995.24,55559.248
688328.SH,20210402,30.39,32.45,30.39,31.8,30.66,1.14,3.7182,23532.19,74266.551
688328.SH,20210406,31.75,31.95,31.11,31.45,31.8,-0.35,-1.1006,14018.93,44098.651
688328.SH,20210407,31.2,31.82,31.11,31.71,31.45,0.26,0.8267,12195.99,38449.598
688328.SH,20210408,31.72,31.99,30.86,30.9,31.71,-0.81,-2.5544,14448.25,45367.876
688328.SH,20210409,30.9,30.9,30.34,30.56,30.9,-0.34,-1.1003,8978.54,27394.887
688328.SH,20210412,30.67,31.85,30.4,30.75,30.56,0.19,0.6217,15256.45,47709.289
688328.SH,20210413,30.75,30.75,29.35,29.43,30.75,-1.32,-4.2927,17498.31,52335.012
688328.SH,20210414,29.61,29.97,29.26,29.84,29.43,0.41,1.3931,8215.84,24349.504
688328.SH,20210415,29.8,30.19,29.6,29.81,29.84,-0.03,-0.1005,7242.73,21682.813
688328.SH,20210416,29.68,31.47,29.66,31.32,29.81,1.51,5.0654,19432.64,59934.94
688328.SH,20210419,31.43,32.7,31.0,32.45,31.32,1.13,3.6079,25085.08,80433.081
688328.SH,20210420,32.2,32.87,31.79,31.89,32.45,-0.56,-1.7257,17130.4,54976.72
688328.SH,20210421,31.88,31.88,31.1,31.37,31.89,-0.52,-1.6306,12728.31,40007.858
688328.SH,20210422,31.6,31.75,31.2,31.57,31.37,0.2,0.6376,9050.92,28517.4
688328.SH,20210423,31.3,32.2,31.15,31.49,31.57,-0.08,-0.2534,10921.0,34568.473
688328.SH,20210426,31.49,31.76,30.8,31.28,31.49,-0.21,-0.6669,12627.06,39396.854
688328.SH,20210427,30.92,31.09,29.95,30.3,31.28,-0.98,-3.133,8520.83,25940.466
688328.SH,20210428,30.3,32.83,30.11,32.27,30.3,1.97,6.5017,22341.16,71244.726
688328.SH,20210429,33.08,38.5,32.55,34.95,32.27,2.68,8.3049,56527.04,199510.52
688328.SH,20210430,34.8,35.9,33.2,35.32,34.95,0.37,1.0587,37610.81,131187.16
688328.SH,20210506,34.8,37.29,34.16,36.29,35.32,0.97,2.7463,34461.99,124063.1
688328.SH,20210507,36.02,37.7,34.9,35.36,36.29,-0.93,-2.5627,31443.89,113732.326
688328.SH,20210510,35.36,36.78,33.36,36.58,35.36,1.22,3.4502,29368.5,102488.526
688328.SH,20210511,35.68,37.19,35.1,35.77,36.58,-0.81,-2.2143,21750.64,78342.029
688328.SH,20210512,36.51,39.95,36.22,37.62,35.77,1.85,5.1719,32484.82,123624.525
688328.SH,20210513,37.0,38.87,36.52,38.47,37.62,0.85,2.2594,30760.33,116380.616
688328.SH,20210514,38.05,43.98,38.05,42.21,38.47,3.74,9.7219,42813.73,174944.773
688328.SH,20210517,41.0,42.38,37.16,37.47,42.21,-4.74,-11.2296,43324.54,172878.715
688328.SH,20210518,37.0,37.97,35.1,36.34,37.47,-1.13,-3.0157,32924.23,119167.489
688328.SH,20210519,36.05,38.11,35.66,37.65,36.34,1.31,3.6048,23928.5,89205.943
688328.SH,20210520,37.65,38.13,36.2,36.62,37.65,-1.03,-2.7357,18650.57,68540.349
688328.SH,20210521,36.61,37.26,34.8,35.29,36.62,-1.33,-3.6319,22166.42,79660.355
688328.SH,20210524,35.59,36.6,34.89,36.41,35.29,1.12,3.1737,15560.42,55721.644
688328.SH,20210525,36.01,37.17,35.7,36.8,36.41,0.39,1.0711,17220.71,63109.167
688328.SH,20210526,36.89,36.95,35.08,35.38,36.8,-1.42,-3.8587,21486.05,77070.228
688328.SH,20210527,35.37,38.16,35.2,37.97,35.38,2.59,7.3205,30646.86,113927.1
688328.SH,20210528,37.76,38.42,36.66,37.26,37.97,-0.71,-1.8699,21527.59,80433.801
688328.SH,20210531,37.21,39.8,37.01,39.11,37.26,1.85,4.9651,21342.38,82817.568
688328.SH,20210601,39.45,39.99,38.5,39.56,39.11,0.45,1.1506,20328.02,79727.565
688328.SH,20210602,39.4,41.7,38.9,39.26,39.56,-0.3,-0.7583,26831.98,107591.188
688328.SH,20210603,39.12,40.15,37.6,38.0,39.26,-1.26,-3.2094,20615.11,80571.734
688328.SH,20210604,37.5,39.37,37.22,39.07,38.0,1.07,2.8158,16099.79,62188.477
688328.SH,20210607,39.66,41.1,38.69,39.19,39.07,0.12,0.3071,17589.87,69845.246
688328.SH,20210608,39.11,39.35,36.92,37.25,38.89,-1.64,-4.217,16802.06,63533.891
688328.SH,20210609,37.4,38.64,37.38,37.7,37.25,0.45,1.2081,15170.27,57789.177
688328.SH,20210610,37.93,38.08,37.08,38.04,37.7,0.34,0.9019,12355.58,46498.845
688328.SH,20210611,38.03,38.03,35.03,35.53,38.04,-2.51,-6.5983,21349.12,77505.153
688328.SH,20210615,35.55,36.27,35.24,35.64,35.53,0.11,0.3096,9725.09,34799.653
688328.SH,20210616,35.88,36.19,35.11,35.22,35.64,-0.42,-1.1785,9481.48,33693.897
688328.SH,20210617,35.48,38.37,35.09,37.63,35.22,2.41,6.8427,18936.09,69678.165
688328.SH,20210618,37.86,38.39,36.49,38.38,37.63,0.75,1.9931,16792.93,63026.496
688328.SH,20210621,38.23,39.22,37.7,39.03,38.38,0.65,1.6936,17839.09,68675.252
688328.SH,20210622,39.08,39.5,37.58,38.33,39.03,-0.7,-1.7935,15657.58,60003.638
688328.SH,20210623,38.28,39.31,37.92,38.69,38.33,0.36,0.9392,16004.52,61948.986
688328.SH,20210624,38.7,39.15,37.32,37.53,38.69,-1.16,-2.9982,12971.48,49116.389
688328.SH,20210625,38.0,38.0,36.16,36.8,37.53,-0.73,-1.9451,11606.78,42621.813
688328.SH,20210628,36.84,37.29,36.28,36.68,36.8,-0.12,-0.3261,11280.86,41502.552
688328.SH,20210629,36.8,38.0,36.36,37.21,36.68,0.53,1.4449,16548.56,61632.285
688328.SH,20210630,37.77,40.4,37.58,40.37,37.21,3.16,8.4923,42996.81,169870.055
