ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688350.SH,20210128,21.36,27.75,20.98,26.35,13.58,12.77,94.0353,201975.84,490162.391
688350.SH,20210129,25.15,39.25,24.66,31.8,26.35,5.45,20.6831,199225.55,568949.45
688350.SH,20210201,29.52,42.24,29.52,38.29,31.8,6.49,20.4088,180759.1,628433.679
688350.SH,20210202,36.5,37.67,28.31,28.9,38.29,-9.39,-24.5234,145711.36,466937.619
688350.SH,20210203,27.51,31.0,27.1,28.03,28.9,-0.87,-3.0104,97441.78,280108.245
688350.SH,20210204,27.9,29.29,24.95,25.2,28.03,-2.83,-10.0963,89154.49,239595.952
688350.SH,20210205,24.81,25.49,21.91,22.17,25.2,-3.03,-12.0238,74995.56,175887.301
688350.SH,20210208,22.14,22.5,20.58,20.78,22.17,-1.39,-6.2697,46038.46,97756.953
688350.SH,20210209,20.99,21.44,20.4,20.72,20.78,-0.06,-0.2887,36616.87,76267.269
688350.SH,20210210,20.61,20.94,20.06,20.06,20.72,-0.66,-3.1853,35160.71,71835.295
688350.SH,20210218,20.3,22.23,20.13,21.47,20.06,1.41,7.0289,54951.48,116936.027
688350.SH,20210219,21.2,22.38,20.88,22.1,21.47,0.63,2.9343,45044.57,97632.02
688350.SH,20210222,21.88,23.38,21.88,22.15,22.1,0.05,0.2262,43553.2,98632.143
688350.SH,20210223,22.58,23.95,22.13,23.61,22.15,1.46,6.5914,50516.99,117302.115
688350.SH,20210224,23.4,25.94,23.2,25.05,23.61,1.44,6.0991,65032.89,162451.248
688350.SH,20210225,25.72,25.72,23.6,24.39,25.05,-0.66,-2.6347,33984.54,82962.134
688350.SH,20210226,23.8,23.88,22.6,23.41,24.39,-0.98,-4.018,29110.12,67950.286
688350.SH,20210301,23.73,23.82,22.58,23.26,23.41,-0.15,-0.6408,27008.54,61996.103
688350.SH,20210302,23.23,23.3,22.0,22.41,23.26,-0.85,-3.6543,27439.54,62079.752
688350.SH,20210303,22.26,23.5,22.09,22.95,22.41,0.54,2.4096,24543.62,56157.717
688350.SH,20210304,22.75,23.44,22.6,22.84,22.95,-0.11,-0.4793,20370.48,47004.194
688350.SH,20210305,22.68,23.23,22.68,22.84,22.84,0.0,0.0,13968.36,32066.335
688350.SH,20210308,23.1,23.89,22.76,23.55,22.84,0.71,3.1086,26789.65,62787.376
688350.SH,20210309,23.3,23.64,21.51,21.98,23.55,-1.57,-6.6667,22122.98,49593.342
688350.SH,20210310,22.19,22.44,20.88,21.1,21.98,-0.88,-4.0036,17583.76,37735.9
688350.SH,20210311,21.1,21.79,20.83,21.46,21.1,0.36,1.7062,10352.08,22203.345
688350.SH,20210312,21.57,22.0,21.34,21.62,21.46,0.16,0.7456,10002.84,21617.149
688350.SH,20210315,21.62,21.62,20.94,21.17,21.62,-0.45,-2.0814,11022.58,23353.801
688350.SH,20210316,21.31,21.37,20.92,21.23,21.17,0.06,0.2834,9422.55,19910.435
688350.SH,20210317,21.23,21.92,21.03,21.7,21.23,0.47,2.2138,13035.91,28140.527
688350.SH,20210318,21.75,22.28,21.5,22.13,21.7,0.43,1.9816,17053.64,37430.287
688350.SH,20210319,21.99,22.53,21.53,22.14,22.13,0.01,0.0452,14271.2,31761.896
688350.SH,20210322,22.2,23.36,21.98,23.08,22.14,0.94,4.2457,25110.98,57324.547
688350.SH,20210323,23.12,23.6,22.5,23.2,23.08,0.12,0.5199,23327.6,53744.662
