ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688355.SH,20210512,33.0,35.01,26.26,27.2,17.65,9.55,54.1076,163500.34,485509.3
688355.SH,20210513,26.0,28.28,25.33,26.85,27.2,-0.35,-1.2868,97442.95,259865.442
688355.SH,20210514,26.3,26.78,25.66,25.7,26.85,-1.15,-4.2831,69165.5,179665.708
688355.SH,20210517,25.63,26.43,24.58,24.68,25.7,-1.02,-3.9689,54472.45,138375.58
688355.SH,20210518,24.9,25.58,24.8,24.96,24.68,0.28,1.1345,39947.76,100490.249
688355.SH,20210519,24.72,25.43,24.19,25.39,24.96,0.43,1.7228,53239.13,131087.437
688355.SH,20210520,24.99,25.16,24.55,24.57,25.39,-0.82,-3.2296,26745.59,66266.816
688355.SH,20210521,24.61,24.84,24.0,24.22,24.57,-0.35,-1.4245,28997.91,70421.967
688355.SH,20210524,24.24,24.62,24.03,24.22,24.22,0.0,0.0,15507.99,37664.842
688355.SH,20210525,24.22,24.35,23.6,24.17,24.22,-0.05,-0.2064,26254.11,62999.255
688355.SH,20210526,24.0,24.32,23.91,24.11,24.17,-0.06,-0.2482,15838.14,38182.175
688355.SH,20210527,24.08,24.99,24.08,24.59,24.11,0.48,1.9909,32135.27,79110.567
688355.SH,20210528,24.54,24.56,23.84,23.85,24.59,-0.74,-3.0094,27676.64,66878.769
688355.SH,20210531,24.1,24.44,23.66,24.33,23.85,0.48,2.0126,18604.02,44985.208
688355.SH,20210601,24.27,25.61,24.27,25.28,24.33,0.95,3.9046,44091.61,110177.975
688355.SH,20210602,25.31,29.52,24.91,28.42,25.28,3.14,12.4209,100167.08,271598.074
688355.SH,20210603,30.51,31.88,29.02,29.81,28.42,1.39,4.8909,93134.12,281445.926
688355.SH,20210604,30.71,31.46,29.19,31.1,29.81,1.29,4.3274,75929.62,232700.672
688355.SH,20210607,30.98,31.1,29.73,30.02,31.1,-1.08,-3.4727,57356.05,173721.077
688355.SH,20210608,30.25,30.82,28.01,28.14,30.02,-1.88,-6.2625,53676.06,156877.695
688355.SH,20210609,28.13,28.63,27.56,27.7,28.14,-0.44,-1.5636,30857.27,86307.251
688355.SH,20210610,27.87,28.66,27.7,28.04,27.7,0.34,1.2274,26969.11,75802.667
688355.SH,20210611,28.02,28.65,26.2,26.36,28.04,-1.68,-5.9914,38019.66,103938.736
688355.SH,20210615,26.57,26.59,25.66,26.0,26.36,-0.36,-1.3657,18873.01,49161.926
688355.SH,20210616,26.1,26.26,25.15,25.35,26.0,-0.65,-2.5,14645.23,37477.179
688355.SH,20210617,25.46,26.24,25.3,26.12,25.35,0.77,3.0375,15026.64,38897.296
688355.SH,20210618,26.22,27.4,25.72,26.84,26.12,0.72,2.7565,21322.4,56884.844
688355.SH,20210621,26.85,26.96,26.34,26.81,26.84,-0.03,-0.1118,16045.31,42835.705
688355.SH,20210622,26.88,27.52,26.65,26.67,26.81,-0.14,-0.5222,14738.78,39759.587
688355.SH,20210623,26.77,27.45,25.9,27.09,26.67,0.42,1.5748,18857.68,50068.611
688355.SH,20210624,27.0,27.88,26.71,27.48,27.09,0.39,1.4396,18282.62,50311.074
688355.SH,20210625,27.5,27.64,26.41,26.99,27.48,-0.49,-1.7831,14209.13,38163.053
688355.SH,20210628,26.8,27.16,26.5,26.92,26.99,-0.07,-0.2594,11571.57,31077.237
688355.SH,20210629,27.0,27.28,26.53,26.61,26.92,-0.31,-1.1516,10579.78,28389.105
688355.SH,20210630,26.8,26.96,26.42,26.71,26.61,0.1,0.3758,10535.13,28083.785
688355.SH,20210701,26.62,26.75,25.62,25.7,26.71,-1.01,-3.7814,13913.02,36264.447
688355.SH,20210702,25.58,25.7,24.93,25.12,25.7,-0.58,-2.2568,10186.46,25692.554
688355.SH,20210705,25.23,25.33,24.78,24.9,25.12,-0.22,-0.8758,8892.46,22224.501
688355.SH,20210706,25.16,25.77,24.85,25.3,24.9,0.4,1.6064,10919.19,27663.46
688355.SH,20210707,25.12,26.24,25.1,26.15,25.3,0.85,3.3597,15488.48,39890.795
688355.SH,20210708,26.15,27.46,26.15,26.68,26.15,0.53,2.0268,24995.88,67531.257
688355.SH,20210709,26.52,27.03,26.31,26.81,26.68,0.13,0.4873,16439.11,43844.653
688355.SH,20210712,27.0,27.0,26.4,26.5,26.81,-0.31,-1.1563,15464.59,41248.63
688355.SH,20210713,26.62,26.7,25.15,25.68,26.5,-0.82,-3.0943,15074.12,39006.037
688355.SH,20210714,25.57,25.99,25.47,25.5,25.68,-0.18,-0.7009,8938.97,23008.636
688355.SH,20210715,25.5,25.82,25.0,25.22,25.5,-0.28,-1.098,7076.53,17844.117
688355.SH,20210716,25.39,25.65,24.88,24.91,25.22,-0.31,-1.2292,12836.63,32338.469
688355.SH,20210719,24.88,26.0,24.79,25.69,24.91,0.78,3.1313,13118.62,33493.731
688355.SH,20210720,25.46,25.88,24.92,25.44,25.69,-0.25,-0.9731,6595.09,16658.255
688355.SH,20210721,25.49,25.79,25.32,25.52,25.44,0.08,0.3145,8933.5,22819.61
688355.SH,20210722,25.35,25.76,25.15,25.68,25.52,0.16,0.627,8283.15,21055.525
688355.SH,20210723,25.68,27.3,25.56,26.68,25.68,1.0,3.8941,20776.84,54996.75
688355.SH,20210726,26.4,26.79,25.71,26.08,26.68,-0.6,-2.2489,13276.07,34583.029
688355.SH,20210727,26.45,26.62,25.6,25.8,26.08,-0.28,-1.0736,15348.13,40020.729
688355.SH,20210728,25.8,25.87,24.35,24.45,25.8,-1.35,-5.2326,13823.56,34249.028
688355.SH,20210729,24.79,25.25,24.6,25.0,24.45,0.55,2.2495,9740.22,24299.458
688355.SH,20210730,25.0,26.41,24.78,26.26,25.0,1.26,5.04,18747.48,48421.823
688355.SH,20210802,26.29,26.39,25.88,26.3,26.26,0.04,0.1523,11756.98,30698.731
688355.SH,20210803,26.42,27.68,26.18,26.8,26.3,0.5,1.9011,31143.64,84686.906
688355.SH,20210804,26.8,28.19,26.6,27.45,26.8,0.65,2.4254,24870.59,68511.735
688355.SH,20210805,27.22,27.89,26.58,26.89,27.45,-0.56,-2.0401,12073.94,32537.965
688355.SH,20210806,26.89,28.3,26.6,28.28,26.89,1.39,5.1692,26367.48,73635.09
688355.SH,20210809,28.52,28.63,27.11,27.72,28.28,-0.56,-1.9802,22174.57,61262.652
688355.SH,20210810,27.82,27.99,27.27,27.66,27.72,-0.06,-0.2165,15560.72,42925.29
688355.SH,20210811,27.7,28.0,27.35,27.92,27.66,0.26,0.94,13318.63,36912.464
688355.SH,20210812,27.9,27.98,27.2,27.6,27.92,-0.32,-1.1461,13639.7,37515.326
688355.SH,20210813,27.64,27.86,26.91,27.81,27.6,0.21,0.7609,15941.51,43745.633
688355.SH,20210816,27.85,28.07,26.9,27.3,27.81,-0.51,-1.8339,17157.78,47059.162
688355.SH,20210817,27.09,27.58,25.68,25.86,27.3,-1.44,-5.2747,19301.67,50903.266
688355.SH,20210818,25.97,26.22,25.67,25.95,25.86,0.09,0.348,6477.04,16782.022
688355.SH,20210819,25.88,26.26,25.71,25.86,25.95,-0.09,-0.3468,6349.08,16505.234
688355.SH,20210820,25.72,26.17,25.11,26.02,25.86,0.16,0.6187,8019.39,20656.173
688355.SH,20210823,26.12,27.55,25.98,27.2,26.02,1.18,4.535,25442.12,68803.803
688355.SH,20210824,27.47,29.09,27.35,28.88,27.2,1.68,6.1765,37669.22,106998.173
688355.SH,20210825,28.6,29.04,28.35,28.58,28.88,-0.3,-1.0388,17173.56,49018.14
688355.SH,20210826,28.6,28.97,28.22,28.53,28.58,-0.05,-0.1749,14945.59,42684.961
688355.SH,20210827,28.51,28.76,27.52,28.55,28.53,0.02,0.0701,18220.23,51406.441
688355.SH,20210830,28.5,28.5,27.31,27.91,28.55,-0.64,-2.2417,36781.43,102102.033
688355.SH,20210831,28.8,32.8,28.8,31.8,27.91,3.89,13.9377,57496.14,178597.129
688355.SH,20210901,30.8,34.83,30.6,32.91,31.8,1.11,3.4906,72697.0,240841.085
688355.SH,20210902,32.72,34.73,32.0,32.8,32.91,-0.11,-0.3342,41872.38,139685.232
688355.SH,20210903,32.94,33.77,31.45,31.66,32.8,-1.14,-3.4756,26287.19,84904.889
688355.SH,20210906,32.03,33.59,31.88,33.43,31.66,1.77,5.5907,25360.16,83511.843
688355.SH,20210907,32.9,33.58,32.08,32.34,33.43,-1.09,-3.2605,14676.99,47793.146
688355.SH,20210908,32.5,32.88,31.56,31.9,32.34,-0.44,-1.3605,12677.75,40445.658
688355.SH,20210909,32.27,32.38,30.04,30.39,31.9,-1.51,-4.7335,23598.33,72359.324
688355.SH,20210910,30.39,30.5,29.7,30.09,30.39,-0.3,-0.9872,11920.8,35921.297
688355.SH,20210913,30.16,30.67,29.7,30.1,30.09,0.01,0.0332,10930.46,33012.587
688355.SH,20210914,29.85,30.66,29.7,29.96,30.1,-0.14,-0.4651,14257.15,43039.215
688355.SH,20210915,29.8,29.93,28.63,29.3,29.96,-0.66,-2.2029,16967.41,49463.903
688355.SH,20210916,29.3,29.48,27.68,28.12,29.3,-1.18,-4.0273,15208.13,43655.339
688355.SH,20210917,27.9,28.54,26.66,27.25,28.12,-0.87,-3.0939,20043.28,54811.669
688355.SH,20210922,26.88,27.24,26.03,26.41,27.25,-0.84,-3.0826,14283.66,37725.575
688355.SH,20210923,26.6,26.83,26.33,26.4,26.41,-0.01,-0.0379,9368.05,24827.625
688355.SH,20210924,26.55,26.76,26.17,26.28,26.4,-0.12,-0.4545,7075.53,18669.704
688355.SH,20210927,26.59,26.6,25.03,25.34,26.28,-0.94,-3.5769,10460.82,26671.089
688355.SH,20210928,25.4,25.88,25.18,25.53,25.34,0.19,0.7498,5160.03,13199.62
688355.SH,20210929,25.5,25.5,24.5,24.57,25.53,-0.96,-3.7603,8338.21,20661.13
688355.SH,20210930,24.6,24.98,24.51,24.53,24.57,-0.04,-0.1628,7304.96,18018.596
688355.SH,20211008,24.85,25.52,24.66,25.2,24.53,0.67,2.7313,8548.37,21404.166
688355.SH,20211011,25.48,25.5,24.93,25.35,25.2,0.15,0.5952,5046.09,12722.785
688355.SH,20211012,25.01,25.09,23.95,24.23,25.35,-1.12,-4.4181,7387.44,18057.942
688355.SH,20211013,24.15,24.93,24.0,24.76,24.23,0.53,2.1874,4816.42,11856.557
688355.SH,20211014,24.8,26.5,24.5,25.83,24.76,1.07,4.3215,14390.84,37262.523
688355.SH,20211015,25.25,26.03,25.0,26.0,25.83,0.17,0.6581,10243.19,26116.501
688355.SH,20211018,25.97,25.97,25.35,25.64,26.0,-0.36,-1.3846,5763.9,14741.593
688355.SH,20211019,25.88,26.16,25.77,25.92,25.64,0.28,1.092,9132.18,23690.792
688355.SH,20211020,26.0,26.16,25.18,25.58,25.92,-0.34,-1.3117,11384.74,29191.236
688355.SH,20211021,25.38,25.61,24.6,24.6,25.58,-0.98,-3.8311,6942.62,17337.783
688355.SH,20211022,24.68,24.8,23.86,24.12,24.6,-0.48,-1.9512,10594.82,25676.668
688355.SH,20211025,24.32,24.47,23.76,24.37,24.12,0.25,1.0365,4415.57,10676.176
688355.SH,20211026,24.37,24.57,23.2,23.45,24.37,-0.92,-3.7751,11388.97,27119.452
688355.SH,20211027,23.45,23.45,22.23,22.4,23.45,-1.05,-4.4776,8948.73,20211.205
688355.SH,20211028,22.25,22.54,21.75,21.86,22.4,-0.54,-2.4107,6521.68,14354.978
688355.SH,20211029,22.28,23.38,22.05,22.82,21.86,0.96,4.3916,8308.05,18974.072
688355.SH,20211101,23.35,23.8,22.73,23.5,22.82,0.68,2.9798,7585.86,17720.846
688355.SH,20211102,23.45,24.0,23.0,23.21,23.5,-0.29,-1.234,7071.1,16672.2
688355.SH,20211103,23.26,23.48,23.03,23.29,23.21,0.08,0.3447,3169.0,7356.302
688355.SH,20211104,23.5,24.0,23.27,23.84,23.29,0.55,2.3615,5178.32,12291.58
688355.SH,20211105,23.88,24.28,23.58,23.84,23.84,0.0,0.0,6424.8,15396.925
688355.SH,20211108,23.6,24.64,23.52,24.64,23.84,0.8,3.3557,7238.68,17593.834
688355.SH,20211109,24.72,25.01,24.45,24.7,24.64,0.06,0.2435,6955.45,17218.448
688355.SH,20211110,24.46,25.2,24.42,24.78,24.7,0.08,0.3239,7157.2,17833.847
688355.SH,20211111,24.66,25.24,24.54,24.93,24.78,0.15,0.6053,9373.82,23326.371
688355.SH,20211112,24.93,25.98,24.38,25.9,24.93,0.97,3.8909,15060.29,38107.386
688355.SH,20211115,25.9,26.75,25.59,26.5,25.9,0.6,2.3166,16461.47,43332.137
688355.SH,20211116,26.38,26.56,25.35,25.45,26.5,-1.05,-3.9623,12427.92,32081.477
688355.SH,20211117,25.85,28.17,25.6,27.74,25.45,2.29,8.998,23802.81,64549.352
688355.SH,20211118,27.5,27.99,27.01,27.26,27.74,-0.48,-1.7304,12888.78,35438.565
688355.SH,20211119,27.16,28.04,27.01,27.58,27.26,0.32,1.1739,11612.69,32027.384
688355.SH,20211122,27.44,29.06,27.35,28.56,27.58,0.98,3.5533,16662.41,47342.667
688355.SH,20211123,28.4,29.45,28.01,28.95,28.56,0.39,1.3655,14564.27,42071.127
688355.SH,20211124,28.86,29.46,28.41,28.74,28.95,-0.21,-0.7254,9839.71,28433.541
688355.SH,20211125,28.73,28.84,28.05,28.76,28.74,0.02,0.0696,11529.42,32779.65
688355.SH,20211126,28.77,29.38,27.91,28.14,28.76,-0.62,-2.1558,8446.01,23926.319
688355.SH,20211129,27.97,28.92,27.05,28.56,28.14,0.42,1.4925,9812.66,27823.287
688355.SH,20211130,28.85,29.59,28.62,28.95,28.56,0.39,1.3655,12520.56,36446.683
688355.SH,20211201,29.03,30.66,28.18,30.25,28.95,1.3,4.4905,23360.81,69780.008
688355.SH,20211202,30.0,30.39,29.25,29.6,30.25,-0.65,-2.1488,10326.67,30527.316
688355.SH,20211203,29.63,29.63,28.2,28.8,29.6,-0.8,-2.7027,13398.04,38443.505
688355.SH,20211206,28.81,28.81,27.0,27.8,28.8,-1.0,-3.4722,16548.67,45915.397
688355.SH,20211207,28.58,28.58,26.26,26.75,27.8,-1.05,-3.777,14534.07,39002.394
688355.SH,20211208,26.8,27.0,26.44,26.65,26.75,-0.1,-0.3738,5543.32,14806.318
688355.SH,20211209,26.12,27.36,26.12,27.09,26.65,0.44,1.651,5719.84,15479.368
688355.SH,20211210,26.75,30.98,26.67,30.62,27.09,3.53,13.0306,29424.91,85817.905
688355.SH,20211213,30.5,30.62,29.12,29.88,30.62,-0.74,-2.4167,14102.12,41825.825
688355.SH,20211214,29.58,31.17,29.3,30.37,29.88,0.49,1.6399,12455.22,37818.275
688355.SH,20211215,30.29,31.61,30.08,31.48,30.37,1.11,3.6549,14658.56,45424.317
688355.SH,20211216,31.84,32.59,31.01,31.17,31.48,-0.31,-0.9848,13096.66,41470.693
688355.SH,20211217,31.01,31.28,30.09,30.5,31.17,-0.67,-2.1495,9221.12,28259.189
688355.SH,20211220,29.88,30.78,29.5,29.55,30.5,-0.95,-3.1148,6219.0,18624.083
688355.SH,20211221,30.41,30.48,28.88,29.2,29.55,-0.35,-1.1844,6843.37,20016.297
688355.SH,20211222,28.99,29.39,28.67,28.88,29.2,-0.32,-1.0959,4526.44,13112.228
688355.SH,20211223,28.89,30.88,28.59,29.0,28.88,0.12,0.4155,10403.16,30980.0
688355.SH,20211224,28.81,28.94,27.36,27.39,29.0,-1.61,-5.5517,9802.83,27507.082
688355.SH,20211227,27.39,28.78,26.98,28.23,27.39,0.84,3.0668,6506.14,18302.485
688355.SH,20211228,28.23,28.86,27.92,28.11,28.23,-0.12,-0.4251,4370.87,12342.033
688355.SH,20211229,28.23,29.44,27.85,28.93,28.11,0.82,2.9171,6690.3,19352.748
688355.SH,20211230,29.23,33.29,29.23,33.29,28.93,4.36,15.0709,34973.27,112358.398
688355.SH,20211231,33.63,34.26,32.68,33.44,33.29,0.15,0.4506,12497.93,41755.571
688355.SH,20220104,33.0,34.0,31.62,32.2,33.44,-1.24,-3.7081,12871.16,41437.772
688355.SH,20220105,32.21,32.21,30.58,31.02,32.2,-1.18,-3.6646,9982.6,31085.424
688355.SH,20220106,30.88,33.46,30.68,33.05,31.02,2.03,6.5442,12249.25,39245.046
688355.SH,20220107,33.05,37.79,32.66,37.06,33.05,4.01,12.1331,37971.85,135194.752
688355.SH,20220110,37.0,38.88,35.62,36.85,37.06,-0.21,-0.5666,17847.61,66484.166
688355.SH,20220111,37.9,37.95,36.66,37.53,36.85,0.68,1.8453,9813.31,36471.462
688355.SH,20220112,37.53,38.8,36.6,37.03,37.53,-0.5,-1.3323,9911.03,37180.089
688355.SH,20220113,36.62,37.41,35.88,35.88,37.03,-1.15,-3.1056,9751.46,35566.686
688355.SH,20220114,35.43,38.5,35.25,37.65,35.88,1.77,4.9331,11050.64,40785.409
688355.SH,20220117,37.55,40.75,37.55,39.72,37.65,2.07,5.498,16122.17,63872.054
688355.SH,20220118,39.51,40.48,36.52,37.0,39.72,-2.72,-6.8479,14087.55,53304.016
688355.SH,20220119,37.46,38.55,36.17,37.72,37.0,0.72,1.9459,10515.79,39494.733
688355.SH,20220120,38.29,39.38,36.08,36.95,37.72,-0.77,-2.0414,8728.11,32623.86
688355.SH,20220121,37.66,37.66,35.47,35.63,36.95,-1.32,-3.5724,5736.88,20652.132
688355.SH,20220124,34.34,35.95,33.16,33.9,35.63,-1.73,-4.8555,15506.99,53125.307
688355.SH,20220125,33.21,33.9,30.93,30.95,33.9,-2.95,-8.7021,14621.12,46882.58
688355.SH,20220126,30.07,32.88,30.07,32.35,30.95,1.4,4.5234,11119.56,35723.972
688355.SH,20220127,33.07,33.1,31.34,32.56,32.35,0.21,0.6491,10532.84,34097.941
688355.SH,20220128,32.4,32.88,30.6,31.3,32.56,-1.26,-3.8698,7291.69,23029.506
688355.SH,20220207,31.3,33.62,31.29,33.25,31.3,1.95,6.23,7372.77,24148.669
