ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688560.SH,20201224,41.0,43.05,33.05,33.28,15.87,17.41,109.7038,250039.54,953781.911
688560.SH,20201225,33.54,35.55,31.6,34.4,33.28,1.12,3.3654,161895.84,546304.759
688560.SH,20201228,35.58,37.33,32.58,32.86,34.4,-1.54,-4.4767,136380.5,480158.092
688560.SH,20201229,32.0,32.05,28.28,28.35,32.86,-4.51,-13.7249,101928.31,304305.578
688560.SH,20201230,28.16,29.68,28.0,28.34,28.35,-0.01,-0.0353,61686.45,177329.295
688560.SH,20201231,28.95,28.95,27.41,27.46,28.34,-0.88,-3.1052,64324.56,181236.088
688560.SH,20210104,27.61,30.33,27.61,30.33,27.46,2.87,10.4516,73125.4,213869.53
688560.SH,20210105,30.33,31.8,29.8,29.96,30.33,-0.37,-1.2199,68361.75,210844.119
688560.SH,20210106,29.61,31.49,29.37,30.8,29.96,0.84,2.8037,50231.81,153350.242
688560.SH,20210107,30.47,31.88,29.66,30.72,30.8,-0.08,-0.2597,58922.23,181194.274
688560.SH,20210108,30.3,30.72,28.3,29.19,30.72,-1.53,-4.9805,44675.96,130554.813
688560.SH,20210111,28.99,29.8,28.0,29.03,29.19,-0.16,-0.5481,33521.78,97094.224
688560.SH,20210112,29.32,29.38,28.21,28.54,29.03,-0.49,-1.6879,24188.65,69454.422
688560.SH,20210113,28.03,28.31,25.58,25.65,28.54,-2.89,-10.1261,47086.78,126462.0
688560.SH,20210114,25.98,26.39,25.1,25.6,25.65,-0.05,-0.1949,22490.56,58117.226
688560.SH,20210115,25.78,26.66,25.01,26.11,25.6,0.51,1.9922,24472.53,63332.097
688560.SH,20210118,26.4,26.4,25.38,25.62,26.11,-0.49,-1.8767,22971.65,59052.627
688560.SH,20210119,25.5,26.88,25.5,25.68,25.62,0.06,0.2342,22099.67,57788.021
688560.SH,20210120,25.5,26.29,25.35,25.85,25.68,0.17,0.662,16990.99,43988.698
688560.SH,20210121,26.04,26.59,25.64,26.14,25.85,0.29,1.1219,21913.6,57355.317
688560.SH,20210122,26.1,27.36,26.01,26.7,26.14,0.56,2.1423,25268.72,67166.516
688560.SH,20210125,26.99,26.99,25.58,25.99,26.7,-0.71,-2.6592,24308.01,63788.957
688560.SH,20210126,25.76,25.86,24.4,24.89,25.99,-1.1,-4.2324,23939.55,59895.966
688560.SH,20210127,24.41,24.9,24.23,24.51,24.89,-0.38,-1.5267,12145.78,29657.695
688560.SH,20210128,24.23,24.66,22.85,23.0,24.51,-1.51,-6.1608,22213.71,52338.641
688560.SH,20210129,23.1,23.11,21.5,22.06,23.0,-0.94,-4.087,21235.89,47064.253
688560.SH,20210201,21.91,22.95,21.7,22.95,22.06,0.89,4.0345,20491.89,45797.444
688560.SH,20210202,22.8,22.8,21.32,21.78,22.95,-1.17,-5.098,18043.93,40010.723
688560.SH,20210203,21.77,21.93,20.95,20.97,21.78,-0.81,-3.719,12720.29,27078.577
688560.SH,20210204,20.85,21.53,20.19,20.6,20.97,-0.37,-1.7644,14977.74,30946.291
688560.SH,20210205,20.36,20.68,19.97,20.09,20.6,-0.51,-2.4757,13970.58,28186.138
688560.SH,20210208,20.07,20.41,19.64,19.9,20.09,-0.19,-0.9457,7786.67,15482.289
688560.SH,20210209,19.84,20.67,19.76,20.56,19.9,0.66,3.3166,11151.28,22705.553
688560.SH,20210210,20.4,20.55,20.05,20.3,20.56,-0.26,-1.2646,9527.63,19298.305
688560.SH,20210218,20.46,21.26,20.46,20.58,20.3,0.28,1.3793,12448.06,25993.154
688560.SH,20210219,20.45,21.14,20.45,21.0,20.58,0.42,2.0408,15705.12,32813.878
688560.SH,20210222,21.05,21.53,20.81,20.91,21.0,-0.09,-0.4286,15210.93,32303.454
688560.SH,20210223,21.16,21.32,20.64,20.68,20.91,-0.23,-1.1,12823.48,26820.17
688560.SH,20210224,20.72,20.97,20.33,20.4,20.68,-0.28,-1.354,11442.28,23542.506
688560.SH,20210225,20.51,20.63,19.82,19.96,20.4,-0.44,-2.1569,11839.03,23896.008
688560.SH,20210226,19.79,19.83,18.97,19.17,19.96,-0.79,-3.9579,25745.95,49847.974
688560.SH,20210301,19.19,19.76,19.17,19.65,19.17,0.48,2.5039,12361.45,24161.677
688560.SH,20210302,19.83,20.06,19.42,19.72,19.65,0.07,0.3562,15550.74,30689.969
688560.SH,20210303,19.92,20.58,19.72,20.45,19.72,0.73,3.7018,28455.32,57610.198
688560.SH,20210304,20.24,21.45,20.2,20.6,20.45,0.15,0.7335,27376.04,57030.623
688560.SH,20210305,20.6,20.79,20.35,20.37,20.6,-0.23,-1.1165,18457.65,37818.716
688560.SH,20210308,20.37,20.57,19.81,19.84,20.37,-0.53,-2.6019,20486.41,41360.226
688560.SH,20210309,20.0,20.14,18.61,19.07,19.84,-0.77,-3.881,14948.95,28948.389
688560.SH,20210310,19.35,19.89,18.9,19.18,19.07,0.11,0.5768,12156.77,23553.974
688560.SH,20210311,19.21,19.66,18.8,19.45,19.18,0.27,1.4077,12085.86,23259.41
688560.SH,20210312,19.4,19.68,19.1,19.15,19.45,-0.3,-1.5424,9405.64,18095.164
688560.SH,20210315,19.0,19.38,18.72,18.88,19.15,-0.27,-1.4099,9609.03,18196.422
688560.SH,20210316,18.88,19.11,18.71,18.99,18.88,0.11,0.5826,7294.05,13784.805
688560.SH,20210317,18.99,19.8,18.81,19.8,18.99,0.81,4.2654,13053.11,25323.653
688560.SH,20210318,19.99,21.06,19.83,19.92,19.8,0.12,0.6061,27147.6,55315.984
688560.SH,20210319,19.61,20.45,19.61,20.29,19.92,0.37,1.8574,21650.26,43701.022
688560.SH,20210322,20.6,21.08,20.26,20.77,20.29,0.48,2.3657,23801.85,49401.389
688560.SH,20210323,20.83,21.1,19.85,20.07,20.77,-0.7,-3.3702,16940.05,34529.833
688560.SH,20210324,20.0,20.35,19.7,20.23,20.07,0.16,0.7972,14011.33,28051.635
688560.SH,20210325,20.1,20.67,20.01,20.03,20.23,-0.2,-0.9886,12764.63,25935.928
688560.SH,20210326,20.19,20.52,19.8,20.34,20.03,0.31,1.5477,11149.32,22611.675
688560.SH,20210329,20.7,21.2,20.35,20.41,20.34,0.07,0.3441,15867.88,32879.665
688560.SH,20210330,20.41,20.41,19.66,19.7,20.41,-0.71,-3.4787,15224.31,30295.213
688560.SH,20210331,19.83,19.83,19.4,19.63,19.7,-0.07,-0.3553,6267.48,12300.283
688560.SH,20210401,19.6,19.66,19.39,19.46,19.63,-0.17,-0.866,8068.46,15757.686
688560.SH,20210402,19.58,20.3,19.57,20.13,19.46,0.67,3.443,12787.54,25511.659
688560.SH,20210406,20.13,20.5,20.02,20.5,20.13,0.37,1.8381,12747.82,25919.676
688560.SH,20210407,20.53,20.55,20.12,20.44,20.5,-0.06,-0.2927,9372.29,19070.165
688560.SH,20210408,20.45,21.08,20.28,20.52,20.44,0.08,0.3914,20304.25,42155.818
688560.SH,20210409,20.95,21.09,20.59,20.64,20.52,0.12,0.5848,15207.99,31645.433
688560.SH,20210412,20.52,20.63,19.81,19.9,20.64,-0.74,-3.5853,15033.13,30255.539
688560.SH,20210413,19.86,20.02,19.22,19.3,19.9,-0.6,-3.0151,11975.27,23403.492
688560.SH,20210414,19.3,19.8,19.3,19.7,19.3,0.4,2.0725,9025.87,17684.564
688560.SH,20210415,19.7,19.7,19.41,19.54,19.7,-0.16,-0.8122,4830.18,9414.869
688560.SH,20210416,19.66,20.1,19.47,20.01,19.54,0.47,2.4053,10160.83,20189.106
688560.SH,20210419,20.1,21.52,20.0,21.33,20.01,1.32,6.5967,36272.21,75969.261
688560.SH,20210420,21.26,21.99,21.21,21.52,21.33,0.19,0.8908,31286.42,67213.211
688560.SH,20210421,21.4,21.42,20.8,20.9,21.52,-0.62,-2.881,14377.89,30246.99
688560.SH,20210422,21.11,21.19,20.61,20.78,20.9,-0.12,-0.5742,13614.11,28382.709
688560.SH,20210423,20.97,20.98,20.14,20.29,20.78,-0.49,-2.358,14536.57,29549.205
688560.SH,20210426,20.3,20.95,20.3,20.41,20.29,0.12,0.5914,14731.39,30401.656
688560.SH,20210427,20.41,20.41,19.66,20.05,20.41,-0.36,-1.7638,11071.62,22059.544
688560.SH,20210428,20.12,20.18,19.65,20.06,20.05,0.01,0.0499,7635.69,15276.493
688560.SH,20210429,19.81,20.09,19.43,19.8,20.06,-0.26,-1.2961,14448.28,28443.144
688560.SH,20210430,19.63,19.82,18.91,19.06,19.8,-0.74,-3.7374,16343.43,31533.661
688560.SH,20210506,19.01,19.17,18.67,18.72,19.06,-0.34,-1.7838,10687.66,20142.629
688560.SH,20210507,18.7,18.91,18.7,18.71,18.72,-0.01,-0.0534,6339.63,11893.51
688560.SH,20210510,18.85,18.85,18.11,18.25,18.71,-0.46,-2.4586,12124.86,22328.688
688560.SH,20210511,18.38,18.48,18.1,18.43,18.25,0.18,0.9863,5477.42,10031.877
688560.SH,20210512,18.49,18.54,18.23,18.43,18.43,0.0,0.0,6634.1,12197.484
688560.SH,20210513,18.26,18.55,18.18,18.23,18.43,-0.2,-1.0852,7583.7,13916.406
688560.SH,20210514,18.26,18.51,18.22,18.48,18.23,0.25,1.3714,6246.32,11507.214
688560.SH,20210517,18.41,18.79,18.33,18.67,18.48,0.19,1.0281,8748.93,16181.783
688560.SH,20210518,18.78,18.93,18.46,18.75,18.67,0.08,0.4285,9280.62,17298.168
688560.SH,20210519,18.56,18.79,18.56,18.73,18.75,-0.02,-0.1067,6969.42,13015.194
688560.SH,20210520,18.73,18.73,18.3,18.3,18.73,-0.43,-2.2958,9489.38,17521.092
688560.SH,20210521,18.31,18.52,18.31,18.43,18.3,0.13,0.7104,4454.71,8207.233
688560.SH,20210524,18.43,18.59,18.39,18.56,18.43,0.13,0.7054,5304.59,9800.812
688560.SH,20210525,18.46,18.61,18.25,18.6,18.56,0.04,0.2155,6944.94,12841.068
688560.SH,20210526,18.59,18.93,18.58,18.86,18.6,0.26,1.3978,11749.21,22076.197
688560.SH,20210527,19.05,19.28,18.92,19.02,18.86,0.16,0.8484,14308.17,27363.803
688560.SH,20210528,18.85,19.39,18.83,18.86,19.02,-0.16,-0.8412,11706.72,22365.244
688560.SH,20210531,18.84,20.27,18.83,20.07,18.86,1.21,6.4157,27830.51,54704.874
688560.SH,20210601,20.16,20.38,19.82,20.15,20.07,0.08,0.3986,20875.55,41800.166
688560.SH,20210602,20.58,24.18,20.55,23.03,20.15,2.88,14.2928,100613.25,231727.334
688560.SH,20210603,22.19,22.55,21.22,21.68,23.03,-1.35,-5.8619,71533.51,155449.042
688560.SH,20210604,21.7,21.96,21.01,21.1,21.68,-0.58,-2.6753,38597.32,82771.651
688560.SH,20210607,21.25,21.52,20.71,21.38,21.1,0.28,1.327,25061.42,53090.83
688560.SH,20210608,21.4,21.49,20.56,20.61,21.38,-0.77,-3.6015,22207.78,46418.98
688560.SH,20210609,20.48,20.79,20.2,20.3,20.61,-0.31,-1.5041,14102.97,28790.67
688560.SH,20210610,20.7,21.99,20.64,21.52,20.3,1.22,6.0099,39698.4,85005.308
688560.SH,20210611,21.35,21.51,20.51,20.64,21.52,-0.88,-4.0892,22185.87,46390.102
688560.SH,20210615,20.41,20.98,20.03,20.76,20.64,0.12,0.5814,18627.28,38291.2
688560.SH,20210616,20.66,20.82,19.91,19.98,20.76,-0.78,-3.7572,16548.7,33596.182
688560.SH,20210617,19.94,20.38,19.8,20.29,19.98,0.31,1.5516,11504.03,23134.523
688560.SH,20210618,20.29,20.74,20.0,20.67,20.29,0.38,1.8728,13950.47,28444.896
688560.SH,20210621,20.85,21.28,20.45,21.13,20.67,0.46,2.2254,17940.41,37467.087
688560.SH,20210622,21.07,21.56,20.9,21.06,21.13,-0.07,-0.3313,18503.68,39279.947
688560.SH,20210623,21.11,21.26,20.66,20.71,21.06,-0.35,-1.6619,17544.19,36549.871
688560.SH,20210624,20.96,23.03,20.73,21.86,20.71,1.15,5.5529,55647.7,123774.764
688560.SH,20210625,21.86,22.95,21.65,22.14,21.86,0.28,1.2809,43690.06,97529.946
688560.SH,20210628,21.88,23.5,21.66,22.96,22.14,0.82,3.7037,47349.85,107428.769
688560.SH,20210629,22.89,25.08,22.22,24.51,22.96,1.55,6.7509,63109.42,148721.019
688560.SH,20210630,24.15,24.98,23.61,24.1,24.51,-0.41,-1.6728,46741.14,112839.205
688560.SH,20210701,24.09,24.12,22.52,22.6,24.1,-1.5,-6.2241,38050.51,88547.3
688560.SH,20210702,22.5,24.15,22.5,23.06,22.6,0.46,2.0354,35832.8,83794.423
688560.SH,20210705,22.21,25.28,22.21,25.2,23.06,2.14,9.2801,53721.59,132225.373
688560.SH,20210706,25.25,25.52,23.92,24.33,25.2,-0.87,-3.4524,39443.36,97191.268
688560.SH,20210707,24.35,26.77,24.0,25.99,24.33,1.66,6.8229,63208.42,163307.916
688560.SH,20210708,26.83,27.49,25.69,26.64,25.99,0.65,2.501,60989.87,161400.175
688560.SH,20210709,26.25,27.36,25.89,27.01,26.64,0.37,1.3889,47382.58,126248.086
688560.SH,20210712,26.73,28.49,26.1,26.3,27.01,-0.71,-2.6287,62613.97,171105.407
688560.SH,20210713,26.15,27.5,25.45,26.75,26.3,0.45,1.711,44846.88,118885.757
688560.SH,20210714,27.0,30.79,26.5,29.33,26.75,2.58,9.6449,77492.29,227819.195
688560.SH,20210715,28.99,34.21,28.99,33.88,29.33,4.55,15.5131,87269.62,277506.228
688560.SH,20210716,33.0,33.98,32.04,32.99,33.88,-0.89,-2.6269,54320.97,179229.556
688560.SH,20210719,32.28,33.64,31.5,31.83,32.99,-1.16,-3.5162,37080.38,120466.824
688560.SH,20210720,30.28,32.24,30.28,31.61,31.63,-0.02,-0.0632,24722.19,77885.743
688560.SH,20210721,31.8,33.41,31.05,32.17,31.61,0.56,1.7716,39996.95,129938.401
688560.SH,20210722,32.0,36.8,31.75,34.27,32.17,2.1,6.5278,54170.22,185592.529
688560.SH,20210723,35.87,41.12,33.5,41.12,34.27,6.85,19.9883,90916.13,346243.586
688560.SH,20210726,42.0,46.0,40.03,42.62,41.12,1.5,3.6479,80509.12,338988.811
688560.SH,20210727,44.1,44.84,39.21,40.0,42.62,-2.62,-6.1473,60274.82,252314.377
688560.SH,20210728,40.0,40.09,36.03,37.27,40.0,-2.73,-6.825,59580.8,226977.621
688560.SH,20210729,38.5,40.18,37.5,38.36,37.27,1.09,2.9246,59860.84,231324.989
688560.SH,20210730,37.9,40.5,36.87,37.31,38.36,-1.05,-2.7372,50876.85,194721.598
688560.SH,20210802,38.6,42.04,37.8,39.49,37.31,2.18,5.8429,68662.48,274672.437
688560.SH,20210803,39.4,39.45,36.31,36.31,39.49,-3.18,-8.0527,45517.23,169848.703
688560.SH,20210804,36.99,37.82,35.5,37.48,36.31,1.17,3.2223,27840.76,103430.975
688560.SH,20210805,37.53,37.8,35.87,36.16,37.48,-1.32,-3.5219,26118.76,95290.928
688560.SH,20210806,36.39,38.67,35.88,37.48,36.16,1.32,3.6504,42714.51,158900.995
688560.SH,20210809,36.92,37.36,34.8,35.88,37.48,-1.6,-4.2689,32395.47,114922.764
688560.SH,20210810,36.78,36.78,33.78,34.51,35.88,-1.37,-3.8183,26965.6,94288.179
688560.SH,20210811,34.56,36.01,33.52,35.73,34.51,1.22,3.5352,29427.5,103266.099
688560.SH,20210812,35.7,35.7,33.6,34.25,35.73,-1.48,-4.1422,32900.24,112275.253
688560.SH,20210813,34.21,35.13,33.74,33.8,34.25,-0.45,-1.3139,25236.18,86632.3
688560.SH,20210816,34.31,34.35,31.31,32.41,33.8,-1.39,-4.1124,33522.7,107803.485
688560.SH,20210817,32.0,32.75,30.8,30.9,32.41,-1.51,-4.6591,23294.92,73655.233
688560.SH,20210818,31.21,31.51,29.65,30.34,30.9,-0.56,-1.8123,25005.58,75547.741
688560.SH,20210819,30.59,30.59,29.13,29.49,30.34,-0.85,-2.8016,24158.24,71239.042
688560.SH,20210820,29.52,29.52,28.01,28.33,29.49,-1.16,-3.9335,32609.13,93043.337
688560.SH,20210823,29.04,30.45,28.29,30.38,28.33,2.05,7.2361,34353.58,101769.345
688560.SH,20210824,30.0,31.65,29.86,30.39,30.38,0.01,0.0329,32273.81,99811.236
688560.SH,20210825,30.31,31.62,29.62,31.3,30.39,0.91,2.9944,28629.27,88101.64
688560.SH,20210826,31.0,36.47,31.0,33.07,31.3,1.77,5.655,53372.06,181947.835
688560.SH,20210827,33.09,34.87,31.57,32.44,33.07,-0.63,-1.905,45210.05,148658.969
688560.SH,20210830,32.28,36.0,32.01,34.98,32.44,2.54,7.8298,57165.02,197796.52
688560.SH,20210831,35.88,39.93,35.11,39.47,34.98,4.49,12.8359,88914.23,331839.328
688560.SH,20210901,40.0,41.67,36.74,38.62,39.47,-0.85,-2.1535,98900.81,389872.521
688560.SH,20210902,38.8,41.0,37.51,38.61,38.62,-0.01,-0.0259,61852.82,242565.984
688560.SH,20210903,37.75,38.39,31.88,32.57,38.61,-6.04,-15.6436,91504.43,317520.581
688560.SH,20210906,33.5,37.22,33.5,34.36,32.57,1.79,5.4959,71794.04,250975.198
688560.SH,20210907,34.57,37.88,33.44,36.6,34.36,2.24,6.5192,68517.19,247287.751
688560.SH,20210908,37.14,37.62,34.01,34.4,36.6,-2.2,-6.0109,55033.33,194584.551
688560.SH,20210909,35.07,35.56,33.52,33.8,34.4,-0.6,-1.7442,34769.11,119674.796
688560.SH,20210910,34.7,34.95,32.52,34.31,33.8,0.51,1.5089,30445.34,102404.274
688560.SH,20210913,34.1,34.68,31.8,32.74,34.31,-1.57,-4.5759,40120.64,130774.015
688560.SH,20210914,33.09,35.68,32.27,33.91,32.74,1.17,3.5736,52151.19,178173.052
