ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688680.SH,20210122,222.0,236.0,214.0,218.0,69.94,148.06,211.6957,146606.03,3300448.054
688680.SH,20210125,227.99,231.98,191.2,205.49,218.0,-12.51,-5.7385,93801.18,1997968.601
688680.SH,20210126,203.0,214.77,185.5,204.8,205.49,-0.69,-0.3358,49589.32,992516.939
688680.SH,20210127,203.5,206.36,193.45,195.0,204.8,-9.8,-4.7852,24696.33,490854.642
688680.SH,20210128,190.0,195.0,173.0,179.0,195.0,-16.0,-8.2051,30661.12,561352.198
688680.SH,20210129,184.0,187.9,162.58,169.5,179.0,-9.5,-5.3073,35751.32,612092.105
688680.SH,20210201,169.99,179.8,167.0,174.3,169.5,4.8,2.8319,25901.6,451660.138
688680.SH,20210202,179.0,182.05,170.0,170.0,174.3,-4.3,-2.467,17312.19,307126.177
688680.SH,20210203,169.67,176.0,163.0,166.0,170.0,-4.0,-2.3529,17042.92,287676.578
688680.SH,20210204,162.01,164.43,148.12,150.29,166.0,-15.71,-9.4639,27038.4,415594.289
688680.SH,20210205,150.96,159.78,147.41,150.54,150.29,0.25,0.1663,19169.17,294480.343
688680.SH,20210208,147.5,155.49,140.0,153.58,150.54,3.04,2.0194,13038.13,194338.63
688680.SH,20210209,154.0,161.5,153.13,159.97,153.58,6.39,4.1607,12503.42,198663.446
688680.SH,20210210,160.12,165.0,154.03,160.0,159.97,0.03,0.0188,9211.64,147057.383
688680.SH,20210218,162.0,162.5,145.12,145.12,160.0,-14.88,-9.3,12069.56,182532.39
688680.SH,20210219,144.08,146.8,137.11,141.88,145.12,-3.24,-2.2326,9742.08,136954.354
688680.SH,20210222,141.0,148.55,140.61,141.77,141.88,-0.11,-0.0775,8397.81,121616.532
688680.SH,20210223,142.11,154.66,138.0,152.28,141.77,10.51,7.4134,12974.48,193324.292
688680.SH,20210224,152.0,152.76,144.0,150.0,152.28,-2.28,-1.4972,7505.92,111247.517
688680.SH,20210225,150.0,154.32,141.63,143.74,150.0,-6.26,-4.1733,7228.85,106652.818
688680.SH,20210226,141.82,153.0,138.04,149.91,143.74,6.17,4.2925,8927.47,129869.416
688680.SH,20210301,151.0,157.86,149.58,150.0,149.91,0.09,0.06,11647.39,178180.783
688680.SH,20210302,148.11,155.0,145.0,153.9,150.0,3.9,2.6,8783.17,132635.8
688680.SH,20210303,155.26,168.0,151.5,162.0,153.9,8.1,5.2632,15955.24,255845.89
688680.SH,20210304,161.78,163.69,147.01,148.61,162.0,-13.39,-8.2654,13546.66,208288.478
688680.SH,20210305,140.03,149.0,140.03,147.0,148.61,-1.61,-1.0834,5839.39,85302.817
688680.SH,20210308,147.52,147.98,138.21,140.0,147.0,-7.0,-4.7619,8414.28,119601.898
688680.SH,20210309,140.02,142.8,136.0,136.01,140.0,-3.99,-2.85,6834.03,95366.298
688680.SH,20210310,137.0,141.75,136.81,137.8,136.01,1.79,1.3161,5604.08,77738.219
688680.SH,20210311,138.0,141.8,134.61,140.78,137.8,2.98,2.1626,8293.15,115025.984
688680.SH,20210312,141.0,144.6,138.2,141.78,140.78,1.0,0.7103,8268.71,117197.84
688680.SH,20210315,141.78,142.86,124.17,128.8,141.78,-12.98,-9.155,11373.25,150664.184
688680.SH,20210316,128.48,129.78,117.0,117.8,128.8,-11.0,-8.5404,15585.35,189041.835
688680.SH,20210317,117.8,117.8,112.22,115.47,117.8,-2.33,-1.9779,11502.29,131353.026
688680.SH,20210318,116.0,116.0,111.61,112.6,115.47,-2.87,-2.4855,7749.0,88108.317
688680.SH,20210319,111.0,113.98,110.55,113.36,112.6,0.76,0.675,7246.37,81487.227
688680.SH,20210322,113.13,115.98,112.3,115.8,113.36,2.44,2.1524,6883.64,78955.155
688680.SH,20210323,116.09,117.49,110.57,112.0,115.8,-3.8,-3.2815,6851.84,77426.024
688680.SH,20210324,109.21,112.5,109.0,110.49,112.0,-1.51,-1.3482,3461.35,38224.572
688680.SH,20210325,109.52,109.55,104.07,107.61,110.49,-2.88,-2.6066,9724.27,103783.01
688680.SH,20210326,108.01,111.83,107.64,110.86,107.61,3.25,3.0202,5678.49,62621.448
688680.SH,20210329,112.6,115.4,111.01,112.69,110.86,1.83,1.6507,8199.85,93084.391
688680.SH,20210330,113.07,122.47,109.44,119.1,112.69,6.41,5.6882,12930.56,152063.053
688680.SH,20210331,118.0,118.91,115.11,116.56,119.1,-2.54,-2.1327,4601.13,53706.243
688680.SH,20210401,117.01,119.0,113.33,118.21,116.56,1.65,1.4156,6880.06,79982.125
688680.SH,20210402,118.16,120.29,117.21,118.82,118.21,0.61,0.516,5696.88,67604.598
688680.SH,20210406,117.8,122.3,117.22,119.42,118.82,0.6,0.505,7111.72,85165.047
688680.SH,20210407,118.03,122.93,116.82,121.55,119.42,2.13,1.7836,6921.81,82598.822
688680.SH,20210408,121.51,124.49,119.8,122.0,121.55,0.45,0.3702,4906.5,59892.506
688680.SH,20210409,122.06,123.68,114.25,114.6,122.0,-7.4,-6.0656,4929.4,57585.378
688680.SH,20210412,114.0,114.99,106.74,107.57,114.6,-7.03,-6.1344,4366.84,47920.065
688680.SH,20210413,107.0,110.98,105.67,106.58,107.57,-0.99,-0.9203,3542.8,38156.109
688680.SH,20210414,106.33,109.59,106.33,107.94,106.58,1.36,1.276,2617.18,28249.038
688680.SH,20210415,107.62,107.62,105.4,106.94,107.94,-1.0,-0.9264,2079.39,22160.199
688680.SH,20210416,106.47,107.98,103.35,107.85,106.94,0.91,0.8509,3841.26,40667.011
688680.SH,20210419,107.86,113.2,107.13,112.64,107.85,4.79,4.4414,5472.62,60829.06
688680.SH,20210420,112.65,119.48,112.03,116.7,112.64,4.06,3.6044,10822.19,126435.146
688680.SH,20210421,115.99,123.33,115.2,118.15,116.7,1.45,1.2425,7767.84,93026.538
688680.SH,20210422,118.14,119.49,115.7,117.13,118.15,-1.02,-0.8633,3123.18,36640.291
688680.SH,20210423,116.22,124.49,116.22,123.21,117.13,6.08,5.1908,7855.66,95733.8
688680.SH,20210426,122.21,134.8,122.13,130.8,123.21,7.59,6.1602,14561.68,190480.848
688680.SH,20210427,130.58,132.59,127.8,130.0,130.8,-0.8,-0.6116,6987.12,91049.703
688680.SH,20210428,134.0,142.8,130.2,137.05,130.0,7.05,5.4231,18286.14,251759.989
688680.SH,20210429,136.78,142.5,135.94,141.22,137.05,4.17,3.0427,10503.78,147100.355
688680.SH,20210430,141.01,146.97,140.25,142.32,141.22,1.1,0.7789,12306.95,177529.667
688680.SH,20210506,140.67,142.7,137.28,140.0,142.32,-2.32,-1.6301,5295.67,74225.505
688680.SH,20210507,139.01,147.49,132.11,138.22,140.0,-1.78,-1.2714,13316.22,186852.356
688680.SH,20210510,137.66,145.0,137.52,139.0,138.22,0.78,0.5643,5241.7,73829.77
688680.SH,20210511,139.0,139.7,127.0,128.75,139.0,-10.25,-7.3741,11631.45,154816.62
688680.SH,20210512,128.15,142.0,128.0,140.15,128.75,11.4,8.8544,8452.64,115375.339
688680.SH,20210513,137.26,137.35,131.33,133.11,140.15,-7.04,-5.0232,6838.29,91382.2
688680.SH,20210514,133.15,137.27,129.5,136.56,133.11,3.45,2.5918,5672.92,75576.485
688680.SH,20210517,135.03,148.44,135.03,146.0,136.56,9.44,6.9127,11122.81,161442.499
688680.SH,20210518,143.24,152.3,143.24,150.5,146.0,4.5,3.0822,9906.02,147932.432
688680.SH,20210519,150.54,152.78,148.0,152.75,150.5,2.25,1.495,8894.01,134524.117
688680.SH,20210520,151.85,157.33,148.89,151.86,152.75,-0.89,-0.5827,8435.19,129709.384
688680.SH,20210521,153.88,159.68,151.86,159.33,151.86,7.47,4.919,7250.38,113873.42
688680.SH,20210524,157.8,162.77,152.0,159.18,159.33,-0.15,-0.0941,8669.47,137517.82
