ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688692.SH,20240612,310.0,313.33,232.57,240.8,86.96,153.84,176.9089,109328.5,2848143.1
688692.SH,20240613,245.02,257.57,238.0,240.0,240.8,-0.8,-0.3322,66768.1,1646953.055
688692.SH,20240614,225.0,229.99,216.63,217.12,240.0,-22.88,-9.5333,47873.45,1066292.959
688692.SH,20240617,218.1,221.99,215.01,220.48,217.12,3.36,1.5475,26413.69,578169.293
688692.SH,20240618,220.8,232.8,218.45,228.79,220.48,8.31,3.769,28025.93,635478.387
688692.SH,20240619,226.01,228.0,213.0,217.0,228.79,-11.79,-5.1532,28824.14,629256.947
688692.SH,20240620,217.98,229.94,214.03,221.51,217.0,4.51,2.0783,25274.77,562468.272
688692.SH,20240621,217.5,219.5,204.0,206.33,221.51,-15.18,-6.853,21848.47,464735.54
688692.SH,20240624,203.5,211.47,203.02,203.72,206.33,-2.61,-1.265,13326.03,274852.54
688692.SH,20240625,205.8,206.88,199.0,202.55,203.72,-1.17,-0.5743,13576.11,273426.365
688692.SH,20240626,202.41,222.57,202.3,218.8,202.55,16.25,8.0227,20047.79,428197.545
688692.SH,20240627,218.8,223.0,209.6,212.5,218.8,-6.3,-2.8793,13903.27,300028.474
688692.SH,20240628,212.0,228.58,210.68,224.38,212.5,11.88,5.5906,15889.18,352545.043
688692.SH,20240701,222.51,225.28,216.89,223.47,224.38,-0.91,-0.4056,8527.28,188781.672
688692.SH,20240702,222.89,234.4,218.06,218.5,223.47,-4.97,-2.224,13419.34,304557.848
688692.SH,20240703,217.0,221.9,209.38,219.6,218.5,1.1,0.5034,11687.3,251941.936
688692.SH,20240704,216.84,219.45,200.0,203.39,219.6,-16.21,-7.3816,13536.49,282616.608
688692.SH,20240705,201.87,212.38,199.05,208.3,203.39,4.91,2.4141,8982.93,185250.858
688692.SH,20240708,205.61,211.48,203.3,205.3,208.3,-3.0,-1.4402,5535.58,114518.376
688692.SH,20240709,204.81,214.96,199.6,210.96,205.3,5.66,2.7569,10628.81,219625.558
688692.SH,20240710,209.0,211.45,201.6,202.02,210.96,-8.94,-4.2378,7179.86,147494.064
688692.SH,20240711,205.25,207.58,202.11,204.4,202.02,2.38,1.1781,7461.11,153028.172
688692.SH,20240712,202.01,203.98,190.03,190.14,204.4,-14.26,-6.9765,12697.81,246816.975
688692.SH,20240715,191.3,199.29,190.48,195.3,190.14,5.16,2.7138,9898.88,193734.975
688692.SH,20240716,194.11,207.99,193.5,205.05,195.3,9.75,4.9923,10199.74,204459.585
688692.SH,20240717,206.0,214.78,197.64,197.85,205.05,-7.2,-3.5113,10745.42,220604.773
688692.SH,20240718,198.0,235.0,196.37,224.8,197.85,26.95,13.6214,25165.61,541372.405
688692.SH,20240719,220.0,232.0,215.61,230.99,224.8,6.19,2.7536,18614.12,420348.808
688692.SH,20240722,237.99,245.8,228.2,233.87,230.99,2.88,1.2468,23548.17,556854.66
688692.SH,20240723,231.01,233.1,221.0,222.0,233.87,-11.87,-5.0755,12962.85,294298.422
688692.SH,20240724,220.99,224.01,210.5,211.25,222.0,-10.75,-4.8423,12075.84,260686.793
688692.SH,20240725,210.01,211.83,205.1,206.47,211.25,-4.78,-2.2627,8650.05,179923.664
688692.SH,20240726,207.0,210.71,203.97,207.93,206.47,1.46,0.7071,6924.45,143666.198
688692.SH,20240729,207.8,212.95,207.0,209.59,207.93,1.66,0.7983,6281.97,132192.642
688692.SH,20240730,209.62,209.99,201.01,208.9,209.59,-0.69,-0.3292,7001.95,143810.251
688692.SH,20240731,208.0,226.56,207.78,225.7,208.9,16.8,8.0421,12979.99,285897.217
688692.SH,20240801,225.85,226.98,220.0,224.35,225.7,-1.35,-0.5981,6156.65,137623.243
688692.SH,20240802,220.6,221.88,212.67,213.05,224.35,-11.3,-5.0368,9999.34,215747.111
688692.SH,20240805,211.98,224.99,209.0,216.89,213.05,3.84,1.8024,10487.91,229389.659
688692.SH,20240806,218.11,228.0,215.12,226.54,216.89,9.65,4.4493,10042.1,224185.644
688692.SH,20240807,225.05,225.05,217.03,218.12,226.54,-8.42,-3.7168,6418.66,141233.658
688692.SH,20240808,217.75,228.68,214.5,221.11,218.12,2.99,1.3708,9613.47,213759.886
688692.SH,20240809,222.89,223.78,216.16,216.8,221.11,-4.31,-1.9493,6403.06,140455.633
688692.SH,20240812,214.5,214.51,202.0,210.88,216.8,-5.92,-2.7306,9391.77,196040.977
688692.SH,20240813,208.22,215.48,208.0,215.0,210.88,4.12,1.9537,4364.28,92332.14
688692.SH,20240814,213.42,216.0,212.0,212.12,215.0,-2.88,-1.3395,2647.51,56508.979
688692.SH,20240815,212.0,217.67,207.37,208.9,212.12,-3.22,-1.518,3951.11,83750.387
688692.SH,20240816,209.0,211.58,206.92,209.33,208.9,0.43,0.2058,3106.23,64905.339
688692.SH,20240819,220.0,234.99,216.01,225.6,209.33,16.27,7.7724,15905.6,360240.667
688692.SH,20240820,224.71,227.89,220.22,222.1,225.6,-3.5,-1.5514,7269.19,162689.238
688692.SH,20240821,222.79,225.96,219.88,224.55,222.1,2.45,1.1031,4852.76,108591.238
688692.SH,20240822,222.02,234.99,221.58,226.9,224.55,2.35,1.0465,9565.25,218935.53
688692.SH,20240823,225.09,225.95,220.0,223.0,226.9,-3.9,-1.7188,4964.56,110702.058
688692.SH,20240826,221.03,228.0,219.19,224.4,223.0,1.4,0.6278,5542.87,124174.783
688692.SH,20240827,223.01,230.0,221.01,227.66,224.4,3.26,1.4528,9261.76,210921.134
688692.SH,20240828,226.51,239.98,223.17,229.99,227.66,2.33,1.0235,12926.07,300055.693
688692.SH,20240829,229.0,234.99,226.39,232.02,229.99,2.03,0.8826,9850.69,227809.723
688692.SH,20240830,231.98,259.0,231.01,250.4,232.02,18.38,7.9217,14497.06,359660.316
688692.SH,20240902,250.0,252.9,234.01,235.0,250.4,-15.4,-6.1502,13730.96,330527.92
688692.SH,20240903,234.0,251.8,231.11,250.75,235.0,15.75,6.7021,12255.54,296963.079
688692.SH,20240904,248.7,263.32,248.0,258.8,250.75,8.05,3.2104,10738.42,274827.659
688692.SH,20240905,258.0,259.77,250.8,254.33,258.8,-4.47,-1.7272,5834.24,148773.015
688692.SH,20240906,251.88,253.2,241.0,242.68,254.33,-11.65,-4.5807,8633.43,210832.909
688692.SH,20240909,241.55,242.5,233.68,238.2,242.68,-4.48,-1.8461,5809.71,137716.118
688692.SH,20240910,238.89,244.9,235.7,243.7,238.2,5.5,2.309,7356.24,177286.302
688692.SH,20240911,243.8,257.08,243.04,254.0,243.7,10.3,4.2265,8551.32,214909.284
688692.SH,20240912,254.0,262.0,249.09,249.99,254.0,-4.01,-1.5787,7454.44,189568.267
