ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688799.SH,20210713,61.2,62.99,53.77,54.0,30.82,23.18,75.2109,145020.57,846278.175
688799.SH,20210714,54.01,69.98,54.01,69.94,54.0,15.94,29.5185,128251.35,785580.871
688799.SH,20210715,63.0,65.19,58.15,58.65,69.94,-11.29,-16.1424,92605.47,567293.618
688799.SH,20210716,58.41,60.6,55.31,56.55,58.65,-2.1,-3.5806,55236.36,313766.503
688799.SH,20210719,55.55,56.2,51.7,51.91,56.55,-4.64,-8.2051,44867.57,238718.678
688799.SH,20210720,51.41,53.85,51.41,52.05,51.91,0.14,0.2697,29623.08,156189.434
688799.SH,20210721,51.98,53.3,49.49,52.5,52.05,0.45,0.8646,51088.95,260142.432
688799.SH,20210722,51.51,52.0,49.51,49.59,52.5,-2.91,-5.5429,34577.47,174070.911
688799.SH,20210723,49.88,50.21,47.48,47.9,49.59,-1.69,-3.4079,23750.65,114779.071
688799.SH,20210726,47.65,47.65,45.0,45.05,47.9,-2.85,-5.9499,21077.11,96960.865
688799.SH,20210727,45.6,46.83,44.44,44.47,45.05,-0.58,-1.2875,18510.57,84416.975
688799.SH,20210728,44.18,45.0,42.86,43.81,44.47,-0.66,-1.4841,16929.47,73850.629
688799.SH,20210729,44.28,45.8,43.88,44.1,43.81,0.29,0.6619,17940.79,80300.409
688799.SH,20210730,44.25,45.6,42.5,44.98,44.1,0.88,1.9955,29520.58,130249.695
688799.SH,20210802,45.0,45.01,43.21,44.45,44.98,-0.53,-1.1783,18930.59,83428.851
688799.SH,20210803,44.1,48.2,44.1,46.95,44.45,2.5,5.6243,30684.61,141703.302
688799.SH,20210804,46.99,47.7,45.52,46.61,46.95,-0.34,-0.7242,23045.39,107167.272
688799.SH,20210805,46.0,47.4,45.62,45.85,46.61,-0.76,-1.6306,15474.88,71656.766
688799.SH,20210806,45.81,45.82,43.22,43.52,45.85,-2.33,-5.0818,17965.81,79145.704
688799.SH,20210809,43.39,44.1,42.86,44.0,43.52,0.48,1.1029,13720.54,59548.997
688799.SH,20210810,44.02,44.02,43.2,43.5,44.0,-0.5,-1.1364,11527.53,50017.771
688799.SH,20210811,43.5,43.97,43.1,43.68,43.5,0.18,0.4138,10700.8,46501.631
688799.SH,20210812,43.6,44.7,43.28,44.55,43.68,0.87,1.9918,12877.92,56634.818
688799.SH,20210813,44.56,46.25,44.4,44.84,44.55,0.29,0.651,17305.24,78459.185
688799.SH,20210816,44.3,44.86,44.01,44.37,44.84,-0.47,-1.0482,9666.32,42869.61
688799.SH,20210817,44.37,44.55,42.94,43.1,44.37,-1.27,-2.8623,13785.3,60161.765
688799.SH,20210818,43.1,43.21,42.51,42.9,43.1,-0.2,-0.464,9799.67,41988.532
688799.SH,20210819,42.88,43.38,42.5,42.79,42.9,-0.11,-0.2564,7584.87,32559.97
688799.SH,20210820,42.64,42.64,40.68,40.76,42.79,-2.03,-4.7441,13338.7,54877.12
688799.SH,20210823,40.99,41.5,40.0,41.23,40.76,0.47,1.1531,8085.34,33167.132
688799.SH,20210824,41.18,41.98,41.03,41.25,41.23,0.02,0.0485,7425.53,30768.605
688799.SH,20210825,40.73,41.45,40.73,41.15,41.25,-0.1,-0.2424,7714.16,31628.458
688799.SH,20210826,41.0,41.16,40.3,40.35,41.15,-0.8,-1.9441,9090.23,37017.376
688799.SH,20210827,40.32,40.35,39.6,39.68,40.35,-0.67,-1.6605,8727.82,34788.341
688799.SH,20210830,39.2,39.88,39.01,39.3,39.68,-0.38,-0.9577,7754.91,30559.291
688799.SH,20210831,39.18,39.53,38.33,38.56,39.3,-0.74,-1.883,8094.91,31390.799
688799.SH,20210901,38.32,39.09,38.2,38.94,38.56,0.38,0.9855,6261.93,24248.052
688799.SH,20210902,38.95,41.8,38.51,40.42,38.94,1.48,3.8007,15428.58,61935.099
688799.SH,20210903,40.3,40.78,39.81,39.92,40.42,-0.5,-1.237,9318.82,37451.475
688799.SH,20210906,39.97,41.3,39.97,40.5,39.92,0.58,1.4529,7899.33,32151.581
688799.SH,20210907,41.0,41.1,40.41,40.45,40.5,-0.05,-0.1235,7647.85,31056.457
688799.SH,20210908,40.19,40.59,39.88,40.02,40.45,-0.43,-1.063,6145.33,24676.809
688799.SH,20210909,40.02,40.5,39.88,40.05,40.02,0.03,0.075,4681.06,18794.32
688799.SH,20210910,40.13,40.13,39.65,39.83,40.05,-0.22,-0.5493,5943.42,23656.044
688799.SH,20210913,39.99,40.47,39.83,40.1,39.83,0.27,0.6779,4932.12,19811.303
688799.SH,20210914,40.0,41.23,39.81,40.73,40.1,0.63,1.5711,10394.29,42167.785
688799.SH,20210915,41.0,41.19,40.05,40.2,40.73,-0.53,-1.3013,5940.29,23935.687
688799.SH,20210916,40.03,40.4,39.43,39.43,40.2,-0.77,-1.9154,5216.2,20782.942
688799.SH,20210917,39.6,41.5,38.87,40.71,39.43,1.28,3.2463,12363.79,50013.786
688799.SH,20210922,40.06,41.15,39.8,40.38,40.71,-0.33,-0.8106,6445.89,26106.383
688799.SH,20210923,40.23,40.99,39.88,40.0,40.38,-0.38,-0.9411,6743.58,27153.556
688799.SH,20210924,40.05,40.5,39.41,40.15,40.0,0.15,0.375,5763.97,23017.508
688799.SH,20210927,40.15,40.15,39.0,39.07,40.15,-1.08,-2.6899,4585.53,18104.0
688799.SH,20210928,39.09,39.35,38.6,38.96,39.07,-0.11,-0.2815,3890.91,15111.357
688799.SH,20210929,39.13,39.17,37.96,38.19,38.96,-0.77,-1.9764,4161.86,15929.768
688799.SH,20210930,38.21,38.58,38.02,38.27,38.19,0.08,0.2095,3306.71,12635.625
688799.SH,20211008,38.27,39.16,38.15,38.64,38.27,0.37,0.9668,4319.63,16710.034
688799.SH,20211011,38.97,39.15,38.6,38.82,38.64,0.18,0.4658,2695.35,10476.144
688799.SH,20211012,38.88,39.19,38.46,38.59,38.82,-0.23,-0.5925,3671.51,14209.601
688799.SH,20211013,38.59,40.94,38.48,40.68,38.59,2.09,5.4159,13267.74,53201.753
688799.SH,20211014,40.27,41.22,40.01,40.68,40.68,0.0,0.0,8130.17,33025.176
688799.SH,20211015,40.19,41.13,39.92,40.0,40.68,-0.68,-1.6716,5786.74,23466.237
688799.SH,20211018,40.01,40.46,38.55,38.73,40.0,-1.27,-3.175,6629.55,25820.894
688799.SH,20211019,38.56,39.01,38.56,38.9,38.73,0.17,0.4389,3511.72,13614.299
688799.SH,20211020,38.88,38.98,38.11,38.41,38.9,-0.49,-1.2596,3885.9,14930.283
688799.SH,20211021,38.41,38.69,38.23,38.33,38.41,-0.08,-0.2083,2297.9,8817.952
