日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-02-20,1.013,1.094,1.121,1.013,300900,30855494.0,10.6,7.36,0.075,626.65
2020-02-21,1.07,1.038,1.08,1.03,761702,78827643.0,4.57,-5.12,-0.056,1586.32
2020-02-24,1.037,1.026,1.037,1.02,159168,16331856.0,1.64,-1.16,-0.012,331.48
2020-02-25,1.011,1.02,1.022,1.003,138703,14069872.0,1.85,-0.58,-0.006,288.86
2020-02-26,1.009,1.017,1.028,1.006,604290,61732462.0,2.16,-0.29,-0.003,1258.49
2020-02-27,1.017,1.023,1.027,1.017,103694,10605060.0,0.98,0.59,0.006,215.95
2020-02-28,1.016,0.99,1.016,0.988,112126,11225402.0,2.74,-3.23,-0.033,233.51
2020-03-02,0.99,1.022,1.026,0.99,387136,39398150.0,3.64,3.23,0.032,806.25
2020-03-03,1.02,1.022,1.036,1.016,96984,9956283.0,1.96,0.0,0.0,201.98
2020-03-04,1.021,1.026,1.028,1.016,30091,3074881.0,1.17,0.39,0.004,62.67
2020-03-05,1.03,1.049,1.051,1.03,168017,17536371.0,2.05,2.24,0.023,349.91
2020-03-06,1.043,1.031,1.043,1.03,105728,10965646.0,1.24,-1.72,-0.018,220.19
2020-03-09,1.02,1.002,1.02,0.999,53410,5379584.0,2.04,-2.81,-0.029,111.23
2020-03-10,1.001,1.019,1.021,0.99,69016,6954612.0,3.09,1.7,0.017,143.73
2020-03-11,1.019,1.007,1.019,1.004,55712,5615632.0,1.47,-1.18,-0.012,116.03
2020-03-12,0.99,0.986,0.995,0.98,45211,4461497.0,1.49,-2.09,-0.021,94.16
2020-03-13,0.965,0.972,0.98,0.942,30060,2868583.0,3.85,-1.42,-0.014,62.6
2020-03-16,0.977,0.933,0.981,0.93,33900,3222649.0,5.25,-4.01,-0.039,70.6
2020-03-17,0.932,0.927,0.948,0.909,20375,1894187.0,4.18,-0.64,-0.006,42.43
2020-03-18,0.936,0.91,0.942,0.91,40511,3790675.0,3.45,-1.83,-0.017,84.37
2020-03-19,0.916,0.893,0.916,0.874,25882,2305950.0,4.62,-1.87,-0.017,53.9
2020-03-20,0.904,0.91,0.911,0.895,324890,29542890.0,1.79,1.9,0.017,676.61
2020-03-23,0.881,0.881,0.893,0.878,9851,870215.0,1.65,-3.19,-0.029,20.52
2020-03-24,0.893,0.905,0.907,0.888,17387,1562443.0,2.16,2.72,0.024,36.21
2020-03-25,0.918,0.93,0.933,0.918,183949,16991624.0,1.66,2.76,0.025,383.09
2020-03-26,0.922,0.924,0.931,0.919,4825,446396.0,1.29,-0.65,-0.006,10.05
2020-03-27,0.928,0.928,0.938,0.928,4189,390954.0,1.08,0.43,0.004,8.72
2020-03-30,0.911,0.922,0.926,0.911,3565,327254.0,1.62,-0.65,-0.006,7.42
2020-03-31,0.922,0.92,0.932,0.92,4137,382086.0,1.3,-0.22,-0.002,8.62
2020-04-01,0.921,0.919,0.93,0.918,14165,1312375.0,1.3,-0.11,-0.001,29.5
2020-04-02,0.914,0.929,0.929,0.91,15794,1447191.0,2.07,1.09,0.01,32.89
2020-04-03,0.929,0.921,0.929,0.92,12583,1164279.0,0.97,-0.86,-0.008,26.21
2020-04-07,0.937,0.935,0.943,0.935,208395,19568144.0,0.87,1.52,0.014,434.0
2020-04-08,0.935,0.936,0.938,0.933,10811,1011796.0,0.53,0.11,0.001,22.51
2020-04-09,0.937,0.936,0.94,0.936,1480,138831.0,0.43,0.0,0.0,3.08
2020-04-10,0.935,0.935,0.947,0.933,3801,356661.0,1.5,-0.11,-0.001,7.92
2020-04-13,0.935,0.935,0.938,0.931,64732,6029522.0,0.75,0.0,0.0,134.81
2020-04-14,0.942,0.945,0.948,0.935,11461,1079572.0,1.39,1.07,0.01,23.87
2020-04-15,0.943,0.94,0.947,0.939,63774,5995850.0,0.85,-0.53,-0.005,132.82
2020-04-16,0.935,0.939,0.939,0.935,1914,179173.0,0.43,-0.11,-0.001,3.99
2020-04-17,0.946,0.948,0.955,0.943,19075,1809482.0,1.28,0.96,0.009,39.73
2020-04-20,0.948,0.952,0.953,0.947,56750,5399505.0,0.63,0.42,0.004,118.19
2020-04-21,0.952,0.943,0.952,0.938,57968,5476827.0,1.47,-0.95,-0.009,120.72
2020-04-22,0.94,0.948,0.949,0.939,33390,3162621.0,1.06,0.53,0.005,69.54
2020-04-23,0.949,0.943,0.951,0.943,51997,4939449.0,0.84,-0.53,-0.005,108.29
2020-04-24,0.943,0.939,0.944,0.937,5769,541986.0,0.74,-0.42,-0.004,12.01
2020-04-27,0.938,0.945,0.95,0.938,35299,3345295.0,1.28,0.64,0.006,73.51
2020-04-28,0.945,0.948,0.949,0.931,66842,6341841.0,1.9,0.32,0.003,139.2
2020-04-29,0.949,0.953,0.958,0.949,123400,11739412.0,0.95,0.53,0.005,256.99
2020-04-30,0.964,0.969,0.969,0.964,15456,1493936.0,0.52,1.68,0.016,32.19
2020-05-06,0.951,0.971,0.975,0.951,13338,1289923.0,2.48,0.21,0.002,27.78
2020-05-07,0.97,0.965,0.97,0.964,4072,393548.0,0.62,-0.62,-0.006,8.48
2020-05-08,0.971,0.975,0.979,0.97,8446,823652.0,0.93,1.04,0.01,17.59
2020-05-11,0.975,0.98,0.988,0.975,87669,8610975.0,1.33,0.51,0.005,182.58
2020-05-12,0.974,0.976,0.982,0.974,3719,363241.0,0.82,-0.41,-0.004,7.75
2020-05-13,0.972,0.978,0.978,0.971,3879,377292.0,0.72,0.2,0.002,8.08
2020-05-14,0.971,0.967,0.972,0.967,2514,243377.0,0.51,-1.12,-0.011,5.24
2020-05-15,0.966,0.963,0.971,0.961,40441,3901447.0,1.03,-0.41,-0.004,84.22
2020-05-18,0.962,0.965,0.97,0.96,45187,4365066.0,1.04,0.21,0.002,94.11
2020-05-19,0.975,0.976,0.976,0.971,49787,4852146.0,0.52,1.14,0.011,103.69
2020-05-20,0.972,0.97,0.974,0.968,27011,2625279.0,0.61,-0.61,-0.006,56.25
2020-05-21,0.973,0.963,0.974,0.963,10520,1017004.0,1.13,-0.72,-0.007,21.91
2020-05-22,0.967,0.942,0.967,0.941,4882,464033.0,2.7,-2.18,-0.021,10.17
2020-05-25,0.941,0.939,0.942,0.933,69855,6553378.0,0.96,-0.32,-0.003,145.48
